OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
390.0;813.0;1841.0;4100.0;803.0;1166.0;507.0;1023.0;2073.0;4210.0;796.0;1268.0;-14.0;-14.0;30.0;-27.0
805.0;1621.0;3371.0;6660.0;1126.0;1494.0;635.0;1269.0;2505.0;4922.0;903.0;1449.0;-14.0;-14.0;19.0;-29.0
899.0;1761.0;3619.0;7134.0;1215.0;1690.0;784.0;1549.0;3029.0;5873.0;1058.0;1697.0;-14.0;-14.0;23.0;-29.0
1072.0;2088.0;4177.0;8105.0;1359.0;1838.0;863.0;1680.0;3202.0;5969.0;1033.0;1599.0;-14.0;-14.0;22.0;-29.0
1006.0;1959.0;3953.0;7577.0;1282.0;1788.0;858.0;1656.0;3138.0;5824.0;994.0;1549.0;-8.0;-14.0;22.0;-27.0
978.0;1897.0;3771.0;7187.0;1216.0;1741.0;879.0;1721.0;3307.0;6223.0;1101.0;1744.0;-14.0;-12.0;20.0;-24.0
1123.0;2164.0;4283.0;8309.0;1421.0;1989.0;1029.0;1986.0;3717.0;6905.0;1164.0;1789.0;-16.0;-12.0;20.0;-24.0
1089.0;2091.0;4118.0;7907.0;1373.0;2010.0;1071.0;2062.0;3888.0;7062.0;1187.0;1792.0;-16.0;-12.0;20.0;-42.0
1056.0;2012.0;3923.0;7295.0;1251.0;1831.0;985.0;1894.0;3598.0;6659.0;1154.0;1804.0;-10.0;-12.0;26.0;-42.0
1250.0;2445.0;4961.0;9996.0;1851.0;2744.0;1607.0;3084.0;5783.0;10845.0;1897.0;2928.0;-16.0;-13.0;20.0;-58.0
1941.0;3710.0;7289.0;14090.0;2465.0;3442.0;2073.0;3920.0;7282.0;13255.0;2264.0;3414.0;-10.0;-19.0;31.0;-58.0
2218.0;4161.0;8064.0;15557.0;2665.0;3698.0;2290.0;4287.0;7931.0;14272.0;2426.0;3648.0;-10.0;-24.0;17.0;-58.0
2415.0;4508.0;8666.0;16536.0;2858.0;4001.0;2590.0;4850.0;8811.0;15822.0;2665.0;3983.0;-10.0;-24.0;31.0;-56.0
2714.0;5046.0;9655.0;18191.0;3130.0;4346.0;2876.0;5309.0;9660.0;17131.0;2854.0;4233.0;-10.0;-24.0;36.0;-54.0
2827.0;5225.0;9855.0;18226.0;3046.0;4184.0;2721.0;5011.0;9099.0;15927.0;2625.0;3861.0;-10.0;-25.0;32.0;-51.0
2610.0;4801.0;8981.0;16507.0;2745.0;3831.0;2462.0;4554.0;8258.0;14541.0;2389.0;3541.0;-13.0;-25.0;21.0;-51.0
2392.0;4446.0;8311.0;15311.0;2588.0;3658.0;2360.0;4377.0;7975.0;14099.0;2339.0;3506.0;-13.0;-18.0;12.0;-53.0
2495.0;4608.0;8674.0;16087.0;2712.0;3836.0;2623.0;4818.0;8732.0;15367.0;2549.0;3816.0;-13.0;-18.0;21.0;-53.0
2712.0;4996.0;9423.0;17720.0;3008.0;4222.0;2866.0;5320.0;9612.0;16878.0;2784.0;4119.0;-13.0;-22.0;18.0;-47.0
2841.0;5188.0;9678.0;17728.0;2917.0;4014.0;2711.0;4999.0;8918.0;15627.0;2535.0;3753.0;-4.0;-15.0;8.0;-53.0
2628.0;4788.0;8874.0;16102.0;2626.0;3623.0;2394.0;4375.0;7829.0;13502.0;2165.0;3213.0;-4.0;-15.0;11.0;-54.0
2172.0;4000.0;7448.0;13606.0;2311.0;3417.0;2324.0;4308.0;7814.0;13817.0;2296.0;3462.0;-9.0;-18.0;6.0;-70.0
2541.0;4735.0;9034.0;17185.0;3014.0;4392.0;3090.0;5707.0;10346.0;18289.0;3093.0;4640.0;-10.0;-22.0;9.0;-70.0
3409.0;6299.0;11848.0;21422.0;3816.0;5305.0;3902.0;7162.0;12804.0;22368.0;3710.0;5467.0;-9.0;-23.0;19.0;-70.0
4142.0;7570.0;14093.0;23494.0;4479.0;6185.0;4781.0;8666.0;15225.0;26228.0;4333.0;6298.0;-10.0;-23.0;21.0;-57.0
4624.0;8295.0;15086.0;23877.0;4498.0;6063.0;4569.0;8203.0;14437.0;24773.0;3999.0;5731.0;-10.0;-25.0;14.0;-54.0
3993.0;7110.0;12667.0;21352.0;3478.0;4590.0;3209.0;5753.0;9885.0;16622.0;2611.0;3821.0;-10.0;-23.0;10.0;-49.0
2695.0;5010.0;9445.0;18158.0;3336.0;5036.0;3822.0;6921.0;12094.0;20797.0;3358.0;4872.0;-10.0;-19.0;11.0;-49.0
3211.0;5809.0;10772.0;19497.0;3300.0;4652.0;3390.0;6116.0;10797.0;18551.0;3000.0;4438.0;-12.0;-19.0;16.0;-43.0
3171.0;5802.0;10874.0;20096.0;3548.0;5141.0;3988.0;7223.0;12837.0;22135.0;3646.0;5356.0;-12.0;-19.0;20.0;-43.0
3977.0;7193.0;13425.0;22858.0;4192.0;5766.0;4432.0;7917.0;13796.0;23582.0;3779.0;5487.0;-12.0;-18.0;16.0;-43.0
3875.0;6932.0;12500.0;21244.0;3504.0;4684.0;3389.0;6042.0;10404.0;17562.0;2758.0;4070.0;-15.0;-14.0;12.0;-23.0
2688.0;4913.0;9300.0;17362.0;2978.0;4342.0;3263.0;5934.0;10413.0;17584.0;2809.0;4102.0;-20.0;-14.0;12.0;-21.0
2694.0;4846.0;8717.0;14937.0;2404.0;3406.0;2326.0;4196.0;7288.0;12245.0;1905.0;2829.0;-20.0;-14.0;15.0;-21.0
1830.0;3317.0;6073.0;10814.0;1824.0;2829.0;2008.0;3690.0;6618.0;11443.0;1840.0;2800.0;-20.0;-14.0;10.0;-21.0
1922.0;3587.0;6898.0;13232.0;2355.0;3540.0;2542.0;4668.0;8331.0;14562.0;2384.0;3552.0;-20.0;-14.0;12.0;-22.0
2432.0;4491.0;8640.0;16238.0;2844.0;4223.0;3167.0;5807.0;10258.0;17681.0;2900.0;4263.0;-14.0;-14.0;13.0;-42.0
2810.0;5107.0;9378.0;16699.0;2771.0;3958.0;2866.0;5198.0;9188.0;15657.0;2547.0;3806.0;-12.0;-25.0;24.0;-52.0
2731.0;5065.0;9613.0;18324.0;3215.0;4689.0;3582.0;6472.0;11409.0;19532.0;3190.0;4689.0;-11.0;-21.0;21.0;-53.0
3166.0;5789.0;10860.0;19938.0;3508.0;5100.0;3953.0;7080.0;12479.0;21447.0;3487.0;5098.0;-8.0;-22.0;32.0;-56.0
3542.0;6412.0;11831.0;21098.0;3704.0;5279.0;4102.0;7323.0;12821.0;21711.0;3500.0;5052.0;-8.0;-22.0;26.0;-56.0
3412.0;6138.0;11308.0;20299.0;3516.0;5093.0;4056.0;7276.0;12734.0;21799.0;3567.0;5281.0;-8.0;-22.0;21.0;-56.0
3798.0;6882.0;12853.0;22340.0;4148.0;5915.0;4736.0;8479.0;14763.0;25192.0;4086.0;5955.0;-8.0;-22.0;16.0;-55.0
4161.0;7464.0;13555.0;22717.0;4056.0;5600.0;4395.0;7806.0;13578.0;22778.0;3627.0;5250.0;-4.0;-22.0;16.0;-49.0
3551.0;6422.0;11772.0;20920.0;3676.0;5372.0;4299.0;7673.0;13349.0;22781.0;3700.0;5432.0;-10.0;-19.0;16.0;-43.0
3809.0;6831.0;12418.0;21302.0;3653.0;5125.0;3919.0;6929.0;11992.0;20060.0;3167.0;4586.0;-2.0;-18.0;18.0;-43.0
2980.0;5309.0;9510.0;16469.0;2601.0;3664.0;2600.0;4684.0;8113.0;13479.0;2076.0;3082.0;-2.0;-19.0;19.0;-45.0
2015.0;3609.0;6553.0;11260.0;1814.0;2752.0;1963.0;5332.0;9557.0;16688.0;2739.0;3989.0;-9.0;-18.0;32.0;-28.0
1813.0;3401.0;6556.0;12709.0;2311.0;3716.0;2929.0;5332.0;9557.0;16688.0;2790.0;4269.0;-9.0;-18.0;27.0;-28.0
3079.0;5661.0;10621.0;19234.0;3198.0;4460.0;3239.0;5845.0;10232.0;17291.0;2739.0;3989.0;-5.0;-18.0;23.0;-28.0
2521.0;4552.0;8299.0;14596.0;2370.0;3447.0;2482.0;4473.0;7885.0;13299.0;2107.0;3162.0;-9.0;-4.0;23.0;-28.0
2149.0;3949.0;7409.0;13438.0;2297.0;3463.0;2546.0;4631.0;8250.0;14115.0;2265.0;3403.0;-9.0;-4.0;20.0;-24.0
2284.0;4194.0;7769.0;13692.0;2158.0;2975.0;1967.0;3544.0;6244.0;10665.0;1674.0;2541.0;-12.0;-5.0;15.0;-24.0
1809.0;3320.0;6158.0;11072.0;1861.0;2812.0;1986.0;3601.0;6360.0;10876.0;1717.0;2522.0;-12.0;-15.0;10.0;-24.0
1786.0;3261.0;5962.0;10337.0;1646.0;2395.0;1592.0;2912.0;5137.0;8726.0;1358.0;2045.0;-12.0;-7.0;8.0;-24.0
1418.0;2601.0;4835.0;8504.0;1382.0;2120.0;1440.0;2660.0;4779.0;8379.0;1356.0;2099.0;-9.0;-8.0;20.0;-7.0
1496.0;2775.0;5227.0;9162.0;1407.0;2009.0;1251.0;2320.0;4077.0;6898.0;1078.0;1645.0;-9.0;-9.0;11.0;-5.0
1132.0;2078.0;3802.0;6496.0;1014.0;1571.0;1010.0;1875.0;3340.0;5633.0;874.0;1342.0;-9.0;-8.0;11.0;-7.0
931.0;1723.0;3163.0;5360.0;817.0;1240.0;757.0;1394.0;2418.0;3982.0;595.0;920.0;-8.0;-8.0;11.0;-6.0
711.0;1301.0;2372.0;3893.0;580.0;936.0;584.0;1101.0;1922.0;3168.0;481.0;770.0;-9.0;-9.0;11.0;-6.0
676.0;1248.0;2327.0;3891.0;582.0;921.0;555.0;1052.0;1836.0;3121.0;474.0;749.0;-6.0;-9.0;29.0;-6.0
664.0;1245.0;2302.0;3813.0;556.0;842.0;523.0;966.0;1686.0;2686.0;393.0;620.0;-10.0;-4.0;30.0;-6.0
573.0;1034.0;1901.0;3076.0;439.0;683.0;416.0;774.0;1327.0;2132.0;308.0;499.0;-6.0;-6.0;29.0;-6.0
525.0;972.0;1788.0;2867.0;393.0;584.0;349.0;648.0;1080.0;1639.0;214.0;347.0;-18.0;-6.0;17.0;-13.0
423.0;763.0;1323.0;1962.0;239.0;378.0;244.0;444.0;687.0;891.0;183.0;300.0;-15.0;-5.0;22.0;-17.0
