OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
12.0;19.0;28.0;43.0;6.0;8.0;18.0;20.0;31.0;38.0;6.0;8.0;211.0;-133.0;913.0;-528.0
19.0;30.0;40.0;64.0;9.0;12.0;23.0;25.0;44.0;58.0;7.0;14.0;223.0;-141.0;1043.0;-591.0
24.0;35.0;52.0;80.0;11.0;15.0;26.0;34.0;51.0;77.0;11.0;16.0;311.0;-187.0;1408.0;-757.0
30.0;47.0;66.0;100.0;14.0;21.0;35.0;43.0;70.0;101.0;15.0;21.0;470.0;-256.0;2125.0;-1059.0
39.0;60.0;90.0;133.0;18.0;27.0;39.0;52.0;85.0;119.0;21.0;27.0;670.0;-337.0;3025.0;-1432.0
47.0;69.0;109.0;162.0;24.0;34.0;46.0;65.0;97.0;150.0;23.0;34.0;882.0;-426.0;3932.0;-1775.0
59.0;87.0;129.0;195.0;27.0;39.0;61.0;80.0;127.0;184.0;27.0;40.0;908.0;-441.0;3980.0;-1812.0
63.0;98.0;146.0;228.0;32.0;47.0;68.0;92.0;146.0;216.0;31.0;44.0;916.0;-447.0;4001.0;-1813.0
67.0;103.0;159.0;242.0;35.0;50.0;70.0;100.0;153.0;228.0;36.0;50.0;933.0;-449.0;4145.0;-1848.0
77.0;117.0;180.0;270.0;39.0;56.0;76.0;110.0;176.0;262.0;39.0;53.0;1005.0;-449.0;4354.0;-1848.0
84.0;126.0;191.0;292.0;43.0;62.0;79.0;117.0;184.0;284.0;42.0;58.0;943.0;-458.0;4094.0;-1861.0
89.0;136.0;212.0;316.0;47.0;66.0;93.0;133.0;205.0;305.0;43.0;65.0;907.0;-476.0;3934.0;-1914.0
97.0;146.0;224.0;336.0;48.0;70.0;93.0;140.0;220.0;325.0;49.0;70.0;985.0;-476.0;4306.0;-1914.0
105.0;159.0;240.0;360.0;53.0;77.0;97.0;142.0;224.0;339.0;52.0;72.0;986.0;-477.0;4239.0;-1930.0
104.0;163.0;252.0;379.0;56.0;80.0;105.0;152.0;243.0;367.0;54.0;77.0;1004.0;-499.0;4472.0;-1996.0
111.0;174.0;267.0;405.0;59.0;84.0;109.0;163.0;251.0;377.0;56.0;81.0;1114.0;-499.0;4871.0;-2050.0
119.0;184.0;279.0;420.0;62.0;89.0;118.0;176.0;272.0;409.0;60.0;85.0;1082.0;-510.0;4631.0;-2058.0
126.0;190.0;296.0;448.0;65.0;93.0;118.0;178.0;280.0;422.0;64.0;90.0;1055.0;-521.0;4619.0;-2133.0
132.0;199.0;305.0;463.0;68.0;98.0;126.0;188.0;298.0;450.0;67.0;95.0;1181.0;-536.0;5195.0;-2189.0
138.0;214.0;324.0;491.0;71.0;103.0;135.0;198.0;309.0;468.0;70.0;99.0;1142.0;-536.0;5036.0;-2189.0
142.0;219.0;330.0;504.0;74.0;106.0;131.0;199.0;316.0;484.0;71.0;102.0;1152.0;-536.0;5017.0;-2189.0
150.0;228.0;344.0;528.0;77.0;111.0;139.0;207.0;328.0;496.0;74.0;107.0;1106.0;-536.0;4811.0;-2145.0
154.0;235.0;363.0;546.0;80.0;114.0;149.0;224.0;347.0;529.0;79.0;112.0;1125.0;-532.0;4871.0;-2145.0
157.0;244.0;371.0;565.0;84.0;118.0;150.0;225.0;357.0;535.0;79.0;114.0;1114.0;-527.0;4891.0;-2142.0
160.0;252.0;386.0;579.0;86.0;122.0;157.0;233.0;360.0;548.0;83.0;118.0;1116.0;-527.0;4886.0;-2142.0
162.0;259.0;387.0;599.0;87.0;127.0;163.0;248.0;381.0;581.0;86.0;123.0;1079.0;-517.0;4737.0;-2081.0
174.0;267.0;405.0;616.0;91.0;130.0;167.0;249.0;388.0;584.0;88.0;127.0;1047.0;-508.0;4615.0;-2034.0
180.0;276.0;420.0;637.0;93.0;134.0;170.0;257.0;399.0;604.0;88.0;128.0;940.0;-469.0;4072.0;-1838.0
186.0;284.0;431.0;644.0;96.0;137.0;172.0;265.0;410.0;617.0;91.0;130.0;820.0;-464.0;3474.0;-1838.0
187.0;282.0;431.0;653.0;95.0;137.0;175.0;265.0;417.0;624.0;93.0;134.0;840.0;-464.0;3733.0;-1838.0
190.0;294.0;442.0;668.0;97.0;139.0;175.0;263.0;418.0;637.0;94.0;135.0;947.0;-452.0;4185.0;-1858.0
191.0;295.0;452.0;685.0;100.0;143.0;185.0;279.0;431.0;654.0;98.0;137.0;977.0;-452.0;4236.0;-1858.0
195.0;301.0;458.0;701.0;102.0;145.0;188.0;283.0;446.0;666.0;99.0;140.0;941.0;-452.0;4103.0;-1858.0
204.0;311.0;469.0;708.0;103.0;148.0;191.0;286.0;450.0;672.0;100.0;144.0;852.0;-437.0;3718.0;-1747.0
206.0;314.0;473.0;719.0;105.0;152.0;198.0;300.0;458.0;688.0;101.0;145.0;833.0;-432.0;3725.0;-1747.0
214.0;323.0;490.0;736.0;107.0;154.0;203.0;303.0;468.0;705.0;104.0;148.0;880.0;-420.0;3828.0;-1695.0
212.0;327.0;497.0;744.0;107.0;155.0;202.0;297.0;463.0;701.0;106.0;151.0;899.0;-415.0;3858.0;-1695.0
220.0;334.0;504.0;762.0;110.0;158.0;201.0;306.0;474.0;723.0;107.0;152.0;727.0;-378.0;3146.0;-1501.0
212.0;330.0;505.0;767.0;112.0;158.0;203.0;305.0;472.0;711.0;107.0;154.0;711.0;-365.0;3063.0;-1483.0
213.0;329.0;501.0;758.0;111.0;160.0;207.0;310.0;478.0;725.0;107.0;154.0;715.0;-353.0;3187.0;-1446.0
216.0;332.0;509.0;775.0;114.0;163.0;208.0;316.0;485.0;738.0;109.0;158.0;684.0;-353.0;3004.0;-1446.0
227.0;350.0;525.0;778.0;115.0;164.0;210.0;321.0;496.0;743.0;110.0;159.0;658.0;-363.0;2940.0;-1471.0
232.0;353.0;531.0;802.0;117.0;166.0;217.0;324.0;502.0;751.0;112.0;159.0;720.0;-363.0;3160.0;-1471.0
230.0;350.0;531.0;795.0;117.0;167.0;212.0;323.0;506.0;766.0;113.0;163.0;766.0;-384.0;3348.0;-1547.0
233.0;357.0;539.0;810.0;119.0;169.0;228.0;339.0;522.0;777.0;116.0;164.0;770.0;-386.0;3391.0;-1564.0
245.0;364.0;551.0;838.0;122.0;173.0;220.0;335.0;516.0;779.0;118.0;166.0;871.0;-421.0;3767.0;-1707.0
234.0;360.0;550.0;829.0;121.0;175.0;229.0;342.0;524.0;796.0;118.0;170.0;903.0;-436.0;3984.0;-1774.0
247.0;373.0;568.0;853.0;123.0;178.0;233.0;346.0;538.0;809.0;121.0;172.0;933.0;-436.0;4052.0;-1774.0
243.0;377.0;573.0;869.0;125.0;182.0;241.0;361.0;557.0;838.0;123.0;177.0;914.0;-436.0;3979.0;-1774.0
257.0;391.0;585.0;877.0;129.0;184.0;237.0;361.0;562.0;843.0;124.0;178.0;834.0;-416.0;3694.0;-1680.0
258.0;389.0;587.0;892.0;130.0;184.0;234.0;357.0;553.0;828.0;123.0;177.0;840.0;-409.0;3704.0;-1676.0
257.0;391.0;590.0;885.0;130.0;186.0;238.0;361.0;556.0;854.0;127.0;180.0;792.0;-392.0;3424.0;-1576.0
260.0;397.0;595.0;901.0;131.0;187.0;245.0;371.0;569.0;870.0;128.0;184.0;767.0;-381.0;3346.0;-1536.0
268.0;407.0;611.0;920.0;133.0;190.0;249.0;370.0;572.0;863.0;129.0;182.0;757.0;-380.0;3327.0;-1527.0
263.0;400.0;597.0;914.0;133.0;193.0;249.0;377.0;580.0;874.0;129.0;185.0;755.0;-374.0;3308.0;-1517.0
271.0;410.0;616.0;928.0;135.0;193.0;244.0;375.0;576.0;881.0;129.0;188.0;734.0;-363.0;3186.0;-1488.0
268.0;410.0;619.0;927.0;136.0;195.0;254.0;382.0;584.0;879.0;134.0;188.0;541.0;-288.0;2302.0;-1126.0
271.0;408.0;620.0;932.0;137.0;194.0;243.0;368.0;579.0;878.0;131.0;189.0;329.0;-193.0;1382.0;-743.0
272.0;412.0;627.0;936.0;135.0;194.0;249.0;383.0;590.0;897.0;132.0;189.0;43.0;-33.0;150.0;-82.0
266.0;408.0;619.0;932.0;135.0;193.0;252.0;378.0;588.0;890.0;132.0;187.0;-56.0;36.0;-234.0;191.0
273.0;409.0;617.0;927.0;133.0;190.0;245.0;374.0;573.0;876.0;127.0;185.0;-120.0;109.0;-517.0;466.0
260.0;401.0;596.0;897.0;131.0;187.0;246.0;370.0;564.0;858.0;126.0;182.0;-122.0;129.0;-517.0;541.0
259.0;393.0;597.0;897.0;129.0;184.0;239.0;366.0;565.0;852.0;127.0;180.0;-122.0;121.0;-517.0;489.0
261.0;394.0;586.0;880.0;127.0;180.0;240.0;360.0;552.0;832.0;123.0;175.0;-122.0;118.0;-515.0;446.0
254.0;386.0;580.0;870.0;125.0;178.0;246.0;377.0;569.0;851.0;123.0;177.0;7.0;-11.0;90.0;-50.0
249.0;382.0;575.0;862.0;125.0;179.0;239.0;360.0;554.0;826.0;124.0;174.0;65.0;-47.0;297.0;-183.0
254.0;386.0;583.0;870.0;125.0;180.0;250.0;365.0;562.0;842.0;123.0;176.0;105.0;-64.0;524.0;-313.0
257.0;389.0;588.0;880.0;126.0;180.0;240.0;360.0;559.0;843.0;123.0;177.0;198.0;-121.0;886.0;-501.0
253.0;385.0;580.0;873.0;127.0;181.0;244.0;364.0;566.0;851.0;125.0;175.0;330.0;-182.0;1497.0;-784.0
