OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-24.0;-43.0;-117.0;-248.0;-37.0;-57.0;-11.0;-45.0;-106.0;-218.0;-38.0;-52.0;8.0;24.0;-6.0;-1.0
-9.0;-26.0;-82.0;-158.0;-31.0;-56.0;-11.0;-45.0;-106.0;-188.0;-38.0;-48.0;11.0;12.0;-9.0;-10.0
38.0;56.0;18.0;9.0;-6.0;-39.0;-11.0;-43.0;-106.0;-188.0;-33.0;-41.0;10.0;14.0;-12.0;-16.0
53.0;108.0;18.0;9.0;-6.0;-39.0;-21.0;-56.0;-106.0;-188.0;-33.0;-43.0;15.0;22.0;-9.0;-16.0
38.0;87.0;96.0;26.0;-3.0;-39.0;-1.0;-35.0;-104.0;-150.0;-33.0;-42.0;15.0;14.0;0.0;-19.0
53.0;87.0;96.0;119.0;0.0;-39.0;-1.0;-35.0;-80.0;-150.0;-31.0;-42.0;16.0;13.0;-4.0;-19.0
58.0;98.0;102.0;26.0;-3.0;-39.0;-1.0;-35.0;-80.0;-150.0;-31.0;-42.0;17.0;13.0;-4.0;-19.0
512.0;910.0;1616.0;2817.0;458.0;684.0;457.0;834.0;1499.0;2675.0;444.0;683.0;1.0;-5.0;-9.0;4.0
555.0;990.0;1731.0;3018.0;490.0;718.0;491.0;893.0;1576.0;2842.0;475.0;725.0;2.0;-5.0;-20.0;19.0
639.0;1113.0;1945.0;3366.0;528.0;768.0;536.0;959.0;1708.0;2986.0;488.0;744.0;2.0;-5.0;-20.0;13.0
