OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
43.0;58.0;73.0;72.0;17.0;15.0;47.0;64.0;73.0;77.0;14.0;23.0;3.0;32.0;-3.0;-4.0
168.0;267.0;463.0;691.0;100.0;137.0;145.0;226.0;355.0;561.0;90.0;134.0;24.0;-11.0;6.0;-2.0
170.0;288.0;523.0;829.0;123.0;169.0;134.0;242.0;417.0;681.0;107.0;164.0;23.0;-13.0;44.0;-37.0
185.0;323.0;526.0;882.0;136.0;210.0;196.0;342.0;558.0;958.0;160.0;257.0;26.0;-14.0;72.0;-37.0
468.0;784.0;1269.0;1999.0;304.0;406.0;313.0;570.0;979.0;1769.0;311.0;496.0;27.0;-14.0;91.0;-37.0
853.0;1440.0;2439.0;4188.0;686.0;971.0;705.0;1289.0;2300.0;3929.0;637.0;945.0;18.0;-14.0;68.0;-34.0
1080.0;1788.0;2943.0;4610.0;703.0;946.0;749.0;1337.0;2285.0;3753.0;589.0;860.0;14.0;-14.0;37.0;-30.0
934.0;1546.0;2508.0;4013.0;604.0;831.0;660.0;1166.0;1976.0;3165.0;498.0;736.0;14.0;-4.0;29.0;-12.0
772.0;1260.0;2054.0;3280.0;490.0;682.0;498.0;896.0;1592.0;2599.0;417.0;616.0;19.0;-4.0;29.0;-12.0
640.0;1052.0;1713.0;2723.0;412.0;579.0;405.0;736.0;1289.0;2162.0;356.0;526.0;6.0;-4.0;21.0;-12.0
610.0;993.0;1616.0;2537.0;381.0;542.0;410.0;730.0;1265.0;2198.0;347.0;510.0;6.0;-4.0;24.0;-12.0
635.0;1037.0;1695.0;2666.0;412.0;558.0;421.0;738.0;1309.0;2250.0;370.0;548.0;8.0;-9.0;23.0;-12.0
665.0;1100.0;1788.0;2885.0;431.0;592.0;444.0;801.0;1386.0;2394.0;384.0;571.0;10.0;-6.0;17.0;-12.0
729.0;1210.0;1962.0;3169.0;485.0;683.0;530.0;946.0;1646.0;2805.0;449.0;668.0;8.0;-6.0;23.0;-12.0
820.0;1368.0;2229.0;3646.0;544.0;758.0;553.0;1009.0;1773.0;3029.0;485.0;722.0;14.0;-6.0;45.0;-16.0
862.0;1430.0;2330.0;3751.0;566.0;779.0;580.0;1032.0;1840.0;3135.0;509.0;748.0;10.0;0.0;30.0;-16.0
819.0;1365.0;2240.0;3614.0;548.0;758.0;647.0;1117.0;1889.0;3080.0;478.0;707.0;13.0;0.0;33.0;-11.0
816.0;1343.0;2203.0;3576.0;548.0;754.0;603.0;1087.0;1862.0;3126.0;496.0;720.0;13.0;0.0;22.0;-11.0
813.0;1394.0;2296.0;3687.0;555.0;787.0;594.0;1073.0;1891.0;3144.0;510.0;757.0;33.0;-2.0;27.0;-11.0
870.0;1435.0;2399.0;3751.0;572.0;785.0;624.0;1112.0;1918.0;3194.0;504.0;737.0;28.0;-13.0;33.0;-11.0
848.0;1427.0;2361.0;3729.0;561.0;771.0;581.0;1054.0;1811.0;3052.0;483.0;701.0;8.0;-17.0;27.0;-11.0
795.0;1319.0;2138.0;3477.0;530.0;731.0;570.0;997.0;1706.0;2913.0;466.0;685.0;10.0;-18.0;33.0;-11.0
784.0;1308.0;2190.0;3566.0;541.0;747.0;619.0;1092.0;1838.0;3003.0;483.0;722.0;10.0;-18.0;33.0;-11.0
809.0;1370.0;2258.0;3627.0;561.0;770.0;626.0;1102.0;1925.0;3143.0;510.0;750.0;18.0;-19.0;33.0;-12.0
832.0;1390.0;2326.0;3709.0;563.0;780.0;643.0;1130.0;1891.0;3173.0;505.0;734.0;16.0;-18.0;24.0;-12.0
865.0;1445.0;2401.0;3831.0;590.0;817.0;659.0;1187.0;2068.0;3440.0;570.0;860.0;16.0;-12.0;45.0;-12.0
1037.0;1739.0;2855.0;4593.0;717.0;1035.0;875.0;1550.0;2690.0;4547.0;753.0;1111.0;7.0;-8.0;37.0;-25.0
1250.0;2106.0;3466.0;5607.0;854.0;1164.0;881.0;1565.0;2733.0;4563.0;734.0;1060.0;7.0;-7.0;29.0;-29.0
1117.0;1867.0;3079.0;4974.0;752.0;1040.0;793.0;1441.0;2528.0;4210.0;680.0;999.0;17.0;-7.0;28.0;-32.0
1116.0;1898.0;3167.0;5155.0;801.0;1133.0;941.0;1693.0;2925.0;4802.0;770.0;1146.0;24.0;-7.0;64.0;-32.0
1414.0;2439.0;4030.0;6719.0;1059.0;1460.0;1129.0;2021.0;3536.0;6028.0;971.0;1411.0;19.0;-17.0;46.0;-46.0
1568.0;2643.0;4327.0;7053.0;1080.0;1490.0;1267.0;2230.0;3817.0;6312.0;1020.0;1520.0;49.0;-17.0;64.0;-46.0
2004.0;3509.0;5952.0;9743.0;1576.0;2207.0;1866.0;3299.0;5785.0;9694.0;1553.0;2265.0;40.0;-21.0;114.0;-55.0
2528.0;4302.0;7154.0;10869.0;1762.0;2347.0;1933.0;3402.0;5754.0;9387.0;1467.0;2118.0;21.0;-21.0;62.0;-55.0
2216.0;3677.0;5935.0;9304.0;1441.0;1958.0;1707.0;2958.0;5022.0;8144.0;1267.0;1851.0;21.0;-21.0;62.0;-55.0
2043.0;3444.0;5737.0;9188.0;1455.0;2025.0;1691.0;2981.0;5160.0;8565.0;1357.0;1973.0;19.0;-21.0;44.0;-52.0
2099.0;3519.0;5767.0;9195.0;1435.0;1976.0;1598.0;2853.0;4937.0;8213.0;1299.0;1895.0;32.0;-21.0;109.0;-52.0
