OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-16.0;-63.0;-3.0;239.0;113.0;305.0;394.0;928.0;1880.0;3310.0;474.0;505.0;2.0;1.0;-30.0;-3.0
367.0;723.0;1501.0;2726.0;148.0;505.0;339.0;774.0;1598.0;2893.0;430.0;528.0;5.0;1.0;-30.0;-4.0
234.0;1760.0;880.0;1480.0;225.0;243.0;90.0;188.0;375.0;755.0;210.0;354.0;-1.0;-6.0;-9.0;6.0
723.0;1555.0;880.0;1480.0;225.0;243.0;90.0;188.0;375.0;755.0;273.0;354.0;-1.0;-12.0;-9.0;-5.0
234.0;468.0;880.0;1480.0;225.0;243.0;90.0;188.0;375.0;755.0;131.0;180.0;-1.0;-12.0;-6.0;-15.0
395.0;813.0;1488.0;2409.0;351.0;393.0;107.0;254.0;591.0;1280.0;499.0;568.0;23.0;-6.0;-9.0;-17.0
424.0;992.0;2168.0;3884.0;621.0;723.0;507.0;1123.0;2314.0;4222.0;658.0;800.0;13.0;-6.0;-8.0;-17.0
543.0;1521.0;2861.0;5070.0;732.0;911.0;661.0;1499.0;3065.0;5568.0;865.0;1078.0;18.0;-7.0;-7.0;-15.0
1017.0;2245.0;4321.0;7094.0;1032.0;1184.0;939.0;2034.0;4041.0;7186.0;1097.0;1368.0;13.0;-11.0;-7.0;-11.0
1266.0;2918.0;5540.0;9274.0;1251.0;1451.0;1181.0;2543.0;5104.0;8730.0;1288.0;1554.0;12.0;-11.0;-8.0;-15.0
1397.0;3643.0;6833.0;11056.0;1509.0;1738.0;1555.0;3255.0;6294.0;10660.0;1540.0;1829.0;8.0;-11.0;-7.0;-15.0
2075.0;4394.0;8048.0;12987.0;1793.0;2072.0;1920.0;3962.0;7647.0;12550.0;1789.0;2087.0;11.0;-12.0;-2.0;-17.0
2496.0;4934.0;8872.0;13743.0;1739.0;1947.0;1640.0;3389.0;6332.0;10424.0;1463.0;1750.0;7.0;-11.0;3.0;-17.0
1460.0;3642.0;6755.0;10706.0;1462.0;1551.0;1322.0;2749.0;5254.0;8816.0;1266.0;1462.0;11.0;-11.0;4.0;-17.0
1265.0;2773.0;4792.0;7438.0;1018.0;1704.0;1607.0;3355.0;6332.0;10424.0;1463.0;1215.0;11.0;-12.0;7.0;-12.0
1366.0;2923.0;5578.0;9554.0;1398.0;1704.0;1607.0;3355.0;6497.0;11040.0;1615.0;1942.0;19.0;-13.0;10.0;-12.0
2349.0;4723.0;8706.0;13368.0;1748.0;2008.0;1778.0;3632.0;6812.0;11144.0;1567.0;1793.0;16.0;-19.0;10.0;-12.0
1928.0;3859.0;7000.0;10930.0;1461.0;1643.0;1320.0;2804.0;5447.0;9286.0;1375.0;1714.0;6.0;-19.0;10.0;-12.0
1937.0;3814.0;7063.0;11130.0;1383.0;1485.0;1163.0;2426.0;4702.0;8005.0;1182.0;1438.0;5.0;-20.0;12.0;-15.0
1640.0;3514.0;6550.0;10798.0;1528.0;1869.0;1813.0;3813.0;7262.0;12256.0;1771.0;2180.0;4.0;-19.0;12.0;-17.0
2657.0;5638.0;10292.0;16352.0;2141.0;2537.0;1163.0;4724.0;8637.0;13769.0;1841.0;1985.0;5.0;-14.0;22.0;-18.0
1972.0;3648.0;6041.0;8754.0;1022.0;1028.0;560.0;1171.0;2211.0;3836.0;849.0;1142.0;5.0;-10.0;23.0;-18.0
484.0;2785.0;2120.0;3375.0;468.0;1028.0;593.0;1323.0;2775.0;5209.0;849.0;1142.0;5.0;-10.0;9.0;-18.0
423.0;2785.0;1826.0;3272.0;533.0;718.0;593.0;1323.0;2775.0;5209.0;849.0;1142.0;6.0;-7.0;7.0;-27.0
543.0;1356.0;2340.0;3770.0;1242.0;1457.0;593.0;1323.0;5387.0;9250.0;1369.0;1644.0;5.0;-10.0;9.0;-27.0
543.0;1356.0;2381.0;10872.0;1337.0;1234.0;801.0;1629.0;3059.0;5142.0;735.0;857.0;28.0;-10.0;7.0;-26.0
1152.0;1356.0;2340.0;9044.0;1242.0;1292.0;1273.0;2707.0;5387.0;9176.0;1351.0;1624.0;18.0;-7.0;7.0;-26.0
1571.0;3979.0;2381.0;10872.0;1337.0;1292.0;1321.0;2781.0;5421.0;9176.0;1351.0;1624.0;20.0;-7.0;7.0;-26.0
1607.0;4033.0;7680.0;12348.0;1719.0;2009.0;1992.0;4011.0;7503.0;12457.0;1801.0;2150.0;8.0;-13.0;7.0;-21.0
2664.0;5586.0;10285.0;16272.0;2224.0;2643.0;2802.0;5579.0;10197.0;16080.0;2172.0;2403.0;7.0;-13.0;7.0;-18.0
2669.0;4970.0;8420.0;12002.0;1430.0;1463.0;1831.0;3782.0;7394.0;12457.0;1797.0;2150.0;7.0;-13.0;0.0;-18.0
1961.0;4772.0;7944.0;8176.0;1292.0;1778.0;1831.0;3782.0;7394.0;12484.0;1797.0;2164.0;6.0;-16.0;13.0;-21.0
1961.0;4772.0;7944.0;11558.0;1451.0;1443.0;1167.0;2455.0;4800.0;8252.0;1229.0;1498.0;6.0;-16.0;21.0;-24.0
1683.0;3561.0;6620.0;10226.0;1337.0;1476.0;1134.0;2336.0;4442.0;7466.0;1063.0;1271.0;5.0;-16.0;24.0;-29.0
1050.0;2719.0;4843.0;7946.0;1034.0;1149.0;849.0;1776.0;3471.0;5998.0;897.0;1059.0;11.0;-11.0;47.0;-30.0
998.0;3417.0;6286.0;9774.0;999.0;1347.0;1296.0;2791.0;5546.0;9707.0;1456.0;1804.0;11.0;-4.0;25.0;-29.0
2175.0;4273.0;7648.0;12091.0;1505.0;1631.0;1339.0;2703.0;5144.0;8740.0;1276.0;1505.0;12.0;-4.0;25.0;-29.0
1523.0;3417.0;6286.0;9774.0;1312.0;1397.0;1093.0;2261.0;4317.0;7344.0;1077.0;1310.0;14.0;-4.0;22.0;-26.0
1194.0;2812.0;5012.0;8276.0;1154.0;1361.0;1057.0;2258.0;4446.0;7705.0;1153.0;1431.0;17.0;-6.0;39.0;-26.0
1287.0;3462.0;6575.0;10760.0;1532.0;1846.0;1807.0;3767.0;7250.0;12258.0;1765.0;2139.0;14.0;-20.0;27.0;-26.0
2206.0;5617.0;10297.0;16501.0;2258.0;2573.0;2757.0;5543.0;10326.0;16762.0;2291.0;2693.0;16.0;-20.0;23.0;-34.0
2727.0;6690.0;12149.0;18621.0;2411.0;2660.0;2616.0;5246.0;9690.0;15506.0;2118.0;2458.0;14.0;-17.0;31.0;-34.0
2930.0;5756.0;10540.0;15656.0;2030.0;2280.0;2154.0;4392.0;8136.0;13439.0;1889.0;2264.0;18.0;-13.0;39.0;-34.0
2882.0;5913.0;11131.0;17858.0;2404.0;2931.0;3271.0;6584.0;12064.0;19394.0;2645.0;3093.0;11.0;-17.0;13.0;-28.0
3851.0;7774.0;14168.0;21021.0;2728.0;3126.0;3468.0;6815.0;12593.0;20167.0;2749.0;3196.0;17.0;-17.0;10.0;-28.0
4234.0;8636.0;15674.0;22066.0;2974.0;3382.0;4055.0;7939.0;14109.0;22068.0;2940.0;3334.0;8.0;-18.0;12.0;-27.0
3437.0;8323.0;14680.0;21883.0;2723.0;2925.0;3159.0;6085.0;11140.0;17752.0;2394.0;2744.0;8.0;-18.0;16.0;-27.0
3426.0;6992.0;12290.0;19281.0;2531.0;3021.0;3361.0;6690.0;12099.0;19337.0;2659.0;3128.0;8.0;-20.0;16.0;-27.0
3003.0;8232.0;14948.0;21753.0;2896.0;3238.0;3567.0;6986.0;12585.0;19662.0;2647.0;3000.0;16.0;-22.0;21.0;-30.0
2963.0;7266.0;13286.0;20214.0;2627.0;3021.0;3302.0;6389.0;11832.0;19024.0;2604.0;3054.0;8.0;-22.0;35.0;-33.0
3683.0;8191.0;14645.0;21018.0;2764.0;2997.0;3089.0;6095.0;10923.0;16982.0;2269.0;2620.0;11.0;-22.0;40.0;-39.0
2102.0;5697.0;9866.0;13780.0;1577.0;1485.0;1029.0;2011.0;3675.0;6058.0;833.0;988.0;26.0;-22.0;49.0;-38.0
1668.0;3486.0;6784.0;4917.0;662.0;1485.0;1029.0;2011.0;3675.0;6584.0;1030.0;1324.0;25.0;-19.0;61.0;-38.0
1628.0;3486.0;6784.0;4099.0;701.0;1485.0;867.0;1819.0;3647.0;6584.0;1030.0;1324.0;22.0;-10.0;65.0;-35.0
1668.0;3486.0;6784.0;11016.0;1503.0;1782.0;1698.0;3506.0;6688.0;11114.0;1595.0;1894.0;18.0;-10.0;48.0;-35.0
1628.0;4683.0;8759.0;13974.0;1876.0;2166.0;2250.0;4493.0;8355.0;13751.0;1948.0;2330.0;22.0;-10.0;39.0;-34.0
2852.0;6036.0;11042.0;16958.0;2273.0;2528.0;2729.0;5451.0;10056.0;16002.0;2200.0;2547.0;16.0;-10.0;40.0;-34.0
2624.0;6282.0;11268.0;16711.0;2147.0;2324.0;2145.0;4325.0;7929.0;12803.0;1775.0;2018.0;28.0;-18.0;66.0;-34.0
2343.0;4628.0;8327.0;12697.0;1656.0;1712.0;1485.0;3006.0;5741.0;9583.0;1353.0;1612.0;28.0;-20.0;59.0;-34.0
1323.0;3481.0;6191.0;9762.0;1269.0;1344.0;1068.0;2165.0;4095.0;6955.0;1014.0;1226.0;34.0;-18.0;73.0;-39.0
1310.0;2563.0;4668.0;7444.0;1014.0;1109.0;831.0;1740.0;3416.0;5969.0;900.0;1056.0;38.0;-20.0;78.0;-40.0
1166.0;2360.0;4261.0;6938.0;974.0;1124.0;839.0;1766.0;3432.0;5968.0;885.0;1085.0;25.0;-20.0;63.0;-40.0
1060.0;2383.0;4350.0;7060.0;983.0;1088.0;883.0;1855.0;3623.0;6320.0;957.0;1174.0;13.0;-20.0;63.0;-40.0
1383.0;2817.0;5376.0;8686.0;1260.0;1458.0;1310.0;2757.0;5474.0;9421.0;1398.0;1710.0;25.0;-14.0;49.0;-40.0
2122.0;4417.0;8329.0;13678.0;1931.0;2278.0;2447.0;4914.0;9228.0;15218.0;2154.0;2566.0;12.0;-20.0;21.0;-40.0
2831.0;7075.0;12889.0;20112.0;2712.0;3111.0;3613.0;7033.0;12882.0;20690.0;2843.0;3327.0;22.0;-20.0;21.0;-40.0
3444.0;8696.0;15047.0;21711.0;2847.0;3156.0;3553.0;6770.0;12267.0;19450.0;2607.0;3023.0;12.0;-14.0;34.0;-41.0
3876.0;7311.0;12954.0;19470.0;2540.0;2764.0;2802.0;5451.0;10085.0;16154.0;2206.0;2546.0;12.0;-20.0;29.0;-40.0
2870.0;6058.0;11035.0;16449.0;2134.0;2411.0;2495.0;4963.0;9188.0;14850.0;2067.0;2422.0;23.0;-20.0;51.0;-40.0
2426.0;6069.0;11058.0;17666.0;2332.0;2632.0;2765.0;5484.0;10049.0;16096.0;2248.0;2604.0;22.0;-16.0;36.0;-39.0
2336.0;6430.0;12196.0;18330.0;2506.0;2859.0;3092.0;6201.0;11426.0;18437.0;2549.0;2991.0;22.0;-13.0;37.0;-39.0
3060.0;7574.0;13954.0;21278.0;2766.0;3228.0;3489.0;6914.0;12411.0;19738.0;2715.0;3164.0;26.0;-14.0;37.0;-38.0
3280.0;8035.0;14620.0;21634.0;2826.0;3209.0;3708.0;7140.0;12935.0;20359.0;2753.0;3131.0;29.0;-11.0;43.0;-39.0
3988.0;7744.0;13960.0;21236.0;2726.0;3021.0;3288.0;6506.0;11980.0;18810.0;2533.0;2934.0;13.0;-11.0;36.0;-35.0
