OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
11.0;22.0;192.0;363.0;55.0;86.0;44.0;101.0;211.0;645.0;81.0;176.0;-17.0;19.0;-66.0;75.0
97.0;174.0;345.0;668.0;109.0;170.0;104.0;195.0;390.0;964.0;133.0;258.0;-17.0;18.0;-74.0;99.0
129.0;244.0;488.0;899.0;141.0;224.0;141.0;276.0;531.0;1219.0;164.0;299.0;-20.0;22.0;-74.0;115.0
140.0;246.0;335.0;961.0;161.0;260.0;155.0;290.0;551.0;1270.0;175.0;324.0;-20.0;14.0;-74.0;94.0
154.0;246.0;471.0;874.0;145.0;207.0;94.0;174.0;356.0;963.0;143.0;276.0;-16.0;5.0;-45.0;49.0
2620.0;4531.0;7986.0;13413.0;2267.0;3700.0;2687.0;4687.0;8364.0;12118.0;1750.0;2649.0;-75.0;-239.0;-369.0;-1064.0
2869.0;4909.0;8583.0;14200.0;2389.0;3843.0;2791.0;4851.0;8647.0;12509.0;1818.0;2740.0;-100.0;-205.0;-437.0;-970.0
2985.0;5103.0;8901.0;14534.0;2435.0;3885.0;2810.0;4912.0;8745.0;12736.0;1843.0;2766.0;-103.0;-201.0;-494.0;-906.0
2950.0;5050.0;8842.0;14471.0;2445.0;3886.0;2867.0;4977.0;8879.0;12814.0;1849.0;2776.0;-123.0;-188.0;-523.0;-892.0
2961.0;5099.0;8941.0;14597.0;2458.0;3877.0;2809.0;4894.0;8731.0;12719.0;1843.0;2762.0;-123.0;-188.0;-523.0;-892.0
3031.0;5185.0;9008.0;14638.0;2452.0;3871.0;2849.0;4962.0;8811.0;12843.0;1853.0;2753.0;-124.0;-184.0;-525.0;-884.0
3024.0;5152.0;8975.0;14643.0;2452.0;3875.0;2859.0;4970.0;8799.0;12730.0;1796.0;2478.0;-124.0;-183.0;-536.0;-881.0
3009.0;4977.0;8610.0;13860.0;2304.0;3657.0;2723.0;4684.0;8167.0;12162.0;1603.0;2570.0;-122.0;-188.0;-529.0;-881.0
2839.0;4744.0;8244.0;13480.0;2256.0;3535.0;2707.0;4449.0;7733.0;11208.0;1609.0;2322.0;-118.0;-190.0;-529.0;-881.0
2804.0;4734.0;8326.0;13602.0;2242.0;3519.0;2602.0;4595.0;8018.0;11351.0;1517.0;2433.0;-112.0;-190.0;-529.0;-881.0
2740.0;4691.0;8069.0;13141.0;2150.0;3474.0;2591.0;4534.0;8038.0;11347.0;1584.0;2281.0;-112.0;-195.0;-514.0;-898.0
2650.0;4430.0;7964.0;12878.0;2134.0;3344.0;2568.0;4326.0;7833.0;10384.0;1477.0;2097.0;-122.0;-200.0;-506.0;-913.0
2610.0;4345.0;7149.0;12189.0;2070.0;3124.0;2362.0;3919.0;7097.0;9419.0;1248.0;1878.0;-117.0;-202.0;-505.0;-921.0
2527.0;4210.0;7124.0;11775.0;1911.0;3049.0;2251.0;3896.0;7082.0;9313.0;1359.0;1965.0;-117.0;-204.0;-501.0;-929.0
2415.0;4143.0;6925.0;11523.0;1866.0;3049.0;2284.0;3736.0;6993.0;9762.0;1254.0;1968.0;-117.0;-213.0;-495.0;-941.0
2453.0;4088.0;7215.0;11543.0;1950.0;3037.0;2209.0;3800.0;6913.0;9798.0;1196.0;1898.0;-117.0;-221.0;-474.0;-967.0
2327.0;4184.0;7154.0;11266.0;1946.0;2970.0;2317.0;3664.0;6778.0;9758.0;1321.0;1773.0;-117.0;-221.0;-464.0;-971.0
2438.0;4080.0;6972.0;11764.0;1877.0;2879.0;2281.0;4019.0;7072.0;9605.0;1278.0;1854.0;-106.0;-221.0;-464.0;-971.0
2416.0;4196.0;6891.0;11695.0;1937.0;2964.0;2220.0;4035.0;6646.0;9931.0;1249.0;1900.0;-106.0;-221.0;-456.0;-974.0
