OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
11.0;6.0;-12.0;-96.0;23.0;18.0;7.0;8.0;26.0;78.0;6.0;2.0;22.0;0.0;-8.0;-9.0
30.0;20.0;41.0;61.0;6.0;24.0;4.0;32.0;32.0;44.0;6.0;-5.0;22.0;-3.0;-13.0;-12.0
24.0;12.0;58.0;140.0;49.0;56.0;4.0;22.0;50.0;81.0;12.0;19.0;-24.0;-8.0;-27.0;-6.0
24.0;31.0;64.0;184.0;61.0;78.0;11.0;14.0;67.0;81.0;19.0;21.0;-17.0;-8.0;-27.0;-5.0
46.0;27.0;66.0;227.0;58.0;66.0;10.0;12.0;47.0;78.0;19.0;19.0;-17.0;-8.0;-24.0;0.0
53.0;80.0;148.0;380.0;72.0;123.0;23.0;54.0;120.0;213.0;38.0;67.0;-22.0;-8.0;-27.0;1.0
34.0;55.0;133.0;292.0;68.0;96.0;23.0;55.0;72.0;171.0;20.0;40.0;-22.0;-6.0;-27.0;1.0
16.0;-14.0;-32.0;12.0;-23.0;-14.0;-15.0;-5.0;-64.0;-61.0;-7.0;-26.0;-12.0;-10.0;1.0;-6.0
31.0;-20.0;-52.0;-6.0;-25.0;-17.0;-19.0;-14.0;-81.0;-116.0;-11.0;-27.0;-12.0;-10.0;-1.0;-6.0
26.0;-20.0;-54.0;-7.0;-23.0;-14.0;-19.0;-14.0;-81.0;-116.0;-7.0;-27.0;-12.0;-10.0;-1.0;-4.0
