OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
1.0;1.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;2.0;0.0;2.0;-139.0;90.0;-585.0;444.0
1.0;1.0;2.0;4.0;1.0;2.0;2.0;0.0;1.0;6.0;1.0;2.0;-139.0;102.0;-585.0;454.0
1.0;1.0;2.0;5.0;1.0;2.0;1.0;0.0;1.0;4.0;1.0;3.0;-44.0;19.0;-176.0;96.0
1.0;2.0;3.0;7.0;2.0;3.0;1.0;1.0;1.0;6.0;1.0;3.0;-39.0;21.0;-152.0;107.0
1.0;2.0;3.0;7.0;2.0;3.0;1.0;1.0;1.0;7.0;1.0;4.0;-24.0;3.0;-96.0;55.0
1.0;2.0;4.0;8.0;2.0;4.0;1.0;1.0;3.0;8.0;2.0;4.0;27.0;-21.0;145.0;-90.0
1.0;3.0;5.0;10.0;2.0;4.0;1.0;1.0;3.0;9.0;2.0;5.0;79.0;-43.0;329.0;-201.0
1.0;3.0;5.0;11.0;3.0;5.0;1.0;1.0;3.0;10.0;2.0;5.0;87.0;-51.0;365.0;-215.0
1.0;3.0;5.0;11.0;3.0;5.0;0.0;1.0;2.0;8.0;2.0;5.0;87.0;-58.0;436.0;-264.0
2.0;3.0;6.0;13.0;3.0;5.0;0.0;1.0;3.0;10.0;2.0;6.0;116.0;-72.0;518.0;-303.0
2.0;3.0;6.0;13.0;3.0;6.0;0.0;0.0;2.0;11.0;2.0;6.0;115.0;-72.0;538.0;-318.0
2.0;3.0;6.0;14.0;3.0;6.0;0.0;2.0;4.0;12.0;3.0;6.0;124.0;-72.0;588.0;-319.0
2.0;3.0;7.0;14.0;3.0;6.0;0.0;1.0;4.0;11.0;3.0;6.0;118.0;-74.0;559.0;-322.0
2.0;4.0;7.0;15.0;3.0;7.0;0.0;1.0;4.0;13.0;3.0;7.0;122.0;-74.0;533.0;-328.0
2.0;4.0;8.0;17.0;4.0;7.0;0.0;1.0;5.0;14.0;3.0;7.0;136.0;-74.0;590.0;-328.0
2.0;5.0;9.0;18.0;4.0;8.0;0.0;1.0;3.0;13.0;3.0;8.0;144.0;-78.0;620.0;-356.0
3.0;5.0;9.0;20.0;4.0;8.0;1.0;1.0;4.0;14.0;4.0;8.0;135.0;-84.0;660.0;-366.0
3.0;5.0;10.0;21.0;5.0;9.0;1.0;2.0;7.0;18.0;4.0;9.0;151.0;-84.0;638.0;-368.0
3.0;6.0;11.0;22.0;5.0;9.0;1.0;1.0;7.0;20.0;4.0;10.0;150.0;-84.0;668.0;-372.0
3.0;6.0;12.0;24.0;5.0;10.0;0.0;1.0;6.0;19.0;4.0;10.0;162.0;-84.0;756.0;-414.0
3.0;6.0;12.0;26.0;5.0;10.0;0.0;1.0;6.0;18.0;5.0;10.0;157.0;-84.0;726.0;-420.0
3.0;6.0;12.0;26.0;5.0;11.0;1.0;2.0;8.0;21.0;5.0;10.0;173.0;-93.0;760.0;-421.0
3.0;6.0;12.0;26.0;6.0;11.0;1.0;3.0;7.0;21.0;5.0;11.0;174.0;-101.0;795.0;-440.0
3.0;7.0;13.0;28.0;6.0;11.0;1.0;2.0;8.0;22.0;5.0;11.0;167.0;-102.0;794.0;-441.0
3.0;7.0;14.0;28.0;6.0;11.0;0.0;2.0;8.0;23.0;5.0;12.0;188.0;-102.0;835.0;-454.0
3.0;7.0;14.0;29.0;6.0;12.0;0.0;2.0;8.0;23.0;5.0;12.0;183.0;-102.0;831.0;-457.0
4.0;7.0;14.0;30.0;7.0;12.0;0.0;2.0;7.0;23.0;5.0;12.0;196.0;-104.0;871.0;-472.0
4.0;8.0;15.0;31.0;7.0;13.0;0.0;3.0;9.0;26.0;6.0;12.0;193.0;-104.0;866.0;-476.0
4.0;8.0;15.0;31.0;7.0;13.0;0.0;2.0;8.0;25.0;6.0;13.0;200.0;-104.0;927.0;-494.0
4.0;8.0;16.0;33.0;7.0;14.0;2.0;3.0;10.0;28.0;6.0;14.0;211.0;-106.0;921.0;-498.0
4.0;9.0;16.0;34.0;7.0;14.0;1.0;2.0;10.0;28.0;6.0;14.0;195.0;-108.0;940.0;-498.0
4.0;9.0;17.0;36.0;8.0;15.0;1.0;4.0;11.0;28.0;6.0;14.0;214.0;-110.0;945.0;-498.0
5.0;9.0;18.0;37.0;8.0;15.0;1.0;5.0;12.0;31.0;7.0;15.0;219.0;-113.0;975.0;-503.0
5.0;10.0;19.0;38.0;8.0;16.0;1.0;4.0;9.0;28.0;7.0;15.0;205.0;-115.0;990.0;-520.0
5.0;10.0;19.0;39.0;8.0;16.0;1.0;4.0;12.0;32.0;7.0;16.0;215.0;-116.0;983.0;-520.0
5.0;10.0;20.0;40.0;9.0;17.0;1.0;4.0;12.0;33.0;7.0;16.0;226.0;-116.0;1016.0;-521.0
5.0;11.0;20.0;42.0;9.0;17.0;2.0;4.0;13.0;34.0;7.0;17.0;229.0;-117.0;1001.0;-530.0
5.0;10.0;21.0;43.0;9.0;18.0;1.0;3.0;11.0;33.0;8.0;17.0;237.0;-118.0;1034.0;-539.0
5.0;11.0;22.0;45.0;10.0;19.0;1.0;3.0;13.0;34.0;8.0;18.0;219.0;-122.0;1034.0;-539.0
6.0;11.0;23.0;46.0;10.0;19.0;2.0;6.0;15.0;39.0;9.0;19.0;221.0;-124.0;1026.0;-540.0
6.0;12.0;24.0;48.0;10.0;20.0;2.0;4.0;15.0;38.0;9.0;19.0;232.0;-124.0;1049.0;-547.0
