OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
263.0;516.0;1008.0;1951.0;348.0;558.0;197.0;403.0;821.0;1646.0;313.0;536.0;-2.0;3.0;7.0;14.0
317.0;624.0;1205.0;2314.0;408.0;650.0;229.0;475.0;959.0;1924.0;359.0;617.0;-2.0;3.0;4.0;13.0
352.0;684.0;1317.0;2479.0;435.0;694.0;243.0;504.0;1029.0;2048.0;379.0;646.0;-2.0;4.0;7.0;16.0
359.0;692.0;1337.0;2538.0;447.0;716.0;257.0;526.0;1064.0;2110.0;394.0;673.0;1.0;4.0;9.0;16.0
397.0;762.0;1462.0;2775.0;487.0;778.0;284.0;584.0;1173.0;2327.0;430.0;743.0;2.0;2.0;9.0;18.0
448.0;862.0;1657.0;3144.0;549.0;870.0;326.0;667.0;1350.0;2651.0;490.0;834.0;2.0;2.0;10.0;17.0
501.0;973.0;1870.0;3531.0;613.0;961.0;358.0;736.0;1479.0;2926.0;538.0;910.0;2.0;-1.0;10.0;17.0
544.0;1045.0;1994.0;3746.0;648.0;1016.0;385.0;786.0;1565.0;3055.0;559.0;944.0;1.0;-3.0;10.0;19.0
540.0;1027.0;1961.0;3676.0;636.0;1008.0;382.0;776.0;1570.0;3062.0;556.0;938.0;1.0;-4.0;11.0;18.0
526.0;1005.0;1914.0;3589.0;623.0;988.0;374.0;761.0;1534.0;2992.0;545.0;923.0;1.0;-3.0;11.0;18.0
