OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
326.0;608.0;1097.0;1950.0;322.0;488.0;196.0;397.0;765.0;1452.0;272.0;448.0;-6.0;1.0;0.0;10.0
365.0;675.0;1224.0;2182.0;363.0;546.0;226.0;451.0;874.0;1672.0;305.0;507.0;-7.0;1.0;0.0;19.0
398.0;733.0;1328.0;2353.0;393.0;600.0;252.0;504.0;973.0;1863.0;336.0;559.0;-6.0;1.0;-3.0;27.0
422.0;787.0;1419.0;2516.0;418.0;649.0;281.0;555.0;1067.0;2011.0;362.0;597.0;-5.0;3.0;1.0;33.0
446.0;832.0;1512.0;2684.0;447.0;686.0;299.0;591.0;1132.0;2139.0;382.0;638.0;-5.0;4.0;2.0;27.0
474.0;879.0;1574.0;2791.0;465.0;720.0;312.0;613.0;1168.0;2230.0;397.0;665.0;-4.0;4.0;-2.0;34.0
497.0;912.0;1648.0;2914.0;481.0;753.0;341.0;666.0;1272.0;2421.0;424.0;693.0;-4.0;4.0;8.0;26.0
515.0;954.0;1722.0;3040.0;500.0;781.0;355.0;693.0;1329.0;2496.0;439.0;729.0;-2.0;6.0;5.0;34.0
547.0;1004.0;1790.0;3166.0;524.0;821.0;374.0;742.0;1402.0;2627.0;463.0;760.0;-2.0;10.0;8.0;33.0
579.0;1066.0;1902.0;3343.0;553.0;863.0;399.0;784.0;1502.0;2804.0;489.0;803.0;-2.0;5.0;14.0;33.0
616.0;1123.0;2012.0;3539.0;584.0;903.0;428.0;833.0;1581.0;2940.0;514.0;849.0;5.0;4.0;9.0;40.0
659.0;1199.0;2148.0;3766.0;623.0;955.0;456.0;886.0;1641.0;3074.0;541.0;888.0;-2.0;4.0;9.0;38.0
691.0;1263.0;2251.0;3891.0;646.0;999.0;475.0;930.0;1751.0;3233.0;566.0;921.0;-2.0;-2.0;4.0;23.0
718.0;1309.0;2316.0;4064.0;665.0;1030.0;497.0;965.0;1814.0;3367.0;583.0;961.0;-8.0;-2.0;3.0;23.0
701.0;1282.0;2291.0;4004.0;663.0;1032.0;495.0;960.0;1815.0;3363.0;587.0;956.0;-8.0;-2.0;4.0;29.0
690.0;1258.0;2240.0;3945.0;652.0;1019.0;498.0;966.0;1787.0;3334.0;578.0;946.0;-5.0;0.0;3.0;26.0
662.0;1220.0;2175.0;3873.0;638.0;996.0;486.0;943.0;1762.0;3257.0;567.0;932.0;-5.0;0.0;2.0;31.0
641.0;1176.0;2101.0;3738.0;621.0;983.0;483.0;929.0;1731.0;3205.0;556.0;908.0;-1.0;2.0;0.0;26.0
593.0;1091.0;1959.0;3455.0;575.0;917.0;448.0;859.0;1601.0;2939.0;511.0;835.0;-1.0;2.0;2.0;18.0
520.0;967.0;1718.0;3039.0;505.0;819.0;397.0;766.0;1419.0;2621.0;451.0;748.0;-1.0;0.0;2.0;13.0
478.0;888.0;1569.0;2713.0;454.0;739.0;351.0;680.0;1271.0;2343.0;404.0;675.0;-1.0;-4.0;5.0;16.0
330.0;614.0;1128.0;2007.0;340.0;554.0;257.0;509.0;959.0;1793.0;310.0;507.0;-7.0;-3.0;-8.0;13.0
