OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
200.0;350.0;620.0;1140.0;206.0;333.0;210.0;370.0;690.0;1180.0;212.0;352.0;-13.0;6.0;3.0;-2.0
300.0;500.0;900.0;1570.0;268.0;453.0;290.0;530.0;960.0;1650.0;286.0;442.0;-13.0;3.0;3.0;-1.0
320.0;530.0;940.0;1660.0;292.0;469.0;310.0;540.0;1010.0;1720.0;292.0;464.0;-13.0;3.0;-1.0;-1.0
310.0;510.0;880.0;1550.0;268.0;423.0;250.0;470.0;860.0;1520.0;256.0;403.0;-16.0;-2.0;-1.0;-1.0
300.0;520.0;880.0;1600.0;268.0;447.0;320.0;560.0;1000.0;1640.0;275.0;461.0;-13.0;-2.0;2.0;-1.0
420.0;700.0;1230.0;2120.0;357.0;561.0;420.0;720.0;1240.0;2160.0;350.0;550.0;-16.0;-2.0;-4.0;-1.0
390.0;660.0;1150.0;2020.0;349.0;566.0;400.0;710.0;1260.0;2130.0;355.0;549.0;-12.0;-1.0;2.0;-1.0
350.0;610.0;1050.0;1890.0;314.0;527.0;380.0;690.0;1230.0;2060.0;337.0;537.0;-12.0;-1.0;3.0;-1.0
370.0;630.0;1100.0;1980.0;349.0;614.0;420.0;760.0;1380.0;2490.0;414.0;684.0;-12.0;-1.0;5.0;-4.0
530.0;890.0;1570.0;2810.0;491.0;796.0;570.0;1020.0;1770.0;3020.0;491.0;782.0;-12.0;-4.0;0.0;-4.0
530.0;920.0;1610.0;2860.0;499.0;808.0;530.0;950.0;1700.0;3000.0;508.0;828.0;-12.0;-4.0;0.0;-3.0
620.0;1080.0;1840.0;3280.0;569.0;928.0;660.0;1190.0;2120.0;3620.0;599.0;961.0;-12.0;-4.0;-3.0;-3.0
720.0;1230.0;2120.0;3720.0;626.0;983.0;650.0;1180.0;2090.0;3640.0;593.0;954.0;-12.0;-3.0;-3.0;-3.0
660.0;1130.0;1960.0;3430.0;566.0;900.0;590.0;1040.0;1880.0;3250.0;546.0;867.0;-11.0;-2.0;-3.0;-3.0
600.0;1040.0;1800.0;3130.0;515.0;816.0;590.0;1020.0;1810.0;3060.0;498.0;794.0;-11.0;0.0;-3.0;-3.0
550.0;950.0;1650.0;2880.0;484.0;773.0;570.0;980.0;1710.0;2890.0;476.0;757.0;-11.0;-2.0;-4.0;-2.0
520.0;890.0;1540.0;2650.0;442.0;704.0;490.0;870.0;1540.0;2570.0;417.0;658.0;-11.0;0.0;-3.0;-2.0
410.0;720.0;1240.0;2140.0;355.0;572.0;380.0;680.0;1210.0;2090.0;350.0;553.0;-17.0;3.0;-3.0;-2.0
400.0;700.0;1210.0;2150.0;370.0;592.0;440.0;800.0;1400.0;2370.0;383.0;611.0;-18.0;1.0;-3.0;-2.0
430.0;740.0;1280.0;2180.0;358.0;567.0;350.0;640.0;1180.0;2070.0;344.0;540.0;-18.0;3.0;-4.0;-2.0
360.0;630.0;1100.0;1890.0;316.0;507.0;360.0;630.0;1190.0;1970.0;328.0;523.0;-18.0;3.0;-4.0;-1.0
410.0;710.0;1200.0;2080.0;350.0;549.0;350.0;650.0;1180.0;2080.0;353.0;548.0;-12.0;5.0;-4.0;-4.0
470.0;800.0;1340.0;2300.0;379.0;594.0;430.0;750.0;1360.0;2290.0;369.0;582.0;-12.0;1.0;-4.0;-4.0
450.0;770.0;1320.0;2310.0;385.0;603.0;390.0;710.0;1330.0;2290.0;381.0;600.0;-12.0;2.0;-4.0;-3.0
500.0;860.0;1430.0;2530.0;415.0;631.0;420.0;730.0;1340.0;2300.0;393.0;630.0;-15.0;2.0;-2.0;-6.0
520.0;890.0;1540.0;2700.0;450.0;681.0;470.0;840.0;1510.0;2630.0;433.0;678.0;-15.0;2.0;0.0;-6.0
540.0;920.0;1600.0;2710.0;451.0;698.0;440.0;800.0;1450.0;2520.0;420.0;666.0;-18.0;1.0;0.0;-7.0
480.0;830.0;1410.0;2450.0;407.0;638.0;420.0;720.0;1300.0;2250.0;382.0;606.0;-15.0;2.0;0.0;-5.0
390.0;670.0;1160.0;2010.0;337.0;525.0;370.0;650.0;1170.0;1960.0;308.0;491.0;-15.0;1.0;0.0;-5.0
320.0;550.0;960.0;1650.0;262.0;404.0;280.0;500.0;890.0;1490.0;239.0;385.0;-15.0;0.0;-2.0;-5.0
250.0;410.0;740.0;1230.0;198.0;316.0;200.0;380.0;680.0;1180.0;187.0;290.0;-15.0;-1.0;-2.0;-5.0
340.0;590.0;1050.0;1910.0;334.0;571.0;370.0;650.0;1160.0;2080.0;340.0;556.0;-4.0;8.0;-2.0;-4.0
350.0;590.0;1040.0;1830.0;316.0;531.0;330.0;610.0;1070.0;1930.0;322.0;525.0;-4.0;9.0;-5.0;-1.0
400.0;690.0;1190.0;2080.0;361.0;597.0;440.0;770.0;1320.0;2300.0;373.0;611.0;-4.0;6.0;-5.0;-1.0
470.0;800.0;1420.0;2510.0;432.0;718.0;520.0;920.0;1570.0;2720.0;448.0;717.0;-4.0;6.0;-5.0;-3.0
450.0;770.0;1340.0;2430.0;432.0;731.0;500.0;880.0;1510.0;2600.0;427.0;690.0;-3.0;6.0;-5.0;-1.0
490.0;840.0;1480.0;2600.0;450.0;756.0;540.0;950.0;1680.0;2850.0;482.0;772.0;1.0;0.0;2.0;0.0
550.0;940.0;1620.0;2840.0;485.0;795.0;520.0;920.0;1620.0;2880.0;481.0;771.0;2.0;-1.0;2.0;8.0
550.0;940.0;1640.0;2860.0;491.0;821.0;560.0;1010.0;1760.0;3040.0;507.0;821.0;2.0;-1.0;2.0;9.0
560.0;950.0;1630.0;2810.0;477.0;791.0;550.0;990.0;1720.0;2900.0;475.0;751.0;2.0;-1.0;2.0;4.0
-40.0;-80.0;-130.0;-270.0;-54.0;-71.0;-60.0;-110.0;-140.0;-220.0;-39.0;-71.0;0.0;-3.0;3.0;-3.0
500.0;870.0;1520.0;2710.0;473.0;759.0;440.0;800.0;1480.0;2660.0;460.0;748.0;-1.0;-5.0;-6.0;-6.0
510.0;870.0;1500.0;2600.0;446.0;722.0;440.0;790.0;1420.0;2500.0;419.0;695.0;-5.0;-5.0;-6.0;-5.0
390.0;680.0;1210.0;2220.0;392.0;660.0;400.0;720.0;1310.0;2410.0;406.0;664.0;-7.0;-6.0;-6.0;-5.0
340.0;580.0;1030.0;1870.0;326.0;564.0;350.0;620.0;1170.0;2170.0;370.0;620.0;-7.0;-8.0;-6.0;-5.0
370.0;680.0;1260.0;2480.0;477.0;848.0;600.0;1080.0;1970.0;3630.0;630.0;1036.0;-7.0;-8.0;-6.0;-5.0
760.0;1330.0;2410.0;4460.0;795.0;1276.0;800.0;1450.0;2680.0;4950.0;855.0;1404.0;-7.0;-8.0;-6.0;-1.0
1080.0;1870.0;3380.0;6130.0;1072.0;1666.0;1070.0;1940.0;3500.0;6400.0;1103.0;1767.0;4.0;-8.0;-1.0;1.0
1340.0;2340.0;4150.0;7500.0;1285.0;1988.0;1400.0;2480.0;4420.0;7800.0;1314.0;2078.0;3.0;-3.0;0.0;-1.0
1580.0;2710.0;4850.0;8740.0;1485.0;2275.0;1610.0;2850.0;5020.0;8890.0;1488.0;2346.0;3.0;-3.0;0.0;1.0
1800.0;3130.0;5550.0;9830.0;1657.0;2508.0;1730.0;3040.0;5450.0;9650.0;1628.0;2563.0;6.0;0.0;0.0;1.0
1970.0;3400.0;6010.0;10630.0;1774.0;2683.0;1960.0;3460.0;6030.0;10490.0;1747.0;2711.0;6.0;0.0;0.0;7.0
2110.0;3660.0;6430.0;11240.0;1873.0;2801.0;1970.0;3480.0;6180.0;10860.0;1804.0;2834.0;7.0;1.0;0.0;3.0
2190.0;3760.0;6570.0;11590.0;1923.0;2893.0;2090.0;3690.0;6490.0;11270.0;1867.0;2897.0;6.0;0.0;-2.0;5.0
2270.0;3920.0;6800.0;11970.0;1982.0;2966.0;2160.0;3810.0;6740.0;11780.0;1944.0;2997.0;10.0;0.0;-4.0;5.0
2360.0;4070.0;7100.0;12400.0;2051.0;3074.0;2250.0;3970.0;6930.0;12060.0;1987.0;3078.0;-3.0;-1.0;-5.0;5.0
2470.0;4270.0;7380.0;12830.0;2111.0;3166.0;2310.0;4060.0;7200.0;12530.0;2053.0;3159.0;-3.0;-1.0;-5.0;5.0
2580.0;4470.0;7740.0;13390.0;2193.0;3264.0;2440.0;4270.0;7520.0;12940.0;2117.0;3275.0;-3.0;-3.0;-5.0;9.0
2590.0;4470.0;7800.0;13530.0;2217.0;3305.0;2390.0;4200.0;7390.0;12890.0;2125.0;3288.0;0.0;-3.0;-5.0;5.0
2690.0;4600.0;7950.0;13890.0;2271.0;3359.0;2590.0;4540.0;7920.0;13500.0;2195.0;3386.0;0.0;-3.0;-8.0;4.0
2800.0;4840.0;8340.0;14360.0;2327.0;3446.0;2560.0;4530.0;7970.0;13790.0;2248.0;3434.0;1.0;-6.0;-9.0;4.0
