OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
40.0;80.0;150.0;200.0;24.0;23.0;20.0;0.0;40.0;140.0;10.0;12.0;-4.0;3.0;-5.0;43.0
40.0;50.0;140.0;240.0;23.0;53.0;10.0;40.0;40.0;140.0;22.0;40.0;16.0;6.0;23.0;23.0
80.0;140.0;270.0;400.0;63.0;89.0;30.0;80.0;120.0;260.0;43.0;72.0;10.0;8.0;10.0;40.0
90.0;170.0;290.0;500.0;79.0;119.0;40.0;120.0;180.0;400.0;68.0;108.0;5.0;8.0;8.0;37.0
60.0;130.0;240.0;450.0;73.0;117.0;40.0;100.0;160.0;350.0;63.0;102.0;10.0;10.0;8.0;49.0
90.0;170.0;300.0;540.0;84.0;138.0;60.0;130.0;200.0;450.0;73.0;136.0;11.0;8.0;16.0;31.0
80.0;170.0;310.0;510.0;92.0;167.0;60.0;130.0;210.0;470.0;85.0;149.0;3.0;9.0;27.0;43.0
100.0;170.0;310.0;550.0;100.0;178.0;80.0;150.0;260.0;540.0;101.0;175.0;3.0;11.0;16.0;34.0
110.0;220.0;400.0;710.0;128.0;216.0;90.0;180.0;340.0;670.0;123.0;211.0;7.0;9.0;16.0;33.0
110.0;230.0;430.0;760.0;130.0;211.0;90.0;190.0;310.0;620.0;111.0;191.0;5.0;9.0;16.0;48.0
