OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-30.0;-80.0;-130.0;-120.0;-21.0;-22.0;-10.0;0.0;-10.0;-50.0;-5.0;-1.0;13.0;9.0;7.0;-4.0
230.0;370.0;630.0;1060.0;152.0;205.0;140.0;250.0;420.0;660.0;126.0;197.0;17.0;13.0;-4.0;-1.0
300.0;510.0;890.0;1460.0;203.0;258.0;220.0;400.0;710.0;1160.0;186.0;247.0;19.0;6.0;8.0;-1.0
290.0;470.0;800.0;1360.0;202.0;260.0;210.0;420.0;760.0;1190.0;195.0;273.0;21.0;5.0;10.0;-2.0
550.0;1010.0;1790.0;3010.0;505.0;796.0;640.0;1150.0;1950.0;3360.0;540.0;833.0;17.0;-6.0;17.0;-8.0
680.0;1240.0;2150.0;3560.0;593.0;899.0;680.0;1260.0;2200.0;3720.0;592.0;927.0;14.0;-7.0;20.0;-11.0
770.0;1380.0;2370.0;3980.0;648.0;970.0;730.0;1310.0;2340.0;3970.0;644.0;984.0;14.0;-6.0;20.0;-10.0
810.0;1460.0;2520.0;4230.0;686.0;1032.0;810.0;1440.0;2500.0;4240.0;677.0;1046.0;19.0;-6.0;23.0;-11.0
890.0;1590.0;2730.0;4560.0;732.0;1095.0;870.0;1530.0;2640.0;4560.0;718.0;1099.0;11.0;-4.0;27.0;-11.0
930.0;1660.0;2860.0;4770.0;769.0;1142.0;910.0;1570.0;2740.0;4660.0;755.0;1146.0;16.0;-2.0;24.0;-10.0
990.0;1800.0;3060.0;5100.0;817.0;1194.0;950.0;1650.0;2860.0;4860.0;788.0;1192.0;11.0;-2.0;21.0;-10.0
1050.0;1900.0;3210.0;5320.0;853.0;1259.0;1000.0;1770.0;3050.0;5170.0;835.0;1259.0;11.0;-4.0;21.0;-11.0
1140.0;2020.0;3410.0;5670.0;904.0;1319.0;1120.0;1960.0;3370.0;5560.0;875.0;1306.0;11.0;-6.0;11.0;-9.0
1190.0;2090.0;3550.0;5830.0;927.0;1384.0;1160.0;2040.0;3560.0;5870.0;917.0;1372.0;9.0;-6.0;11.0;-11.0
1250.0;2210.0;3770.0;6210.0;982.0;1462.0;1180.0;2060.0;3620.0;6160.0;968.0;1455.0;9.0;-9.0;11.0;-11.0
1310.0;2330.0;4000.0;6580.0;1038.0;1511.0;1280.0;2260.0;3930.0;6490.0;1021.0;1522.0;5.0;-9.0;13.0;-11.0
1420.0;2490.0;4230.0;6970.0;1096.0;1580.0;1280.0;2260.0;3880.0;6510.0;1037.0;1562.0;5.0;-9.0;18.0;-12.0
1470.0;2620.0;4400.0;7200.0;1125.0;1635.0;1370.0;2410.0;4140.0;6900.0;1085.0;1636.0;10.0;-1.0;13.0;-12.0
1540.0;2680.0;4560.0;7470.0;1178.0;1701.0;1470.0;2600.0;4480.0;7440.0;1154.0;1705.0;10.0;-1.0;11.0;-12.0
1610.0;2820.0;4780.0;7780.0;1227.0;1769.0;1520.0;2680.0;4600.0;7630.0;1184.0;1758.0;11.0;-1.0;22.0;-12.0
1680.0;2930.0;4950.0;8110.0;1276.0;1823.0;1580.0;2820.0;4790.0;7930.0;1237.0;1827.0;5.0;-1.0;11.0;-10.0
1730.0;3030.0;5090.0;8380.0;1307.0;1888.0;1630.0;2860.0;4880.0;8080.0;1284.0;1894.0;4.0;-2.0;11.0;-9.0
1830.0;3180.0;5320.0;8720.0;1357.0;1954.0;1730.0;3030.0;5220.0;8470.0;1321.0;1952.0;4.0;-5.0;8.0;-9.0
1870.0;3260.0;5470.0;8930.0;1397.0;2027.0;1740.0;3020.0;5160.0;8570.0;1350.0;2007.0;5.0;-5.0;18.0;-8.0
1930.0;3340.0;5640.0;9170.0;1426.0;2087.0;1900.0;3300.0;5620.0;9210.0;1419.0;2094.0;5.0;-5.0;11.0;-9.0
2010.0;3490.0;5870.0;9550.0;1490.0;2142.0;1870.0;3220.0;5520.0;9070.0;1437.0;2128.0;6.0;-7.0;26.0;-10.0
2070.0;3570.0;6050.0;9810.0;1530.0;2195.0;1950.0;3430.0;5910.0;9720.0;1506.0;2203.0;6.0;-7.0;10.0;-10.0
2170.0;3740.0;6240.0;10190.0;1586.0;2284.0;2000.0;3470.0;5940.0;9850.0;1543.0;2268.0;14.0;-5.0;19.0;-10.0
2240.0;3850.0;6470.0;10490.0;1625.0;2320.0;2070.0;3610.0;6110.0;10060.0;1576.0;2307.0;7.0;-5.0;14.0;-10.0
2300.0;3960.0;6660.0;10740.0;1673.0;2404.0;2160.0;3760.0;6400.0;10570.0;1635.0;2399.0;13.0;-4.0;15.0;-10.0
2390.0;4110.0;6870.0;11230.0;1724.0;2473.0;2260.0;3920.0;6590.0;10800.0;1665.0;2461.0;16.0;-4.0;14.0;-8.0
2490.0;4290.0;7080.0;11310.0;1760.0;2537.0;2380.0;4140.0;6990.0;11310.0;1742.0;2528.0;13.0;-4.0;15.0;-8.0
2530.0;4330.0;7240.0;11750.0;1808.0;2609.0;2410.0;4210.0;7150.0;11640.0;1787.0;2608.0;14.0;-4.0;15.0;-8.0
2580.0;4470.0;7430.0;12080.0;1873.0;2674.0;2520.0;4350.0;7370.0;11910.0;1810.0;2674.0;15.0;-4.0;23.0;-8.0
2690.0;4600.0;7690.0;12430.0;1908.0;2741.0;2530.0;4380.0;7360.0;11910.0;1850.0;2721.0;12.0;-4.0;17.0;-7.0
2740.0;4680.0;7840.0;12590.0;1940.0;2796.0;2570.0;4460.0;7440.0;12240.0;1898.0;2786.0;12.0;-5.0;10.0;-8.0
2790.0;4820.0;8020.0;12920.0;1978.0;2852.0;2710.0;4690.0;7800.0;12670.0;1950.0;2815.0;8.0;-6.0;9.0;-6.0
2870.0;4940.0;8230.0;13200.0;2030.0;2903.0;2820.0;4890.0;8200.0;13210.0;1994.0;2913.0;13.0;-5.0;18.0;-6.0
2900.0;4960.0;8270.0;13400.0;2066.0;2975.0;2870.0;5000.0;8430.0;13480.0;2054.0;2999.0;8.0;-4.0;11.0;-8.0
3030.0;5170.0;8590.0;13790.0;2127.0;3058.0;2960.0;5130.0;8570.0;13700.0;2097.0;3051.0;9.0;-5.0;26.0;-8.0
3110.0;5300.0;8730.0;14070.0;2164.0;3094.0;2950.0;5110.0;8560.0;13820.0;2120.0;3095.0;8.0;-4.0;9.0;-9.0
3160.0;5400.0;8990.0;14380.0;2199.0;3163.0;3090.0;5340.0;8930.0;14250.0;2180.0;3172.0;8.0;-4.0;19.0;-11.0
3270.0;5540.0;9170.0;14710.0;2242.0;3236.0;3130.0;5330.0;8940.0;14380.0;2199.0;3233.0;8.0;-4.0;9.0;-11.0
