OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
461.0;859.0;1558.0;2777.0;468.0;748.0;364.0;710.0;1340.0;2513.0;435.0;717.0;7.0;0.0;-13.0;0.0
489.0;914.0;1662.0;2934.0;492.0;788.0;389.0;748.0;1414.0;2625.0;456.0;745.0;4.0;-1.0;-13.0;7.0
504.0;941.0;1710.0;3036.0;508.0;815.0;404.0;787.0;1505.0;2777.0;480.0;786.0;7.0;-2.0;-13.0;6.0
543.0;998.0;1800.0;3176.0;531.0;840.0;424.0;819.0;1525.0;2810.0;486.0;795.0;4.0;-1.0;-13.0;6.0
526.0;976.0;1771.0;3118.0;526.0;840.0;421.0;812.0;1528.0;2817.0;480.0;794.0;6.0;2.0;-11.0;7.0
513.0;961.0;1755.0;3107.0;519.0;831.0;424.0;817.0;1539.0;2868.0;490.0;790.0;8.0;-1.0;-4.0;4.0
548.0;1024.0;1845.0;3239.0;538.0;857.0;432.0;842.0;1587.0;2949.0;503.0;813.0;6.0;-2.0;-6.0;4.0
580.0;1071.0;1931.0;3390.0;563.0;883.0;455.0;872.0;1627.0;2999.0;515.0;834.0;8.0;-2.0;-6.0;4.0
592.0;1083.0;1968.0;3460.0;573.0;904.0;480.0;919.0;1719.0;3176.0;533.0;862.0;4.0;-4.0;-9.0;1.0
617.0;1137.0;2041.0;3556.0;587.0;928.0;488.0;933.0;1745.0;3226.0;545.0;883.0;4.0;-4.0;-9.0;1.0
625.0;1152.0;2088.0;3661.0;603.0;953.0;518.0;982.0;1812.0;3286.0;561.0;910.0;2.0;-4.0;-10.0;1.0
650.0;1201.0;2161.0;3760.0;623.0;976.0;522.0;991.0;1852.0;3365.0;571.0;922.0;7.0;-4.0;-12.0;1.0
667.0;1215.0;2175.0;3768.0;621.0;977.0;529.0;1008.0;1885.0;3421.0;574.0;918.0;2.0;-3.0;-13.0;1.0
669.0;1227.0;2185.0;3801.0;626.0;987.0;542.0;1032.0;1926.0;3498.0;588.0;942.0;2.0;-3.0;-16.0;2.0
703.0;1282.0;2264.0;3889.0;638.0;993.0;541.0;1015.0;1879.0;3379.0;573.0;928.0;2.0;-3.0;-13.0;8.0
656.0;1206.0;2146.0;3738.0;621.0;989.0;543.0;1026.0;1903.0;3478.0;590.0;945.0;2.0;-3.0;-12.0;7.0
676.0;1228.0;2183.0;3779.0;619.0;976.0;526.0;997.0;1850.0;3361.0;562.0;913.0;2.0;-7.0;-17.0;7.0
607.0;1117.0;2017.0;3535.0;597.0;958.0;524.0;1001.0;1845.0;3347.0;567.0;916.0;5.0;-7.0;-15.0;7.0
659.0;1207.0;2143.0;3721.0;611.0;967.0;525.0;1001.0;1865.0;3388.0;572.0;918.0;3.0;-3.0;-15.0;4.0
639.0;1178.0;2121.0;3699.0;617.0;985.0;540.0;1038.0;1930.0;3493.0;590.0;952.0;3.0;-3.0;-15.0;4.0
691.0;1268.0;2252.0;3887.0;637.0;1008.0;556.0;1054.0;1936.0;3510.0;590.0;958.0;3.0;2.0;-15.0;5.0
674.0;1234.0;2182.0;3820.0;631.0;1008.0;552.0;1043.0;1919.0;3460.0;587.0;953.0;-3.0;1.0;-15.0;15.0
646.0;1189.0;2140.0;3747.0;623.0;994.0;544.0;1043.0;1937.0;3539.0;592.0;959.0;-3.0;-3.0;-13.0;12.0
680.0;1249.0;2227.0;3871.0;639.0;1012.0;552.0;1051.0;1952.0;3531.0;591.0;947.0;-7.0;-3.0;-13.0;8.0
659.0;1207.0;2157.0;3741.0;618.0;980.0;541.0;1030.0;1900.0;3404.0;571.0;919.0;-3.0;-4.0;-15.0;5.0
640.0;1175.0;2100.0;3647.0;605.0;953.0;529.0;1001.0;1847.0;3340.0;560.0;900.0;5.0;-4.0;-13.0;6.0
615.0;1131.0;2011.0;3505.0;579.0;918.0;503.0;962.0;1784.0;3196.0;534.0;854.0;6.0;-4.0;-15.0;4.0
561.0;1036.0;1857.0;3254.0;538.0;850.0;472.0;886.0;1619.0;2926.0;491.0;796.0;5.0;-5.0;-15.0;7.0
536.0;989.0;1770.0;3094.0;516.0;822.0;455.0;846.0;1564.0;2810.0;474.0;766.0;6.0;-7.0;-12.0;6.0
512.0;953.0;1703.0;2962.0;489.0;786.0;431.0;812.0;1520.0;2766.0;468.0;752.0;6.0;-7.0;-10.0;7.0
489.0;912.0;1628.0;2852.0;476.0;762.0;412.0;796.0;1469.0;2680.0;452.0;729.0;10.0;-9.0;-9.0;9.0
497.0;918.0;1657.0;2866.0;474.0;756.0;416.0;783.0;1446.0;2637.0;439.0;709.0;19.0;-9.0;-9.0;8.0
463.0;863.0;1540.0;2694.0;447.0;717.0;391.0;737.0;1352.0;2452.0;417.0;669.0;11.0;-9.0;-10.0;14.0
432.0;802.0;1452.0;2545.0;423.0;672.0;376.0;715.0;1304.0;2324.0;385.0;630.0;11.0;-9.0;-13.0;8.0
403.0;749.0;1352.0;2345.0;396.0;646.0;364.0;689.0;1262.0;2262.0;383.0;624.0;6.0;-8.0;-13.0;8.0
