OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
330.0;611.0;1085.0;1890.0;305.0;457.0;212.0;413.0;762.0;1354.0;232.0;370.0;11.0;-6.0;-8.0;8.0
525.0;971.0;1729.0;2980.0;479.0;724.0;375.0;714.0;1335.0;2398.0;395.0;627.0;14.0;-2.0;-10.0;2.0
534.0;979.0;1730.0;2968.0;479.0;713.0;375.0;701.0;1285.0;2253.0;375.0;591.0;7.0;-2.0;-11.0;3.0
473.0;870.0;1572.0;2709.0;440.0;668.0;339.0;640.0;1175.0;2124.0;357.0;559.0;7.0;-2.0;-8.0;11.0
455.0;835.0;1475.0;2510.0;401.0;605.0;314.0;597.0;1109.0;1951.0;324.0;501.0;9.0;-8.0;-2.0;15.0
419.0;773.0;1381.0;2417.0;401.0;627.0;333.0;639.0;1189.0;2088.0;349.0;536.0;7.0;-11.0;-2.0;7.0
418.0;772.0;1351.0;2315.0;368.0;550.0;284.0;533.0;961.0;1668.0;274.0;419.0;4.0;-8.0;1.0;8.0
304.0;570.0;1025.0;1779.0;291.0;453.0;227.0;430.0;775.0;1352.0;227.0;354.0;4.0;-10.0;5.0;12.0
342.0;629.0;1102.0;1915.0;303.0;457.0;242.0;448.0;826.0;1455.0;240.0;380.0;4.0;-10.0;7.0;13.0
355.0;656.0;1144.0;1933.0;307.0;457.0;236.0;444.0;800.0;1389.0;231.0;361.0;7.0;-10.0;5.0;8.0
349.0;638.0;1128.0;1929.0;308.0;456.0;229.0;438.0;813.0;1427.0;232.0;354.0;3.0;-9.0;-4.0;5.0
29.0;47.0;61.0;52.0;-2.0;-24.0;-21.0;-50.0;-102.0;-232.0;-47.0;-97.0;7.0;-11.0;-3.0;13.0
29.0;51.0;63.0;45.0;-5.0;-32.0;-26.0;-52.0;-116.0;-270.0;-56.0;-108.0;5.0;-11.0;0.0;11.0
17.0;26.0;16.0;-27.0;-15.0;-44.0;-30.0;-65.0;-138.0;-297.0;-59.0;-120.0;15.0;-9.0;0.0;10.0
5.0;4.0;-24.0;-102.0;-27.0;-63.0;-42.0;-87.0;-171.0;-359.0;-70.0;-138.0;12.0;-9.0;0.0;10.0
