OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
321.0;534.0;886.0;1462.0;224.0;312.0;280.0;464.0;761.0;1264.0;200.0;286.0;-8.0;2.0;6.0;-3.0
323.0;529.0;871.0;1448.0;226.0;308.0;277.0;454.0;755.0;1256.0;199.0;292.0;-9.0;2.0;11.0;-4.0
330.0;541.0;883.0;1470.0;223.0;307.0;278.0;462.0;748.0;1224.0;198.0;291.0;-9.0;2.0;6.0;-4.0
328.0;535.0;884.0;1454.0;221.0;307.0;272.0;459.0;757.0;1253.0;199.0;290.0;-7.0;3.0;6.0;-4.0
332.0;543.0;891.0;1452.0;222.0;305.0;277.0;456.0;745.0;1246.0;196.0;287.0;-7.0;3.0;6.0;-4.0
330.0;544.0;894.0;1461.0;224.0;304.0;281.0;461.0;749.0;1248.0;198.0;286.0;-7.0;3.0;10.0;-4.0
335.0;550.0;895.0;1462.0;222.0;306.0;285.0;468.0;765.0;1272.0;202.0;305.0;-7.0;-1.0;8.0;-7.0
369.0;602.0;991.0;1617.0;251.0;341.0;307.0;512.0;831.0;1387.0;218.0;312.0;-6.0;-3.0;15.0;-7.0
359.0;583.0;958.0;1590.0;243.0;335.0;312.0;514.0;836.0;1381.0;216.0;315.0;-5.0;-3.0;15.0;-6.0
389.0;629.0;1026.0;1674.0;251.0;343.0;335.0;546.0;885.0;1440.0;223.0;326.0;-4.0;0.0;17.0;-5.0
415.0;666.0;1078.0;1765.0;266.0;363.0;359.0;585.0;942.0;1543.0;239.0;345.0;-5.0;1.0;14.0;-10.0
419.0;676.0;1094.0;1773.0;269.0;370.0;367.0;599.0;977.0;1579.0;250.0;360.0;-8.0;5.0;7.0;-10.0
427.0;694.0;1131.0;1835.0;279.0;371.0;369.0;603.0;966.0;1590.0;243.0;350.0;-8.0;3.0;8.0;-10.0
420.0;681.0;1083.0;1766.0;267.0;369.0;365.0;597.0;960.0;1569.0;240.0;347.0;-5.0;4.0;9.0;-9.0
