OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
190.0;290.0;490.0;790.0;112.0;159.0;140.0;260.0;440.0;760.0;110.0;165.0;-11.0;14.0;-12.0;6.0
300.0;510.0;900.0;1660.0;278.0;412.0;230.0;470.0;930.0;1710.0;292.0;455.0;-6.0;6.0;-14.0;8.0
410.0;720.0;1270.0;2210.0;364.0;543.0;340.0;630.0;1150.0;2020.0;341.0;553.0;-6.0;7.0;-14.0;10.0
430.0;760.0;1300.0;2350.0;390.0;580.0;350.0;690.0;1290.0;2310.0;389.0;609.0;-6.0;9.0;-14.0;17.0
510.0;890.0;1540.0;2690.0;441.0;648.0;420.0;790.0;1470.0;2660.0;430.0;666.0;-3.0;8.0;-12.0;16.0
540.0;940.0;1630.0;2820.0;469.0;681.0;450.0;860.0;1560.0;2770.0;458.0;698.0;-3.0;11.0;-7.0;21.0
520.0;900.0;1570.0;2700.0;443.0;663.0;400.0;750.0;1410.0;2520.0;408.0;635.0;-3.0;8.0;-12.0;21.0
420.0;720.0;1210.0;2110.0;348.0;536.0;350.0;650.0;1200.0;2030.0;332.0;518.0;-3.0;12.0;-10.0;20.0
390.0;700.0;1210.0;2080.0;343.0;518.0;350.0;670.0;1250.0;2230.0;358.0;552.0;-4.0;11.0;-12.0;20.0
460.0;810.0;1390.0;2500.0;408.0;598.0;380.0;740.0;1360.0;2400.0;389.0;609.0;-4.0;12.0;-15.0;20.0
210.0;370.0;650.0;1090.0;182.0;227.0;200.0;360.0;670.0;1110.0;177.0;260.0;-12.0;7.0;-3.0;8.0
310.0;520.0;890.0;1490.0;239.0;297.0;170.0;320.0;590.0;1100.0;191.0;291.0;-12.0;7.0;-3.0;6.0
300.0;510.0;840.0;1390.0;220.0;285.0;160.0;300.0;580.0;1030.0;173.0;270.0;-10.0;5.0;-2.0;6.0
310.0;540.0;900.0;1540.0;246.0;313.0;260.0;450.0;820.0;1460.0;228.0;340.0;-8.0;15.0;1.0;5.0
350.0;600.0;1040.0;1770.0;288.0;382.0;250.0;470.0;840.0;1530.0;260.0;407.0;-8.0;17.0;-2.0;6.0
420.0;710.0;1200.0;2030.0;322.0;425.0;310.0;560.0;1070.0;1860.0;292.0;445.0;-8.0;2.0;-2.0;6.0
420.0;710.0;1230.0;2140.0;340.0;476.0;330.0;620.0;1170.0;2070.0;338.0;506.0;-7.0;2.0;1.0;12.0
460.0;790.0;1370.0;2360.0;383.0;517.0;310.0;570.0;1090.0;1940.0;333.0;515.0;-7.0;3.0;-4.0;6.0
480.0;810.0;1420.0;2440.0;397.0;547.0;390.0;740.0;1330.0;2300.0;369.0;559.0;-11.0;10.0;-2.0;5.0
530.0;910.0;1560.0;2710.0;428.0;582.0;440.0;810.0;1390.0;2390.0;383.0;578.0;-12.0;9.0;-2.0;5.0
540.0;910.0;1530.0;2610.0;413.0;557.0;350.0;630.0;1170.0;2070.0;348.0;533.0;-12.0;9.0;-4.0;7.0
510.0;860.0;1490.0;2520.0;402.0;549.0;400.0;730.0;1320.0;2340.0;373.0;564.0;-12.0;7.0;-2.0;5.0
490.0;840.0;1450.0;2510.0;409.0;566.0;380.0;710.0;1280.0;2220.0;374.0;577.0;-11.0;9.0;3.0;3.0
540.0;930.0;1600.0;2720.0;435.0;603.0;450.0;830.0;1480.0;2530.0;403.0;608.0;-10.0;7.0;4.0;2.0
560.0;950.0;1620.0;2810.0;454.0;639.0;500.0;880.0;1530.0;2550.0;415.0;632.0;-10.0;4.0;5.0;2.0
550.0;950.0;1600.0;2770.0;449.0;632.0;490.0;850.0;1490.0;2540.0;410.0;629.0;-10.0;4.0;3.0;2.0
540.0;920.0;1570.0;2750.0;450.0;641.0;430.0;800.0;1430.0;2530.0;416.0;647.0;-10.0;2.0;-1.0;6.0
590.0;1010.0;1680.0;2910.0;477.0;667.0;510.0;920.0;1620.0;2700.0;433.0;659.0;-13.0;4.0;-2.0;6.0
530.0;900.0;1530.0;2620.0;421.0;609.0;400.0;720.0;1290.0;2270.0;383.0;594.0;-14.0;4.0;-8.0;7.0
490.0;810.0;1400.0;2420.0;394.0;569.0;430.0;780.0;1390.0;2330.0;372.0;563.0;-17.0;6.0;-9.0;8.0
440.0;750.0;1300.0;2220.0;366.0;537.0;350.0;630.0;1110.0;1900.0;318.0;502.0;-17.0;3.0;-9.0;7.0
310.0;530.0;910.0;1620.0;268.0;407.0;310.0;560.0;1010.0;1650.0;263.0;411.0;-17.0;3.0;-9.0;11.0
310.0;530.0;900.0;1550.0;248.0;352.0;260.0;470.0;860.0;1440.0;226.0;339.0;-17.0;3.0;-8.0;6.0
300.0;500.0;880.0;1500.0;235.0;316.0;200.0;370.0;680.0;1210.0;208.0;312.0;-12.0;6.0;-8.0;6.0
260.0;450.0;740.0;1230.0;191.0;259.0;150.0;280.0;500.0;890.0;148.0;253.0;-11.0;8.0;-8.0;9.0
310.0;520.0;890.0;1590.0;250.0;338.0;240.0;460.0;820.0;1390.0;231.0;344.0;-10.0;2.0;-5.0;7.0
330.0;560.0;990.0;1720.0;280.0;377.0;230.0;420.0;780.0;1420.0;245.0;389.0;-11.0;4.0;-5.0;5.0
350.0;590.0;1020.0;1790.0;297.0;408.0;280.0;530.0;980.0;1700.0;284.0;421.0;-11.0;4.0;-5.0;7.0
430.0;740.0;1280.0;2170.0;352.0;472.0;300.0;570.0;1030.0;1810.0;307.0;470.0;-8.0;6.0;2.0;11.0
440.0;750.0;1270.0;2190.0;347.0;482.0;310.0;560.0;1030.0;1810.0;309.0;470.0;-11.0;7.0;3.0;13.0
400.0;690.0;1200.0;2040.0;333.0;459.0;320.0;570.0;1010.0;1770.0;303.0;461.0;-11.0;6.0;3.0;10.0
440.0;760.0;1290.0;2240.0;358.0;492.0;340.0;650.0;1190.0;2070.0;329.0;508.0;-8.0;6.0;3.0;10.0
480.0;820.0;1380.0;2370.0;379.0;512.0;410.0;720.0;1250.0;2130.0;341.0;521.0;-11.0;8.0;-8.0;8.0
480.0;810.0;1390.0;2360.0;380.0;529.0;410.0;720.0;1260.0;2130.0;345.0;533.0;-11.0;11.0;-8.0;11.0
490.0;830.0;1420.0;2390.0;385.0;523.0;380.0;700.0;1270.0;2220.0;356.0;526.0;-6.0;8.0;1.0;11.0
450.0;770.0;1280.0;2200.0;354.0;500.0;320.0;610.0;1100.0;1900.0;313.0;483.0;-5.0;10.0;1.0;13.0
420.0;710.0;1240.0;2090.0;338.0;459.0;300.0;580.0;1040.0;1860.0;303.0;447.0;-5.0;8.0;0.0;11.0
400.0;680.0;1170.0;2020.0;316.0;435.0;310.0;570.0;1060.0;1820.0;288.0;441.0;-5.0;8.0;0.0;13.0
400.0;690.0;1180.0;2010.0;317.0;433.0;290.0;530.0;1000.0;1780.0;292.0;432.0;-5.0;8.0;-5.0;15.0
380.0;640.0;1070.0;1830.0;289.0;392.0;270.0;500.0;880.0;1470.0;230.0;342.0;-10.0;9.0;-5.0;16.0
340.0;580.0;970.0;1630.0;270.0;375.0;230.0;430.0;790.0;1480.0;239.0;365.0;-1.0;-6.0;0.0;-23.0
410.0;670.0;1120.0;1860.0;295.0;399.0;220.0;360.0;680.0;1220.0;216.0;341.0;-1.0;-8.0;0.0;-27.0
220.0;350.0;610.0;1630.0;270.0;375.0;170.0;260.0;460.0;1220.0;216.0;341.0;-1.0;-8.0;0.0;-27.0
150.0;370.0;870.0;1840.0;295.0;399.0;220.0;360.0;680.0;1220.0;216.0;341.0;5.0;-8.0;0.0;-27.0
160.0;370.0;870.0;1840.0;349.0;502.0;440.0;910.0;1850.0;3440.0;582.0;842.0;5.0;-8.0;-1.0;-27.0
1070.0;2050.0;3790.0;6730.0;1064.0;1356.0;1060.0;2070.0;3930.0;7160.0;1188.0;1712.0;8.0;-5.0;-1.0;-24.0
1900.0;3570.0;6480.0;11370.0;1768.0;2212.0;1690.0;3240.0;6060.0;10950.0;1783.0;2544.0;10.0;-3.0;-3.0;-24.0
2600.0;4770.0;8600.0;14870.0;2306.0;2877.0;2480.0;4600.0;8250.0;14250.0;2275.0;3176.0;6.0;-2.0;-5.0;-23.0
3180.0;5770.0;10350.0;17810.0;2710.0;3387.0;2940.0;5530.0;9930.0;17030.0;2650.0;3687.0;-1.0;-2.0;-5.0;-23.0
3770.0;6760.0;11980.0;20260.0;3079.0;3776.0;3250.0;6030.0;10900.0;18820.0;2948.0;4086.0;-1.0;-1.0;-5.0;-22.0
4200.0;7590.0;13460.0;22900.0;3451.0;4288.0;3710.0;6920.0;12360.0;21260.0;3367.0;4691.0;-1.0;-1.0;-5.0;-11.0
5070.0;8930.0;15240.0;24910.0;3659.0;4639.0;4110.0;7490.0;13070.0;22050.0;3386.0;4719.0;-1.0;-1.0;-5.0;-3.0
