OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
220.0;380.0;640.0;1070.0;164.0;231.0;170.0;310.0;560.0;940.0;148.0;214.0;-10.0;-5.0;-14.0;18.0
230.0;400.0;670.0;1110.0;169.0;233.0;160.0;280.0;500.0;920.0;149.0;230.0;-3.0;-2.0;-6.0;31.0
260.0;440.0;720.0;1230.0;190.0;257.0;150.0;290.0;530.0;920.0;157.0;237.0;-5.0;-3.0;-3.0;22.0
220.0;380.0;660.0;1130.0;175.0;244.0;200.0;350.0;570.0;940.0;153.0;235.0;-5.0;-4.0;-3.0;21.0
220.0;360.0;620.0;1040.0;165.0;238.0;190.0;330.0;550.0;910.0;147.0;231.0;-8.0;-4.0;-5.0;25.0
200.0;330.0;600.0;1050.0;163.0;234.0;200.0;370.0;630.0;990.0;155.0;227.0;-5.0;-4.0;-5.0;30.0
240.0;410.0;700.0;1160.0;177.0;249.0;180.0;300.0;520.0;910.0;157.0;240.0;-4.0;1.0;-13.0;27.0
250.0;410.0;720.0;1190.0;182.0;248.0;190.0;310.0;540.0;1000.0;162.0;223.0;-4.0;1.0;-13.0;30.0
280.0;450.0;770.0;1280.0;195.0;259.0;170.0;300.0;530.0;950.0;162.0;245.0;-4.0;-2.0;-13.0;29.0
290.0;460.0;770.0;1290.0;202.0;268.0;220.0;400.0;670.0;1100.0;174.0;254.0;-4.0;-2.0;-6.0;28.0
250.0;420.0;720.0;1260.0;185.0;264.0;180.0;310.0;550.0;940.0;157.0;245.0;-4.0;1.0;-6.0;33.0
260.0;440.0;760.0;1270.0;187.0;262.0;190.0;330.0;600.0;1050.0;172.0;250.0;-4.0;-3.0;-8.0;30.0
270.0;450.0;750.0;1300.0;197.0;271.0;170.0;310.0;530.0;990.0;158.0;255.0;-4.0;1.0;-8.0;26.0
260.0;430.0;730.0;1250.0;193.0;266.0;240.0;390.0;660.0;1050.0;165.0;256.0;-4.0;1.0;-8.0;29.0
240.0;420.0;700.0;1220.0;197.0;275.0;210.0;370.0;620.0;1000.0;160.0;252.0;-4.0;1.0;-8.0;23.0
230.0;380.0;670.0;1140.0;182.0;257.0;220.0;400.0;690.0;1080.0;170.0;244.0;-2.0;-2.0;-6.0;28.0
240.0;410.0;690.0;1160.0;184.0;262.0;190.0;340.0;610.0;1070.0;174.0;263.0;-11.0;-2.0;-10.0;24.0
260.0;420.0;740.0;1240.0;196.0;269.0;170.0;310.0;530.0;960.0;166.0;245.0;-8.0;-2.0;-10.0;26.0
270.0;440.0;760.0;1240.0;188.0;273.0;210.0;330.0;570.0;960.0;163.0;264.0;-8.0;-2.0;-13.0;22.0
270.0;430.0;740.0;1250.0;197.0;271.0;210.0;370.0;680.0;1130.0;180.0;252.0;-8.0;0.0;-13.0;29.0
260.0;430.0;760.0;1280.0;205.0;278.0;240.0;440.0;710.0;1090.0;180.0;269.0;-8.0;0.0;-13.0;19.0
280.0;460.0;810.0;1290.0;202.0;284.0;190.0;330.0;580.0;1010.0;180.0;264.0;-8.0;0.0;-13.0;26.0
290.0;490.0;840.0;1400.0;213.0;293.0;240.0;450.0;750.0;1150.0;186.0;283.0;-2.0;1.0;-13.0;29.0
290.0;490.0;870.0;1440.0;214.0;297.0;210.0;350.0;640.0;1040.0;186.0;285.0;-2.0;1.0;-2.0;33.0
310.0;510.0;850.0;1450.0;219.0;293.0;200.0;370.0;640.0;1080.0;185.0;278.0;-2.0;-1.0;-2.0;25.0
290.0;500.0;840.0;1400.0;209.0;296.0;200.0;360.0;620.0;1100.0;184.0;279.0;-4.0;-3.0;-3.0;31.0
290.0;510.0;870.0;1410.0;217.0;302.0;250.0;420.0;730.0;1150.0;188.0;282.0;-4.0;-1.0;-3.0;27.0
310.0;520.0;880.0;1490.0;219.0;291.0;200.0;360.0;620.0;1110.0;181.0;284.0;-4.0;-1.0;-3.0;26.0
290.0;480.0;860.0;1400.0;211.0;297.0;250.0;420.0;730.0;1200.0;188.0;270.0;-9.0;-3.0;-3.0;22.0
290.0;480.0;830.0;1390.0;218.0;295.0;260.0;460.0;760.0;1200.0;199.0;293.0;-9.0;-2.0;-9.0;29.0
290.0;480.0;840.0;1420.0;220.0;304.0;250.0;440.0;800.0;1300.0;200.0;282.0;-9.0;-2.0;-9.0;25.0
290.0;490.0;830.0;1390.0;212.0;300.0;200.0;340.0;620.0;1080.0;178.0;268.0;-3.0;-3.0;-9.0;26.0
290.0;490.0;850.0;1370.0;213.0;293.0;200.0;350.0;600.0;1100.0;180.0;284.0;-10.0;-4.0;-9.0;30.0
280.0;470.0;800.0;1350.0;214.0;297.0;250.0;450.0;750.0;1200.0;195.0;283.0;-3.0;-4.0;-9.0;26.0
310.0;520.0;880.0;1440.0;219.0;303.0;210.0;390.0;650.0;1150.0;188.0;291.0;-5.0;-4.0;-9.0;23.0
300.0;490.0;840.0;1370.0;207.0;308.0;200.0;360.0;650.0;1120.0;184.0;276.0;-5.0;-5.0;-9.0;26.0
270.0;460.0;780.0;1320.0;206.0;299.0;210.0;380.0;670.0;1140.0;189.0;292.0;-5.0;-5.0;-9.0;29.0
280.0;460.0;760.0;1280.0;204.0;289.0;200.0;330.0;600.0;1050.0;185.0;273.0;-5.0;-5.0;-9.0;29.0
290.0;480.0;820.0;1360.0;215.0;300.0;190.0;340.0;630.0;1100.0;188.0;289.0;-9.0;-2.0;-14.0;26.0
270.0;460.0;790.0;1380.0;207.0;299.0;260.0;460.0;770.0;1210.0;190.0;281.0;-9.0;-2.0;-14.0;29.0
280.0;460.0;780.0;1310.0;206.0;292.0;230.0;420.0;660.0;1080.0;176.0;270.0;-7.0;1.0;-12.0;28.0
290.0;490.0;840.0;1380.0;210.0;289.0;240.0;440.0;740.0;1140.0;185.0;268.0;-7.0;-2.0;-12.0;29.0
290.0;500.0;840.0;1420.0;208.0;294.0;200.0;350.0;620.0;1000.0;183.0;279.0;-6.0;0.0;-12.0;31.0
260.0;460.0;770.0;1310.0;200.0;289.0;200.0;370.0;620.0;1050.0;180.0;269.0;-3.0;0.0;-7.0;30.0
300.0;500.0;870.0;1390.0;215.0;298.0;190.0;350.0;600.0;1080.0;182.0;289.0;-3.0;0.0;-7.0;28.0
280.0;490.0;830.0;1370.0;217.0;309.0;270.0;460.0;790.0;1230.0;190.0;286.0;0.0;-1.0;-7.0;28.0
240.0;390.0;710.0;1160.0;188.0;288.0;200.0;360.0;640.0;1050.0;185.0;267.0;-1.0;0.0;-9.0;26.0
220.0;380.0;660.0;1140.0;186.0;270.0;180.0;330.0;590.0;1000.0;177.0;270.0;0.0;-1.0;-7.0;31.0
270.0;460.0;770.0;1290.0;203.0;292.0;260.0;470.0;790.0;1160.0;188.0;271.0;-1.0;-2.0;-6.0;30.0
300.0;490.0;810.0;1360.0;211.0;295.0;200.0;350.0;590.0;1070.0;180.0;278.0;2.0;-2.0;-6.0;25.0
260.0;450.0;790.0;1310.0;201.0;281.0;190.0;350.0;620.0;1070.0;176.0;268.0;-1.0;-2.0;-9.0;29.0
300.0;480.0;810.0;1350.0;211.0;293.0;220.0;390.0;650.0;1080.0;181.0;283.0;-1.0;-2.0;-10.0;23.0
300.0;490.0;840.0;1450.0;218.0;312.0;220.0;390.0;690.0;1160.0;198.0;299.0;-9.0;-1.0;-13.0;26.0
300.0;510.0;850.0;1400.0;218.0;319.0;250.0;430.0;740.0;1190.0;196.0;301.0;-9.0;-1.0;-13.0;31.0
330.0;550.0;910.0;1520.0;234.0;325.0;250.0;440.0;740.0;1220.0;196.0;305.0;-9.0;-1.0;-13.0;32.0
320.0;530.0;920.0;1560.0;233.0;326.0;230.0;390.0;690.0;1220.0;200.0;304.0;-9.0;-1.0;-10.0;31.0
300.0;520.0;880.0;1490.0;225.0;311.0;250.0;450.0;770.0;1330.0;206.0;307.0;-5.0;-1.0;-9.0;32.0
320.0;520.0;910.0;1460.0;232.0;329.0;290.0;500.0;830.0;1340.0;211.0;317.0;-5.0;0.0;-9.0;22.0
300.0;520.0;890.0;1480.0;230.0;324.0;230.0;410.0;710.0;1140.0;199.0;297.0;-7.0;3.0;-10.0;28.0
290.0;520.0;870.0;1500.0;224.0;327.0;200.0;360.0;640.0;1160.0;201.0;310.0;-10.0;3.0;-15.0;22.0
300.0;510.0;880.0;1430.0;231.0;320.0;290.0;470.0;820.0;1330.0;206.0;307.0;-7.0;-4.0;-15.0;27.0
330.0;560.0;950.0;1580.0;248.0;341.0;290.0;510.0;880.0;1450.0;223.0;336.0;-7.0;-4.0;-15.0;30.0
320.0;540.0;930.0;1550.0;239.0;338.0;290.0;510.0;810.0;1340.0;217.0;323.0;-5.0;-4.0;-7.0;25.0
330.0;560.0;960.0;1570.0;240.0;335.0;290.0;500.0;860.0;1410.0;215.0;326.0;-4.0;0.0;-7.0;30.0
350.0;580.0;980.0;1640.0;246.0;342.0;320.0;510.0;830.0;1360.0;213.0;328.0;-4.0;0.0;-7.0;33.0
