OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
253.0;517.0;1061.0;2172.0;406.0;626.0;287.0;589.0;1197.0;2393.0;453.0;726.0;-3.0;0.0;-3.0;5.0
382.0;757.0;1511.0;2942.0;518.0;747.0;339.0;684.0;1376.0;2694.0;498.0;791.0;6.0;-3.0;-3.0;6.0
394.0;763.0;1494.0;2898.0;514.0;765.0;346.0;695.0;1386.0;2705.0;496.0;797.0;-3.0;-3.0;-6.0;9.0
401.0;781.0;1504.0;2847.0;493.0;719.0;315.0;626.0;1242.0;2452.0;444.0;721.0;-3.0;0.0;-6.0;6.0
339.0;646.0;1223.0;2334.0;419.0;657.0;294.0;604.0;1259.0;2514.0;476.0;779.0;9.0;1.0;3.0;5.0
411.0;814.0;1632.0;3249.0;584.0;865.0;395.0;770.0;1491.0;2802.0;496.0;756.0;9.0;9.0;3.0;7.0
320.0;602.0;1111.0;2060.0;359.0;549.0;226.0;452.0;918.0;1807.0;333.0;552.0;10.0;8.0;-7.0;6.0
256.0;521.0;1043.0;2080.0;377.0;587.0;257.0;521.0;1059.0;2106.0;396.0;648.0;9.0;2.0;3.0;12.0
331.0;676.0;1389.0;2779.0;501.0;763.0;346.0;694.0;1401.0;2764.0;508.0;830.0;3.0;2.0;-1.0;6.0
445.0;882.0;1749.0;3435.0;614.0;913.0;439.0;876.0;1734.0;3350.0;609.0;975.0;3.0;1.0;-1.0;8.0
531.0;1032.0;2022.0;3894.0;677.0;981.0;463.0;910.0;1754.0;3391.0;614.0;971.0;10.0;2.0;-1.0;6.0
537.0;1041.0;1970.0;3620.0;602.0;855.0;381.0;740.0;1428.0;2699.0;486.0;782.0;10.0;4.0;-1.0;11.0
372.0;707.0;1345.0;2603.0;484.0;779.0;370.0;759.0;1522.0;2977.0;545.0;875.0;12.0;3.0;-6.0;12.0
445.0;851.0;1627.0;3099.0;550.0;835.0;384.0;775.0;1542.0;3019.0;547.0;878.0;4.0;3.0;-6.0;7.0
469.0;933.0;1880.0;3766.0;678.0;1032.0;516.0;1020.0;1994.0;3813.0;686.0;1079.0;1.0;6.0;-9.0;6.0
599.0;1138.0;2152.0;4020.0;690.0;995.0;467.0;912.0;1778.0;3414.0;614.0;980.0;1.0;6.0;-9.0;7.0
514.0;987.0;1877.0;3516.0;604.0;895.0;412.0;799.0;1569.0;2987.0;541.0;870.0;1.0;6.0;-5.0;7.0
457.0;903.0;1772.0;3456.0;611.0;942.0;459.0;902.0;1767.0;3400.0;617.0;982.0;1.0;5.0;-5.0;10.0
531.0;1027.0;1972.0;3748.0;652.0;977.0;461.0;917.0;1794.0;3445.0;617.0;973.0;-1.0;3.0;-5.0;12.0
499.0;944.0;1796.0;3390.0;593.0;898.0;431.0;854.0;1662.0;3196.0;582.0;937.0;-1.0;5.0;-5.0;7.0
515.0;999.0;1943.0;3728.0;653.0;980.0;469.0;935.0;1838.0;3553.0;640.0;1018.0;-1.0;5.0;-5.0;5.0
558.0;1065.0;2019.0;3825.0;652.0;968.0;457.0;886.0;1714.0;3243.0;577.0;912.0;-1.0;6.0;-5.0;6.0
463.0;885.0;1678.0;3149.0;551.0;836.0;391.0;772.0;1513.0;2899.0;524.0;844.0;9.0;7.0;-2.0;6.0
432.0;823.0;1556.0;2922.0;504.0;761.0;353.0;693.0;1363.0;2639.0;481.0;787.0;7.0;0.0;-2.0;10.0
333.0;679.0;1380.0;2779.0;515.0;809.0;393.0;777.0;1520.0;2931.0;524.0;844.0;2.0;7.0;-5.0;7.0
432.0;841.0;1645.0;3209.0;577.0;887.0;431.0;852.0;1660.0;3188.0;573.0;907.0;5.0;6.0;-1.0;9.0
481.0;928.0;1780.0;3402.0;601.0;909.0;447.0;877.0;1715.0;3268.0;589.0;941.0;2.0;2.0;-4.0;6.0
507.0;967.0;1833.0;3469.0;601.0;899.0;436.0;850.0;1640.0;3131.0;563.0;902.0;1.0;2.0;-4.0;8.0
475.0;918.0;1761.0;3337.0;584.0;890.0;430.0;846.0;1643.0;3132.0;564.0;895.0;2.0;-1.0;-7.0;5.0
476.0;901.0;1691.0;3171.0;544.0;815.0;379.0;741.0;1430.0;2696.0;481.0;774.0;1.0;-2.0;-7.0;7.0
379.0;734.0;1403.0;2680.0;478.0;747.0;348.0;689.0;1358.0;2608.0;475.0;767.0;0.0;-3.0;-7.0;10.0
419.0;826.0;1623.0;3188.0;582.0;913.0;462.0;913.0;1787.0;3436.0;618.0;994.0;0.0;-3.0;-7.0;10.0
559.0;1063.0;2002.0;3729.0;642.0;954.0;461.0;904.0;1750.0;3364.0;611.0;979.0;5.0;-3.0;-6.0;10.0
538.0;1040.0;1979.0;3775.0;651.0;971.0;475.0;929.0;1798.0;3395.0;603.0;953.0;5.0;4.0;-2.0;11.0
510.0;985.0;1884.0;3613.0;632.0;947.0;469.0;914.0;1764.0;3326.0;593.0;944.0;9.0;5.0;-2.0;14.0
507.0;976.0;1876.0;3581.0;633.0;968.0;490.0;963.0;1873.0;3581.0;638.0;1012.0;7.0;4.0;-2.0;14.0
