OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
86.0;177.0;360.0;680.0;126.0;234.0;143.0;344.0;961.0;2068.0;468.0;822.0;-3.0;1.0;-6.0;-3.0
172.0;348.0;701.0;2985.0;476.0;655.0;181.0;388.0;821.0;1657.0;306.0;515.0;-3.0;-1.0;-6.0;-3.0
172.0;348.0;701.0;1545.0;341.0;649.0;233.0;517.0;1099.0;2221.0;426.0;734.0;1.0;-1.0;-6.0;-1.0
357.0;720.0;1412.0;2606.0;433.0;644.0;192.0;412.0;865.0;1733.0;320.0;539.0;2.0;-2.0;-7.0;1.0
128.0;264.0;533.0;1056.0;195.0;339.0;99.0;221.0;593.0;1575.0;341.0;653.0;-1.0;-1.0;-8.0;0.0
402.0;828.0;1658.0;3099.0;508.0;749.0;262.0;612.0;1497.0;3565.0;796.0;1519.0;-1.0;3.0;-7.0;0.0
457.0;906.0;4251.0;8034.0;1250.0;1663.0;655.0;1347.0;2694.0;5166.0;885.0;1387.0;-1.0;3.0;-7.0;0.0
670.0;1319.0;2508.0;7265.0;1144.0;1663.0;655.0;1347.0;2694.0;5166.0;608.0;1003.0;-3.0;6.0;-8.0;0.0
457.0;906.0;2203.0;8105.0;1737.0;2769.0;1240.0;2469.0;4800.0;8902.0;1470.0;2186.0;-7.0;3.0;-8.0;0.0
1182.0;2254.0;4135.0;7265.0;1144.0;1702.0;694.0;1414.0;2799.0;5190.0;875.0;1396.0;-7.0;3.0;-7.0;-2.0
1112.0;2111.0;2901.0;5702.0;952.0;1441.0;574.0;1183.0;2350.0;4470.0;988.0;2105.0;-7.0;0.0;-6.0;1.0
1319.0;2686.0;4791.0;8159.0;1272.0;1851.0;846.0;1748.0;3532.0;6764.0;1206.0;1931.0;1.0;0.0;-5.0;1.0
1112.0;2111.0;3942.0;6911.0;1080.0;1590.0;691.0;1398.0;2735.0;5110.0;873.0;1391.0;1.0;-1.0;-2.0;1.0
675.0;1297.0;2414.0;4337.0;721.0;1119.0;432.0;891.0;1814.0;3667.0;652.0;1077.0;1.0;0.0;-5.0;-1.0
519.0;1011.0;1868.0;3354.0;562.0;889.0;321.0;679.0;1370.0;2695.0;498.0;929.0;0.0;0.0;-5.0;1.0
643.0;1257.0;2338.0;4712.0;768.0;1127.0;422.0;877.0;1755.0;3394.0;597.0;981.0;0.0;2.0;-2.0;1.0
532.0;1208.0;3324.0;7313.0;1280.0;1881.0;863.0;1742.0;3391.0;6363.0;1090.0;1871.0;-1.0;5.0;-2.0;3.0
1414.0;2869.0;5654.0;10716.0;1781.0;2538.0;1242.0;2451.0;4719.0;8694.0;1453.0;2252.0;-1.0;4.0;-5.0;3.0
1347.0;2557.0;4639.0;9349.0;2021.0;2927.0;1478.0;2892.0;5484.0;10020.0;1683.0;3013.0;-5.0;4.0;-5.0;0.0
2579.0;4896.0;8984.0;14908.0;2192.0;2911.0;1446.0;2835.0;5370.0;9812.0;1628.0;2519.0;-5.0;2.0;-9.0;-3.0
1548.0;4486.0;8810.0;14908.0;2192.0;2147.0;1075.0;2099.0;3986.0;7253.0;1249.0;2479.0;-5.0;2.0;-16.0;-3.0
2233.0;4486.0;8810.0;16107.0;2688.0;4576.0;3536.0;6567.0;12067.0;21520.0;3602.0;5586.0;2.0;2.0;-15.0;-3.0
4958.0;8783.0;14951.0;22232.0;3464.0;4732.0;3495.0;6383.0;11220.0;19187.0;2971.0;4273.0;2.0;3.0;-15.0;-3.0
3354.0;6401.0;11922.0;20419.0;3474.0;5162.0;3940.0;7182.0;12928.0;22891.0;3848.0;5640.0;2.0;3.0;-15.0;-1.0
5070.0;8970.0;15367.0;22777.0;4051.0;5896.0;4942.0;8868.0;15641.0;26658.0;4281.0;6182.0;-6.0;2.0;-12.0;-1.0
6118.0;10680.0;18048.0;24774.0;4441.0;6544.0;6695.0;11509.0;19310.0;30897.0;4787.0;6983.0;-6.0;4.0;-12.0;-2.0
7547.0;12803.0;20374.0;25900.0;5017.0;6643.0;6098.0;10414.0;17603.0;28892.0;4561.0;6633.0;-6.0;2.0;-10.0;-4.0
6887.0;11633.0;19658.0;25811.0;4979.0;6466.0;6258.0;10808.0;18264.0;30016.0;4690.0;6997.0;7.0;2.0;-10.0;-4.0
7566.0;12701.0;20240.0;25732.0;4900.0;7174.0;6774.0;11497.0;19476.0;31070.0;4795.0;6743.0;-5.0;1.0;-10.0;-4.0
6971.0;11822.0;19069.0;24966.0;4468.0;7195.0;7216.0;12226.0;20234.0;31510.0;4908.0;6801.0;11.0;1.0;-14.0;-2.0
7120.0;12316.0;20091.0;25910.0;5036.0;7328.0;8116.0;13407.0;21825.0;32284.0;5270.0;7690.0;9.0;-2.0;-10.0;-3.0
9330.0;15513.0;23201.0;27047.0;5954.0;8454.0;9797.0;16293.0;26400.0;32350.0;6044.0;8337.0;7.0;-3.0;-4.0;-3.0
9937.0;15864.0;22692.0;26710.0;4692.0;5934.0;5452.0;9440.0;16209.0;26941.0;4264.0;6297.0;2.0;-3.0;-4.0;-3.0
6753.0;11173.0;17692.0;23934.0;3726.0;4809.0;3565.0;6382.0;10999.0;18474.0;2872.0;4230.0;2.0;-4.0;-3.0;-11.0
3747.0;6496.0;10913.0;17506.0;2601.0;3661.0;2578.0;4675.0;8251.0;13872.0;2180.0;3263.0;1.0;-4.0;-3.0;-11.0
2470.0;4363.0;7475.0;12387.0;1929.0;3466.0;2550.0;4659.0;8187.0;13627.0;2108.0;3066.0;1.0;-4.0;-2.0;-11.0
2019.0;3588.0;6159.0;15582.0;2601.0;3661.0;2578.0;4675.0;5549.0;9789.0;1576.0;2432.0;-1.0;-4.0;-2.0;-10.0
2132.0;4095.0;7652.0;15582.0;3027.0;5082.0;4291.0;7729.0;13437.0;22609.0;3476.0;5115.0;-1.0;-4.0;-2.0;-7.0
4712.0;7996.0;13271.0;20239.0;2879.0;3737.0;2689.0;5116.0;9642.0;17617.0;3005.0;4595.0;1.0;-4.0;2.0;-7.0
4194.0;7206.0;11884.0;18477.0;2659.0;3506.0;2210.0;4084.0;7354.0;12649.0;2020.0;3054.0;0.0;-4.0;8.0;-10.0
2169.0;3889.0;6743.0;11239.0;1761.0;2601.0;1529.0;2928.0;5430.0;9708.0;1632.0;2596.0;0.0;-6.0;11.0;-20.0
1969.0;3661.0;6502.0;11097.0;1747.0;2589.0;1558.0;2934.0;5339.0;9400.0;1545.0;2443.0;0.0;-6.0;8.0;-20.0
1867.0;3462.0;6121.0;10382.0;1624.0;2475.0;1613.0;3205.0;6171.0;11446.0;1961.0;3056.0;0.0;-6.0;8.0;-20.0
2408.0;4360.0;7651.0;13101.0;2092.0;3082.0;1861.0;3537.0;6459.0;11314.0;1813.0;2734.0;0.0;-6.0;4.0;-13.0
1883.0;3421.0;5965.0;9997.0;1562.0;2284.0;1298.0;2633.0;5322.0;10151.0;1784.0;2843.0;0.0;-3.0;2.0;-7.0
2234.0;4043.0;6973.0;11484.0;1722.0;2646.0;1788.0;3411.0;6265.0;10945.0;1730.0;2568.0;0.0;-2.0;0.0;-7.0
1665.0;3040.0;5375.0;9482.0;1613.0;2677.0;1709.0;3277.0;6039.0;10776.0;1760.0;2732.0;-2.0;-2.0;0.0;-7.0
2133.0;4029.0;7676.0;13724.0;2126.0;3161.0;2224.0;4332.0;8336.0;15670.0;2826.0;4722.0;0.0;3.0;0.0;-7.0
4502.0;8055.0;13975.0;21747.0;3396.0;4969.0;3962.0;7240.0;12691.0;21440.0;3278.0;4593.0;-1.0;3.0;0.0;-7.0
3846.0;6699.0;11305.0;18029.0;2608.0;3483.0;2207.0;4220.0;7860.0;13943.0;2304.0;3490.0;-1.0;3.0;0.0;-7.0
2797.0;5113.0;8904.0;14757.0;2269.0;3792.0;2943.0;5505.0;10055.0;17689.0;2839.0;4163.0;-1.0;3.0;0.0;-7.0
3435.0;6116.0;10523.0;17254.0;2590.0;3537.0;2305.0;4273.0;7629.0;13020.0;2046.0;3048.0;0.0;4.0;-5.0;-7.0
3435.0;4375.0;8172.0;14415.0;2434.0;4106.0;3312.0;6151.0;11265.0;19797.0;3218.0;4763.0;4.0;4.0;-6.0;-7.0
4334.0;7982.0;14372.0;22964.0;4072.0;6281.0;6036.0;10606.0;18217.0;30068.0;4672.0;6725.0;4.0;5.0;-7.0;-8.0
7132.0;12132.0;19913.0;25732.0;4848.0;6662.0;6671.0;11355.0;18917.0;30214.0;4601.0;6536.0;-5.0;4.0;-7.0;-12.0
6888.0;11593.0;18772.0;24973.0;4336.0;5885.0;4990.0;8810.0;15094.0;25107.0;3852.0;5534.0;3.0;-1.0;-7.0;-12.0
5433.0;9405.0;15755.0;23172.0;3756.0;5222.0;4239.0;7525.0;13003.0;21658.0;3400.0;4966.0;-3.0;-1.0;-8.0;-9.0
4701.0;8165.0;13704.0;21101.0;3201.0;4440.0;3411.0;6178.0;10863.0;18465.0;2911.0;4327.0;-3.0;0.0;-8.0;-9.0
4053.0;7135.0;12213.0;19736.0;3065.0;4434.0;3566.0;6431.0;11312.0;19126.0;2994.0;4497.0;-3.0;0.0;-5.0;-7.0
4162.0;7473.0;12909.0;20733.0;3245.0;4533.0;3399.0;6111.0;10614.0;17935.0;2841.0;4262.0;3.0;0.0;-8.0;-6.0
3785.0;6661.0;11318.0;18251.0;2709.0;3759.0;2593.0;4760.0;8473.0;14474.0;2298.0;3444.0;3.0;0.0;-2.0;-6.0
2739.0;4871.0;8329.0;13742.0;2083.0;3004.0;2013.0;3757.0;6782.0;11830.0;1936.0;2974.0;3.0;-3.0;-2.0;-5.0
2386.0;4524.0;8306.0;14448.0;2246.0;3275.0;2272.0;4292.0;7864.0;13827.0;2241.0;3379.0;10.0;-3.0;-8.0;-5.0
2863.0;5394.0;10176.0;18614.0;3269.0;5427.0;5461.0;9599.0;16584.0;27612.0;4340.0;6464.0;8.0;-3.0;-8.0;-4.0
7033.0;12126.0;20101.0;26080.0;5059.0;7259.0;7869.0;13351.0;21927.0;32350.0;5269.0;7485.0;-1.0;-3.0;-15.0;-4.0
8435.0;14030.0;21784.0;26676.0;5223.0;7251.0;7655.0;12928.0;21491.0;32192.0;5127.0;7229.0;-3.0;-3.0;-19.0;-6.0
8115.0;13543.0;21204.0;26257.0;4970.0;6650.0;6520.0;11050.0;18081.0;28701.0;4281.0;6007.0;-3.0;-2.0;-15.0;-6.0
6053.0;10358.0;17162.0;24364.0;4336.0;6581.0;7223.0;12273.0;20501.0;31879.0;5093.0;7517.0;-2.0;0.0;-15.0;-6.0
9288.0;15383.0;23139.0;27251.0;5852.0;8260.0;9752.0;16007.0;25689.0;32350.0;5981.0;8369.0;-2.0;0.0;-15.0;-6.0
10371.0;16997.0;23903.0;27347.0;6023.0;8328.0;10036.0;16445.0;26221.0;32350.0;5959.0;8344.0;-2.0;0.0;-16.0;-6.0
10569.0;17036.0;23864.0;27142.0;5501.0;7137.0;6938.0;11892.0;19700.0;30923.0;4740.0;6657.0;5.0;3.0;-12.0;-3.0
7336.0;12054.0;18901.0;24707.0;4004.0;5199.0;4253.0;7475.0;12605.0;20668.0;3167.0;4583.0;5.0;3.0;-12.0;-3.0
4185.0;7124.0;11681.0;18494.0;2767.0;3923.0;2968.0;5301.0;9200.0;15309.0;2373.0;3530.0;6.0;3.0;-7.0;0.0
2898.0;5067.0;13195.0;13940.0;2190.0;3903.0;3241.0;5977.0;10686.0;18566.0;3043.0;4851.0;3.0;3.0;-12.0;0.0
4943.0;8343.0;13473.0;20452.0;3021.0;4203.0;3372.0;6096.0;10699.0;17898.0;2830.0;4308.0;3.0;3.0;-7.0;2.0
4116.0;7473.0;13195.0;22096.0;4029.0;6568.0;3372.0;6096.0;21059.0;31775.0;4897.0;6850.0;3.0;9.0;-9.0;6.0
7554.0;12448.0;19488.0;25175.0;4131.0;5215.0;4205.0;7402.0;12666.0;20815.0;3182.0;4583.0;0.0;9.0;-7.0;9.0
4201.0;7247.0;11984.0;18987.0;2824.0;3954.0;2867.0;5180.0;9038.0;15281.0;2417.0;3627.0;-6.0;10.0;-9.0;3.0
3126.0;5606.0;10011.0;17896.0;3058.0;4718.0;3888.0;6954.0;12023.0;20039.0;3088.0;4474.0;-6.0;8.0;-9.0;7.0
4084.0;7037.0;11829.0;19212.0;2949.0;4164.0;3177.0;5727.0;9907.0;16388.0;2543.0;3717.0;0.0;4.0;-17.0;7.0
3075.0;5364.0;9057.0;14645.0;2210.0;3150.0;2181.0;3984.0;6975.0;11868.0;1882.0;2841.0;0.0;-1.0;-17.0;8.0
2076.0;3697.0;6365.0;10600.0;1663.0;2490.0;1545.0;2885.0;5187.0;9046.0;1475.0;2309.0;-3.0;-1.0;-17.0;8.0
2555.0;4602.0;5744.0;10975.0;2018.0;3195.0;2199.0;4130.0;7540.0;13176.0;2109.0;3152.0;7.0;-1.0;-14.0;4.0
2555.0;4602.0;8061.0;13807.0;2199.0;3300.0;2233.0;4186.0;7560.0;13377.0;2258.0;3667.0;5.0;-1.0;-12.0;4.0
3542.0;6542.0;11762.0;19741.0;3045.0;4188.0;3059.0;5606.0;9927.0;16982.0;2667.0;3938.0;4.0;3.0;-12.0;1.0
3455.0;6152.0;10592.0;17429.0;2642.0;3716.0;2619.0;4828.0;8632.0;14847.0;2357.0;3521.0;4.0;4.0;-12.0;1.0
2944.0;5326.0;9350.0;15921.0;2594.0;4033.0;3078.0;5691.0;10223.0;17550.0;2810.0;4178.0;4.0;5.0;-8.0;1.0
3689.0;6545.0;11209.0;17996.0;2658.0;3654.0;2706.0;4939.0;8789.0;14959.0;2389.0;3608.0;4.0;8.0;-8.0;-1.0
3079.0;5496.0;9474.0;15580.0;2372.0;3362.0;2242.0;4149.0;7464.0;12915.0;2106.0;3255.0;-2.0;4.0;-8.0;3.0
2767.0;4952.0;8582.0;14124.0;2136.0;3040.0;1967.0;3666.0;6588.0;11400.0;1838.0;2797.0;-2.0;5.0;-8.0;3.0
