OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
1030.0;1847.0;3187.0;5157.0;760.0;986.0;689.0;1289.0;2318.0;4086.0;665.0;982.0;0.0;4.0;2.0;-9.0
1618.0;2962.0;5088.0;8033.0;1143.0;1442.0;1095.0;2007.0;3491.0;5870.0;917.0;1310.0;2.0;4.0;2.0;-12.0
1724.0;3147.0;5411.0;8601.0;1262.0;1648.0;1220.0;2219.0;3925.0;6765.0;1067.0;1540.0;2.0;4.0;2.0;-12.0
2099.0;3789.0;6436.0;9876.0;1430.0;1811.0;1359.0;2477.0;4359.0;7339.0;1133.0;1632.0;2.0;3.0;2.0;-10.0
1823.0;3229.0;5493.0;8669.0;1261.0;1648.0;1259.0;2240.0;3861.0;6432.0;1007.0;1466.0;3.0;4.0;2.0;-9.0
1639.0;2903.0;4920.0;7781.0;1144.0;1503.0;1175.0;2089.0;3630.0;6022.0;931.0;1327.0;3.0;4.0;2.0;-8.0
1469.0;2595.0;4375.0;6984.0;1032.0;1374.0;1022.0;1813.0;3173.0;5342.0;837.0;1201.0;5.0;4.0;2.0;-6.0
1288.0;2287.0;3815.0;6100.0;910.0;1223.0;939.0;1656.0;2879.0;4866.0;751.0;1091.0;-4.0;4.0;-3.0;-6.0
1137.0;2004.0;3392.0;5400.0;803.0;1087.0;856.0;1505.0;2606.0;4319.0;659.0;965.0;-4.0;13.0;-3.0;-5.0
933.0;1675.0;2843.0;4568.0;693.0;949.0;821.0;1424.0;2367.0;3789.0;584.0;852.0;-4.0;13.0;-3.0;-2.0
898.0;1581.0;2653.0;4282.0;637.0;884.0;665.0;1181.0;2069.0;3485.0;549.0;778.0;-5.0;13.0;-3.0;-2.0
761.0;1346.0;2284.0;3710.0;561.0;772.0;634.0;1119.0;1928.0;3186.0;484.0;710.0;-4.0;11.0;-2.0;-2.0
733.0;1304.0;2226.0;3580.0;532.0;739.0;538.0;975.0;1680.0;2904.0;455.0;662.0;-3.0;14.0;-2.0;1.0
611.0;1100.0;1898.0;3058.0;474.0;658.0;612.0;1048.0;1699.0;2709.0;415.0;611.0;1.0;11.0;-2.0;-2.0
764.0;1362.0;2347.0;3760.0;560.0;752.0;604.0;1053.0;1809.0;3012.0;467.0;689.0;-3.0;7.0;-2.0;-4.0
753.0;1340.0;2267.0;3686.0;543.0;725.0;628.0;1076.0;1797.0;2830.0;442.0;645.0;2.0;6.0;-2.0;-4.0
631.0;1127.0;1923.0;3146.0;471.0;645.0;517.0;892.0;1484.0;2453.0;389.0;575.0;2.0;6.0;-2.0;3.0
557.0;990.0;1678.0;2754.0;417.0;587.0;522.0;893.0;1480.0;2350.0;356.0;524.0;-4.0;6.0;-4.0;7.0
506.0;893.0;1489.0;2538.0;385.0;532.0;412.0;716.0;1235.0;2067.0;320.0;477.0;-4.0;5.0;-4.0;9.0
376.0;689.0;1196.0;1909.0;299.0;429.0;288.0;522.0;925.0;1615.0;253.0;368.0;-4.0;7.0;-5.0;9.0
289.0;529.0;947.0;1466.0;228.0;335.0;213.0;393.0;701.0;1212.0;190.0;299.0;-7.0;8.0;-8.0;12.0
204.0;374.0;656.0;1139.0;184.0;271.0;219.0;369.0;591.0;1041.0;155.0;249.0;-5.0;15.0;-10.0;11.0
