OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
102.0;208.0;391.0;689.0;106.0;151.0;65.0;131.0;263.0;544.0;87.0;139.0;-10.0;-15.0;20.0;-6.0
572.0;1165.0;2168.0;3827.0;590.0;798.0;439.0;889.0;1711.0;3218.0;553.0;855.0;3.0;1.0;6.0;-10.0
857.0;1660.0;3031.0;5202.0;792.0;1060.0;574.0;1132.0;2177.0;3923.0;653.0;995.0;7.0;-4.0;6.0;-10.0
849.0;1645.0;2978.0;5132.0;783.0;1076.0;597.0;1163.0;2180.0;3912.0;654.0;994.0;7.0;-11.0;-1.0;-13.0
785.0;1506.0;2754.0;4745.0;736.0;1024.0;561.0;1094.0;2041.0;3712.0;619.0;943.0;8.0;-11.0;0.0;-13.0
696.0;1347.0;2446.0;4267.0;676.0;945.0;510.0;995.0;1881.0;3427.0;575.0;885.0;1.0;-9.0;8.0;-13.0
658.0;1266.0;2310.0;4024.0;627.0;885.0;492.0;953.0;1762.0;3158.0;530.0;823.0;-3.0;-4.0;8.0;-13.0
594.0;1151.0;2124.0;3713.0;589.0;843.0;481.0;924.0;1714.0;3118.0;519.0;803.0;-3.0;-3.0;8.0;-11.0
593.0;1146.0;2109.0;3708.0;587.0;838.0;463.0;893.0;1673.0;3042.0;509.0;787.0;-3.0;0.0;18.0;-11.0
578.0;1109.0;2042.0;3592.0;565.0;807.0;463.0;893.0;1655.0;2953.0;491.0;767.0;-3.0;0.0;24.0;-10.0
568.0;1101.0;1990.0;3511.0;557.0;803.0;450.0;878.0;1624.0;2935.0;490.0;751.0;-1.0;0.0;29.0;-10.0
565.0;1090.0;1999.0;3520.0;552.0;807.0;456.0;885.0;1639.0;2925.0;487.0;755.0;-1.0;0.0;15.0;-10.0
534.0;1034.0;1888.0;3330.0;530.0;766.0;404.0;799.0;1513.0;2744.0;459.0;714.0;-1.0;0.0;2.0;-9.0
517.0;991.0;1825.0;3173.0;508.0;743.0;422.0;812.0;1532.0;2754.0;460.0;720.0;-4.0;-6.0;1.0;-9.0
531.0;1027.0;1887.0;3287.0;521.0;754.0;398.0;784.0;1485.0;2714.0;452.0;703.0;-1.0;-8.0;2.0;-16.0
492.0;943.0;1732.0;3053.0;495.0;721.0;397.0;782.0;1455.0;2622.0;445.0;686.0;-5.0;-8.0;2.0;-17.0
499.0;959.0;1729.0;3005.0;472.0;659.0;341.0;668.0;1254.0;2297.0;387.0;602.0;0.0;-8.0;2.0;-17.0
397.0;770.0;1423.0;2515.0;404.0;595.0;307.0;602.0;1151.0;2114.0;355.0;563.0;-4.0;-8.0;1.0;-17.0
358.0;693.0;1285.0;2278.0;372.0;565.0;317.0;742.0;1817.0;4062.0;856.0;1507.0;8.0;1.0;4.0;-17.0
2468.0;4629.0;7978.0;12835.0;1831.0;2383.0;1613.0;3092.0;5650.0;9923.0;1582.0;2340.0;8.0;1.0;15.0;-11.0
2614.0;4841.0;8418.0;13679.0;1991.0;2627.0;1827.0;3393.0;6122.0;10548.0;1681.0;2472.0;5.0;1.0;16.0;-10.0
2581.0;4732.0;8203.0;13316.0;1952.0;2570.0;1818.0;3368.0;6008.0;10277.0;1629.0;2410.0;5.0;1.0;13.0;-10.0
2459.0;4508.0;7871.0;12834.0;1899.0;2544.0;1811.0;3353.0;5986.0;10247.0;1628.0;2395.0;-4.0;1.0;7.0;-13.0
2403.0;4382.0;7582.0;12373.0;1835.0;2485.0;1720.0;3183.0;5737.0;9930.0;1573.0;2310.0;-4.0;1.0;2.0;-13.0
2344.0;4338.0;7687.0;12952.0;1968.0;2687.0;1970.0;3647.0;6479.0;11057.0;1745.0;2563.0;5.0;-5.0;3.0;-19.0
2706.0;4916.0;8493.0;13754.0;2026.0;2718.0;1980.0;3650.0;6502.0;11050.0;1754.0;2549.0;11.0;-2.0;3.0;-22.0
2643.0;4817.0;8312.0;13605.0;2034.0;2819.0;2140.0;3925.0;6995.0;11873.0;1885.0;2777.0;13.0;-2.0;3.0;-34.0
