OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
42.0;92.0;206.0;448.0;91.0;169.0;37.0;86.0;191.0;423.0;85.0;158.0;6.0;6.0;-3.0;40.0
41.0;92.0;204.0;444.0;90.0;168.0;35.0;86.0;193.0;426.0;84.0;157.0;3.0;10.0;-3.0;37.0
41.0;91.0;203.0;439.0;88.0;164.0;35.0;82.0;187.0;412.0;83.0;154.0;3.0;9.0;-3.0;38.0
41.0;90.0;199.0;437.0;88.0;165.0;32.0;80.0;186.0;407.0;82.0;154.0;4.0;10.0;0.0;41.0
41.0;91.0;203.0;439.0;89.0;164.0;35.0;85.0;188.0;416.0;83.0;152.0;1.0;15.0;0.0;39.0
41.0;89.0;199.0;432.0;86.0;163.0;39.0;89.0;196.0;414.0;82.0;152.0;-2.0;0.0;-5.0;40.0
41.0;89.0;200.0;433.0;88.0;162.0;38.0;87.0;193.0;415.0;82.0;153.0;1.0;8.0;-4.0;42.0
40.0;89.0;197.0;427.0;86.0;162.0;38.0;88.0;192.0;412.0;82.0;154.0;1.0;5.0;-5.0;43.0
40.0;90.0;200.0;435.0;87.0;162.0;34.0;82.0;182.0;401.0;81.0;150.0;1.0;8.0;-9.0;43.0
41.0;90.0;199.0;433.0;87.0;162.0;35.0;82.0;186.0;410.0;82.0;152.0;-7.0;8.0;-12.0;39.0
40.0;89.0;198.0;433.0;86.0;161.0;39.0;89.0;194.0;416.0;83.0;153.0;-2.0;14.0;-9.0;45.0
