OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
792.0;1743.0;3693.0;7010.0;1125.0;1307.0;348.0;1535.0;3208.0;6210.0;1055.0;1323.0;9.0;-11.0;-7.0;0.0
836.0;1915.0;3738.0;6355.0;924.0;965.0;468.0;993.0;2055.0;4043.0;714.0;932.0;-2.0;-11.0;-13.0;0.0
734.0;1355.0;2625.0;4438.0;715.0;738.0;348.0;777.0;1605.0;3161.0;557.0;734.0;-6.0;-11.0;-20.0;-4.0
641.0;1195.0;2410.0;4742.0;766.0;907.0;514.0;1093.0;2256.0;4444.0;779.0;989.0;-6.0;-14.0;-20.0;-4.0
672.0;1650.0;3184.0;5985.0;939.0;1088.0;584.0;1240.0;2521.0;4959.0;862.0;1112.0;-2.0;-18.0;-20.0;-6.0
947.0;1896.0;3658.0;6591.0;1013.0;1172.0;679.0;1429.0;2871.0;5512.0;946.0;1215.0;-5.0;-23.0;-20.0;-6.0
866.0;2031.0;3849.0;6894.0;1096.0;1273.0;647.0;1361.0;2762.0;5283.0;889.0;1134.0;-5.0;-23.0;-20.0;-4.0
757.0;1816.0;3521.0;6656.0;984.0;1152.0;668.0;1415.0;2768.0;5110.0;834.0;1049.0;-2.0;-18.0;-8.0;0.0
602.0;1499.0;2750.0;4860.0;778.0;773.0;413.0;861.0;1712.0;3280.0;567.0;770.0;5.0;-17.0;-2.0;-3.0
535.0;1180.0;2313.0;4177.0;675.0;800.0;406.0;880.0;1819.0;3531.0;615.0;833.0;-3.0;-15.0;-2.0;-3.0
752.0;1492.0;3012.0;5479.0;887.0;1049.0;578.0;1218.0;2444.0;4704.0;796.0;1072.0;9.0;-15.0;-2.0;-3.0
714.0;1673.0;3273.0;5791.0;924.0;1068.0;538.0;1125.0;2290.0;4388.0;738.0;959.0;12.0;-17.0;0.0;-3.0
817.0;1463.0;2831.0;5208.0;775.0;899.0;458.0;972.0;1940.0;3807.0;681.0;978.0;12.0;-17.0;0.0;-4.0
960.0;1861.0;3714.0;7016.0;1183.0;1479.0;937.0;1943.0;3842.0;7132.0;1182.0;1516.0;13.0;-17.0;-7.0;-4.0
1385.0;2677.0;4952.0;8989.0;1349.0;1460.0;889.0;1875.0;3746.0;7071.0;1192.0;1568.0;9.0;-17.0;-7.0;-4.0
1103.0;2695.0;5022.0;9090.0;1354.0;1526.0;994.0;2015.0;3922.0;7284.0;1216.0;1613.0;12.0;-14.0;-12.0;-3.0
1119.0;2803.0;5060.0;9162.0;1327.0;1579.0;1003.0;2082.0;3993.0;7396.0;1206.0;1562.0;9.0;-9.0;-20.0;4.0
1443.0;2777.0;5086.0;8895.0;1380.0;1580.0;950.0;1936.0;3711.0;6772.0;1120.0;1460.0;9.0;-9.0;-20.0;4.0
947.0;2352.0;4601.0;8150.0;1182.0;1460.0;841.0;1733.0;3439.0;6312.0;1059.0;1412.0;-8.0;-9.0;-22.0;0.0
1077.0;2433.0;4614.0;8022.0;1248.0;1449.0;924.0;1924.0;3734.0;6885.0;1143.0;1473.0;0.0;-9.0;-22.0;4.0
1365.0;2507.0;4691.0;8432.0;1301.0;1475.0;929.0;1909.0;3727.0;6797.0;1115.0;1439.0;0.0;-9.0;-22.0;0.0
1057.0;2640.0;4775.0;8558.0;1276.0;1529.0;906.0;1908.0;3765.0;6928.0;1138.0;1474.0;0.0;-14.0;-20.0;0.0
1061.0;2517.0;4802.0;8570.0;1323.0;1542.0;968.0;1966.0;3801.0;6977.0;1151.0;1488.0;-3.0;-14.0;-20.0;6.0
1136.0;2699.0;4994.0;8646.0;1317.0;1555.0;982.0;1995.0;3856.0;7053.0;1165.0;1499.0;-1.0;-14.0;-19.0;14.0
1140.0;2555.0;4817.0;8533.0;1257.0;1497.0;941.0;1912.0;3718.0;6789.0;1120.0;1456.0;-1.0;-14.0;-14.0;6.0
1014.0;2567.0;4568.0;8212.0;1233.0;1467.0;934.0;1907.0;3726.0;6864.0;1133.0;1458.0;-1.0;-14.0;-14.0;9.0
1392.0;2514.0;4774.0;8492.0;1293.0;1501.0;932.0;1943.0;3782.0;6966.0;1144.0;1487.0;-1.0;-14.0;-14.0;10.0
1074.0;2524.0;4655.0;8422.0;1300.0;1531.0;950.0;1930.0;3771.0;6858.0;1125.0;1492.0;-1.0;-12.0;-13.0;9.0
1037.0;2554.0;4683.0;8337.0;1223.0;1491.0;929.0;1914.0;3666.0;6663.0;1086.0;1428.0;-1.0;-12.0;-12.0;2.0
1149.0;2339.0;4371.0;7752.0;1225.0;1393.0;894.0;1831.0;3540.0;6530.0;1071.0;1434.0;-1.0;-14.0;-9.0;2.0
1137.0;2433.0;4464.0;8070.0;1194.0;1445.0;866.0;1785.0;3446.0;6377.0;1067.0;1389.0;3.0;-15.0;-7.0;2.0
1251.0;2400.0;4410.0;7899.0;1165.0;1368.0;864.0;1767.0;3369.0;6221.0;1030.0;1342.0;3.0;-17.0;-7.0;2.0
1220.0;2392.0;4415.0;7555.0;1147.0;1441.0;887.0;1798.0;3482.0;6357.0;1043.0;1374.0;3.0;-17.0;-7.0;2.0
917.0;2341.0;4184.0;7274.0;1143.0;1371.0;817.0;1681.0;3268.0;5970.0;993.0;1294.0;5.0;-17.0;-7.0;2.0
1175.0;2254.0;4048.0;7257.0;1093.0;1337.0;785.0;1607.0;3153.0;5882.0;991.0;1338.0;5.0;-15.0;-6.0;-1.0
1201.0;2257.0;4071.0;7266.0;1111.0;1355.0;784.0;1638.0;3249.0;6002.0;1002.0;1301.0;-1.0;-15.0;-12.0;-1.0
1160.0;2211.0;4059.0;6968.0;1108.0;1301.0;787.0;1624.0;3164.0;5859.0;975.0;1280.0;-1.0;-15.0;-15.0;0.0
1145.0;2113.0;3880.0;6835.0;1101.0;1350.0;786.0;1613.0;3106.0;5704.0;947.0;1222.0;-1.0;-12.0;-15.0;0.0
1052.0;1877.0;3610.0;6330.0;957.0;1196.0;683.0;1416.0;2746.0;5064.0;856.0;1180.0;-1.0;-15.0;-13.0;0.0
672.0;1897.0;3533.0;6300.0;984.0;1191.0;712.0;1471.0;2844.0;5286.0;888.0;1210.0;-3.0;-12.0;-15.0;0.0
677.0;1953.0;3730.0;6291.0;995.0;1177.0;710.0;1464.0;2854.0;5274.0;880.0;1170.0;1.0;-17.0;-14.0;0.0
1055.0;1961.0;3648.0;6202.0;976.0;1199.0;710.0;1483.0;2860.0;5274.0;873.0;1145.0;11.0;-18.0;-14.0;3.0
881.0;1888.0;3689.0;6291.0;964.0;1164.0;704.0;1456.0;2869.0;5369.0;900.0;1187.0;12.0;-20.0;-14.0;0.0
1032.0;1985.0;3590.0;6435.0;1019.0;1161.0;709.0;1465.0;2848.0;5228.0;879.0;1175.0;11.0;-18.0;-18.0;8.0
737.0;1908.0;3621.0;6526.0;984.0;1142.0;694.0;1433.0;2806.0;5207.0;877.0;1148.0;22.0;-18.0;-18.0;6.0
642.0;1881.0;3696.0;6438.0;1015.0;1173.0;682.0;1420.0;2829.0;5328.0;904.0;1184.0;17.0;-18.0;-18.0;6.0
1037.0;1990.0;3605.0;6348.0;1024.0;1183.0;725.0;1504.0;2926.0;5414.0;910.0;1190.0;17.0;-9.0;-19.0;6.0
732.0;1913.0;3564.0;6501.0;966.0;1158.0;703.0;1426.0;2816.0;5187.0;876.0;1174.0;18.0;-6.0;-21.0;4.0
1022.0;1919.0;3521.0;6355.0;963.0;1187.0;688.0;1432.0;2802.0;5133.0;855.0;1140.0;0.0;-6.0;-21.0;-3.0
693.0;1835.0;3579.0;5965.0;934.0;1169.0;664.0;1381.0;2758.0;5120.0;868.0;1122.0;0.0;-8.0;-21.0;-3.0
1014.0;1840.0;3460.0;6189.0;952.0;1145.0;689.0;1409.0;2784.0;5112.0;850.0;1144.0;0.0;-8.0;-21.0;4.0
1009.0;1841.0;3425.0;6154.0;973.0;1175.0;695.0;1439.0;2821.0;5256.0;882.0;1156.0;9.0;-13.0;-16.0;5.0
926.0;1870.0;3603.0;6344.0;997.0;1185.0;686.0;1439.0;2800.0;5192.0;879.0;1164.0;13.0;-18.0;-14.0;6.0
773.0;1899.0;3518.0;6442.0;948.0;1139.0;668.0;1380.0;2704.0;5009.0;847.0;1126.0;10.0;-18.0;-13.0;3.0
981.0;1909.0;3431.0;6100.0;977.0;1152.0;636.0;1320.0;2610.0;4895.0;817.0;1122.0;4.0;-18.0;-14.0;2.0
756.0;1807.0;3382.0;5986.0;922.0;1143.0;680.0;1432.0;2746.0;5048.0;847.0;1148.0;5.0;-18.0;-13.0;2.0
799.0;1819.0;3534.0;6174.0;953.0;1158.0;696.0;1420.0;2811.0;5165.0;867.0;1161.0;5.0;-18.0;-13.0;2.0
995.0;1883.0;3600.0;6390.0;1012.0;1221.0;691.0;1425.0;2802.0;5225.0;880.0;1187.0;10.0;-11.0;-15.0;2.0
800.0;1971.0;3560.0;6258.0;1007.0;1188.0;713.0;1458.0;2884.0;5321.0;882.0;1149.0;5.0;-11.0;-16.0;2.0
