OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
374.0;696.0;1272.0;2306.0;383.0;570.0;229.0;444.0;843.0;1574.0;263.0;414.0;-1.0;3.0;-12.0;5.0
324.0;606.0;1122.0;2037.0;340.0;503.0;198.0;398.0;753.0;1411.0;240.0;394.0;-11.0;4.0;-19.0;5.0
360.0;683.0;1300.0;2430.0;416.0;642.0;277.0;551.0;1053.0;1971.0;334.0;544.0;-10.0;4.0;-19.0;5.0
429.0;809.0;1512.0;2796.0;475.0;741.0;325.0;639.0;1234.0;2317.0;395.0;642.0;-1.0;4.0;-12.0;5.0
515.0;969.0;1833.0;3433.0;590.0;928.0;417.0;826.0;1595.0;3030.0;520.0;840.0;-7.0;4.0;-12.0;7.0
611.0;1137.0;2143.0;3910.0;659.0;1031.0;472.0;922.0;1743.0;3273.0;576.0;951.0;-10.0;2.0;-12.0;0.0
701.0;1308.0;2434.0;4493.0;786.0;1274.0;610.0;1174.0;2238.0;4164.0;729.0;1233.0;-7.0;5.0;-11.0;5.0
867.0;1592.0;2905.0;5352.0;986.0;1799.0;950.0;1793.0;3273.0;5916.0;1042.0;1793.0;-2.0;5.0;-8.0;0.0
1237.0;2158.0;3704.0;6472.0;1160.0;2173.0;1188.0;2200.0;3936.0;6941.0;1175.0;2016.0;-2.0;7.0;-4.0;0.0
1426.0;2405.0;3980.0;6711.0;1171.0;2196.0;1204.0;2192.0;3845.0;6673.0;1139.0;1990.0;0.0;8.0;-4.0;8.0
1433.0;2398.0;3909.0;6519.0;1120.0;2107.0;1169.0;2146.0;3753.0;6512.0;1094.0;1873.0;0.0;6.0;-4.0;8.0
1394.0;2335.0;3759.0;6194.0;1057.0;1990.0;1118.0;2041.0;3581.0;6178.0;1032.0;1745.0;3.0;5.0;-4.0;8.0
1348.0;2235.0;3611.0;5927.0;1004.0;1902.0;1084.0;2005.0;3510.0;5969.0;973.0;1666.0;4.0;7.0;-4.0;8.0
1297.0;2150.0;3466.0;5635.0;956.0;1790.0;1021.0;1856.0;3262.0;5585.0;924.0;1580.0;4.0;1.0;-6.0;11.0
1251.0;2085.0;3347.0;5423.0;911.0;1728.0;999.0;1821.0;3120.0;5267.0;865.0;1487.0;4.0;1.0;-6.0;11.0
1204.0;2011.0;3224.0;5198.0;869.0;1655.0;962.0;1754.0;3034.0;5169.0;830.0;1402.0;4.0;-3.0;-6.0;12.0
1190.0;1970.0;3154.0;5080.0;837.0;1585.0;930.0;1696.0;2965.0;4953.0;794.0;1345.0;2.0;-5.0;-7.0;15.0
1133.0;1893.0;3015.0;4856.0;800.0;1514.0;907.0;1671.0;2906.0;4824.0;761.0;1279.0;2.0;-3.0;-7.0;12.0
1094.0;1827.0;2924.0;4666.0;770.0;1433.0;850.0;1564.0;2749.0;4602.0;732.0;1234.0;-9.0;3.0;-12.0;11.0
1081.0;1801.0;2879.0;4597.0;753.0;1392.0;837.0;1535.0;2645.0;4367.0;700.0;1184.0;-7.0;9.0;-12.0;11.0
1054.0;1755.0;2791.0;4405.0;721.0;1346.0;825.0;1504.0;2592.0;4239.0;666.0;1150.0;-7.0;9.0;-10.0;13.0
1016.0;1692.0;2688.0;4289.0;699.0;1291.0;756.0;1383.0;2426.0;4059.0;652.0;1091.0;-8.0;6.0;-10.0;23.0
962.0;1602.0;2586.0;4141.0;672.0;1224.0;719.0;1294.0;2243.0;3763.0;602.0;1008.0;-12.0;6.0;-12.0;24.0
894.0;1497.0;2429.0;3929.0;637.0;1146.0;648.0;1166.0;2023.0;3406.0;554.0;937.0;-12.0;6.0;-13.0;13.0
825.0;1381.0;2243.0;3682.0;593.0;1017.0;532.0;964.0;1683.0;2944.0;489.0;812.0;-12.0;6.0;-10.0;16.0
707.0;1223.0;2088.0;3548.0;579.0;972.0;524.0;950.0;1683.0;2906.0;482.0;800.0;-12.0;8.0;-7.0;14.0
681.0;1207.0;2092.0;3567.0;585.0;974.0;531.0;976.0;1730.0;3026.0;499.0;814.0;0.0;14.0;-9.0;19.0
702.0;1229.0;2119.0;3611.0;587.0;956.0;516.0;949.0;1727.0;3006.0;488.0;776.0;0.0;7.0;-7.0;14.0
