OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-2.0;83.0;266.0;710.0;141.0;239.0;86.0;154.0;378.0;864.0;184.0;296.0;16.0;-54.0;78.0;-181.0
106.0;239.0;638.0;1553.0;309.0;441.0;176.0;306.0;680.0;1406.0;284.0;438.0;20.0;-54.0;116.0;-209.0
152.0;328.0;786.0;1872.0;347.0;549.0;230.0;388.0;812.0;1651.0;329.0;492.0;16.0;-60.0;117.0;-222.0
152.0;373.0;895.0;1973.0;369.0;563.0;245.0;413.0;834.0;1731.0;330.0;523.0;36.0;-60.0;116.0;-238.0
186.0;376.0;889.0;2028.0;384.0;564.0;260.0;440.0;865.0;1752.0;334.0;504.0;35.0;-62.0;148.0;-246.0
192.0;364.0;868.0;1925.0;381.0;576.0;255.0;425.0;859.0;1740.0;334.0;524.0;43.0;-64.0;126.0;-250.0
140.0;384.0;861.0;1914.0;365.0;560.0;258.0;416.0;856.0;1689.0;328.0;505.0;29.0;-64.0;124.0;-257.0
128.0;352.0;854.0;1905.0;361.0;573.0;249.0;420.0;831.0;1645.0;313.0;504.0;29.0;-64.0;96.0;-257.0
108.0;347.0;792.0;1804.0;345.0;536.0;254.0;418.0;831.0;1647.0;314.0;510.0;23.0;-69.0;132.0;-257.0
167.0;370.0;814.0;1862.0;350.0;553.0;259.0;421.0;853.0;1670.0;319.0;516.0;41.0;-69.0;123.0;-257.0
