OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-27.0;5.0;17.0;27.0;0.0;-10.0;3.0;0.0;-1.0;-8.0;-3.0;0.0;-48.0;60.0;-154.0;172.0
23.0;5.0;17.0;39.0;0.0;-10.0;4.0;-1.0;-2.0;-8.0;-3.0;-5.0;-44.0;87.0;-150.0;238.0
35.0;6.0;15.0;27.0;6.0;-8.0;1.0;-2.0;2.0;12.0;1.0;1.0;-42.0;65.0;-180.0;294.0
75.0;11.0;11.0;48.0;6.0;4.0;-1.0;-3.0;2.0;10.0;1.0;2.0;-37.0;57.0;-184.0;241.0
75.0;14.0;15.0;27.0;6.0;4.0;1.0;-2.0;2.0;10.0;0.0;2.0;-37.0;49.0;-184.0;242.0
108.0;14.0;15.0;33.0;7.0;4.0;-1.0;-3.0;11.0;10.0;0.0;2.0;-23.0;65.0;-180.0;266.0
98.0;20.0;15.0;27.0;6.0;2.0;-1.0;-3.0;-3.0;4.0;0.0;-1.0;37.0;-37.0;143.0;-144.0
108.0;17.0;-3.0;19.0;-1.0;-8.0;4.0;-5.0;-3.0;4.0;0.0;-7.0;89.0;-93.0;330.0;-381.0
107.0;14.0;-3.0;1.0;-1.0;-8.0;4.0;-6.0;-3.0;0.0;0.0;-7.0;100.0;-97.0;368.0;-400.0
105.0;17.0;5.0;1.0;-3.0;-8.0;4.0;-6.0;-3.0;0.0;0.0;-7.0;92.0;-99.0;377.0;-400.0
74.0;19.0;5.0;12.0;-1.0;-14.0;4.0;-6.0;-3.0;0.0;1.0;-10.0;119.0;-99.0;359.0;-400.0
74.0;8.0;5.0;12.0;-3.0;-14.0;1.0;-6.0;-3.0;-6.0;3.0;-7.0;104.0;-97.0;353.0;-387.0
49.0;19.0;4.0;22.0;0.0;-2.0;-5.0;-6.0;-3.0;-6.0;3.0;-6.0;90.0;-89.0;278.0;-294.0
49.0;6.0;5.0;21.0;0.0;-13.0;-5.0;-6.0;-3.0;-6.0;1.0;-6.0;40.0;-27.0;99.0;-109.0
43.0;6.0;5.0;21.0;0.0;-13.0;-5.0;-6.0;-3.0;-6.0;1.0;-6.0;40.0;-26.0;85.0;-97.0
35.0;8.0;-6.0;21.0;-3.0;-9.0;-1.0;-7.0;-3.0;-4.0;1.0;-6.0;40.0;-23.0;85.0;-75.0
43.0;14.0;-6.0;28.0;0.0;-9.0;0.0;-6.0;-2.0;3.0;0.0;-1.0;42.0;-23.0;53.0;-75.0
51.0;8.0;-6.0;30.0;-1.0;-9.0;1.0;-6.0;2.0;-2.0;-3.0;-6.0;42.0;-26.0;85.0;-97.0
60.0;9.0;-6.0;37.0;-1.0;-2.0;0.0;-6.0;2.0;4.0;-3.0;-2.0;53.0;-23.0;90.0;-81.0
51.0;6.0;5.0;1.0;-1.0;-2.0;1.0;-7.0;2.0;3.0;3.0;-1.0;56.0;-18.0;90.0;-81.0
60.0;9.0;5.0;1.0;-1.0;-1.0;3.0;-6.0;5.0;3.0;3.0;-2.0;32.0;-18.0;93.0;-81.0
71.0;17.0;5.0;1.0;-1.0;-2.0;6.0;-5.0;5.0;3.0;3.0;-2.0;-4.0;43.0;-101.0;159.0
61.0;14.0;5.0;3.0;0.0;-2.0;4.0;-3.0;5.0;3.0;4.0;-1.0;-5.0;39.0;-101.0;149.0
