OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
44.0;-33.0;-31.0;-61.0;-11.0;-17.0;2.0;-9.0;-18.0;-41.0;-12.0;-22.0;19.0;-16.0;61.0;-33.0
68.0;0.0;12.0;17.0;0.0;14.0;-1.0;-1.0;-2.0;-14.0;0.0;-6.0;-7.0;-9.0;61.0;-61.0
67.0;1.0;13.0;31.0;0.0;8.0;-1.0;-1.0;0.0;-14.0;0.0;-5.0;-7.0;-15.0;61.0;-61.0
24.0;2.0;-11.0;-4.0;-3.0;-2.0;-1.0;-1.0;-4.0;-18.0;-5.0;-4.0;23.0;-27.0;67.0;-81.0
40.0;6.0;-13.0;-1.0;-1.0;-1.0;12.0;-7.0;10.0;-3.0;-6.0;9.0;11.0;5.0;43.0;-53.0
40.0;6.0;-6.0;-5.0;-1.0;-1.0;15.0;-7.0;11.0;-1.0;-6.0;10.0;9.0;13.0;39.0;-27.0
29.0;-3.0;-6.0;-5.0;-7.0;-8.0;15.0;-7.0;11.0;-3.0;-6.0;9.0;-12.0;37.0;-95.0;98.0
29.0;-3.0;-6.0;-15.0;-7.0;-9.0;10.0;-7.0;4.0;-2.0;-6.0;7.0;-16.0;34.0;-100.0;121.0
23.0;-7.0;-6.0;-29.0;-7.0;-9.0;9.0;-7.0;6.0;-2.0;-6.0;9.0;-16.0;31.0;-106.0;115.0
29.0;-8.0;-7.0;-29.0;-8.0;-8.0;10.0;-7.0;6.0;-13.0;-3.0;6.0;-16.0;31.0;-106.0;74.0
16.0;-8.0;-7.0;-29.0;-8.0;-8.0;12.0;-8.0;9.0;-13.0;-3.0;5.0;-30.0;25.0;-106.0;75.0
