OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-2.0;0.0;0.0;-49.0;22.0;-213.0;91.0
0.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;-2.0;0.0;0.0;-43.0;19.0;-209.0;94.0
0.0;0.0;0.0;-2.0;-1.0;0.0;2.0;1.0;0.0;-2.0;0.0;0.0;-43.0;19.0;-209.0;61.0
0.0;0.0;0.0;-2.0;-1.0;0.0;1.0;0.0;0.0;-2.0;0.0;0.0;-39.0;13.0;-158.0;64.0
0.0;0.0;-1.0;-2.0;-1.0;0.0;2.0;1.0;0.0;-2.0;0.0;0.0;-38.0;13.0;-148.0;64.0
0.0;0.0;-1.0;-2.0;-1.0;0.0;1.0;0.0;0.0;-2.0;0.0;0.0;-38.0;23.0;-148.0;72.0
0.0;0.0;-1.0;-2.0;-1.0;0.0;2.0;0.0;0.0;-2.0;0.0;0.0;-7.0;6.0;-66.0;21.0
0.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;-2.0;0.0;0.0;-7.0;5.0;-66.0;21.0
0.0;1.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-1.0;-2.0;0.0;1.0;-7.0;7.0;-66.0;21.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;-1.0;-1.0;-2.0;0.0;1.0;-38.0;19.0;-177.0;70.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;-1.0;-1.0;-2.0;0.0;1.0;-45.0;26.0;-185.0;110.0
0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-45.0;24.0;-185.0;81.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-45.0;21.0;-185.0;95.0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-45.0;16.0;-185.0;69.0
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-42.0;13.0;-233.0;65.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-42.0;18.0;-233.0;115.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-61.0;30.0;-275.0;100.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;-1.0;-1.0;0.0;0.0;-63.0;23.0;-279.0;138.0
0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;-1.0;-1.0;0.0;0.0;-61.0;30.0;-279.0;120.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;0.0;0.0;-61.0;38.0;-279.0;151.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;-2.0;0.0;0.0;-61.0;25.0;-279.0;115.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;-2.0;0.0;0.0;-61.0;21.0;-294.0;96.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;-1.0;0.0;-1.0;0.0;0.0;-61.0;33.0;-278.0;133.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;-1.0;0.0;-1.0;0.0;0.0;-48.0;24.0;-236.0;126.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;-2.0;0.0;0.0;-59.0;19.0;-284.0;84.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;-1.0;-2.0;0.0;0.0;-59.0;21.0;-284.0;82.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;-2.0;0.0;0.0;-59.0;24.0;-284.0;117.0
0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-2.0;-2.0;0.0;0.0;-74.0;37.0;-366.0;168.0
0.0;1.0;0.0;-1.0;0.0;-1.0;0.0;0.0;-1.0;-3.0;0.0;-1.0;-91.0;76.0;-418.0;316.0
0.0;1.0;0.0;-2.0;-1.0;-1.0;0.0;0.0;-1.0;-5.0;-1.0;-1.0;-91.0;64.0;-418.0;277.0
0.0;0.0;-2.0;-4.0;-1.0;-1.0;0.0;0.0;-1.0;-5.0;-1.0;-1.0;-91.0;40.0;-418.0;177.0
0.0;0.0;-2.0;-4.0;-1.0;-2.0;0.0;0.0;-1.0;-5.0;-1.0;-1.0;-89.0;24.0;-340.0;142.0
0.0;0.0;-2.0;-4.0;-1.0;-2.0;0.0;0.0;-1.0;-4.0;-1.0;-1.0;-69.0;24.0;-315.0;103.0
0.0;0.0;-2.0;-4.0;-1.0;-2.0;0.0;0.0;-2.0;-4.0;-1.0;-1.0;-68.0;34.0;-283.0;134.0
0.0;0.0;-1.0;-4.0;-1.0;-2.0;0.0;-1.0;-2.0;-4.0;-1.0;-1.0;-68.0;27.0;-283.0;103.0
0.0;0.0;-1.0;-3.0;-1.0;-2.0;0.0;-1.0;-2.0;-4.0;-1.0;-1.0;-69.0;24.0;-315.0;90.0
0.0;0.0;-1.0;-3.0;-1.0;-1.0;0.0;-1.0;-2.0;-4.0;-1.0;-1.0;-91.0;53.0;-440.0;227.0
0.0;0.0;0.0;-3.0;-1.0;-1.0;0.0;-1.0;-2.0;-4.0;-1.0;-1.0;-102.0;50.0;-474.0;214.0
0.0;0.0;0.0;-3.0;-1.0;-1.0;0.0;-1.0;-1.0;-4.0;-1.0;-1.0;-102.0;43.0;-474.0;186.0
0.0;0.0;-1.0;-4.0;-1.0;-2.0;0.0;-1.0;-1.0;-4.0;-1.0;-1.0;-91.0;48.0;-440.0;212.0
