OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
123.0;203.0;361.0;712.0;141.0;282.0;210.0;421.0;855.0;1765.0;344.0;582.0;7.0;-4.0;1.0;11.0
594.0;1200.0;2520.0;5110.0;928.0;1379.0;912.0;1715.0;3205.0;5923.0;1001.0;1480.0;6.0;-1.0;2.0;5.0
1200.0;2159.0;3867.0;6645.0;1021.0;1339.0;803.0;1469.0;2657.0;4716.0;766.0;1133.0;6.0;-4.0;2.0;6.0
837.0;1538.0;2825.0;5225.0;890.0;1359.0;939.0;1735.0;3203.0;5836.0;982.0;1471.0;-1.0;-1.0;2.0;6.0
1176.0;2129.0;3795.0;6579.0;1017.0;1382.0;864.0;1586.0;2899.0;5275.0;896.0;1414.0;-1.0;-1.0;2.0;11.0
1248.0;2391.0;4664.0;9019.0;1563.0;2318.0;1664.0;3084.0;5657.0;10228.0;1708.0;2530.0;3.0;-1.0;2.0;12.0
2193.0;3941.0;7091.0;12291.0;1921.0;2611.0;1885.0;3420.0;6176.0;10951.0;1801.0;2667.0;3.0;-2.0;1.0;11.0
2374.0;4358.0;8047.0;14539.0;2416.0;3459.0;2692.0;4875.0;8851.0;15672.0;2586.0;3742.0;9.0;-1.0;-3.0;12.0
3333.0;5937.0;10457.0;16884.0;2618.0;3373.0;2393.0;4301.0;7642.0;13231.0;2096.0;3012.0;7.0;-2.0;1.0;12.0
2608.0;4716.0;8559.0;14958.0;2430.0;3484.0;2767.0;4970.0;8920.0;15603.0;2540.0;3711.0;10.0;-2.0;-5.0;15.0
3389.0;6036.0;10575.0;17092.0;2696.0;3569.0;2668.0;4799.0;8441.0;14524.0;2309.0;3318.0;0.0;-2.0;-6.0;3.0
2918.0;5189.0;9206.0;15708.0;2535.0;3574.0;2856.0;5058.0;8974.0;15566.0;2497.0;3637.0;0.0;-1.0;-6.0;3.0
3292.0;6026.0;11198.0;18214.0;3131.0;4241.0;3440.0;6096.0;10673.0;18241.0;2899.0;4125.0;0.0;0.0;2.0;3.0
3740.0;6580.0;11424.0;17764.0;2866.0;3793.0;2972.0;5220.0;9175.0;15665.0;2490.0;3599.0;7.0;2.0;5.0;2.0
3307.0;5916.0;10535.0;17308.0;2877.0;3976.0;3212.0;5685.0;10067.0;17518.0;2878.0;4271.0;9.0;0.0;6.0;3.0
4208.0;7529.0;13159.0;19102.0;3218.0;4125.0;3196.0;5664.0;9853.0;16554.0;2562.0;3575.0;9.0;0.0;6.0;3.0
3074.0;5309.0;9012.0;14671.0;2209.0;2956.0;2264.0;3914.0;6708.0;11249.0;1752.0;2531.0;9.0;-2.0;7.0;6.0
2075.0;3573.0;6087.0;10057.0;1540.0;2160.0;1601.0;2803.0;4859.0;8225.0;1299.0;1897.0;5.0;-4.0;8.0;3.0
1528.0;2650.0;4527.0;7535.0;1164.0;1680.0;1262.0;2206.0;3796.0;6481.0;1026.0;1523.0;5.0;-4.0;7.0;3.0
1273.0;2214.0;3798.0;6434.0;1014.0;1494.0;1117.0;2001.0;3541.0;6138.0;987.0;1489.0;-5.0;-4.0;4.0;3.0
1304.0;2292.0;3979.0;6748.0;1047.0;1507.0;1114.0;1968.0;3464.0;5879.0;935.0;1376.0;-5.0;-2.0;2.0;6.0
1104.0;1899.0;3221.0;5377.0;826.0;1189.0;813.0;1465.0;2561.0;4390.0;701.0;1047.0;-5.0;-2.0;0.0;14.0
840.0;1446.0;2437.0;4038.0;626.0;914.0;666.0;1165.0;2015.0;3422.0;536.0;803.0;-1.0;0.0;2.0;6.0
384.0;699.0;1275.0;2318.0;375.0;524.0;241.0;484.0;977.0;1904.0;331.0;513.0;17.0;2.0;1.0;9.0
