OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
119.0;206.0;361.0;615.0;96.0;146.0;119.0;202.0;342.0;562.0;86.0;131.0;0.0;21.0;-6.0;19.0
161.0;272.0;475.0;808.0;126.0;191.0;163.0;274.0;454.0;757.0;115.0;177.0;-2.0;14.0;-11.0;24.0
214.0;367.0;622.0;1055.0;163.0;245.0;192.0;332.0;565.0;962.0;151.0;228.0;-4.0;12.0;-11.0;26.0
197.0;335.0;577.0;989.0;153.0;227.0;163.0;278.0;498.0;860.0;140.0;214.0;-5.0;10.0;-17.0;23.0
194.0;328.0;564.0;978.0;152.0;229.0;175.0;302.0;511.0;871.0;144.0;216.0;-4.0;9.0;-13.0;29.0
184.0;318.0;543.0;934.0;147.0;221.0;184.0;317.0;525.0;877.0;138.0;215.0;-5.0;8.0;-20.0;23.0
203.0;351.0;602.0;1007.0;158.0;229.0;194.0;328.0;558.0;904.0;145.0;219.0;-5.0;10.0;-20.0;21.0
220.0;376.0;633.0;1074.0;167.0;243.0;200.0;333.0;556.0;904.0;147.0;229.0;0.0;14.0;-13.0;29.0
198.0;343.0;590.0;979.0;153.0;231.0;195.0;329.0;545.0;911.0;143.0;222.0;1.0;14.0;-13.0;25.0
202.0;351.0;585.0;999.0;158.0;233.0;171.0;298.0;516.0;888.0;142.0;221.0;1.0;13.0;-14.0;21.0
203.0;350.0;600.0;1034.0;168.0;275.0;221.0;396.0;689.0;1216.0;200.0;314.0;2.0;11.0;-14.0;19.0
283.0;497.0;857.0;1487.0;234.0;342.0;222.0;403.0;700.0;1259.0;205.0;317.0;-6.0;5.0;-17.0;27.0
276.0;490.0;850.0;1453.0;229.0;338.0;231.0;405.0;717.0;1222.0;198.0;312.0;-6.0;5.0;-17.0;20.0
233.0;427.0;757.0;1319.0;221.0;347.0;264.0;466.0;840.0;1486.0;252.0;413.0;-6.0;3.0;-17.0;22.0
349.0;627.0;1139.0;2035.0;340.0;526.0;361.0;659.0;1176.0;2030.0;339.0;533.0;-10.0;3.0;-8.0;20.0
428.0;778.0;1387.0;2487.0;409.0;613.0;369.0;679.0;1234.0;2233.0;371.0;593.0;-10.0;9.0;-7.0;20.0
462.0;829.0;1473.0;2576.0;415.0;626.0;389.0;711.0;1266.0;2242.0;374.0;578.0;-6.0;11.0;-7.0;20.0
445.0;798.0;1417.0;2490.0;408.0;623.0;403.0;730.0;1336.0;2352.0;392.0;617.0;-5.0;13.0;-8.0;27.0
476.0;853.0;1516.0;2628.0;420.0;613.0;381.0;690.0;1239.0;2202.0;363.0;572.0;-5.0;9.0;-2.0;27.0
445.0;784.0;1374.0;2330.0;373.0;554.0;380.0;679.0;1192.0;2035.0;328.0;512.0;5.0;18.0;-13.0;35.0
392.0;700.0;1215.0;2116.0;337.0;502.0;328.0;588.0;1049.0;1828.0;297.0;464.0;2.0;9.0;-23.0;27.0
389.0;679.0;1198.0;2081.0;358.0;616.0;440.0;806.0;1434.0;2525.0;428.0;684.0;2.0;5.0;-13.0;22.0
518.0;955.0;1764.0;3210.0;565.0;941.0;638.0;1178.0;2148.0;3839.0;652.0;1037.0;2.0;7.0;-13.0;37.0
751.0;1376.0;2484.0;4329.0;696.0;1008.0;619.0;1128.0;2019.0;3583.0;587.0;897.0;2.0;7.0;-15.0;22.0
