OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
250.0;400.0;690.0;1060.0;156.0;203.0;70.0;160.0;260.0;600.0;113.0;167.0;-7.0;3.0;-19.0;28.0
260.0;410.0;720.0;1130.0;171.0;213.0;110.0;200.0;400.0;700.0;118.0;177.0;-7.0;7.0;-23.0;18.0
280.0;450.0;760.0;1200.0;176.0;216.0;100.0;190.0;380.0;540.0;113.0;176.0;-6.0;9.0;-19.0;22.0
270.0;440.0;750.0;1200.0;179.0;226.0;100.0;190.0;380.0;770.0;137.0;210.0;-7.0;7.0;-23.0;23.0
280.0;440.0;760.0;1140.0;173.0;223.0;130.0;230.0;420.0;750.0;133.0;191.0;-9.0;7.0;-23.0;22.0
270.0;430.0;720.0;1110.0;168.0;220.0;120.0;220.0;410.0;830.0;134.0;189.0;-10.0;7.0;-23.0;18.0
230.0;390.0;670.0;1070.0;165.0;220.0;120.0;220.0;290.0;600.0;127.0;180.0;-10.0;10.0;-21.0;23.0
250.0;420.0;720.0;1160.0;176.0;225.0;150.0;280.0;490.0;830.0;147.0;196.0;-10.0;10.0;-21.0;27.0
290.0;490.0;850.0;1330.0;196.0;254.0;120.0;220.0;370.0;780.0;144.0;216.0;-2.0;10.0;-13.0;34.0
330.0;540.0;920.0;1420.0;212.0;264.0;140.0;240.0;440.0;820.0;154.0;237.0;-9.0;3.0;-20.0;26.0
360.0;580.0;980.0;1530.0;228.0;294.0;120.0;240.0;430.0;880.0;158.0;244.0;-9.0;2.0;-20.0;23.0
320.0;520.0;870.0;1330.0;211.0;271.0;120.0;220.0;420.0;820.0;154.0;235.0;-9.0;3.0;-19.0;25.0
330.0;530.0;920.0;1480.0;222.0;271.0;110.0;180.0;390.0;820.0;158.0;235.0;-7.0;6.0;-19.0;24.0
310.0;500.0;860.0;1360.0;205.0;271.0;120.0;210.0;410.0;890.0;157.0;242.0;-8.0;6.0;-19.0;25.0
310.0;500.0;840.0;1330.0;206.0;275.0;120.0;250.0;430.0;890.0;163.0;252.0;-7.0;6.0;-19.0;24.0
350.0;590.0;980.0;1570.0;235.0;313.0;190.0;310.0;540.0;1000.0;177.0;270.0;-6.0;6.0;-18.0;28.0
380.0;620.0;1060.0;1700.0;250.0;321.0;160.0;290.0;510.0;970.0;180.0;266.0;-7.0;11.0;-19.0;23.0
370.0;610.0;1020.0;1630.0;241.0;310.0;200.0;350.0;590.0;1090.0;180.0;281.0;-1.0;6.0;-18.0;33.0
