OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
137.0;279.0;571.0;1121.0;210.0;352.0;125.0;256.0;527.0;1070.0;201.0;349.0;-19.0;-4.0;-9.0;6.0
115.0;234.0;485.0;945.0;178.0;299.0;104.0;215.0;448.0;906.0;170.0;300.0;-16.0;-6.0;-15.0;1.0
143.0;292.0;594.0;1174.0;219.0;366.0;132.0;267.0;556.0;1120.0;210.0;364.0;-13.0;-7.0;-8.0;6.0
143.0;290.0;589.0;1170.0;217.0;363.0;134.0;273.0;561.0;1126.0;212.0;362.0;-16.0;-5.0;-5.0;8.0
149.0;303.0;612.0;1206.0;227.0;381.0;138.0;281.0;584.0;1175.0;223.0;386.0;-16.0;-1.0;-8.0;8.0
153.0;314.0;637.0;1254.0;231.0;385.0;139.0;288.0;585.0;1173.0;221.0;379.0;-16.0;-1.0;-5.0;3.0
155.0;312.0;630.0;1242.0;232.0;385.0;143.0;296.0;616.0;1236.0;233.0;402.0;-16.0;-2.0;-8.0;4.0
160.0;336.0;687.0;1372.0;257.0;424.0;154.0;323.0;666.0;1345.0;256.0;436.0;-16.0;-2.0;-4.0;0.0
179.0;362.0;729.0;1433.0;266.0;435.0;156.0;322.0;665.0;1329.0;250.0;426.0;-16.0;-2.0;-8.0;3.0
171.0;351.0;708.0;1378.0;257.0;425.0;151.0;311.0;640.0;1278.0;243.0;418.0;-13.0;-2.0;-7.0;0.0
165.0;336.0;685.0;1357.0;255.0;418.0;149.0;309.0;644.0;1294.0;245.0;423.0;-13.0;0.0;-7.0;-2.0
174.0;352.0;714.0;1398.0;262.0;432.0;158.0;324.0;669.0;1334.0;252.0;430.0;-12.0;0.0;-7.0;0.0
