OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
236.0;414.0;724.0;1267.0;210.0;320.0;225.0;396.0;700.0;1190.0;200.0;306.0;-13.0;2.0;-10.0;4.0
224.0;395.0;705.0;1229.0;201.0;308.0;215.0;375.0;656.0;1123.0;192.0;295.0;-13.0;2.0;-10.0;3.0
215.0;379.0;667.0;1171.0;193.0;297.0;208.0;365.0;641.0;1100.0;185.0;292.0;-13.0;2.0;-10.0;6.0
215.0;378.0;668.0;1157.0;193.0;295.0;206.0;361.0;632.0;1088.0;185.0;285.0;-13.0;2.0;-11.0;5.0
217.0;377.0;658.0;1160.0;190.0;293.0;205.0;361.0;631.0;1096.0;186.0;288.0;-15.0;-5.0;-13.0;-1.0
211.0;372.0;654.0;1150.0;191.0;288.0;204.0;365.0;634.0;1092.0;182.0;276.0;-15.0;-5.0;-13.0;-1.0
208.0;362.0;638.0;1122.0;185.0;282.0;197.0;344.0;605.0;1047.0;179.0;273.0;-15.0;-1.0;-11.0;-1.0
206.0;364.0;634.0;1104.0;181.0;274.0;197.0;349.0;614.0;1054.0;176.0;272.0;-15.0;-1.0;-11.0;4.0
249.0;442.0;768.0;1326.0;221.0;337.0;238.0;417.0;729.0;1254.0;214.0;328.0;-13.0;1.0;-9.0;2.0
256.0;449.0;784.0;1327.0;222.0;335.0;236.0;415.0;731.0;1247.0;212.0;323.0;-13.0;0.0;-12.0;3.0
251.0;439.0;768.0;1317.0;218.0;330.0;240.0;413.0;718.0;1240.0;209.0;320.0;-13.0;1.0;-12.0;4.0
247.0;431.0;759.0;1314.0;217.0;330.0;241.0;427.0;740.0;1263.0;211.0;322.0;-13.0;0.0;-12.0;3.0
252.0;443.0;767.0;1324.0;219.0;337.0;248.0;434.0;754.0;1276.0;216.0;338.0;-13.0;0.0;-12.0;1.0
299.0;524.0;912.0;1586.0;261.0;394.0;280.0;489.0;857.0;1471.0;249.0;381.0;-14.0;0.0;-12.0;9.0
289.0;507.0;885.0;1542.0;256.0;385.0;269.0;475.0;831.0;1427.0;239.0;372.0;-18.0;0.0;-12.0;7.0
287.0;504.0;872.0;1502.0;247.0;376.0;278.0;485.0;860.0;1453.0;242.0;365.0;-14.0;3.0;-10.0;9.0
284.0;495.0;860.0;1492.0;246.0;379.0;273.0;471.0;830.0;1424.0;237.0;368.0;-14.0;3.0;-10.0;6.0
286.0;497.0;865.0;1509.0;249.0;376.0;272.0;476.0;837.0;1415.0;234.0;370.0;-14.0;3.0;-10.0;4.0
286.0;498.0;876.0;1498.0;250.0;380.0;269.0;474.0;831.0;1436.0;238.0;373.0;-8.0;5.0;-10.0;3.0
290.0;507.0;892.0;1537.0;251.0;383.0;272.0;483.0;843.0;1431.0;242.0;365.0;-9.0;-3.0;-8.0;9.0
289.0;501.0;873.0;1514.0;251.0;393.0;284.0;501.0;873.0;1505.0;254.0;396.0;-11.0;-3.0;-13.0;5.0
303.0;532.0;932.0;1594.0;272.0;429.0;320.0;561.0;982.0;1684.0;287.0;453.0;-11.0;-1.0;-13.0;5.0
349.0;610.0;1054.0;1840.0;310.0;481.0;346.0;610.0;1065.0;1827.0;304.0;475.0;-9.0;0.0;-11.0;4.0
363.0;636.0;1105.0;1911.0;315.0;478.0;342.0;603.0;1045.0;1802.0;300.0;465.0;-6.0;9.0;-8.0;5.0
