OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
64.0;19.0;61.0;74.0;17.0;29.0;10.0;21.0;42.0;74.0;0.0;25.0;16.0;15.0;11.0;0.0
65.0;29.0;51.0;60.0;11.0;28.0;5.0;8.0;40.0;48.0;0.0;21.0;17.0;15.0;14.0;0.0
62.0;5.0;-16.0;-48.0;-7.0;-7.0;-3.0;-10.0;-19.0;-55.0;-10.0;-10.0;17.0;26.0;0.0;-2.0
62.0;-5.0;-17.0;-54.0;-10.0;-11.0;-3.0;-12.0;-25.0;-64.0;-15.0;-16.0;20.0;18.0;-3.0;-2.0
50.0;-9.0;-17.0;-74.0;-15.0;-19.0;-9.0;-18.0;-28.0;-73.0;-18.0;-18.0;18.0;15.0;-3.0;-4.0
50.0;-19.0;-19.0;-113.0;-20.0;-25.0;-9.0;-18.0;-43.0;-98.0;-23.0;-18.0;18.0;24.0;-1.0;-8.0
48.0;-30.0;-48.0;-142.0;-24.0;-26.0;-9.0;-27.0;-54.0;-122.0;-23.0;-33.0;17.0;11.0;-1.0;-10.0
32.0;-30.0;-58.0;-142.0;-25.0;-26.0;-9.0;-29.0;-56.0;-122.0;-29.0;-33.0;18.0;13.0;0.0;-10.0
10.0;-30.0;-60.0;-142.0;-25.0;-26.0;-9.0;-29.0;-56.0;-122.0;-29.0;-33.0;31.0;11.0;1.0;-10.0
10.0;-23.0;-58.0;-132.0;-24.0;-26.0;-9.0;-27.0;-54.0;-115.0;-23.0;-31.0;12.0;17.0;2.0;-10.0
19.0;-20.0;-48.0;-101.0;-15.0;-24.0;-8.0;-21.0;-40.0;-70.0;-21.0;-19.0;12.0;14.0;1.0;1.0
36.0;-20.0;-59.0;-101.0;-15.0;-24.0;-7.0;-21.0;-40.0;-70.0;-21.0;-19.0;16.0;11.0;-5.0;1.0
23.0;-20.0;-59.0;-113.0;-24.0;-36.0;-7.0;-21.0;-40.0;-85.0;-21.0;-22.0;22.0;11.0;-6.0;-3.0
36.0;-20.0;-59.0;-113.0;-24.0;-36.0;-7.0;-21.0;-40.0;-85.0;-21.0;-22.0;12.0;15.0;-6.0;1.0
24.0;-19.0;-22.0;-77.0;-10.0;-11.0;-5.0;-15.0;-25.0;-44.0;-14.0;-13.0;14.0;19.0;7.0;1.0
46.0;-19.0;-22.0;-33.0;-9.0;-16.0;-6.0;-15.0;-30.0;-69.0;-16.0;-13.0;22.0;15.0;6.0;1.0
18.0;-19.0;-27.0;-33.0;-10.0;-19.0;-6.0;-15.0;-37.0;-73.0;-16.0;-13.0;14.0;20.0;6.0;-2.0
19.0;-19.0;-29.0;-33.0;-10.0;-31.0;-11.0;-17.0;-50.0;-108.0;-23.0;-22.0;34.0;15.0;2.0;-2.0
19.0;-27.0;-57.0;-113.0;-24.0;-31.0;-14.0;-23.0;-55.0;-108.0;-23.0;-27.0;13.0;13.0;2.0;-2.0
13.0;-27.0;-57.0;-113.0;-24.0;-31.0;-14.0;-23.0;-55.0;-108.0;-26.0;-27.0;30.0;17.0;2.0;-3.0
34.0;-27.0;-57.0;-113.0;-24.0;-17.0;-11.0;-23.0;-55.0;-88.0;-23.0;-27.0;13.0;13.0;-1.0;-5.0
34.0;-17.0;-54.0;-101.0;-24.0;-17.0;-3.0;-22.0;-36.0;-69.0;-22.0;-12.0;26.0;13.0;-1.0;-8.0
35.0;0.0;5.0;-23.0;-3.0;12.0;0.0;2.0;4.0;14.0;-9.0;8.0;13.0;13.0;-11.0;-11.0
23.0;-5.0;7.0;-12.0;0.0;0.0;4.0;1.0;-1.0;-8.0;-9.0;0.0;11.0;14.0;-11.0;-8.0
47.0;-5.0;1.0;-12.0;-4.0;0.0;4.0;-7.0;-3.0;-10.0;-9.0;0.0;24.0;14.0;-6.0;-10.0
44.0;-5.0;1.0;-17.0;-4.0;-4.0;1.0;-7.0;-7.0;-13.0;-11.0;-7.0;12.0;18.0;0.0;-6.0
-5.0;12.0;1.0;21.0;4.0;3.0;-5.0;-9.0;1.0;13.0;11.0;0.0;24.0;-7.0;6.0;3.0
