OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
250.0;360.0;670.0;910.0;86.0;90.0;30.0;50.0;30.0;170.0;41.0;22.0;-3.0;10.0;-21.0;51.0
-60.0;-110.0;-180.0;-230.0;-17.0;-35.0;-90.0;-130.0;-170.0;-340.0;-41.0;-35.0;-12.0;13.0;-29.0;43.0
10.0;30.0;80.0;40.0;-17.0;-35.0;-90.0;-130.0;-170.0;-340.0;-41.0;-33.0;-12.0;8.0;-31.0;43.0
50.0;100.0;190.0;110.0;-10.0;-27.0;-90.0;-110.0;-170.0;-330.0;-28.0;-12.0;-12.0;14.0;-31.0;48.0
-60.0;-100.0;-120.0;-200.0;-34.0;-36.0;-70.0;-90.0;-160.0;-200.0;-22.0;-38.0;9.0;-3.0;3.0;11.0
-60.0;-100.0;-120.0;-200.0;-34.0;-36.0;-40.0;-60.0;-150.0;-290.0;-25.0;-38.0;5.0;-2.0;-2.0;17.0
210.0;250.0;470.0;660.0;85.0;94.0;130.0;160.0;280.0;430.0;54.0;63.0;14.0;10.0;-4.0;26.0
190.0;320.0;440.0;710.0;91.0;89.0;120.0;150.0;260.0;390.0;65.0;78.0;14.0;4.0;-9.0;29.0
220.0;390.0;610.0;830.0;109.0;107.0;120.0;150.0;320.0;450.0;77.0;78.0;7.0;3.0;-16.0;34.0
250.0;390.0;550.0;920.0;125.0;138.0;90.0;100.0;200.0;480.0;73.0;108.0;8.0;6.0;-16.0;29.0
320.0;450.0;630.0;900.0;122.0;84.0;100.0;160.0;340.0;430.0;67.0;73.0;-4.0;8.0;0.0;14.0
320.0;480.0;600.0;890.0;116.0;99.0;120.0;170.0;340.0;390.0;68.0;64.0;-4.0;5.0;2.0;11.0
330.0;490.0;710.0;890.0;136.0;107.0;130.0;210.0;360.0;440.0;65.0;47.0;-4.0;4.0;0.0;13.0
190.0;590.0;390.0;560.0;151.0;102.0;40.0;90.0;210.0;300.0;46.0;60.0;-8.0;14.0;-3.0;26.0
