OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
177.0;309.0;510.0;842.0;130.0;187.0;172.0;297.0;493.0;848.0;140.0;209.0;-6.0;-4.0;-4.0;27.0
311.0;555.0;946.0;1562.0;237.0;324.0;241.0;423.0;726.0;1295.0;212.0;301.0;-4.0;-3.0;-4.0;27.0
356.0;634.0;1078.0;1725.0;259.0;352.0;251.0;424.0;764.0;1327.0;219.0;316.0;-4.0;-4.0;-4.0;27.0
375.0;660.0;1107.0;1814.0;274.0;370.0;314.0;517.0;872.0;1475.0;234.0;346.0;-4.0;-1.0;-4.0;34.0
376.0;649.0;1094.0;1824.0;271.0;371.0;344.0;583.0;976.0;1569.0;235.0;351.0;1.0;-1.0;-2.0;28.0
439.0;787.0;1267.0;2085.0;321.0;430.0;357.0;607.0;1028.0;1823.0;279.0;392.0;1.0;-1.0;-2.0;23.0
501.0;881.0;1457.0;2392.0;357.0;471.0;373.0;639.0;1119.0;1949.0;306.0;423.0;1.0;-1.0;-6.0;23.0
530.0;928.0;1564.0;2493.0;381.0;514.0;419.0;720.0;1214.0;2039.0;322.0;445.0;-1.0;-1.0;-11.0;12.0
497.0;851.0;1402.0;2248.0;343.0;461.0;419.0;701.0;1159.0;1807.0;284.0;423.0;-1.0;4.0;-11.0;12.0
492.0;846.0;1377.0;2218.0;343.0;458.0;350.0;611.0;1032.0;1761.0;282.0;395.0;-2.0;0.0;-11.0;13.0
397.0;706.0;1167.0;1917.0;295.0;404.0;323.0;562.0;999.0;1655.0;263.0;374.0;-7.0;0.0;-11.0;6.0
417.0;739.0;1220.0;1971.0;297.0;418.0;380.0;647.0;1087.0;1743.0;272.0;395.0;-10.0;-2.0;-11.0;14.0
438.0;771.0;1325.0;2128.0;321.0;436.0;409.0;700.0;1132.0;1864.0;287.0;413.0;-10.0;0.0;-10.0;14.0
537.0;926.0;1531.0;2422.0;355.0;480.0;410.0;676.0;1170.0;1912.0;298.0;435.0;-16.0;0.0;-9.0;22.0
510.0;879.0;1408.0;2274.0;333.0;457.0;383.0;645.0;1124.0;1874.0;284.0;417.0;-16.0;3.0;-10.0;17.0
