OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-101.0;-166.0;-237.0;-272.0;-43.0;-52.0;-59.0;-87.0;-157.0;-174.0;-23.0;-14.0;5.0;-6.0;7.0;-4.0
518.0;890.0;1466.0;2382.0;350.0;452.0;313.0;579.0;1010.0;1670.0;272.0;402.0;0.0;6.0;-11.0;6.0
713.0;1195.0;1951.0;3149.0;468.0;624.0;490.0;872.0;1494.0;2349.0;367.0;545.0;-1.0;8.0;1.0;9.0
588.0;999.0;1655.0;2656.0;410.0;559.0;438.0;790.0;1334.0;2255.0;368.0;556.0;-4.0;6.0;-8.0;11.0
699.0;1195.0;1989.0;3195.0;486.0;649.0;481.0;867.0;1523.0;2551.0;411.0;597.0;-4.0;16.0;-8.0;5.0
695.0;1200.0;2024.0;3266.0;490.0;669.0;557.0;997.0;1674.0;2721.0;434.0;638.0;-4.0;9.0;-8.0;6.0
826.0;1409.0;2342.0;3743.0;563.0;749.0;608.0;1079.0;1841.0;3077.0;478.0;714.0;-3.0;3.0;-3.0;5.0
971.0;1702.0;2830.0;4678.0;694.0;929.0;760.0;1342.0;2337.0;3893.0;622.0;909.0;-2.0;-1.0;-2.0;3.0
1281.0;2177.0;3619.0;5836.0;872.0;1139.0;935.0;1641.0;2835.0;4724.0;752.0;1094.0;-2.0;-1.0;-2.0;3.0
1436.0;2415.0;3999.0;6351.0;946.0;1240.0;1021.0;1784.0;3045.0;5082.0;804.0;1178.0;-2.0;-1.0;-3.0;2.0
1571.0;2655.0;4373.0;6913.0;1025.0;1333.0;1176.0;2017.0;3370.0;5430.0;856.0;1228.0;-3.0;4.0;-7.0;2.0
1512.0;2560.0;4175.0;6614.0;978.0;1298.0;1139.0;1975.0;3324.0;5397.0;841.0;1207.0;-2.0;8.0;-7.0;0.0
1493.0;2520.0;4146.0;6602.0;990.0;1316.0;1173.0;2009.0;3383.0;5580.0;869.0;1236.0;-2.0;8.0;-7.0;2.0
1593.0;2673.0;4405.0;6980.0;1045.0;1383.0;1199.0;2074.0;3513.0;5810.0;905.0;1312.0;-4.0;16.0;-5.0;2.0
1740.0;2962.0;4811.0;7605.0;1125.0;1472.0;1396.0;2381.0;3920.0;6239.0;972.0;1410.0;-6.0;8.0;2.0;4.0
1790.0;2992.0;4878.0;7670.0;1136.0;1510.0;1413.0;2390.0;3930.0;6275.0;987.0;1403.0;0.0;7.0;3.0;0.0
1744.0;2915.0;4679.0;7355.0;1092.0;1445.0;1381.0;2343.0;3867.0;6139.0;950.0;1361.0;3.0;5.0;2.0;-2.0
1770.0;2947.0;4730.0;7492.0;1102.0;1455.0;1363.0;2305.0;3850.0;6166.0;963.0;1384.0;3.0;7.0;3.0;-2.0
1843.0;3082.0;4985.0;7857.0;1217.0;1706.0;1726.0;2946.0;4899.0;7924.0;1250.0;1864.0;6.0;-4.0;3.0;-2.0
2378.0;4001.0;6594.0;10144.0;1612.0;2261.0;2180.0;3794.0;6356.0;10309.0;1607.0;2339.0;6.0;-4.0;3.0;-2.0
2763.0;4659.0;7640.0;11268.0;1859.0;2573.0;2424.0;4196.0;7106.0;11561.0;1792.0;2581.0;8.0;0.0;11.0;-9.0
3097.0;5198.0;8501.0;12045.0;2048.0;2775.0;2787.0;4716.0;7824.0;12429.0;1919.0;2737.0;6.0;0.0;11.0;-3.0
3218.0;5387.0;8826.0;12294.0;2125.0;2920.0;2971.0;5062.0;8311.0;13160.0;2022.0;2923.0;8.0;0.0;13.0;-6.0
3486.0;5848.0;9521.0;12834.0;2289.0;3150.0;3222.0;5478.0;9030.0;14387.0;2200.0;3136.0;-4.0;1.0;16.0;-3.0
3768.0;6309.0;10156.0;13188.0;2393.0;3262.0;3358.0;5710.0;9434.0;14928.0;2274.0;3220.0;9.0;1.0;16.0;-3.0
3867.0;6363.0;10118.0;13194.0;2351.0;3140.0;3159.0;5372.0;8812.0;13928.0;2122.0;2996.0;9.0;1.0;16.0;-3.0
3479.0;5758.0;9184.0;12481.0;2120.0;2770.0;2725.0;4580.0;7510.0;11866.0;1817.0;2559.0;18.0;4.0;13.0;-6.0
3032.0;5007.0;8066.0;11551.0;1883.0;2553.0;2524.0;4254.0;7042.0;11207.0;1741.0;2468.0;9.0;4.0;25.0;-1.0
3136.0;5171.0;8315.0;11762.0;1959.0;2690.0;2787.0;4720.0;7698.0;12161.0;1876.0;2710.0;11.0;3.0;13.0;-8.0
3322.0;5528.0;8943.0;12268.0;2083.0;2831.0;2809.0;4764.0;7885.0;12513.0;1896.0;2697.0;11.0;3.0;16.0;-9.0
3278.0;5447.0;8719.0;12157.0;2052.0;2827.0;2972.0;4958.0;8149.0;12798.0;1962.0;2827.0;11.0;1.0;16.0;-9.0
3462.0;5771.0;9305.0;12567.0;2190.0;3014.0;3239.0;5458.0;8821.0;13810.0;2109.0;3019.0;11.0;0.0;16.0;-9.0
3672.0;6131.0;9815.0;12951.0;2308.0;3135.0;3303.0;5509.0;8970.0;14025.0;2135.0;2987.0;3.0;0.0;9.0;-9.0
3542.0;5839.0;9357.0;12660.0;2185.0;2944.0;2929.0;4937.0;8120.0;12941.0;1978.0;2808.0;3.0;-1.0;11.0;-10.0
3468.0;5750.0;9244.0;12506.0;2168.0;3021.0;3118.0;5314.0;8752.0;13799.0;2097.0;3006.0;3.0;-1.0;11.0;-16.0
3776.0;6203.0;9951.0;13017.0;2307.0;3151.0;3280.0;5577.0;9114.0;14430.0;2192.0;3103.0;3.0;-1.0;12.0;-13.0
3768.0;6178.0;9774.0;12851.0;2214.0;2893.0;2969.0;4932.0;8043.0;12645.0;1925.0;2751.0;6.0;-1.0;12.0;-13.0
3405.0;5623.0;8998.0;12290.0;2088.0;2839.0;2924.0;4884.0;7985.0;12620.0;1921.0;2730.0;4.0;-1.0;12.0;-13.0
3372.0;5521.0;8978.0;12297.0;2109.0;2883.0;2951.0;5000.0;8238.0;12993.0;1999.0;2856.0;4.0;0.0;17.0;-7.0
3525.0;5776.0;9168.0;12409.0;2108.0;2793.0;2807.0;4737.0;7778.0;12360.0;1891.0;2683.0;4.0;0.0;13.0;-6.0
3229.0;5365.0;8569.0;11893.0;1970.0;2660.0;2642.0;4474.0;7278.0;11618.0;1759.0;2483.0;4.0;0.0;16.0;-6.0
3058.0;5022.0;8030.0;11475.0;1857.0;2520.0;2514.0;4252.0;6995.0;11090.0;1698.0;2423.0;5.0;0.0;14.0;-6.0
3071.0;5038.0;8112.0;11513.0;1898.0;2567.0;2686.0;4525.0;7392.0;11692.0;1787.0;2537.0;6.0;2.0;14.0;-7.0
3178.0;5251.0;8440.0;11800.0;1948.0;2623.0;2670.0;4504.0;7412.0;11706.0;1789.0;2526.0;9.0;2.0;6.0;-12.0
3104.0;5158.0;8291.0;11806.0;1960.0;2721.0;2890.0;4854.0;7924.0;12501.0;1901.0;2704.0;6.0;-4.0;6.0;-16.0
3442.0;5654.0;9115.0;12421.0;2131.0;2931.0;3062.0;5165.0;8497.0;13472.0;2046.0;2919.0;4.0;1.0;5.0;-12.0
3675.0;6031.0;9687.0;12806.0;2238.0;3040.0;3281.0;5468.0;8893.0;13770.0;2099.0;2979.0;5.0;-4.0;7.0;-14.0
3766.0;6204.0;9928.0;12958.0;2306.0;3148.0;3348.0;5645.0;9250.0;14504.0;2200.0;3118.0;1.0;-4.0;5.0;-14.0
3917.0;6436.0;10248.0;13204.0;2396.0;3255.0;3580.0;5974.0;9626.0;15039.0;2277.0;3224.0;1.0;-4.0;5.0;-14.0
4105.0;6730.0;10720.0;13477.0;2473.0;3391.0;3669.0;6162.0;9981.0;15579.0;2362.0;3323.0;1.0;-5.0;4.0;-11.0
4169.0;6865.0;10937.0;13696.0;2541.0;3466.0;3807.0;6341.0;10323.0;16130.0;2425.0;3416.0;6.0;-5.0;4.0;-11.0
4291.0;7013.0;11228.0;13705.0;2573.0;3476.0;3778.0;6305.0;10198.0;15879.0;2386.0;3364.0;6.0;-4.0;4.0;-10.0
4145.0;6784.0;10777.0;13574.0;2519.0;3466.0;3792.0;6303.0;10212.0;16069.0;2410.0;3424.0;1.0;-4.0;6.0;-9.0
4287.0;6995.0;11082.0;13699.0;2547.0;3473.0;3801.0;6380.0;10291.0;15976.0;2392.0;3390.0;0.0;-2.0;2.0;-6.0
4099.0;6705.0;10571.0;13447.0;2428.0;3276.0;3496.0;5828.0;9350.0;14559.0;2197.0;3067.0;0.0;1.0;1.0;-6.0
3550.0;5843.0;9244.0;12471.0;2126.0;2912.0;3104.0;5206.0;8360.0;13013.0;1956.0;2776.0;0.0;1.0;-1.0;-6.0
3286.0;5392.0;8616.0;11951.0;1983.0;2741.0;2887.0;4834.0;7837.0;12210.0;1863.0;2660.0;0.0;2.0;1.0;-6.0
3080.0;5047.0;8123.0;11562.0;1910.0;2678.0;2755.0;4681.0;7697.0;12164.0;1844.0;2642.0;0.0;3.0;2.0;-6.0
3119.0;5140.0;8258.0;11715.0;1971.0;2756.0;2879.0;4860.0;8015.0;12592.0;1936.0;2771.0;0.0;2.0;1.0;-6.0
3248.0;5399.0;8613.0;12063.0;2040.0;2866.0;2976.0;5029.0;8271.0;13140.0;2001.0;2861.0;3.0;-1.0;3.0;-7.0
3326.0;5512.0;8906.0;12260.0;2131.0;2964.0;3162.0;5287.0;8601.0;13539.0;2066.0;2946.0;0.0;-1.0;3.0;-7.0
3571.0;5912.0;9454.0;12680.0;2221.0;3058.0;3216.0;5402.0;8816.0;13952.0;2132.0;3039.0;0.0;-1.0;1.0;-3.0
3626.0;5955.0;9490.0;12681.0;2183.0;2962.0;3041.0;5066.0;8232.0;12996.0;1961.0;2810.0;-1.0;-1.0;-6.0;0.0
3199.0;5286.0;8362.0;11793.0;1942.0;2626.0;2681.0;4480.0;7271.0;11405.0;1735.0;2471.0;-4.0;-1.0;-9.0;0.0
2838.0;4704.0;7571.0;10938.0;1760.0;2419.0;2356.0;4022.0;6594.0;10609.0;1607.0;2291.0;-4.0;-1.0;-9.0;0.0
2529.0;4175.0;6717.0;10108.0;1584.0;2199.0;2238.0;3729.0;6091.0;9577.0;1474.0;2123.0;-5.0;4.0;-13.0;1.0
2429.0;4001.0;6499.0;9914.0;1556.0;2229.0;2226.0;3825.0;6382.0;10082.0;1542.0;2236.0;-4.0;8.0;-9.0;1.0
2640.0;4370.0;7109.0;10622.0;1706.0;2397.0;2473.0;4196.0;6872.0;10871.0;1665.0;2415.0;-3.0;9.0;-9.0;1.0
2855.0;4743.0;7660.0;11242.0;1849.0;2590.0;2588.0;4435.0;7338.0;11762.0;1804.0;2627.0;-3.0;1.0;-9.0;1.0
3079.0;5119.0;8395.0;11832.0;1976.0;2723.0;2676.0;4556.0;7543.0;12032.0;1865.0;2671.0;-5.0;1.0;-10.0;1.0
3173.0;5289.0;8610.0;12025.0;2041.0;2857.0;2914.0;4976.0;8184.0;12911.0;1971.0;2836.0;-4.0;1.0;-9.0;1.0
3409.0;5683.0;9112.0;12458.0;2148.0;2976.0;3093.0;5229.0;8533.0;13521.0;2065.0;2952.0;-5.0;2.0;-10.0;2.0
3640.0;6005.0;9549.0;12686.0;2186.0;2891.0;2851.0;4838.0;8016.0;12681.0;1949.0;2781.0;-5.0;2.0;-6.0;2.0
3423.0;5629.0;9077.0;12425.0;2148.0;2961.0;3091.0;5190.0;8509.0;13439.0;2057.0;2943.0;-4.0;2.0;-3.0;2.0
3644.0;6025.0;9645.0;12799.0;2249.0;3076.0;3196.0;5406.0;8875.0;14075.0;2151.0;3051.0;-4.0;2.0;-3.0;0.0
3856.0;6347.0;10088.0;13061.0;2310.0;3062.0;3072.0;5189.0;8502.0;13397.0;2027.0;2842.0;-5.0;1.0;-5.0;-4.0
3317.0;5456.0;8655.0;11995.0;2002.0;2726.0;2763.0;4652.0;7571.0;12023.0;1826.0;2603.0;-3.0;-1.0;-3.0;-4.0
3177.0;5224.0;8276.0;11642.0;1903.0;2542.0;2524.0;4235.0;6900.0;10976.0;1676.0;2371.0;-3.0;-1.0;-3.0;-1.0
2926.0;4798.0;7697.0;11108.0;1770.0;2390.0;2408.0;4033.0;6571.0;10427.0;1585.0;2236.0;-5.0;-1.0;-5.0;-1.0
2779.0;4559.0;7191.0;10568.0;1625.0;2184.0;2162.0;3639.0;5999.0;9478.0;1444.0;2084.0;-3.0;-2.0;2.0;-6.0
2537.0;4159.0;6596.0;9945.0;1520.0;2055.0;2029.0;3437.0;5606.0;8839.0;1352.0;1931.0;-2.0;-2.0;2.0;-1.0
2389.0;3954.0;6281.0;9594.0;1458.0;2011.0;2060.0;3452.0;5671.0;8935.0;1366.0;1956.0;0.0;-4.0;-5.0;-1.0
2460.0;4049.0;6509.0;9854.0;1509.0;2077.0;2075.0;3529.0;5816.0;9258.0;1415.0;2069.0;0.0;-1.0;-5.0;0.0
2594.0;4291.0;6888.0;10332.0;1608.0;2181.0;2212.0;3743.0;6079.0;9560.0;1474.0;2100.0;0.0;-1.0;2.0;0.0
2587.0;4286.0;6890.0;10452.0;1639.0;2238.0;2185.0;3728.0;6228.0;9974.0;1536.0;2215.0;0.0;-1.0;2.0;0.0
2825.0;4681.0;7519.0;11044.0;1773.0;2456.0;2542.0;4308.0;7093.0;11263.0;1725.0;2476.0;-1.0;-2.0;2.0;-2.0
3170.0;5267.0;8517.0;11874.0;1978.0;2726.0;2824.0;4778.0;7819.0;12355.0;1894.0;2723.0;-1.0;5.0;4.0;-1.0
3410.0;5604.0;9077.0;12388.0;2126.0;2926.0;3027.0;5176.0;8493.0;13482.0;2058.0;2940.0;-1.0;-2.0;-4.0;-2.0
3666.0;6050.0;9734.0;12854.0;2270.0;3121.0;3315.0;5595.0;9155.0;14474.0;2201.0;3131.0;-4.0;-3.0;-9.0;-2.0
3916.0;6426.0;10273.0;13190.0;2397.0;3280.0;3501.0;5862.0;9556.0;15018.0;2288.0;3253.0;-4.0;-3.0;-10.0;-1.0
4100.0;6748.0;10720.0;13505.0;2476.0;3391.0;3632.0;6062.0;9865.0;15573.0;2354.0;3334.0;-3.0;-3.0;-10.0;0.0
4134.0;6773.0;10820.0;13574.0;2505.0;3411.0;3736.0;6233.0;10052.0;15681.0;2359.0;3359.0;-3.0;-3.0;-9.0;4.0
3997.0;6542.0;10428.0;13375.0;2426.0;3322.0;3576.0;5980.0;9671.0;15128.0;2298.0;3263.0;-3.0;-3.0;-9.0;6.0
