OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
291.0;503.0;873.0;1444.0;223.0;324.0;229.0;413.0;695.0;1215.0;185.0;279.0;1.0;-10.0;18.0;-39.0
301.0;535.0;947.0;1591.0;252.0;381.0;316.0;543.0;904.0;1461.0;230.0;341.0;22.0;-10.0;22.0;-39.0
392.0;706.0;1233.0;2042.0;326.0;488.0;314.0;589.0;1041.0;1826.0;295.0;444.0;18.0;-10.0;18.0;-30.0
465.0;815.0;1420.0;2363.0;372.0;555.0;422.0;749.0;1279.0;2107.0;325.0;476.0;14.0;-6.0;18.0;-30.0
401.0;707.0;1242.0;2140.0;337.0;504.0;411.0;727.0;1216.0;2018.0;306.0;453.0;6.0;-3.0;17.0;-30.0
386.0;688.0;1219.0;2039.0;326.0;494.0;373.0;657.0;1076.0;1816.0;289.0;420.0;14.0;-3.0;17.0;-30.0
338.0;600.0;1068.0;1822.0;293.0;454.0;385.0;669.0;1087.0;1792.0;274.0;413.0;10.0;-6.0;13.0;-35.0
425.0;761.0;1336.0;2272.0;367.0;568.0;387.0;716.0;1283.0;2264.0;363.0;556.0;17.0;-6.0;27.0;-35.0
674.0;1202.0;2105.0;3566.0;571.0;855.0;623.0;1105.0;1912.0;3332.0;534.0;810.0;10.0;-5.0;12.0;-35.0
870.0;1540.0;2641.0;4415.0;686.0;1002.0;768.0;1366.0;2343.0;3917.0;601.0;883.0;24.0;-11.0;21.0;-40.0
763.0;1335.0;2304.0;3885.0;616.0;914.0;677.0;1172.0;2011.0;3393.0;541.0;804.0;9.0;-8.0;13.0;-40.0
664.0;1171.0;2039.0;3389.0;543.0;824.0;660.0;1168.0;1984.0;3275.0;501.0;740.0;12.0;-8.0;14.0;-40.0
608.0;1091.0;1896.0;3225.0;518.0;785.0;575.0;1032.0;1806.0;3080.0;478.0;718.0;11.0;-11.0;16.0;-46.0
623.0;1094.0;1912.0;3253.0;518.0;793.0;554.0;999.0;1784.0;3106.0;492.0;745.0;21.0;-21.0;34.0;-78.0
817.0;1441.0;2532.0;4286.0;679.0;1026.0;822.0;1452.0;2485.0;4170.0;650.0;972.0;15.0;-22.0;34.0;-100.0
1156.0;2040.0;3502.0;5834.0;904.0;1324.0;994.0;1760.0;3032.0;5129.0;819.0;1214.0;14.0;-22.0;26.0;-106.0
1336.0;2323.0;3981.0;6599.0;1024.0;1501.0;1089.0;1967.0;3439.0;5911.0;930.0;1372.0;14.0;-23.0;20.0;-109.0
1440.0;2512.0;4304.0;7142.0;1112.0;1625.0;1246.0;2234.0;3890.0;6578.0;1027.0;1511.0;12.0;-26.0;26.0;-123.0
1773.0;3093.0;5302.0;8761.0;1349.0;1927.0;1534.0;2712.0;4676.0;7873.0;1226.0;1794.0;17.0;-30.0;28.0;-141.0
2169.0;3793.0;6439.0;10429.0;1603.0;2267.0;1770.0;3126.0;5422.0;9135.0;1430.0;2075.0;12.0;-35.0;26.0;-151.0
2482.0;4279.0;7231.0;11706.0;1775.0;2505.0;1948.0;3453.0;5956.0;9947.0;1553.0;2241.0;10.0;-37.0;28.0;-152.0
2550.0;4383.0;7351.0;11889.0;1821.0;2582.0;2166.0;3762.0;6355.0;10427.0;1602.0;2310.0;20.0;-39.0;29.0;-159.0
2648.0;4546.0;7637.0;12393.0;1888.0;2695.0;2216.0;3865.0;6653.0;10981.0;1699.0;2434.0;21.0;-39.0;38.0;-159.0
2830.0;4872.0;8185.0;13223.0;2011.0;2846.0;2498.0;4315.0;7242.0;11774.0;1800.0;2581.0;10.0;-39.0;25.0;-159.0
3091.0;5298.0;8861.0;14244.0;2145.0;3035.0;2511.0;4397.0;7520.0;12413.0;1923.0;2748.0;14.0;-39.0;18.0;-152.0
3260.0;5574.0;9298.0;14843.0;2233.0;3146.0;2738.0;4710.0;7958.0;12972.0;1971.0;2826.0;8.0;-35.0;22.0;-150.0
3163.0;5378.0;8943.0;14251.0;2154.0;3061.0;2688.0;4639.0;7784.0;12647.0;1911.0;2736.0;15.0;-33.0;30.0;-150.0
2966.0;5064.0;8429.0;13530.0;2057.0;2959.0;2628.0;4538.0;7646.0;12425.0;1874.0;2654.0;11.0;-33.0;38.0;-150.0
3037.0;5177.0;8571.0;13581.0;2050.0;2938.0;2666.0;4549.0;7568.0;12157.0;1836.0;2626.0;15.0;-33.0;31.0;-150.0
3007.0;5129.0;8517.0;13715.0;2101.0;3006.0;2712.0;4672.0;7858.0;12720.0;1932.0;2768.0;20.0;-34.0;36.0;-159.0
3321.0;5661.0;9424.0;15019.0;2274.0;3220.0;2805.0;4868.0;8200.0;13447.0;2060.0;2926.0;8.0;-34.0;22.0;-159.0
3584.0;6100.0;10147.0;15906.0;2416.0;3401.0;3020.0;5211.0;8766.0;14302.0;2174.0;3090.0;12.0;-36.0;19.0;-160.0
3799.0;6428.0;10615.0;16511.0;2526.0;3531.0;3215.0;5486.0;9164.0;14732.0;2250.0;3171.0;12.0;-37.0;44.0;-160.0
3896.0;6596.0;10882.0;16811.0;2573.0;3603.0;3215.0;5526.0;9211.0;15021.0;2289.0;3253.0;16.0;-39.0;32.0;-165.0
3875.0;6566.0;10824.0;16731.0;2580.0;3625.0;3329.0;5708.0;9525.0;15309.0;2302.0;3257.0;22.0;-39.0;40.0;-165.0
3897.0;6588.0;10830.0;16773.0;2576.0;3634.0;3245.0;5598.0;9417.0;15237.0;2320.0;3281.0;12.0;-42.0;27.0;-165.0
4014.0;6812.0;11172.0;17077.0;2631.0;3704.0;3437.0;5910.0;9829.0;15783.0;2368.0;3348.0;11.0;-42.0;19.0;-165.0
3974.0;6731.0;11115.0;17093.0;2630.0;3719.0;3366.0;5804.0;9690.0;15706.0;2384.0;3361.0;17.0;-42.0;29.0;-165.0
4156.0;7007.0;11517.0;17496.0;2719.0;3797.0;3664.0;6194.0;10175.0;16245.0;2433.0;3435.0;17.0;-38.0;25.0;-162.0
4179.0;7061.0;11507.0;17461.0;2719.0;3829.0;3439.0;5944.0;9957.0;16115.0;2425.0;3460.0;15.0;-38.0;25.0;-161.0
4291.0;7247.0;11900.0;17810.0;2799.0;3903.0;3666.0;6262.0;10388.0;16755.0;2510.0;3538.0;11.0;-37.0;25.0;-161.0
4332.0;7324.0;11990.0;17861.0;2814.0;3937.0;3784.0;6398.0;10505.0;16737.0;2523.0;3571.0;17.0;-38.0;27.0;-160.0
4254.0;7166.0;11686.0;17514.0;2730.0;3844.0;3543.0;6066.0;10078.0;16281.0;2452.0;3458.0;16.0;-39.0;31.0;-151.0
3903.0;6595.0;10788.0;16685.0;2566.0;3678.0;3369.0;5796.0;9631.0;15546.0;2368.0;3361.0;18.0;-39.0;20.0;-151.0
4076.0;6876.0;11238.0;17206.0;2655.0;3781.0;3662.0;6236.0;10334.0;16447.0;2447.0;3443.0;16.0;-37.0;31.0;-149.0
4226.0;7113.0;11694.0;17583.0;2753.0;3891.0;3627.0;6186.0;10314.0;16734.0;2514.0;3525.0;18.0;-37.0;14.0;-149.0
4253.0;7170.0;11760.0;17627.0;2759.0;3895.0;3603.0;6156.0;10266.0;16458.0;2499.0;3550.0;28.0;-37.0;34.0;-148.0
4219.0;7112.0;11667.0;17614.0;2760.0;3884.0;3574.0;6140.0;10235.0;16514.0;2507.0;3534.0;16.0;-31.0;28.0;-144.0
4171.0;7045.0;11553.0;17501.0;2737.0;3877.0;3579.0;6130.0;10249.0;16525.0;2494.0;3529.0;15.0;-29.0;36.0;-144.0
4081.0;6865.0;11197.0;17178.0;2673.0;3804.0;3608.0;6175.0;10262.0;16490.0;2455.0;3455.0;8.0;-29.0;28.0;-146.0
4085.0;6869.0;11326.0;17255.0;2683.0;3816.0;3581.0;6141.0;10233.0;16395.0;2456.0;3499.0;8.0;-29.0;33.0;-145.0
4203.0;7079.0;11627.0;17576.0;2746.0;3896.0;3636.0;6225.0;10402.0;16834.0;2528.0;3567.0;13.0;-37.0;25.0;-145.0
4210.0;7092.0;11658.0;17527.0;2732.0;3861.0;3676.0;6212.0;10246.0;16361.0;2461.0;3499.0;16.0;-37.0;27.0;-146.0
3915.0;6640.0;10897.0;16841.0;2609.0;3730.0;3379.0;5811.0;9771.0;15775.0;2396.0;3411.0;13.0;-37.0;27.0;-146.0
3990.0;6744.0;11076.0;16955.0;2635.0;3767.0;3527.0;5991.0;9905.0;15830.0;2405.0;3433.0;13.0;-35.0;30.0;-145.0
3937.0;6639.0;10899.0;16812.0;2610.0;3730.0;3478.0;5933.0;9885.0;15947.0;2408.0;3411.0;14.0;-35.0;32.0;-144.0
4028.0;6780.0;11163.0;17057.0;2648.0;3774.0;3542.0;6036.0;9979.0;16086.0;2430.0;3438.0;13.0;-24.0;27.0;-130.0
4016.0;6771.0;11120.0;16999.0;2629.0;3749.0;3614.0;6100.0;10012.0;15884.0;2391.0;3398.0;15.0;-24.0;27.0;-120.0
3657.0;6189.0;10151.0;15926.0;2446.0;3524.0;3216.0;5505.0;9225.0;14927.0;2245.0;3192.0;15.0;-23.0;21.0;-120.0
3277.0;5532.0;9167.0;14683.0;2258.0;3306.0;3248.0;5492.0;9020.0;14354.0;2142.0;3027.0;15.0;-24.0;17.0;-117.0
3293.0;5574.0;9253.0;14761.0;2259.0;3272.0;2994.0;5162.0;8674.0;14055.0;2131.0;3032.0;18.0;-24.0;28.0;-115.0
3275.0;5551.0;9164.0;14630.0;2228.0;3250.0;3094.0;5251.0;8731.0;14025.0;2099.0;2972.0;12.0;-24.0;22.0;-113.0
3154.0;5354.0;8853.0;14091.0;2150.0;3132.0;3047.0;5161.0;8527.0;13577.0;2027.0;2880.0;15.0;-22.0;17.0;-107.0
2923.0;4946.0;8229.0;13124.0;2021.0;2977.0;2859.0;4862.0;7979.0;12766.0;1908.0;2741.0;15.0;-24.0;34.0;-107.0
2975.0;5076.0;8449.0;13487.0;2070.0;3036.0;2871.0;4886.0;8094.0;12999.0;1960.0;2815.0;15.0;-24.0;23.0;-112.0
3057.0;5205.0;8646.0;13838.0;2119.0;3084.0;2884.0;4915.0;8167.0;13179.0;1994.0;2852.0;15.0;-24.0;19.0;-112.0
3168.0;5379.0;8950.0;14278.0;2175.0;3147.0;2879.0;4960.0;8296.0;13415.0;2035.0;2901.0;18.0;-24.0;23.0;-110.0
3321.0;5633.0;9330.0;14857.0;2254.0;3261.0;2971.0;5122.0;8609.0;13949.0;2099.0;3001.0;16.0;-26.0;31.0;-112.0
3336.0;5650.0;9340.0;14918.0;2261.0;3266.0;3183.0;5408.0;8852.0;14090.0;2115.0;3004.0;13.0;-26.0;27.0;-118.0
3276.0;5585.0;9234.0;14810.0;2256.0;3264.0;3146.0;5348.0;8877.0;14149.0;2124.0;3018.0;18.0;-26.0;26.0;-110.0
3332.0;5671.0;9348.0;14897.0;2275.0;3281.0;3085.0;5290.0;8807.0;14192.0;2132.0;3018.0;11.0;-26.0;17.0;-110.0
3335.0;5664.0;9375.0;14851.0;2255.0;3264.0;3046.0;5218.0;8651.0;13999.0;2100.0;2996.0;8.0;-19.0;17.0;-73.0
3061.0;5207.0;8602.0;13688.0;2092.0;3061.0;2768.0;4720.0;7890.0;12769.0;1949.0;2799.0;11.0;-13.0;12.0;-56.0
2724.0;4658.0;7727.0;12407.0;1918.0;2829.0;2562.0;4432.0;7395.0;11995.0;1818.0;2614.0;15.0;-7.0;12.0;-48.0
2511.0;4277.0;7144.0;11563.0;1792.0;2670.0;2607.0;4444.0;7284.0;11617.0;1726.0;2479.0;12.0;-7.0;12.0;-33.0
2293.0;3939.0;6547.0;10691.0;1664.0;2507.0;2438.0;4160.0;6837.0;10899.0;1627.0;2338.0;12.0;-7.0;12.0;-32.0
2160.0;3687.0;6149.0;10064.0;1569.0;2361.0;2110.0;3638.0;6175.0;10089.0;1529.0;2205.0;18.0;-5.0;20.0;-32.0
2065.0;3529.0;5928.0;9659.0;1498.0;2262.0;1978.0;3452.0;5819.0;9552.0;1464.0;2121.0;6.0;-7.0;7.0;-32.0
1911.0;3302.0;5555.0;9082.0;1418.0;2165.0;1872.0;3270.0;5562.0;9202.0;1408.0;2061.0;18.0;-7.0;15.0;-32.0
1994.0;3409.0;5723.0;9282.0;1444.0;2161.0;1999.0;3410.0;5643.0;9117.0;1391.0;2027.0;6.0;-5.0;6.0;-14.0
1853.0;3182.0;5363.0;8754.0;1376.0;2094.0;1836.0;3162.0;5322.0;8727.0;1341.0;1957.0;16.0;-4.0;11.0;-9.0
1681.0;2905.0;4919.0;8086.0;1277.0;1953.0;1741.0;3007.0;5083.0;8367.0;1273.0;1848.0;4.0;0.0;5.0;-9.0
1659.0;2867.0;4808.0;7919.0;1246.0;1901.0;1762.0;3006.0;4997.0;8087.0;1223.0;1801.0;10.0;2.0;5.0;0.0
1553.0;2676.0;4547.0;7509.0;1186.0;1831.0;1552.0;2713.0;4625.0;7657.0;1178.0;1729.0;8.0;2.0;5.0;0.0
1567.0;2708.0;4559.0;7569.0;1185.0;1818.0;1708.0;2914.0;4870.0;7800.0;1177.0;1708.0;8.0;6.0;4.0;4.0
1494.0;2580.0;4382.0;7243.0;1142.0;1756.0;1548.0;2663.0;4504.0;7435.0;1139.0;1667.0;13.0;3.0;6.0;0.0
1448.0;2505.0;4215.0;7007.0;1110.0;1706.0;1438.0;2521.0;4294.0;7108.0;1105.0;1628.0;23.0;3.0;6.0;6.0
1416.0;2435.0;4148.0;6912.0;1087.0;1660.0;1508.0;2586.0;4279.0;6974.0;1066.0;1572.0;16.0;6.0;5.0;6.0
1323.0;2290.0;3901.0;6444.0;1024.0;1577.0;1347.0;2353.0;3996.0;6596.0;1015.0;1503.0;15.0;9.0;7.0;23.0
1273.0;2211.0;3743.0;6240.0;992.0;1529.0;1322.0;2279.0;3837.0;6336.0;981.0;1461.0;8.0;10.0;2.0;25.0
1217.0;2111.0;3574.0;5912.0;944.0;1464.0;1350.0;2300.0;3814.0;6087.0;941.0;1393.0;8.0;8.0;2.0;22.0
1107.0;1928.0;3300.0;5527.0;891.0;1396.0;1198.0;2096.0;3546.0;5889.0;908.0;1340.0;7.0;8.0;-1.0;18.0
1095.0;1897.0;3220.0;5429.0;866.0;1356.0;1128.0;1984.0;3382.0;5624.0;874.0;1299.0;7.0;8.0;1.0;22.0
1074.0;1860.0;3166.0;5265.0;844.0;1328.0;1079.0;1916.0;3278.0;5479.0;847.0;1250.0;6.0;3.0;2.0;15.0
1067.0;1863.0;3160.0;5295.0;850.0;1306.0;1120.0;1961.0;3315.0;5474.0;844.0;1252.0;6.0;3.0;4.0;17.0
1037.0;1793.0;3075.0;5176.0;827.0;1289.0;1107.0;1925.0;3271.0;5402.0;828.0;1232.0;4.0;9.0;1.0;4.0
1052.0;1825.0;3104.0;5155.0;820.0;1276.0;1089.0;1906.0;3217.0;5345.0;819.0;1218.0;9.0;10.0;4.0;4.0
1040.0;1803.0;3075.0;5155.0;815.0;1269.0;1034.0;1819.0;3134.0;5214.0;815.0;1208.0;9.0;10.0;6.0;11.0
1007.0;1755.0;3027.0;5033.0;806.0;1252.0;1056.0;1816.0;3081.0;5095.0;797.0;1192.0;13.0;11.0;9.0;12.0
969.0;1685.0;2910.0;4846.0;778.0;1209.0;962.0;1708.0;2946.0;4891.0;763.0;1144.0;12.0;5.0;6.0;12.0
974.0;1685.0;2873.0;4785.0;766.0;1186.0;1061.0;1822.0;3017.0;4895.0;755.0;1121.0;22.0;5.0;9.0;15.0
929.0;1631.0;2774.0;4611.0;738.0;1152.0;940.0;1641.0;2812.0;4674.0;731.0;1089.0;10.0;3.0;2.0;14.0
900.0;1578.0;2670.0;4485.0;720.0;1120.0;914.0;1615.0;2748.0;4613.0;716.0;1071.0;1.0;5.0;-1.0;22.0
869.0;1520.0;2596.0;4334.0;693.0;1085.0;891.0;1576.0;2703.0;4551.0;699.0;1037.0;1.0;10.0;-1.0;19.0
848.0;1486.0;2523.0;4268.0;680.0;1060.0;839.0;1473.0;2555.0;4327.0;681.0;1018.0;1.0;10.0;-2.0;16.0
827.0;1436.0;2468.0;4157.0;668.0;1039.0;809.0;1428.0;2478.0;4173.0;652.0;982.0;4.0;10.0;-1.0;15.0
805.0;1407.0;2434.0;4049.0;646.0;1000.0;901.0;1555.0;2609.0;4202.0;641.0;953.0;4.0;10.0;-1.0;17.0
754.0;1323.0;2266.0;3791.0;605.0;959.0;898.0;1556.0;2581.0;4140.0;623.0;919.0;4.0;11.0;0.0;22.0
776.0;1346.0;2306.0;3820.0;611.0;944.0;743.0;1307.0;2249.0;3786.0;598.0;901.0;3.0;8.0;0.0;17.0
732.0;1278.0;2196.0;3687.0;588.0;924.0;768.0;1353.0;2317.0;3800.0;594.0;879.0;3.0;3.0;0.0;23.0
724.0;1268.0;2168.0;3628.0;574.0;899.0;796.0;1385.0;2345.0;3827.0;579.0;871.0;3.0;8.0;-7.0;17.0
717.0;1251.0;2140.0;3556.0;571.0;886.0;696.0;1233.0;2130.0;3615.0;568.0;841.0;3.0;8.0;-7.0;21.0
677.0;1183.0;2012.0;3370.0;537.0;855.0;742.0;1272.0;2089.0;3442.0;543.0;814.0;4.0;9.0;-7.0;27.0
660.0;1143.0;1971.0;3294.0;533.0;835.0;751.0;1302.0;2190.0;3538.0;533.0;797.0;4.0;13.0;-3.0;16.0
654.0;1141.0;1953.0;3257.0;520.0;807.0;728.0;1248.0;2073.0;3288.0;520.0;775.0;9.0;7.0;2.0;23.0
630.0;1092.0;1881.0;3166.0;505.0;791.0;626.0;1102.0;1893.0;3207.0;506.0;762.0;5.0;11.0;1.0;23.0
598.0;1042.0;1793.0;2991.0;480.0;761.0;631.0;1106.0;1894.0;3147.0;487.0;731.0;7.0;10.0;2.0;23.0
593.0;1037.0;1779.0;2963.0;473.0;740.0;683.0;1187.0;1974.0;3159.0;482.0;712.0;5.0;5.0;1.0;21.0
581.0;1024.0;1743.0;2934.0;471.0;724.0;568.0;1008.0;1745.0;2965.0;468.0;700.0;5.0;5.0;-1.0;20.0
