OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
635.0;1049.0;1710.0;2761.0;423.0;613.0;502.0;883.0;1528.0;2688.0;428.0;649.0;1.0;3.0;6.0;-29.0
1243.0;2040.0;3285.0;5205.0;771.0;1079.0;1009.0;1715.0;2867.0;4658.0;721.0;1049.0;1.0;-5.0;17.0;-37.0
1558.0;2544.0;4162.0;6581.0;989.0;1376.0;1220.0;2093.0;3510.0;5882.0;902.0;1305.0;3.0;-5.0;14.0;-39.0
1900.0;3154.0;5112.0;8109.0;1215.0;1704.0;1511.0;2587.0;4354.0;7311.0;1132.0;1658.0;16.0;-7.0;19.0;-53.0
2664.0;4387.0;7030.0;11010.0;1610.0;2201.0;1981.0;3384.0;5690.0;9336.0;1441.0;2074.0;9.0;-10.0;21.0;-70.0
3318.0;5437.0;8730.0;13376.0;1981.0;2685.0;2565.0;4327.0;7174.0;11644.0;1756.0;2520.0;13.0;-14.0;24.0;-77.0
3845.0;6300.0;10050.0;14922.0;2271.0;3064.0;2982.0;5003.0;8241.0;13208.0;1998.0;2862.0;9.0;-10.0;16.0;-77.0
4399.0;7170.0;11433.0;16198.0;2556.0;3444.0;3274.0;5489.0;9057.0;14646.0;2235.0;3161.0;9.0;-12.0;24.0;-77.0
4245.0;6895.0;11057.0;15934.0;2517.0;3415.0;3419.0;5654.0;9144.0;14379.0;2154.0;3048.0;7.0;-12.0;18.0;-60.0
3523.0;5728.0;9234.0;14113.0;2153.0;3035.0;3082.0;5094.0;8255.0;13112.0;1933.0;2730.0;10.0;-10.0;16.0;-53.0
3266.0;5345.0;8618.0;13354.0;2022.0;2854.0;2711.0;4580.0;7565.0;12249.0;1863.0;2640.0;7.0;-10.0;13.0;-53.0
3316.0;5447.0;8825.0;13561.0;2047.0;2889.0;2786.0;4652.0;7752.0;12497.0;1895.0;2681.0;14.0;-9.0;13.0;-57.0
3450.0;5646.0;9110.0;13960.0;2123.0;2987.0;2883.0;4821.0;7987.0;12822.0;1965.0;2781.0;7.0;-9.0;13.0;-60.0
3668.0;5982.0;9593.0;14492.0;2222.0;3119.0;3000.0;5061.0;8402.0;13536.0;2051.0;2916.0;6.0;-7.0;13.0;-57.0
4109.0;6700.0;10752.0;15657.0;2456.0;3410.0;3442.0;5761.0;9471.0;15182.0;2259.0;3205.0;5.0;-7.0;6.0;-57.0
4641.0;7585.0;12091.0;16750.0;2726.0;3719.0;3598.0;6052.0;9960.0;16052.0;2411.0;3392.0;5.0;-6.0;13.0;-44.0
4247.0;6933.0;11093.0;15994.0;2555.0;3554.0;3708.0;6139.0;9835.0;15479.0;2293.0;3224.0;8.0;-5.0;9.0;-36.0
3608.0;5894.0;9445.0;14449.0;2236.0;3165.0;3215.0;5319.0;8674.0;13832.0;2073.0;2954.0;10.0;-5.0;13.0;-36.0
3760.0;6173.0;9865.0;14797.0;2283.0;3213.0;3163.0;5270.0;8672.0;13971.0;2097.0;2976.0;3.0;-5.0;9.0;-36.0
3441.0;5595.0;9020.0;13900.0;2136.0;3048.0;3046.0;5079.0;8312.0;13359.0;1999.0;2850.0;3.0;-6.0;12.0;-43.0
3880.0;6323.0;10126.0;15042.0;2335.0;3284.0;3297.0;5528.0;9063.0;14560.0;2194.0;3097.0;3.0;-6.0;14.0;-47.0
4201.0;6885.0;11005.0;15873.0;2512.0;3479.0;3563.0;5904.0;9692.0;15446.0;2292.0;3244.0;3.0;-6.0;12.0;-49.0
4332.0;7052.0;11308.0;16125.0;2579.0;3578.0;3789.0;6284.0;10085.0;15811.0;2375.0;3342.0;3.0;-7.0;9.0;-49.0
4519.0;7390.0;11765.0;16498.0;2670.0;3713.0;3906.0;6403.0;10373.0;16304.0;2434.0;3443.0;4.0;-7.0;9.0;-49.0
4605.0;7517.0;12011.0;16679.0;2736.0;3787.0;3797.0;6371.0;10379.0;16498.0;2464.0;3483.0;4.0;-7.0;8.0;-51.0
4526.0;7417.0;11839.0;16565.0;2708.0;3762.0;3893.0;6459.0;10536.0;16656.0;2472.0;3473.0;6.0;-7.0;12.0;-51.0
4414.0;7189.0;11504.0;16267.0;2641.0;3687.0;3916.0;6453.0;10446.0;16400.0;2405.0;3380.0;4.0;-7.0;16.0;-51.0
4296.0;7024.0;11258.0;16107.0;2582.0;3610.0;3734.0;6169.0;9975.0;15825.0;2362.0;3330.0;2.0;-4.0;12.0;-50.0
3794.0;6198.0;9973.0;14942.0;2343.0;3357.0;3365.0;5587.0;9181.0;14682.0;2205.0;3142.0;2.0;-6.0;14.0;-50.0
4014.0;6544.0;10483.0;15424.0;2431.0;3427.0;3590.0;5954.0;9686.0;15338.0;2278.0;3211.0;5.0;-1.0;11.0;-34.0
3994.0;6537.0;10460.0;15438.0;2432.0;3441.0;3568.0;5915.0;9594.0;15208.0;2257.0;3192.0;11.0;-1.0;14.0;-34.0
3696.0;6023.0;9692.0;14715.0;2274.0;3249.0;3414.0;5633.0;9075.0;14239.0;2119.0;3006.0;10.0;-1.0;18.0;-27.0
3230.0;5283.0;8522.0;13225.0;2022.0;2928.0;3022.0;4998.0;8073.0;12783.0;1933.0;2736.0;9.0;-2.0;15.0;-21.0
2976.0;4877.0;7868.0;12344.0;1880.0;2760.0;2762.0;4603.0;7519.0;12100.0;1818.0;2585.0;11.0;-2.0;8.0;-21.0
2841.0;4670.0;7562.0;11883.0;1799.0;2624.0;2623.0;4385.0;7181.0;11527.0;1730.0;2474.0;6.0;-4.0;9.0;-21.0
2693.0;4425.0;7139.0;11284.0;1708.0;2503.0;2500.0;4197.0;6892.0;11008.0;1662.0;2359.0;6.0;-5.0;9.0;-27.0
2556.0;4217.0;6865.0;10814.0;1653.0;2433.0;2513.0;4195.0;6854.0;10957.0;1645.0;2339.0;4.0;-5.0;17.0;-40.0
3062.0;5037.0;8122.0;12707.0;1912.0;2751.0;2942.0;4876.0;7875.0;12453.0;1859.0;2637.0;4.0;-7.0;14.0;-54.0
3712.0;6126.0;9877.0;14842.0;2277.0;3196.0;3160.0;5270.0;8670.0;13827.0;2091.0;2988.0;4.0;-8.0;14.0;-54.0
4113.0;6801.0;10953.0;15806.0;2497.0;3491.0;3449.0;5790.0;9543.0;15328.0;2294.0;3261.0;4.0;-10.0;26.0;-54.0
4578.0;7534.0;12134.0;16810.0;2757.0;3796.0;3917.0;6483.0;10558.0;16582.0;2495.0;3538.0;4.0;-10.0;12.0;-63.0
4828.0;7925.0;12695.0;17191.0;2865.0;3958.0;3958.0;6571.0;10691.0;17060.0;2545.0;3600.0;6.0;-10.0;16.0;-63.0
4261.0;7002.0;11273.0;16185.0;2613.0;3696.0;3971.0;6531.0;10514.0;16407.0;2416.0;3396.0;4.0;-10.0;12.0;-48.0
3984.0;6586.0;10580.0;15576.0;2476.0;3522.0;3589.0;5955.0;9643.0;15392.0;2298.0;3260.0;0.0;-5.0;15.0;-48.0
3715.0;6078.0;9764.0;14762.0;2314.0;3309.0;3393.0;5593.0;9096.0;14528.0;2167.0;3078.0;-2.0;-3.0;12.0;-45.0
3516.0;5755.0;9315.0;14223.0;2192.0;3153.0;3196.0;5303.0;8697.0;13848.0;2074.0;2964.0;-2.0;0.0;15.0;-42.0
3574.0;5877.0;9462.0;14440.0;2231.0;3207.0;3420.0;5600.0;9008.0;14201.0;2121.0;3022.0;0.0;0.0;13.0;-43.0
3838.0;6300.0;10081.0;15047.0;2344.0;3328.0;3465.0;5765.0;9388.0;14793.0;2192.0;3100.0;4.0;-3.0;20.0;-45.0
3568.0;5873.0;9420.0;14370.0;2217.0;3178.0;3229.0;5386.0;8808.0;14039.0;2104.0;2965.0;15.0;-8.0;17.0;-45.0
3475.0;5715.0;9225.0;14140.0;2173.0;3131.0;3229.0;5346.0;8699.0;13821.0;2080.0;2958.0;14.0;-10.0;16.0;-45.0
3750.0;6188.0;9981.0;14966.0;2317.0;3296.0;3340.0;5593.0;9176.0;14603.0;2187.0;3113.0;1.0;-10.0;15.0;-49.0
4003.0;6584.0;10592.0;15564.0;2463.0;3484.0;3647.0;6071.0;9886.0;15687.0;2321.0;3268.0;1.0;-10.0;15.0;-53.0
4345.0;7132.0;11505.0;16306.0;2638.0;3693.0;3668.0;6158.0;10113.0;16121.0;2439.0;3431.0;1.0;-7.0;12.0;-56.0
4202.0;6943.0;11120.0;15996.0;2578.0;3620.0;3782.0;6272.0;10184.0;16142.0;2387.0;3352.0;7.0;-7.0;15.0;-60.0
4283.0;6997.0;11253.0;16143.0;2617.0;3679.0;3861.0;6379.0;10315.0;16244.0;2433.0;3445.0;11.0;-3.0;24.0;-56.0
4427.0;7287.0;11688.0;16467.0;2673.0;3735.0;3879.0;6454.0;10487.0;16520.0;2441.0;3443.0;19.0;-2.0;23.0;-56.0
4174.0;6821.0;11053.0;15999.0;2578.0;3640.0;3672.0;6145.0;10058.0;16106.0;2417.0;3437.0;18.0;-2.0;19.0;-38.0
4073.0;6700.0;10748.0;15708.0;2476.0;3510.0;3582.0;5926.0;9608.0;15301.0;2269.0;3222.0;6.0;0.0;19.0;-15.0
3413.0;5641.0;9112.0;14040.0;2166.0;3141.0;3152.0;5281.0;8630.0;13757.0;2058.0;2931.0;6.0;3.0;3.0;-10.0
3010.0;4975.0;8024.0;12555.0;1928.0;2839.0;3007.0;4964.0;8013.0;12722.0;1868.0;2669.0;0.0;11.0;3.0;-1.0
2682.0;4428.0;7183.0;11401.0;1759.0;2595.0;2598.0;4336.0;7153.0;11473.0;1718.0;2462.0;-2.0;9.0;1.0;4.0
2358.0;3912.0;6402.0;10168.0;1581.0;2359.0;2549.0;4209.0;6776.0;10597.0;1572.0;2258.0;-2.0;8.0;1.0;4.0
2211.0;3672.0;6018.0;9620.0;1493.0;2239.0;2341.0;3896.0;6263.0;9975.0;1485.0;2128.0;-3.0;8.0;-3.0;6.0
2053.0;3447.0;5644.0;9023.0;1395.0;2108.0;2027.0;3456.0;5768.0;9260.0;1405.0;2022.0;-3.0;8.0;-3.0;6.0
