OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
361.0;660.0;1245.0;2381.0;426.0;701.0;461.0;840.0;1525.0;2809.0;484.0;791.0;-1.0;5.0;-4.0;-6.0
605.0;1088.0;2011.0;3780.0;691.0;1157.0;811.0;1465.0;2685.0;4902.0;845.0;1366.0;2.0;5.0;4.0;-6.0
1071.0;1932.0;3551.0;6621.0;1159.0;1803.0;1271.0;2289.0;4109.0;7281.0;1212.0;1859.0;2.0;4.0;8.0;-2.0
1469.0;2576.0;4585.0;8181.0;1371.0;2038.0;1411.0;2535.0;4517.0;7960.0;1306.0;1990.0;-4.0;4.0;4.0;-2.0
1597.0;2758.0;4811.0;8260.0;1315.0;1869.0;1259.0;2245.0;3937.0;6827.0;1114.0;1683.0;0.0;4.0;5.0;-2.0
1346.0;2332.0;4101.0;7204.0;1183.0;1761.0;1232.0;2207.0;3906.0;6835.0;1123.0;1719.0;0.0;4.0;1.0;-2.0
1410.0;2448.0;4312.0;7529.0;1236.0;1839.0;1316.0;2345.0;4115.0;7131.0;1168.0;1787.0;-1.0;5.0;1.0;-8.0
1457.0;2553.0;4584.0;8311.0;1462.0;2356.0;1832.0;3244.0;5760.0;10122.0;1693.0;2617.0;-1.0;5.0;-1.0;-8.0
2238.0;3884.0;6842.0;11965.0;1950.0;2826.0;2086.0;3668.0;6415.0;11104.0;1808.0;2723.0;0.0;2.0;1.0;-8.0
2310.0;3978.0;6962.0;12179.0;1997.0;2962.0;2312.0;4051.0;7076.0;12167.0;1972.0;2997.0;5.0;5.0;1.0;-7.0
2627.0;4578.0;8031.0;14175.0;2397.0;3680.0;3119.0;5429.0;9359.0;16000.0;2606.0;3932.0;6.0;1.0;1.0;-6.0
3633.0;6233.0;10819.0;17783.0;3085.0;4521.0;3936.0;6777.0;11547.0;19380.0;3087.0;4571.0;7.0;1.0;-3.0;-5.0
4300.0;7279.0;12470.0;18940.0;3293.0;4554.0;3823.0;6541.0;11143.0;18568.0;2933.0;4292.0;4.0;1.0;-2.0;-4.0
4049.0;6880.0;11647.0;18315.0;3140.0;4467.0;3844.0;6610.0;11179.0;18509.0;2896.0;4179.0;4.0;10.0;-3.0;-4.0
3861.0;6463.0;10838.0;17183.0;2735.0;3813.0;3108.0;5311.0;9030.0;14988.0;2349.0;3411.0;4.0;8.0;-6.0;1.0
3149.0;5273.0;8791.0;14352.0;2223.0;3183.0;2612.0;4485.0;7598.0;12669.0;1990.0;2956.0;4.0;8.0;-3.0;1.0
2750.0;4606.0;7709.0;12776.0;1987.0;2837.0;2304.0;3972.0;6741.0;11266.0;1770.0;2617.0;4.0;11.0;-2.0;1.0
2468.0;4119.0;6868.0;11351.0;1772.0;2547.0;2062.0;3536.0;5994.0;10019.0;1594.0;2389.0;-2.0;8.0;-4.0;3.0
2275.0;3812.0;6426.0;10808.0;1729.0;2538.0;2089.0;3600.0;6147.0;10326.0;1658.0;2514.0;-7.0;8.0;-4.0;3.0
2452.0;4156.0;7192.0;12544.0;2119.0;3272.0;2855.0;4928.0;8368.0;14072.0;2239.0;3316.0;3.0;8.0;-1.0;4.0
3307.0;5524.0;9337.0;15425.0;2458.0;3508.0;3024.0;5150.0;8679.0;14442.0;2268.0;3331.0;2.0;10.0;0.0;4.0
3412.0;5666.0;9414.0;15259.0;2369.0;3308.0;2804.0;4765.0;8003.0;13257.0;2062.0;3024.0;3.0;10.0;-4.0;4.0
3182.0;5232.0;8611.0;14008.0;2163.0;3041.0;2622.0;4432.0;7419.0;12187.0;1916.0;2804.0;2.0;18.0;-6.0;4.0
2989.0;4899.0;7972.0;12913.0;1976.0;2788.0;2444.0;4113.0;6874.0;11256.0;1742.0;2560.0;2.0;16.0;-6.0;5.0
2866.0;4650.0;7550.0;12128.0;1848.0;2616.0;2332.0;3905.0;6494.0;10620.0;1640.0;2409.0;2.0;10.0;-6.0;4.0
2703.0;4377.0;7055.0;11234.0;1705.0;2424.0;2169.0;3651.0;6036.0;9903.0;1538.0;2294.0;2.0;10.0;-6.0;3.0
2574.0;4220.0;6904.0;11208.0;1729.0;2472.0;2231.0;3728.0;6132.0;9999.0;1542.0;2268.0;2.0;6.0;-6.0;3.0
2380.0;3846.0;6235.0;9920.0;1516.0;2164.0;1961.0;3271.0;5397.0;8762.0;1350.0;1984.0;2.0;3.0;-6.0;3.0
2079.0;3373.0;5439.0;8735.0;1325.0;1913.0;1725.0;2880.0;4781.0;7794.0;1206.0;1788.0;2.0;1.0;-3.0;4.0
1900.0;3075.0;4965.0;7947.0;1206.0;1751.0;1618.0;2690.0;4419.0;7194.0;1106.0;1624.0;2.0;-3.0;-5.0;2.0
1727.0;2791.0;4505.0;7172.0;1098.0;1595.0;1471.0;2446.0;4030.0;6592.0;1012.0;1489.0;2.0;-3.0;0.0;0.0
1576.0;2551.0;4110.0;6554.0;997.0;1451.0;1336.0;2227.0;3648.0;5922.0;914.0;1347.0;2.0;-3.0;-5.0;-2.0
1375.0;2219.0;3563.0;5691.0;869.0;1272.0;1184.0;1965.0;3211.0;5195.0;797.0;1175.0;2.0;3.0;0.0;-2.0
1155.0;1878.0;3027.0;4901.0;751.0;1126.0;1032.0;1727.0;2844.0;4644.0;717.0;1062.0;2.0;3.0;0.0;-9.0
1068.0;1740.0;2822.0;4533.0;701.0;1042.0;975.0;1614.0;2652.0;4283.0;659.0;982.0;3.0;2.0;0.0;-10.0
998.0;1620.0;2624.0;4218.0;653.0;972.0;887.0;1482.0;2448.0;4027.0;618.0;915.0;3.0;4.0;3.0;-10.0
927.0;1510.0;2434.0;3912.0;600.0;893.0;826.0;1375.0;2256.0;3689.0;564.0;844.0;3.0;2.0;3.0;-8.0
782.0;1273.0;2066.0;3356.0;519.0;787.0;722.0;1197.0;1996.0;3267.0;503.0;752.0;2.0;0.0;1.0;-8.0
694.0;1125.0;1835.0;2970.0;466.0;704.0;659.0;1097.0;1799.0;2905.0;454.0;679.0;2.0;0.0;-1.0;-8.0
