OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
150.0;230.0;360.0;550.0;78.0;83.0;30.0;60.0;110.0;170.0;38.0;69.0;-10.0;13.0;-26.0;35.0
200.0;310.0;500.0;760.0;106.0;104.0;50.0;90.0;150.0;270.0;45.0;76.0;-12.0;15.0;-28.0;30.0
160.0;280.0;440.0;680.0;91.0;96.0;60.0;120.0;210.0;400.0;53.0;74.0;-12.0;13.0;-29.0;37.0
170.0;290.0;450.0;670.0;99.0;102.0;50.0;100.0;200.0;380.0;60.0;85.0;-13.0;13.0;-29.0;33.0
160.0;260.0;430.0;650.0;91.0;88.0;0.0;30.0;70.0;190.0;39.0;66.0;-12.0;13.0;-27.0;37.0
100.0;170.0;280.0;440.0;60.0;66.0;0.0;10.0;50.0;160.0;26.0;58.0;-8.0;19.0;-27.0;27.0
100.0;160.0;250.0;390.0;55.0;55.0;0.0;10.0;60.0;190.0;34.0;51.0;-8.0;17.0;-27.0;32.0
170.0;290.0;470.0;740.0;97.0;96.0;0.0;30.0;160.0;280.0;45.0;69.0;-9.0;17.0;-27.0;33.0
130.0;220.0;360.0;560.0;81.0;80.0;50.0;70.0;100.0;240.0;47.0;75.0;-9.0;17.0;-27.0;41.0
190.0;300.0;490.0;730.0;100.0;110.0;70.0;130.0;250.0;440.0;65.0;96.0;-14.0;15.0;-31.0;37.0
