OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
212.0;271.0;466.0;548.0;23.0;-25.0;88.0;190.0;505.0;970.0;145.0;231.0;22.0;0.0;-18.0;-2.0
96.0;335.0;888.0;2005.0;237.0;256.0;88.0;190.0;427.0;903.0;140.0;163.0;17.0;3.0;-18.0;-1.0
81.0;335.0;888.0;2005.0;237.0;256.0;277.0;641.0;1499.0;3042.0;413.0;590.0;22.0;0.0;-18.0;-1.0
143.0;609.0;1008.0;3158.0;743.0;723.0;222.0;467.0;1026.0;2179.0;483.0;672.0;15.0;-4.0;-18.0;-1.0
483.0;828.0;1834.0;5026.0;971.0;1149.0;274.0;641.0;2440.0;4175.0;555.0;585.0;33.0;-6.0;-20.0;-1.0
391.0;828.0;1834.0;4068.0;743.0;869.0;274.0;657.0;1513.0;5370.0;555.0;672.0;18.0;-4.0;-22.0;7.0
483.0;1043.0;2046.0;5026.0;1232.0;869.0;269.0;814.0;1550.0;4175.0;555.0;444.0;27.0;-4.0;-20.0;7.0
333.0;1043.0;2046.0;4068.0;707.0;1228.0;390.0;814.0;1550.0;6216.0;853.0;884.0;19.0;-4.0;-20.0;7.0
585.0;1146.0;2547.0;5797.0;807.0;773.0;797.0;1680.0;3365.0;6201.0;853.0;884.0;29.0;0.0;-20.0;1.0
450.0;787.0;2547.0;5797.0;638.0;1047.0;940.0;1956.0;3848.0;6466.0;879.0;1071.0;19.0;5.0;-22.0;0.0
583.0;1873.0;4155.0;7065.0;815.0;1089.0;883.0;1810.0;3505.0;6201.0;951.0;1195.0;22.0;0.0;-16.0;-6.0
864.0;2047.0;5941.0;6164.0;815.0;1913.0;1206.0;2377.0;4415.0;7247.0;954.0;1067.0;22.0;7.0;-16.0;-7.0
686.0;1308.0;4155.0;6694.0;816.0;925.0;445.0;934.0;2144.0;5584.0;906.0;1023.0;35.0;7.0;-16.0;-8.0
933.0;1807.0;3309.0;6164.0;816.0;893.0;445.0;934.0;1944.0;4025.0;823.0;1425.0;12.0;14.0;-16.0;-11.0
1154.0;2363.0;4353.0;6694.0;838.0;925.0;432.0;916.0;2068.0;4198.0;651.0;828.0;12.0;20.0;-16.0;-11.0
751.0;1439.0;2910.0;4708.0;597.0;925.0;445.0;934.0;2068.0;4025.0;651.0;828.0;1.0;14.0;-19.0;-11.0
745.0;1342.0;1554.0;5049.0;1180.0;1606.0;432.0;1875.0;3626.0;6459.0;943.0;1104.0;1.0;9.0;-19.0;-11.0
745.0;1342.0;2316.0;3870.0;796.0;1265.0;628.0;1227.0;2320.0;3924.0;537.0;624.0;1.0;12.0;-19.0;-8.0
709.0;1342.0;1603.0;5049.0;1054.0;1278.0;880.0;1858.0;2246.0;4613.0;774.0;912.0;6.0;2.0;-19.0;-4.0
709.0;1479.0;3262.0;6948.0;1054.0;1278.0;880.0;1858.0;3668.0;8016.0;1517.0;1711.0;6.0;2.0;-19.0;-4.0
950.0;2410.0;4096.0;9339.0;2022.0;3550.0;1197.0;2317.0;4393.0;8016.0;1367.0;3135.0;21.0;2.0;-19.0;-4.0
950.0;2410.0;4096.0;12710.0;1846.0;2496.0;1762.0;3484.0;6365.0;10356.0;1367.0;1506.0;21.0;2.0;-28.0;-1.0
807.0;1858.0;3098.0;9304.0;2183.0;2292.0;1197.0;2317.0;4393.0;7350.0;1100.0;1856.0;27.0;2.0;-28.0;1.0
1484.0;3015.0;5445.0;8414.0;1086.0;1423.0;707.0;1509.0;3239.0;6369.0;1003.0;1309.0;21.0;3.0;-28.0;1.0
793.0;2037.0;3577.0;5473.0;708.0;816.0;402.0;833.0;1610.0;2991.0;473.0;696.0;34.0;3.0;-34.0;1.0
803.0;1665.0;3295.0;5710.0;725.0;659.0;279.0;561.0;1074.0;2991.0;473.0;696.0;24.0;3.0;-28.0;1.0
793.0;1146.0;2919.0;7003.0;996.0;975.0;417.0;825.0;1576.0;2779.0;404.0;497.0;34.0;3.0;-26.0;5.0
803.0;1665.0;3295.0;7003.0;827.0;1479.0;983.0;952.0;1775.0;3333.0;1494.0;1994.0;29.0;0.0;-25.0;5.0
