OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
271.0;497.0;857.0;1412.0;208.0;232.0;98.0;190.0;339.0;496.0;64.0;79.0;0.0;-2.0;-1.0;2.0
148.0;282.0;516.0;940.0;157.0;210.0;96.0;181.0;341.0;616.0;108.0;165.0;-18.0;5.0;-12.0;-4.0
208.0;389.0;707.0;1377.0;240.0;367.0;206.0;382.0;712.0;1344.0;229.0;376.0;-14.0;4.0;-2.0;-2.0
247.0;454.0;857.0;1615.0;271.0;419.0;231.0;436.0;825.0;1554.0;281.0;475.0;-14.0;2.0;-8.0;-1.0
309.0;584.0;1057.0;1949.0;316.0;445.0;233.0;439.0;809.0;1483.0;272.0;443.0;-13.0;3.0;-8.0;-1.0
313.0;574.0;1064.0;1969.0;351.0;541.0;315.0;592.0;1092.0;2007.0;356.0;556.0;-13.0;3.0;-8.0;-2.0
387.0;717.0;1302.0;2379.0;391.0;544.0;289.0;531.0;969.0;1789.0;322.0;524.0;-13.0;2.0;-8.0;-2.0
368.0;680.0;1237.0;2281.0;397.0;601.0;344.0;635.0;1185.0;2200.0;396.0;638.0;-12.0;3.0;-3.0;-2.0
445.0;819.0;1486.0;2701.0;452.0;641.0;349.0;649.0;1214.0;2183.0;382.0;578.0;-11.0;6.0;-3.0;-2.0
398.0;713.0;1287.0;2304.0;368.0;515.0;273.0;503.0;925.0;1696.0;291.0;457.0;-12.0;8.0;-6.0;-2.0
309.0;581.0;1073.0;2024.0;365.0;575.0;334.0;622.0;1168.0;2094.0;367.0;561.0;-13.0;6.0;-6.0;1.0
392.0;724.0;1314.0;2393.0;402.0;575.0;321.0;591.0;1084.0;1953.0;339.0;523.0;-12.0;4.0;-6.0;1.0
362.0;665.0;1181.0;2114.0;344.0;470.0;251.0;467.0;858.0;1565.0;261.0;408.0;-13.0;5.0;-9.0;-1.0
284.0;512.0;920.0;1618.0;271.0;419.0;246.0;460.0;854.0;1526.0;275.0;449.0;-15.0;8.0;-9.0;-2.0
321.0;599.0;1103.0;2033.0;349.0;522.0;289.0;532.0;988.0;1856.0;325.0;517.0;-15.0;8.0;-6.0;-5.0
362.0;669.0;1219.0;2227.0;367.0;528.0;287.0;531.0;1006.0;1793.0;312.0;485.0;-13.0;10.0;-6.0;-5.0
346.0;631.0;1117.0;1982.0;318.0;430.0;217.0;404.0;756.0;1368.0;233.0;368.0;-13.0;6.0;-3.0;-6.0
258.0;463.0;819.0;1448.0;241.0;362.0;192.0;359.0;669.0;1218.0;207.0;323.0;-12.0;6.0;-3.0;-6.0
