OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
12.0;24.0;51.0;100.0;20.0;36.0;9.0;18.0;41.0;89.0;19.0;33.0;44.0;-44.0;82.0;-61.0
14.0;29.0;59.0;120.0;23.0;41.0;10.0;22.0;49.0;102.0;20.0;37.0;35.0;-43.0;82.0;-61.0
18.0;34.0;72.0;142.0;27.0;49.0;13.0;28.0;59.0;120.0;24.0;46.0;45.0;-43.0;151.0;-107.0
25.0;53.0;106.0;209.0;40.0;71.0;20.0;42.0;90.0;182.0;37.0;68.0;35.0;-48.0;112.0;-136.0
28.0;59.0;121.0;243.0;48.0;85.0;22.0;48.0;108.0;221.0;44.0;79.0;78.0;-56.0;240.0;-210.0
36.0;75.0;152.0;310.0;60.0;105.0;27.0;61.0;131.0;273.0;54.0;97.0;51.0;-56.0;232.0;-210.0
45.0;93.0;188.0;370.0;71.0;123.0;35.0;74.0;157.0;324.0;64.0;114.0;75.0;-56.0;248.0;-210.0
51.0;105.0;215.0;434.0;84.0;143.0;38.0;83.0;175.0;371.0;75.0;139.0;62.0;-67.0;154.0;-181.0
61.0;128.0;265.0;540.0;106.0;179.0;47.0;104.0;226.0;460.0;92.0;168.0;60.0;-63.0;133.0;-181.0
73.0;152.0;314.0;638.0;121.0;204.0;56.0;118.0;255.0;529.0;105.0;187.0;68.0;-63.0;205.0;-181.0
79.0;162.0;336.0;665.0;126.0;213.0;58.0;127.0;274.0;564.0;109.0;197.0;72.0;-63.0;242.0;-181.0
