OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
111.0;209.0;385.0;680.0;112.0;164.0;119.0;217.0;397.0;671.0;105.0;163.0;-4.0;16.0;7.0;25.0
121.0;226.0;415.0;723.0;117.0;168.0;98.0;186.0;373.0;699.0;115.0;170.0;-4.0;15.0;6.0;25.0
162.0;298.0;536.0;945.0;149.0;211.0;160.0;282.0;493.0;862.0;141.0;213.0;-2.0;8.0;12.0;28.0
171.0;321.0;570.0;1003.0;159.0;221.0;148.0;277.0;488.0;866.0;145.0;216.0;-1.0;15.0;12.0;26.0
170.0;308.0;552.0;966.0;156.0;221.0;156.0;283.0;517.0;911.0;141.0;215.0;7.0;14.0;14.0;18.0
164.0;302.0;540.0;940.0;152.0;220.0;118.0;234.0;446.0;861.0;147.0;214.0;0.0;16.0;14.0;14.0
173.0;320.0;571.0;995.0;157.0;226.0;134.0;256.0;490.0;893.0;150.0;225.0;0.0;14.0;17.0;21.0
163.0;308.0;549.0;969.0;156.0;222.0;130.0;246.0;487.0;896.0;150.0;218.0;6.0;8.0;14.0;31.0
177.0;320.0;591.0;1037.0;166.0;235.0;141.0;270.0;511.0;933.0;157.0;238.0;-3.0;7.0;10.0;25.0
186.0;339.0;605.0;1047.0;170.0;241.0;135.0;257.0;498.0;933.0;156.0;239.0;-4.0;10.0;5.0;29.0
187.0;341.0;608.0;1063.0;173.0;244.0;148.0;285.0;535.0;985.0;163.0;245.0;-3.0;10.0;5.0;23.0
186.0;339.0;605.0;1047.0;170.0;241.0;135.0;257.0;498.0;933.0;156.0;239.0;-4.0;10.0;5.0;29.0
188.0;341.0;620.0;1093.0;176.0;251.0;172.0;310.0;549.0;962.0;162.0;248.0;-4.0;11.0;11.0;20.0
219.0;398.0;711.0;1243.0;196.0;282.0;194.0;356.0;630.0;1108.0;180.0;269.0;-9.0;12.0;11.0;15.0
