OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-14.0;-36.0;-43.0;-59.0;-10.0;-24.0;-9.0;-22.0;4.0;-26.0;-12.0;-15.0;7.0;11.0;12.0;-13.0
37.0;67.0;152.0;289.0;71.0;170.0;75.0;151.0;296.0;595.0;136.0;237.0;17.0;-27.0;90.0;-138.0
122.0;232.0;488.0;976.0;185.0;322.0;126.0;265.0;527.0;1024.0;203.0;327.0;15.0;-27.0;75.0;-138.0
201.0;343.0;640.0;1188.0;217.0;357.0;139.0;287.0;537.0;1053.0;210.0;358.0;16.0;-44.0;113.0;-173.0
208.0;368.0;699.0;1331.0;245.0;401.0;176.0;334.0;658.0;1268.0;230.0;385.0;16.0;-47.0;113.0;-196.0
214.0;389.0;750.0;1391.0;252.0;444.0;201.0;367.0;716.0;1436.0;281.0;469.0;30.0;-78.0;165.0;-300.0
278.0;502.0;986.0;1822.0;345.0;597.0;291.0;566.0;1108.0;2108.0;390.0;641.0;54.0;-92.0;211.0;-350.0
384.0;702.0;1329.0;2500.0;461.0;769.0;366.0;698.0;1369.0;2589.0;472.0;781.0;61.0;-92.0;235.0;-350.0
467.0;871.0;1653.0;3049.0;541.0;882.0;436.0;830.0;1578.0;2934.0;529.0;852.0;35.0;-92.0;170.0;-350.0
528.0;937.0;1768.0;3201.0;561.0;889.0;457.0;845.0;1589.0;3000.0;536.0;859.0;39.0;-69.0;145.0;-298.0
529.0;935.0;1736.0;3200.0;552.0;863.0;424.0;805.0;1526.0;2921.0;514.0;807.0;31.0;-52.0;107.0;-232.0
490.0;881.0;1620.0;2960.0;507.0;786.0;385.0;720.0;1338.0;2528.0;450.0;716.0;31.0;-52.0;103.0;-219.0
442.0;794.0;1443.0;2623.0;461.0;755.0;398.0;732.0;1381.0;2540.0;464.0;747.0;31.0;-52.0;123.0;-219.0
462.0;825.0;1530.0;2706.0;467.0;721.0;363.0;675.0;1292.0;2392.0;424.0;682.0;21.0;-52.0;91.0;-208.0
427.0;758.0;1383.0;2496.0;431.0;701.0;363.0;691.0;1292.0;2371.0;421.0;666.0;24.0;-52.0;114.0;-218.0
427.0;741.0;1362.0;2465.0;435.0;700.0;373.0;664.0;1243.0;2289.0;404.0;669.0;24.0;-56.0;88.0;-218.0
414.0;742.0;1352.0;2442.0;418.0;667.0;335.0;628.0;1193.0;2187.0;404.0;643.0;32.0;-56.0;119.0;-234.0
399.0;713.0;1331.0;2429.0;425.0;682.0;354.0;667.0;1243.0;2280.0;412.0;660.0;39.0;-61.0;138.0;-253.0
410.0;726.0;1336.0;2465.0;435.0;720.0;369.0;694.0;1308.0;2479.0;449.0;728.0;41.0;-85.0;173.0;-340.0
460.0;823.0;1505.0;2772.0;489.0;807.0;411.0;785.0;1466.0;2780.0;496.0;808.0;36.0;-95.0;181.0;-353.0
516.0;914.0;1697.0;3104.0;550.0;902.0;478.0;893.0;1671.0;3134.0;554.0;880.0;37.0;-99.0;197.0;-364.0
565.0;1013.0;1887.0;3437.0;598.0;959.0;543.0;1006.0;1840.0;3399.0;590.0;946.0;48.0;-101.0;176.0;-376.0
605.0;1094.0;2016.0;3660.0;632.0;1002.0;517.0;957.0;1837.0;3372.0;604.0;967.0;56.0;-101.0;196.0;-376.0
634.0;1150.0;2094.0;3763.0;648.0;1035.0;545.0;1020.0;1889.0;3553.0;625.0;1006.0;63.0;-104.0;224.0;-431.0
640.0;1158.0;2144.0;3866.0;676.0;1077.0;545.0;1033.0;1967.0;3644.0;652.0;1040.0;50.0;-122.0;240.0;-485.0
692.0;1242.0;2280.0;4090.0;710.0;1133.0;638.0;1153.0;2125.0;3922.0;697.0;1113.0;80.0;-128.0;290.0;-517.0
699.0;1257.0;2337.0;4229.0;749.0;1201.0;683.0;1249.0;2327.0;4191.0;739.0;1164.0;81.0;-128.0;300.0;-517.0
765.0;1369.0;2525.0;4557.0;777.0;1215.0;642.0;1207.0;2255.0;4174.0;733.0;1162.0;67.0;-128.0;268.0;-517.0
752.0;1369.0;2474.0;4455.0;765.0;1213.0;681.0;1240.0;2299.0;4160.0;727.0;1160.0;59.0;-125.0;230.0;-456.0
762.0;1370.0;2516.0;4477.0;757.0;1189.0;659.0;1204.0;2246.0;4069.0;710.0;1131.0;44.0;-84.0;153.0;-322.0
734.0;1336.0;2418.0;4284.0;732.0;1136.0;638.0;1159.0;2162.0;3926.0;681.0;1072.0;28.0;-84.0;129.0;-322.0
693.0;1238.0;2278.0;4083.0;683.0;1075.0;608.0;1120.0;2075.0;3757.0;641.0;1012.0;30.0;-84.0;124.0;-322.0
659.0;1201.0;2155.0;3892.0;656.0;1039.0;589.0;1087.0;2007.0;3582.0;628.0;1006.0;26.0;-95.0;185.0;-347.0
645.0;1176.0;2189.0;3936.0;681.0;1112.0;609.0;1146.0;2180.0;3900.0;691.0;1114.0;54.0;-95.0;249.0;-366.0
746.0;1318.0;2439.0;4399.0;765.0;1240.0;692.0;1293.0;2387.0;4362.0;771.0;1225.0;68.0;-102.0;261.0;-376.0
799.0;1445.0;2650.0;4828.0;821.0;1289.0;734.0;1351.0;2483.0;4487.0;765.0;1220.0;48.0;-102.0;197.0;-376.0
812.0;1442.0;2604.0;4696.0;802.0;1264.0;728.0;1319.0;2432.0;4409.0;766.0;1193.0;64.0;-102.0;202.0;-376.0
776.0;1415.0;2549.0;4537.0;773.0;1183.0;671.0;1242.0;2260.0;4076.0;710.0;1117.0;60.0;-102.0;157.0;-376.0
717.0;1296.0;2356.0;4277.0;736.0;1181.0;670.0;1240.0;2334.0;4187.0;731.0;1160.0;60.0;-110.0;241.0;-453.0
766.0;1402.0;2546.0;4594.0;788.0;1253.0;726.0;1344.0;2455.0;4500.0;779.0;1230.0;76.0;-132.0;271.0;-527.0
817.0;1485.0;2697.0;4924.0;835.0;1326.0;789.0;1453.0;2685.0;4801.0;835.0;1300.0;77.0;-139.0;305.0;-546.0
886.0;1554.0;2853.0;5114.0;876.0;1389.0;801.0;1457.0;2705.0;4990.0;851.0;1352.0;68.0;-139.0;311.0;-546.0
925.0;1668.0;2999.0;5420.0;928.0;1446.0;831.0;1526.0;2839.0;5114.0;892.0;1382.0;51.0;-139.0;280.0;-546.0
937.0;1683.0;3049.0;5463.0;915.0;1413.0;829.0;1501.0;2806.0;5008.0;854.0;1330.0;60.0;-110.0;219.0;-467.0
911.0;1629.0;2916.0;5160.0;878.0;1378.0;789.0;1458.0;2664.0;4825.0;837.0;1311.0;62.0;-110.0;216.0;-467.0
852.0;1524.0;2823.0;5001.0;853.0;1335.0;762.0;1414.0;2598.0;4668.0;814.0;1282.0;50.0;-110.0;227.0;-467.0
860.0;1555.0;2807.0;5039.0;850.0;1344.0;761.0;1386.0;2571.0;4663.0;813.0;1292.0;62.0;-131.0;277.0;-513.0
876.0;1583.0;2847.0;5100.0;876.0;1370.0;791.0;1446.0;2699.0;4844.0;837.0;1324.0;61.0;-131.0;271.0;-513.0
872.0;1584.0;2923.0;5235.0;884.0;1372.0;798.0;1452.0;2683.0;4825.0;834.0;1326.0;50.0;-131.0;267.0;-513.0
884.0;1590.0;2890.0;5182.0;885.0;1397.0;797.0;1464.0;2695.0;4906.0;843.0;1346.0;62.0;-131.0;236.0;-526.0
883.0;1606.0;2923.0;5203.0;876.0;1376.0;808.0;1476.0;2713.0;4838.0;839.0;1324.0;62.0;-132.0;242.0;-526.0
889.0;1605.0;2900.0;5202.0;895.0;1408.0;845.0;1549.0;2820.0;5068.0;876.0;1383.0;74.0;-143.0;297.0;-552.0
928.0;1684.0;3064.0;5461.0;937.0;1487.0;901.0;1630.0;2990.0;5354.0;928.0;1467.0;82.0;-150.0;331.0;-616.0
1005.0;1821.0;3293.0;5881.0;994.0;1567.0;928.0;1699.0;3117.0;5642.0;972.0;1517.0;75.0;-152.0;325.0;-626.0
1043.0;1882.0;3399.0;6056.0;1031.0;1626.0;974.0;1806.0;3254.0;5823.0;993.0;1563.0;73.0;-165.0;344.0;-674.0
1069.0;1917.0;3506.0;6219.0;1054.0;1650.0;993.0;1804.0;3333.0;5989.0;1027.0;1593.0;91.0;-166.0;368.0;-674.0
1128.0;2020.0;3639.0;6445.0;1080.0;1690.0;1060.0;1913.0;3471.0;6184.0;1044.0;1647.0;94.0;-168.0;349.0;-674.0
1144.0;2052.0;3711.0;6588.0;1111.0;1715.0;1032.0;1896.0;3458.0;6100.0;1045.0;1649.0;83.0;-168.0;334.0;-652.0
1151.0;2061.0;3689.0;6565.0;1113.0;1728.0;1073.0;1940.0;3516.0;6296.0;1066.0;1656.0;68.0;-166.0;341.0;-651.0
1187.0;2091.0;3792.0;6679.0;1112.0;1724.0;1060.0;1922.0;3487.0;6178.0;1049.0;1656.0;64.0;-138.0;286.0;-550.0
1154.0;2085.0;3748.0;6564.0;1098.0;1678.0;1040.0;1870.0;3380.0;6037.0;1019.0;1604.0;57.0;-138.0;274.0;-548.0
1120.0;1993.0;3582.0;6316.0;1059.0;1647.0;978.0;1789.0;3262.0;5797.0;988.0;1544.0;81.0;-131.0;285.0;-540.0
1106.0;1952.0;3512.0;6130.0;1039.0;1612.0;997.0;1808.0;3303.0;5863.0;994.0;1559.0;76.0;-130.0;282.0;-518.0
1120.0;1999.0;3557.0;6267.0;1054.0;1624.0;997.0;1828.0;3316.0;5841.0;996.0;1551.0;51.0;-123.0;233.0;-491.0
1096.0;1968.0;3565.0;6207.0;1037.0;1594.0;979.0;1770.0;3243.0;5704.0;972.0;1509.0;53.0;-124.0;218.0;-491.0
1063.0;1903.0;3422.0;6014.0;1003.0;1548.0;959.0;1741.0;3160.0;5648.0;947.0;1482.0;61.0;-124.0;241.0;-491.0
1016.0;1814.0;3325.0;5894.0;987.0;1541.0;944.0;1721.0;3127.0;5591.0;951.0;1493.0;53.0;-124.0;247.0;-509.0
1017.0;1843.0;3353.0;5956.0;998.0;1551.0;934.0;1729.0;3150.0;5632.0;948.0;1481.0;81.0;-133.0;280.0;-525.0
1025.0;1840.0;3306.0;5942.0;1005.0;1564.0;955.0;1748.0;3173.0;5712.0;972.0;1516.0;62.0;-139.0;289.0;-567.0
