OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
58.0;90.0;190.0;306.0;50.0;78.0;34.0;64.0;102.0;199.0;48.0;89.0;25.0;-20.0;67.0;-126.0
75.0;139.0;298.0;565.0;109.0;210.0;99.0;186.0;340.0;685.0;134.0;223.0;32.0;-41.0;118.0;-186.0
157.0;293.0;544.0;1040.0;193.0;320.0;146.0;275.0;513.0;1008.0;193.0;324.0;24.0;-41.0;112.0;-191.0
205.0;371.0;762.0;1405.0;247.0;407.0;185.0;347.0;663.0;1263.0;232.0;379.0;29.0;-47.0;97.0;-203.0
241.0;449.0;861.0;1575.0;275.0;441.0;226.0;405.0;760.0;1420.0;259.0;426.0;44.0;-52.0;164.0;-296.0
275.0;496.0;947.0;1741.0;307.0;503.0;247.0;456.0;856.0;1613.0;290.0;487.0;59.0;-68.0;205.0;-324.0
314.0;564.0;1081.0;1995.0;354.0;580.0;280.0;520.0;994.0;1898.0;338.0;564.0;51.0;-92.0;186.0;-381.0
362.0;647.0;1222.0;2236.0;382.0;594.0;275.0;525.0;989.0;1896.0;330.0;549.0;46.0;-98.0;214.0;-388.0
355.0;642.0;1201.0;2218.0;391.0;638.0;329.0;598.0;1126.0;2093.0;383.0;634.0;64.0;-101.0;241.0;-427.0
403.0;731.0;1390.0;2579.0;455.0;732.0;385.0;711.0;1317.0;2471.0;440.0;720.0;69.0;-103.0;252.0;-448.0
462.0;836.0;1584.0;2882.0;508.0;813.0;428.0;793.0;1483.0;2728.0;485.0;793.0;71.0;-115.0;265.0;-513.0
501.0;910.0;1697.0;3115.0;546.0;877.0;457.0;847.0;1587.0;2930.0;514.0;843.0;71.0;-133.0;310.0;-570.0
550.0;1005.0;1846.0;3382.0;589.0;948.0;513.0;935.0;1718.0;3196.0;572.0;931.0;85.0;-150.0;380.0;-691.0
615.0;1121.0;2060.0;3741.0;654.0;1037.0;561.0;1031.0;1884.0;3519.0;615.0;1000.0;99.0;-165.0;360.0;-698.0
634.0;1154.0;2164.0;3909.0;684.0;1088.0;595.0;1073.0;2005.0;3669.0;649.0;1049.0;94.0;-183.0;383.0;-743.0
681.0;1236.0;2273.0;4123.0;724.0;1146.0;601.0;1113.0;2089.0;3883.0;687.0;1112.0;119.0;-187.0;435.0;-809.0
727.0;1319.0;2438.0;4417.0;768.0;1211.0;661.0;1217.0;2252.0;4161.0;728.0;1178.0;113.0;-214.0;447.0;-865.0
756.0;1377.0;2556.0;4634.0;802.0;1282.0;709.0;1314.0;2395.0;4386.0;767.0;1252.0;140.0;-214.0;477.0;-865.0
807.0;1472.0;2720.0;4905.0;847.0;1343.0;724.0;1342.0;2500.0;4605.0;800.0;1300.0;130.0;-214.0;485.0;-865.0
848.0;1541.0;2827.0;5152.0;888.0;1402.0;772.0;1415.0;2642.0;4809.0;847.0;1354.0;102.0;-205.0;439.0;-863.0
887.0;1598.0;2963.0;5311.0;916.0;1436.0;798.0;1473.0;2727.0;4921.0;857.0;1386.0;114.0;-196.0;435.0;-848.0
893.0;1630.0;3014.0;5415.0;925.0;1452.0;799.0;1471.0;2700.0;4926.0;852.0;1370.0;105.0;-196.0;421.0;-848.0
885.0;1626.0;3027.0;5442.0;922.0;1440.0;829.0;1505.0;2734.0;4968.0;852.0;1354.0;100.0;-196.0;422.0;-848.0
893.0;1619.0;2971.0;5311.0;909.0;1434.0;804.0;1483.0;2738.0;4963.0;857.0;1376.0;114.0;-201.0;440.0;-852.0
909.0;1650.0;3040.0;5471.0;936.0;1483.0;850.0;1554.0;2848.0;5153.0;894.0;1438.0;118.0;-201.0;472.0;-852.0
949.0;1727.0;3197.0;5705.0;973.0;1531.0;858.0;1570.0;2903.0;5269.0;914.0;1473.0;106.0;-201.0;465.0;-852.0
970.0;1762.0;3251.0;5791.0;995.0;1563.0;892.0;1631.0;2994.0;5473.0;933.0;1490.0;107.0;-178.0;361.0;-678.0
984.0;1789.0;3287.0;5862.0;1000.0;1547.0;852.0;1578.0;2887.0;5265.0;901.0;1438.0;70.0;-138.0;269.0;-543.0
956.0;1736.0;3177.0;5616.0;953.0;1475.0;836.0;1537.0;2813.0;5089.0;874.0;1393.0;76.0;-122.0;291.0;-542.0
904.0;1651.0;3031.0;5476.0;933.0;1460.0;833.0;1540.0;2792.0;5011.0;863.0;1382.0;71.0;-121.0;283.0;-532.0
913.0;1645.0;2999.0;5401.0;915.0;1418.0;797.0;1463.0;2688.0;4853.0;834.0;1330.0;80.0;-118.0;264.0;-532.0
875.0;1590.0;2907.0;5172.0;884.0;1377.0;782.0;1438.0;2647.0;4813.0;823.0;1320.0;66.0;-115.0;252.0;-488.0
877.0;1596.0;2904.0;5205.0;879.0;1374.0;773.0;1407.0;2600.0;4733.0;813.0;1299.0;51.0;-113.0;204.0;-481.0
869.0;1583.0;2885.0;5088.0;868.0;1380.0;786.0;1438.0;2650.0;4768.0;818.0;1313.0;69.0;-103.0;269.0;-427.0
895.0;1614.0;2942.0;5222.0;881.0;1373.0;802.0;1441.0;2664.0;4786.0;813.0;1293.0;67.0;-103.0;203.0;-414.0
865.0;1560.0;2866.0;5062.0;855.0;1343.0;757.0;1398.0;2555.0;4633.0;794.0;1281.0;70.0;-105.0;245.0;-414.0
839.0;1533.0;2801.0;5020.0;853.0;1338.0;745.0;1376.0;2519.0;4577.0;788.0;1252.0;71.0;-103.0;236.0;-405.0
844.0;1529.0;2797.0;4994.0;845.0;1331.0;761.0;1371.0;2516.0;4540.0;784.0;1261.0;64.0;-105.0;220.0;-414.0
868.0;1541.0;2807.0;4976.0;846.0;1339.0;752.0;1385.0;2564.0;4641.0;789.0;1270.0;80.0;-109.0;234.0;-414.0
860.0;1534.0;2815.0;5031.0;860.0;1363.0;767.0;1417.0;2599.0;4755.0;819.0;1309.0;79.0;-128.0;290.0;-523.0
889.0;1608.0;2943.0;5246.0;898.0;1426.0;820.0;1509.0;2762.0;4987.0;853.0;1373.0;102.0;-142.0;338.0;-621.0
937.0;1693.0;3089.0;5535.0;939.0;1473.0;838.0;1549.0;2847.0;5151.0;884.0;1417.0;95.0;-142.0;350.0;-621.0
952.0;1730.0;3166.0;5643.0;961.0;1516.0;862.0;1599.0;2949.0;5310.0;915.0;1462.0;96.0;-142.0;358.0;-621.0
997.0;1799.0;3269.0;5807.0;985.0;1539.0;896.0;1626.0;2933.0;5300.0;910.0;1452.0;75.0;-143.0;255.0;-616.0
983.0;1777.0;3221.0;5722.0;963.0;1506.0;874.0;1606.0;2904.0;5269.0;902.0;1434.0;82.0;-137.0;305.0;-616.0
980.0;1775.0;3189.0;5676.0;968.0;1509.0;900.0;1622.0;2972.0;5315.0;905.0;1448.0;94.0;-137.0;336.0;-616.0
991.0;1788.0;3280.0;5819.0;996.0;1569.0;920.0;1682.0;3059.0;5578.0;955.0;1530.0;93.0;-143.0;381.0;-668.0
1039.0;1876.0;3433.0;6112.0;1038.0;1637.0;956.0;1747.0;3224.0;5744.0;988.0;1583.0;115.0;-163.0;403.0;-710.0
1062.0;1909.0;3506.0;6234.0;1072.0;1684.0;1004.0;1822.0;3336.0;5979.0;1020.0;1625.0;115.0;-169.0;408.0;-775.0
1101.0;1996.0;3637.0;6463.0;1103.0;1734.0;1010.0;1840.0;3413.0;6142.0;1055.0;1663.0;118.0;-172.0;429.0;-779.0
1119.0;2040.0;3710.0;6642.0;1130.0;1763.0;1015.0;1873.0;3459.0;6215.0;1074.0;1697.0;109.0;-173.0;426.0;-786.0
1155.0;2109.0;3832.0;6811.0;1148.0;1793.0;1058.0;1929.0;3554.0;6368.0;1089.0;1718.0;99.0;-185.0;409.0;-790.0
1159.0;2117.0;3856.0;6879.0;1161.0;1818.0;1076.0;1967.0;3586.0;6464.0;1094.0;1753.0;120.0;-185.0;443.0;-786.0
1174.0;2130.0;3885.0;6957.0;1182.0;1841.0;1087.0;1982.0;3611.0;6499.0;1109.0;1742.0;117.0;-185.0;426.0;-786.0
1174.0;2138.0;3856.0;6875.0;1160.0;1806.0;1034.0;1900.0;3492.0;6307.0;1075.0;1718.0;102.0;-185.0;408.0;-777.0
1163.0;2106.0;3851.0;6824.0;1153.0;1791.0;1060.0;1931.0;3528.0;6314.0;1081.0;1720.0;113.0;-167.0;410.0;-753.0
1172.0;2142.0;3879.0;6866.0;1161.0;1809.0;1062.0;1953.0;3565.0;6425.0;1092.0;1738.0;102.0;-167.0;395.0;-723.0
1200.0;2158.0;3917.0;6911.0;1171.0;1835.0;1099.0;2006.0;3636.0;6519.0;1112.0;1766.0;89.0;-161.0;370.0;-696.0
1199.0;2180.0;3921.0;6979.0;1172.0;1827.0;1059.0;1933.0;3556.0;6385.0;1092.0;1736.0;91.0;-149.0;344.0;-649.0
1187.0;2149.0;3896.0;6883.0;1151.0;1782.0;1071.0;1950.0;3543.0;6276.0;1055.0;1673.0;87.0;-124.0;310.0;-558.0
1134.0;2027.0;3666.0;6499.0;1093.0;1684.0;990.0;1799.0;3276.0;5905.0;996.0;1563.0;65.0;-107.0;253.0;-465.0
1086.0;1942.0;3515.0;6163.0;1026.0;1577.0;945.0;1700.0;3073.0;5458.0;923.0;1454.0;60.0;-107.0;199.0;-465.0
995.0;1796.0;3224.0;5646.0;943.0;1458.0;841.0;1514.0;2768.0;4987.0;843.0;1356.0;55.0;-107.0;206.0;-465.0
