OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
4.0;0.0;6.0;16.0;2.0;6.0;21.0;30.0;46.0;25.0;2.0;7.0;-19.0;5.0;-7.0;-3.0
18.0;24.0;46.0;51.0;6.0;9.0;6.0;7.0;1.0;18.0;5.0;4.0;-18.0;-3.0;-10.0;-4.0
14.0;24.0;35.0;45.0;6.0;7.0;3.0;4.0;-6.0;9.0;1.0;6.0;-20.0;-3.0;-16.0;-5.0
27.0;27.0;32.0;32.0;6.0;7.0;2.0;4.0;-6.0;9.0;1.0;6.0;-20.0;-3.0;-16.0;-8.0
37.0;43.0;51.0;45.0;7.0;6.0;3.0;4.0;-6.0;9.0;1.0;6.0;-18.0;-2.0;-16.0;-10.0
72.0;100.0;127.0;139.0;21.0;31.0;23.0;40.0;46.0;73.0;15.0;24.0;-20.0;-1.0;-16.0;-15.0
91.0;130.0;193.0;246.0;33.0;51.0;23.0;44.0;67.0;131.0;27.0;31.0;-22.0;-1.0;-16.0;-15.0
100.0;150.0;218.0;288.0;41.0;65.0;79.0;134.0;169.0;252.0;32.0;43.0;-20.0;-2.0;-16.0;-16.0
102.0;155.0;204.0;286.0;41.0;68.0;45.0;74.0;114.0;187.0;33.0;44.0;-23.0;-3.0;-19.0;-17.0
112.0;169.0;238.0;356.0;50.0;73.0;83.0;129.0;179.0;262.0;40.0;58.0;-23.0;-3.0;-19.0;-16.0
