OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-16.0;-24.0;-46.0;-65.0;-8.0;-13.0;-37.0;-43.0;-58.0;-64.0;-6.0;-3.0;-7.0;-17.0;1.0;1.0
-8.0;-17.0;-30.0;-46.0;-8.0;-13.0;-37.0;-43.0;-58.0;-64.0;-4.0;-2.0;-11.0;-17.0;-5.0;3.0
6.0;14.0;7.0;12.0;0.0;-2.0;-37.0;-42.0;-48.0;-10.0;0.0;6.0;-11.0;-15.0;-4.0;1.0
21.0;32.0;14.0;32.0;9.0;14.0;-6.0;-10.0;-13.0;16.0;2.0;10.0;-13.0;-13.0;-5.0;-1.0
21.0;32.0;47.0;75.0;9.0;14.0;-6.0;29.0;32.0;30.0;2.0;10.0;-11.0;-15.0;-7.0;-5.0
39.0;63.0;79.0;116.0;17.0;24.0;14.0;33.0;52.0;90.0;11.0;23.0;-14.0;-15.0;-5.0;-6.0
44.0;78.0;101.0;145.0;19.0;31.0;11.0;29.0;38.0;85.0;18.0;31.0;-15.0;-13.0;-7.0;-6.0
57.0;89.0;126.0;190.0;27.0;38.0;11.0;19.0;51.0;113.0;20.0;32.0;-17.0;-15.0;-9.0;-8.0
53.0;90.0;133.0;209.0;29.0;48.0;11.0;19.0;38.0;97.0;23.0;34.0;-18.0;-15.0;-9.0;-8.0
58.0;99.0;147.0;210.0;31.0;48.0;8.0;17.0;39.0;104.0;29.0;45.0;-18.0;-15.0;-9.0;-8.0
47.0;76.0;117.0;159.0;23.0;43.0;11.0;19.0;31.0;83.0;22.0;34.0;-17.0;-15.0;-13.0;-8.0
75.0;117.0;165.0;232.0;33.0;51.0;28.0;62.0;104.0;183.0;26.0;42.0;-16.0;-15.0;-13.0;-8.0
88.0;136.0;192.0;267.0;42.0;63.0;23.0;49.0;97.0;202.0;33.0;53.0;-16.0;-12.0;-18.0;-8.0
103.0;168.0;242.0;354.0;53.0;88.0;53.0;94.0;145.0;259.0;44.0;70.0;-7.0;-12.0;-18.0;-15.0
126.0;199.0;301.0;440.0;64.0;100.0;39.0;88.0;165.0;313.0;50.0;78.0;-10.0;-13.0;-18.0;-15.0
149.0;231.0;341.0;487.0;73.0;111.0;54.0;112.0;217.0;384.0;63.0;93.0;-17.0;-18.0;-19.0;-15.0
139.0;217.0;331.0;496.0;72.0;115.0;78.0;139.0;250.0;415.0;61.0;92.0;-18.0;-20.0;-18.0;-16.0
155.0;241.0;358.0;542.0;82.0;129.0;90.0;153.0;253.0;408.0;65.0;98.0;-18.0;-23.0;-22.0;-21.0
165.0;261.0;388.0;576.0;88.0;139.0;63.0;121.0;238.0;462.0;76.0;118.0;-18.0;-23.0;-22.0;-21.0
178.0;295.0;446.0;671.0;99.0;155.0;70.0;142.0;272.0;506.0;80.0;125.0;-11.0;-23.0;-22.0;-21.0
200.0;317.0;495.0;706.0;109.0;169.0;100.0;180.0;305.0;538.0;89.0;134.0;-11.0;-23.0;-22.0;-18.0
188.0;304.0;466.0;695.0;105.0;168.0;120.0;217.0;353.0;590.0;88.0;137.0;-11.0;-23.0;-23.0;-18.0
161.0;254.0;393.0;579.0;87.0;138.0;88.0;160.0;283.0;497.0;77.0;111.0;-19.0;-19.0;-22.0;-18.0
105.0;171.0;247.0;360.0;58.0;110.0;94.0;164.0;263.0;410.0;59.0;89.0;-19.0;-19.0;-21.0;-22.0
124.0;195.0;279.0;406.0;69.0;109.0;60.0;111.0;196.0;389.0;61.0;93.0;-19.0;-24.0;-18.0;-22.0
137.0;216.0;324.0;466.0;73.0;126.0;104.0;186.0;316.0;461.0;68.0;98.0;-17.0;-22.0;-17.0;-22.0
124.0;201.0;298.0;444.0;66.0;121.0;57.0;113.0;226.0;398.0;65.0;96.0;-17.0;-22.0;-17.0;-17.0
96.0;152.0;227.0;340.0;54.0;98.0;45.0;78.0;145.0;268.0;49.0;83.0;-16.0;-22.0;-14.0;-13.0
67.0;114.0;163.0;237.0;38.0;77.0;28.0;69.0;142.0;262.0;40.0;65.0;-13.0;-22.0;-14.0;-13.0
