OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
28.0;122.0;127.0;143.0;17.0;18.0;34.0;71.0;37.0;-2.0;1.0;9.0;7.0;25.0;21.0;7.0
70.0;74.0;154.0;161.0;36.0;51.0;93.0;174.0;200.0;262.0;45.0;56.0;-13.0;15.0;-14.0;-5.0
54.0;58.0;119.0;165.0;29.0;40.0;76.0;133.0;167.0;232.0;28.0;37.0;-5.0;28.0;-7.0;0.0
185.0;250.0;384.0;517.0;76.0;84.0;139.0;252.0;270.0;431.0;63.0;82.0;-5.0;19.0;-3.0;2.0
139.0;183.0;346.0;498.0;73.0;92.0;201.0;353.0;472.0;595.0;74.0;95.0;-5.0;20.0;-8.0;0.0
176.0;256.0;422.0;551.0;93.0;115.0;132.0;243.0;359.0;604.0;88.0;111.0;-5.0;21.0;-8.0;0.0
183.0;232.0;348.0;568.0;83.0;121.0;187.0;311.0;448.0;682.0;81.0;105.0;-4.0;20.0;-1.0;3.0
155.0;204.0;327.0;439.0;76.0;103.0;176.0;285.0;375.0;565.0;77.0;104.0;-4.0;26.0;-8.0;7.0
194.0;225.0;374.0;536.0;81.0;105.0;223.0;380.0;530.0;683.0;84.0;103.0;-7.0;15.0;-8.0;7.0
211.0;281.0;445.0;639.0;94.0;122.0;261.0;396.0;550.0;715.0;78.0;112.0;-5.0;15.0;-5.0;20.0
87.0;158.0;255.0;349.0;41.0;60.0;100.0;161.0;272.0;227.0;46.0;51.0;-5.0;28.0;-9.0;10.0
142.0;192.0;281.0;396.0;54.0;69.0;111.0;190.0;272.0;323.0;48.0;68.0;-5.0;25.0;-10.0;10.0
90.0;116.0;169.0;217.0;31.0;39.0;114.0;237.0;257.0;335.0;44.0;58.0;2.0;27.0;-2.0;-1.0
193.0;236.0;367.0;478.0;67.0;86.0;190.0;320.0;439.0;589.0;63.0;91.0;2.0;18.0;1.0;-8.0
184.0;240.0;383.0;505.0;75.0;98.0;163.0;269.0;353.0;560.0;72.0;102.0;9.0;18.0;40.0;-37.0
237.0;324.0;504.0;719.0;105.0;126.0;289.0;412.0;511.0;656.0;90.0;116.0;14.0;1.0;64.0;-47.0
342.0;468.0;698.0;976.0;137.0;190.0;308.0;471.0;638.0;965.0;133.0;185.0;14.0;-10.0;81.0;-76.0
473.0;658.0;1009.0;1361.0;196.0;258.0;433.0;668.0;912.0;1257.0;171.0;237.0;18.0;-10.0;119.0;-87.0
598.0;849.0;1306.0;1706.0;253.0;328.0;520.0;805.0;1179.0;1599.0;224.0;292.0;25.0;-11.0;127.0;-97.0
621.0;912.0;1353.0;1833.0;272.0;357.0;529.0;841.0;1252.0;1729.0;246.0;329.0;36.0;-10.0;147.0;-101.0
642.0;955.0;1415.0;1892.0;293.0;368.0;555.0;849.0;1226.0;1755.0;263.0;341.0;33.0;-11.0;139.0;-104.0
643.0;933.0;1324.0;1797.0;277.0;363.0;563.0;841.0;1230.0;1792.0;252.0;349.0;37.0;-10.0;143.0;-104.0
732.0;1061.0;1570.0;2101.0;313.0;405.0;565.0;876.0;1294.0;1880.0;276.0;374.0;32.0;-10.0;169.0;-111.0
826.0;1193.0;1769.0;2329.0;348.0;453.0;668.0;1037.0;1488.0;2198.0;321.0;421.0;23.0;-10.0;173.0;-111.0
739.0;1096.0;1626.0;2160.0;327.0;436.0;677.0;1089.0;1570.0;2242.0;299.0;409.0;46.0;-13.0;162.0;-111.0
817.0;1172.0;1764.0;2309.0;353.0;453.0;686.0;1037.0;1575.0;2298.0;320.0;424.0;27.0;-8.0;155.0;-111.0
925.0;1337.0;1957.0;2462.0;373.0;478.0;747.0;1177.0;1669.0;2370.0;332.0;448.0;36.0;-8.0;169.0;-125.0
859.0;1235.0;1825.0;2356.0;365.0;476.0;759.0;1147.0;1665.0;2379.0;337.0;438.0;26.0;-13.0;176.0;-128.0
1035.0;1500.0;2193.0;2734.0;428.0;554.0;823.0;1267.0;1868.0;2694.0;387.0;510.0;46.0;-13.0;197.0;-134.0
1017.0;1507.0;2236.0;2783.0;439.0;568.0;960.0;1466.0;2104.0;2902.0;390.0;525.0;43.0;-18.0;190.0;-134.0
1053.0;1537.0;2269.0;2821.0;452.0;589.0;1003.0;1530.0;2177.0;2997.0;400.0;536.0;49.0;-18.0;196.0;-139.0
1119.0;1587.0;2337.0;2949.0;468.0;613.0;926.0;1401.0;2035.0;2931.0;412.0;557.0;36.0;-18.0;198.0;-139.0
1199.0;1722.0;2525.0;3132.0;497.0;636.0;999.0;1502.0;2119.0;3100.0;431.0;588.0;53.0;-22.0;216.0;-146.0
1181.0;1701.0;2456.0;3066.0;495.0;633.0;1010.0;1567.0;2236.0;3178.0;423.0;572.0;41.0;-23.0;206.0;-146.0
1149.0;1675.0;2468.0;3020.0;477.0;636.0;978.0;1478.0;2157.0;3111.0;442.0;589.0;57.0;-22.0;223.0;-146.0
1033.0;1486.0;2173.0;2764.0;434.0;578.0;959.0;1426.0;2093.0;2843.0;393.0;525.0;40.0;-18.0;207.0;-143.0
1135.0;1608.0;2332.0;2892.0;456.0;594.0;922.0;1405.0;2043.0;2925.0;418.0;555.0;39.0;-13.0;183.0;-131.0
1181.0;1688.0;2468.0;3062.0;489.0;640.0;1087.0;1646.0;2284.0;3122.0;436.0;575.0;36.0;-13.0;190.0;-131.0
1091.0;1583.0;2294.0;2902.0;451.0;597.0;1007.0;1557.0;2243.0;3134.0;432.0;563.0;34.0;-13.0;194.0;-143.0
1013.0;1476.0;2201.0;2779.0;434.0;573.0;948.0;1446.0;2083.0;3004.0;410.0;531.0;46.0;-16.0;191.0;-137.0
1200.0;1756.0;2474.0;3057.0;494.0;633.0;1002.0;1539.0;2226.0;3209.0;437.0;574.0;36.0;-16.0;187.0;-137.0
1174.0;1684.0;2457.0;3075.0;491.0;636.0;1063.0;1581.0;2226.0;3171.0;443.0;574.0;42.0;-16.0;183.0;-137.0
1146.0;1641.0;2420.0;2973.0;469.0;619.0;1025.0;1538.0;2200.0;3146.0;427.0;570.0;46.0;-15.0;196.0;-137.0
1148.0;1666.0;2410.0;2990.0;469.0;615.0;1102.0;1656.0;2289.0;3152.0;426.0;572.0;28.0;-15.0;179.0;-137.0
1083.0;1560.0;2298.0;2818.0;449.0;594.0;971.0;1482.0;2109.0;3024.0;428.0;559.0;54.0;-15.0;195.0;-133.0
1118.0;1632.0;2411.0;3001.0;479.0;631.0;1022.0;1518.0;2224.0;3146.0;445.0;574.0;40.0;-15.0;208.0;-138.0
1158.0;1691.0;2414.0;3016.0;481.0;642.0;1022.0;1524.0;2200.0;3153.0;440.0;575.0;47.0;-10.0;206.0;-146.0
1245.0;1842.0;2633.0;3197.0;515.0;663.0;1132.0;1678.0;2400.0;3463.0;462.0;619.0;51.0;-17.0;216.0;-151.0
1393.0;2017.0;2892.0;3450.0;558.0;723.0;1235.0;1889.0;2665.0;3662.0;503.0;659.0;49.0;-16.0;204.0;-154.0
1296.0;1863.0;2688.0;3290.0;535.0;694.0;1150.0;1714.0;2425.0;3453.0;488.0;636.0;43.0;-16.0;229.0;-154.0
1412.0;2007.0;2940.0;3486.0;560.0;733.0;1189.0;1807.0;2655.0;3765.0;516.0;665.0;41.0;-16.0;213.0;-154.0
1411.0;2017.0;2942.0;3522.0;574.0;743.0;1260.0;1846.0;2638.0;3792.0;516.0;677.0;50.0;-16.0;234.0;-154.0
1389.0;1996.0;2910.0;3494.0;567.0;730.0;1226.0;1829.0;2628.0;3666.0;501.0;670.0;38.0;-16.0;217.0;-150.0
