OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
105.0;249.0;467.0;813.0;155.0;204.0;251.0;406.0;659.0;988.0;148.0;193.0;8.0;-9.0;8.0;-25.0
164.0;314.0;538.0;848.0;151.0;214.0;175.0;323.0;538.0;884.0;122.0;188.0;12.0;-15.0;10.0;-25.0
261.0;424.0;674.0;893.0;172.0;236.0;195.0;339.0;526.0;997.0;153.0;219.0;10.0;-15.0;7.0;-10.0
232.0;436.0;773.0;1161.0;234.0;301.0;316.0;556.0;898.0;1411.0;214.0;290.0;10.0;-17.0;5.0;-10.0
169.0;198.0;248.0;283.0;48.0;19.0;114.0;161.0;98.0;77.0;9.0;14.0;-16.0;9.0;13.0;-14.0
156.0;141.0;233.0;207.0;36.0;19.0;58.0;73.0;89.0;36.0;6.0;4.0;-16.0;7.0;7.0;-15.0
526.0;813.0;1235.0;1877.0;241.0;278.0;264.0;376.0;637.0;1117.0;169.0;242.0;0.0;2.0;3.0;-8.0
647.0;987.0;1507.0;2225.0;285.0;334.0;345.0;547.0;907.0;1501.0;230.0;332.0;0.0;1.0;30.0;-8.0
740.0;1205.0;1862.0;2985.0;423.0;525.0;515.0;843.0;1411.0;2383.0;368.0;498.0;16.0;-5.0;25.0;-30.0
1080.0;1668.0;2543.0;3783.0;542.0;664.0;653.0;1039.0;1732.0;2837.0;425.0;603.0;20.0;-6.0;68.0;-51.0
1222.0;1875.0;2897.0;4236.0;634.0;811.0;852.0;1354.0;2230.0;3619.0;546.0;759.0;20.0;-6.0;105.0;-75.0
1472.0;2298.0;3588.0;5042.0;783.0;987.0;1055.0;1680.0;2746.0;4435.0;674.0;948.0;37.0;-24.0;159.0;-120.0
1728.0;2691.0;4145.0;5559.0;904.0;1148.0;1331.0;2096.0;3243.0;5104.0;770.0;1063.0;38.0;-25.0;181.0;-133.0
1913.0;2972.0;4502.0;5872.0;973.0;1234.0;1478.0;2334.0;3707.0;5642.0;839.0;1146.0;27.0;-39.0;197.0;-137.0
2162.0;3339.0;5038.0;6323.0;1056.0;1350.0;1595.0;2513.0;3933.0;6128.0;915.0;1243.0;44.0;-42.0;222.0;-170.0
2472.0;3825.0;5752.0;6855.0;1169.0;1488.0;1809.0;2837.0;4381.0;6765.0;1005.0;1362.0;61.0;-50.0;307.0;-216.0
2668.0;4101.0;6124.0;7058.0;1261.0;1600.0;2025.0;3161.0;4903.0;7431.0;1088.0;1466.0;82.0;-58.0;392.0;-230.0
2885.0;4307.0;6418.0;7306.0;1320.0;1672.0;2163.0;3330.0;5123.0;7692.0;1126.0;1536.0;78.0;-58.0;361.0;-242.0
3039.0;4613.0;6804.0;7558.0;1371.0;1708.0;2382.0;3615.0;5455.0;8085.0;1154.0;1561.0;80.0;-60.0;413.0;-257.0
3237.0;4920.0;7161.0;7688.0;1418.0;1781.0;2485.0;3742.0;5632.0;8368.0;1204.0;1606.0;112.0;-70.0;487.0;-282.0
3311.0;4985.0;7212.0;7765.0;1425.0;1795.0;2569.0;3890.0;5799.0;8520.0;1210.0;1613.0;123.0;-73.0;543.0;-308.0
3426.0;5111.0;7366.0;7792.0;1449.0;1802.0;2628.0;3997.0;5916.0;8654.0;1224.0;1653.0;122.0;-75.0;573.0;-320.0
3629.0;5380.0;7724.0;7958.0;1494.0;1866.0;2642.0;4017.0;6025.0;8824.0;1255.0;1665.0;122.0;-75.0;580.0;-320.0
3481.0;5179.0;7470.0;7862.0;1454.0;1822.0;2719.0;4056.0;6024.0;8858.0;1259.0;1657.0;141.0;-75.0;633.0;-320.0
3736.0;5493.0;7879.0;8067.0;1497.0;1863.0;2925.0;4378.0;6418.0;9285.0;1279.0;1684.0;69.0;-49.0;331.0;-207.0
3556.0;5253.0;7517.0;7796.0;1446.0;1807.0;2827.0;4203.0;6172.0;8768.0;1235.0;1636.0;67.0;-43.0;277.0;-201.0
3454.0;5019.0;7173.0;7647.0;1362.0;1700.0;2727.0;4026.0;5842.0;8379.0;1176.0;1554.0;66.0;-43.0;285.0;-201.0
3259.0;4789.0;6866.0;7438.0;1305.0;1640.0;2522.0;3743.0;5471.0;7974.0;1120.0;1491.0;54.0;-43.0;281.0;-207.0
3109.0;4569.0;6533.0;7190.0;1244.0;1565.0;2502.0;3662.0;5330.0;7631.0;1080.0;1422.0;82.0;-56.0;330.0;-221.0
3111.0;4543.0;6460.0;7167.0;1223.0;1532.0;2498.0;3634.0;5299.0;7617.0;1066.0;1398.0;87.0;-66.0;409.0;-251.0
3063.0;4477.0;6387.0;7118.0;1217.0;1514.0;2386.0;3500.0;5129.0;7404.0;1040.0;1363.0;124.0;-69.0;470.0;-268.0
3113.0;4557.0;6450.0;7091.0;1206.0;1521.0;2447.0;3586.0;5234.0;7557.0;1053.0;1391.0;95.0;-69.0;478.0;-281.0
3252.0;4752.0;6696.0;7276.0;1263.0;1558.0;2502.0;3650.0;5381.0;7698.0;1077.0;1413.0;111.0;-69.0;497.0;-281.0
2994.0;4352.0;6222.0;6953.0;1175.0;1460.0;2493.0;3624.0;5236.0;7401.0;1037.0;1354.0;122.0;-69.0;527.0;-268.0
3275.0;4780.0;6757.0;7266.0;1242.0;1535.0;2530.0;3708.0;5354.0;7660.0;1060.0;1406.0;110.0;-69.0;457.0;-262.0
3528.0;5082.0;7159.0;7534.0;1307.0;1592.0;2679.0;3889.0;5628.0;7994.0;1117.0;1452.0;77.0;-56.0;352.0;-250.0
3436.0;4999.0;7038.0;7543.0;1317.0;1605.0;2673.0;3887.0;5605.0;8128.0;1124.0;1473.0;75.0;-56.0;335.0;-250.0
3576.0;5171.0;7319.0;7690.0;1360.0;1671.0;2749.0;4025.0;5868.0;8453.0;1178.0;1507.0;83.0;-56.0;392.0;-250.0
3624.0;5257.0;7423.0;7714.0;1397.0;1725.0;2843.0;4149.0;6052.0;8682.0;1203.0;1579.0;94.0;-57.0;458.0;-283.0
3592.0;5241.0;7374.0;7712.0;1392.0;1705.0;2819.0;4117.0;5968.0;8583.0;1198.0;1570.0;111.0;-63.0;501.0;-295.0
3768.0;5437.0;7659.0;7908.0;1424.0;1744.0;2960.0;4253.0;6058.0;8551.0;1193.0;1558.0;128.0;-73.0;534.0;-305.0
3844.0;5579.0;7798.0;7944.0;1451.0;1773.0;3024.0;4391.0;6298.0;8978.0;1231.0;1606.0;124.0;-73.0;558.0;-321.0
3815.0;5518.0;7754.0;7935.0;1435.0;1750.0;3039.0;4385.0;6302.0;8927.0;1232.0;1606.0;129.0;-86.0;575.0;-326.0
3931.0;5656.0;7969.0;8012.0;1451.0;1782.0;3119.0;4549.0;6484.0;9031.0;1243.0;1627.0;126.0;-86.0;615.0;-345.0
3698.0;5344.0;7471.0;7702.0;1394.0;1707.0;3012.0;4362.0;6246.0;8788.0;1199.0;1571.0;130.0;-85.0;630.0;-345.0
4039.0;5862.0;8133.0;8136.0;1482.0;1799.0;3208.0;4609.0;6576.0;9256.0;1268.0;1637.0;118.0;-85.0;576.0;-345.0
4010.0;5808.0;8152.0;8126.0;1484.0;1818.0;3228.0;4651.0;6685.0;9338.0;1287.0;1634.0;90.0;-60.0;450.0;-277.0
3879.0;5591.0;7822.0;7952.0;1438.0;1762.0;3124.0;4460.0;6323.0;8943.0;1236.0;1612.0;82.0;-60.0;363.0;-240.0
3990.0;5695.0;7999.0;7985.0;1454.0;1787.0;3207.0;4570.0;6503.0;9124.0;1258.0;1636.0;79.0;-58.0;334.0;-240.0
4098.0;5857.0;8161.0;8085.0;1486.0;1799.0;3242.0;4644.0;6633.0;9269.0;1270.0;1646.0;75.0;-58.0;354.0;-240.0
3853.0;5512.0;7690.0;7870.0;1404.0;1730.0;3150.0;4501.0;6376.0;8966.0;1229.0;1587.0;94.0;-65.0;446.0;-274.0
3723.0;5329.0;7437.0;7684.0;1356.0;1667.0;3000.0;4312.0;6109.0;8590.0;1178.0;1540.0;127.0;-67.0;521.0;-299.0
3869.0;5513.0;7659.0;7803.0;1385.0;1692.0;3140.0;4475.0;6326.0;8859.0;1199.0;1565.0;137.0;-76.0;583.0;-316.0
4049.0;5807.0;7982.0;7956.0;1444.0;1761.0;3209.0;4599.0;6515.0;9067.0;1225.0;1594.0;124.0;-84.0;590.0;-339.0
4005.0;5641.0;7918.0;7948.0;1444.0;1752.0;3309.0;4707.0;6623.0;9149.0;1235.0;1615.0;129.0;-84.0;581.0;-339.0
4077.0;5800.0;8075.0;8065.0;1477.0;1816.0;3306.0;4712.0;6742.0;9398.0;1305.0;1660.0;136.0;-89.0;588.0;-339.0
4332.0;6174.0;8552.0;8260.0;1554.0;1898.0;3387.0;4835.0;6844.0;9780.0;1345.0;1736.0;120.0;-84.0;568.0;-339.0
4311.0;6172.0;8580.0;8326.0;1580.0;1913.0;3534.0;5046.0;7116.0;9859.0;1352.0;1743.0;136.0;-78.0;593.0;-339.0
4187.0;5983.0;8398.0;8206.0;1537.0;1888.0;3413.0;4873.0;6992.0;9824.0;1355.0;1744.0;134.0;-78.0;634.0;-344.0
4303.0;6130.0;8513.0;8314.0;1577.0;1919.0;3523.0;5019.0;7085.0;9893.0;1354.0;1758.0;145.0;-83.0;646.0;-344.0
4469.0;6381.0;8872.0;8472.0;1615.0;1967.0;3567.0;5087.0;7161.0;10081.0;1379.0;1790.0;138.0;-83.0;666.0;-344.0
4239.0;6085.0;8478.0;8303.0;1570.0;1931.0;3481.0;4982.0;7063.0;9925.0;1366.0;1765.0;128.0;-83.0;623.0;-340.0
4367.0;6216.0;8692.0;8370.0;1576.0;1935.0;3549.0;5084.0;7207.0;10007.0;1365.0;1766.0;121.0;-83.0;573.0;-326.0
4146.0;5898.0;8235.0;8197.0;1507.0;1849.0;3460.0;4945.0;6978.0;9684.0;1314.0;1690.0;120.0;-80.0;525.0;-322.0
4324.0;6128.0;8490.0;8202.0;1514.0;1853.0;3547.0;5032.0;7077.0;9721.0;1314.0;1690.0;112.0;-77.0;533.0;-322.0
4215.0;5980.0;8288.0;8202.0;1508.0;1852.0;3490.0;4949.0;6991.0;9685.0;1312.0;1674.0;123.0;-77.0;556.0;-322.0
4128.0;5827.0;8114.0;8045.0;1474.0;1796.0;3465.0;4896.0;6845.0;9415.0;1265.0;1623.0;130.0;-80.0;613.0;-337.0
4284.0;6089.0;8426.0;8200.0;1514.0;1821.0;3569.0;5027.0;7012.0;9670.0;1317.0;1670.0;136.0;-80.0;652.0;-337.0
4348.0;6095.0;8391.0;8208.0;1523.0;1855.0;3538.0;4983.0;6953.0;9716.0;1317.0;1675.0;128.0;-80.0;591.0;-337.0
4418.0;6252.0;8590.0;8199.0;1536.0;1882.0;3571.0;5071.0;7084.0;9774.0;1335.0;1732.0;117.0;-81.0;516.0;-312.0
4354.0;6162.0;8488.0;8200.0;1517.0;1854.0;3541.0;4975.0;6969.0;9678.0;1322.0;1699.0;114.0;-81.0;525.0;-312.0
4232.0;5954.0;8227.0;8137.0;1488.0;1821.0;3588.0;5064.0;7084.0;9712.0;1301.0;1670.0;139.0;-83.0;569.0;-312.0
4492.0;6376.0;8732.0;8348.0;1567.0;1900.0;3780.0;5281.0;7387.0;10016.0;1349.0;1738.0;124.0;-83.0;594.0;-324.0
4382.0;6231.0;8552.0;8217.0;1548.0;1880.0;3670.0;5190.0;7220.0;9920.0;1340.0;1711.0;152.0;-83.0;634.0;-347.0
4414.0;6234.0;8554.0;8208.0;1542.0;1853.0;3656.0;5181.0;7197.0;9996.0;1340.0;1701.0;138.0;-86.0;620.0;-354.0
4441.0;6270.0;8648.0;8285.0;1544.0;1876.0;3730.0;5252.0;7323.0;9993.0;1333.0;1721.0;133.0;-83.0;652.0;-365.0
4454.0;6286.0;8666.0;8289.0;1568.0;1919.0;3633.0;5182.0;7249.0;10156.0;1353.0;1738.0;138.0;-79.0;658.0;-365.0
4449.0;6327.0;8697.0;8303.0;1561.0;1914.0;3711.0;5268.0;7418.0;10243.0;1379.0;1771.0;157.0;-79.0;659.0;-365.0
4173.0;5867.0;8060.0;8040.0;1458.0;1771.0;3581.0;4990.0;6926.0;9544.0;1276.0;1644.0;145.0;-72.0;638.0;-357.0
4112.0;5824.0;8039.0;7963.0;1443.0;1745.0;3456.0;4854.0;6831.0;9453.0;1273.0;1612.0;124.0;-72.0;557.0;-356.0
4270.0;6014.0;8168.0;8068.0;1474.0;1779.0;3506.0;4939.0;6870.0;9480.0;1276.0;1613.0;138.0;-73.0;616.0;-349.0
4251.0;6024.0;8271.0;8133.0;1475.0;1795.0;3610.0;5053.0;6991.0;9553.0;1296.0;1650.0;137.0;-73.0;636.0;-349.0
4426.0;6214.0;8524.0;8203.0;1505.0;1811.0;3605.0;5091.0;7038.0;9741.0;1309.0;1658.0;134.0;-73.0;611.0;-349.0
4390.0;6207.0;8462.0;8200.0;1506.0;1822.0;3589.0;5031.0;6970.0;9671.0;1305.0;1663.0;120.0;-73.0;612.0;-349.0
4593.0;6451.0;8768.0;8242.0;1549.0;1886.0;3770.0;5274.0;7381.0;9873.0;1351.0;1726.0;139.0;-73.0;622.0;-347.0
4637.0;6507.0;8903.0;8460.0;1589.0;1937.0;3823.0;5392.0;7511.0;10330.0;1397.0;1764.0;127.0;-73.0;576.0;-333.0
4423.0;6201.0;8481.0;8204.0;1524.0;1871.0;3704.0;5194.0;7291.0;9972.0;1333.0;1723.0;120.0;-73.0;541.0;-333.0
4503.0;6328.0;8636.0;8280.0;1550.0;1864.0;3734.0;5230.0;7242.0;9915.0;1336.0;1694.0;106.0;-73.0;555.0;-333.0
4584.0;6425.0;8845.0;8264.0;1552.0;1880.0;3847.0;5422.0;7421.0;10131.0;1356.0;1721.0;129.0;-84.0;603.0;-336.0
4555.0;6381.0;8688.0;8316.0;1546.0;1876.0;3830.0;5376.0;7381.0;10049.0;1334.0;1694.0;137.0;-84.0;605.0;-336.0
4390.0;6142.0;8386.0;8200.0;1495.0;1827.0;3727.0;5184.0;7179.0;9802.0;1328.0;1685.0;126.0;-71.0;591.0;-336.0
4546.0;6429.0;8757.0;8345.0;1558.0;1909.0;3815.0;5308.0;7380.0;10089.0;1377.0;1768.0;96.0;-69.0;437.0;-260.0
4437.0;6228.0;8585.0;8311.0;1545.0;1897.0;3784.0;5312.0;7419.0;10192.0;1368.0;1749.0;84.0;-54.0;253.0;-225.0
4367.0;6188.0;8481.0;8198.0;1539.0;1886.0;3803.0;5298.0;7354.0;10019.0;1355.0;1737.0;72.0;-46.0;326.0;-221.0
4492.0;6333.0;8734.0;8437.0;1593.0;1949.0;3785.0;5318.0;7445.0;10343.0;1392.0;1776.0;84.0;-46.0;358.0;-191.0
4481.0;6316.0;8739.0;8383.0;1583.0;1923.0;3728.0;5226.0;7394.0;10148.0;1371.0;1772.0;76.0;-48.0;316.0;-221.0
4313.0;6104.0;8497.0;8203.0;1544.0;1873.0;3778.0;5275.0;7301.0;10001.0;1338.0;1711.0;56.0;-51.0;275.0;-221.0
4309.0;6088.0;8403.0;8201.0;1526.0;1847.0;3686.0;5190.0;7169.0;9846.0;1329.0;1707.0;73.0;-51.0;346.0;-229.0
4239.0;5970.0;8212.0;8200.0;1497.0;1850.0;3709.0;5213.0;7251.0;9851.0;1319.0;1695.0;79.0;-52.0;378.0;-242.0
4266.0;6041.0;8375.0;8198.0;1507.0;1856.0;3670.0;5185.0;7161.0;9808.0;1344.0;1718.0;82.0;-54.0;403.0;-243.0
4435.0;6258.0;8606.0;8205.0;1553.0;1884.0;3741.0;5237.0;7278.0;10105.0;1368.0;1756.0;102.0;-63.0;463.0;-265.0
4464.0;6266.0;8612.0;8247.0;1551.0;1904.0;3809.0;5320.0;7503.0;10198.0;1365.0;1754.0;121.0;-64.0;476.0;-265.0
4412.0;6230.0;8598.0;8212.0;1562.0;1908.0;3804.0;5355.0;7410.0;10196.0;1365.0;1742.0;95.0;-63.0;441.0;-265.0
4464.0;6269.0;8610.0;8211.0;1556.0;1898.0;3821.0;5311.0;7382.0;10136.0;1360.0;1752.0;84.0;-54.0;407.0;-265.0
4509.0;6356.0;8745.0;8393.0;1562.0;1895.0;3684.0;5169.0;7185.0;9888.0;1339.0;1716.0;82.0;-45.0;308.0;-209.0
4303.0;6085.0;8351.0;8194.0;1503.0;1841.0;3683.0;5164.0;7129.0;9889.0;1324.0;1697.0;41.0;-37.0;208.0;-148.0
4340.0;6157.0;8482.0;8207.0;1526.0;1874.0;3719.0;5178.0;7200.0;9944.0;1338.0;1702.0;44.0;-37.0;173.0;-145.0
4178.0;5929.0;8168.0;8075.0;1470.0;1803.0;3618.0;5056.0;7017.0;9631.0;1291.0;1642.0;48.0;-35.0;182.0;-145.0
3919.0;5547.0;7653.0;7784.0;1390.0;1708.0;3441.0;4793.0;6632.0;9137.0;1214.0;1564.0;37.0;-35.0;208.0;-145.0
3997.0;5659.0;7789.0;7842.0;1390.0;1697.0;3452.0;4812.0;6689.0;9084.0;1212.0;1553.0;70.0;-35.0;268.0;-145.0
4031.0;5680.0;7782.0;7873.0;1394.0;1710.0;3502.0;4848.0;6748.0;9248.0;1243.0;1595.0;51.0;-36.0;218.0;-157.0
3975.0;5622.0;7715.0;7833.0;1391.0;1674.0;3334.0;4656.0;6448.0;8906.0;1200.0;1536.0;55.0;-36.0;170.0;-160.0
4037.0;5725.0;7863.0;7873.0;1401.0;1706.0;3387.0;4752.0;6590.0;9142.0;1224.0;1557.0;48.0;-38.0;218.0;-160.0
3953.0;5587.0;7646.0;7788.0;1386.0;1693.0;3424.0;4759.0;6611.0;9130.0;1221.0;1565.0;79.0;-38.0;298.0;-189.0
3890.0;5467.0;7578.0;7771.0;1365.0;1663.0;3483.0;4901.0;6723.0;9103.0;1204.0;1518.0;90.0;-41.0;361.0;-241.0
3912.0;5507.0;7602.0;7711.0;1366.0;1663.0;3414.0;4734.0;6598.0;9125.0;1218.0;1543.0;102.0;-58.0;482.0;-270.0
4163.0;5893.0;8067.0;8021.0;1436.0;1758.0;3574.0;5050.0;6947.0;9525.0;1263.0;1619.0;127.0;-58.0;510.0;-284.0
4244.0;6012.0;8238.0;8094.0;1469.0;1778.0;3506.0;4956.0;6973.0;9598.0;1295.0;1645.0;101.0;-65.0;464.0;-284.0
4197.0;5936.0;8153.0;8073.0;1458.0;1776.0;3576.0;5021.0;7039.0;9697.0;1294.0;1631.0;116.0;-62.0;497.0;-284.0
4237.0;6017.0;8263.0;8156.0;1492.0;1805.0;3545.0;5002.0;7063.0;9743.0;1302.0;1672.0;104.0;-62.0;463.0;-270.0
4306.0;6092.0;8389.0;8198.0;1527.0;1879.0;3689.0;5231.0;7324.0;10081.0;1350.0;1756.0;91.0;-62.0;387.0;-254.0
4086.0;5830.0;8109.0;8126.0;1496.0;1851.0;3570.0;4987.0;7008.0;9822.0;1336.0;1702.0;94.0;-62.0;378.0;-254.0
4094.0;5815.0;8082.0;8142.0;1500.0;1851.0;3665.0;5136.0;7232.0;9835.0;1322.0;1701.0;94.0;-62.0;418.0;-254.0
4088.0;5831.0;8131.0;8179.0;1499.0;1843.0;3640.0;5136.0;7177.0;9783.0;1324.0;1709.0;110.0;-63.0;486.0;-278.0
4203.0;5970.0;8326.0;8201.0;1527.0;1877.0;3638.0;5129.0;7189.0;9850.0;1344.0;1726.0;122.0;-64.0;533.0;-319.0
4303.0;6109.0;8454.0;8212.0;1543.0;1898.0;3697.0;5179.0;7222.0;9925.0;1359.0;1732.0;132.0;-68.0;601.0;-321.0
4340.0;6190.0;8530.0;8326.0;1563.0;1907.0;3712.0;5278.0;7372.0;9996.0;1356.0;1735.0;130.0;-69.0;582.0;-321.0
4254.0;6055.0;8378.0;8202.0;1527.0;1876.0;3601.0;5062.0;7062.0;9862.0;1336.0;1715.0;132.0;-69.0;628.0;-319.0
4286.0;6043.0;8353.0;8198.0;1505.0;1845.0;3569.0;5036.0;7047.0;9691.0;1330.0;1683.0;121.0;-68.0;530.0;-300.0
