OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
220.0;473.0;993.0;1943.0;348.0;538.0;216.0;456.0;929.0;1819.0;315.0;529.0;-1.0;-7.0;-10.0;1.0
241.0;517.0;1065.0;2124.0;374.0;586.0;230.0;486.0;1007.0;1948.0;343.0;566.0;-2.0;0.0;-13.0;-1.0
240.0;519.0;1076.0;2110.0;374.0;575.0;212.0;446.0;939.0;1881.0;336.0;562.0;-2.0;0.0;-13.0;-2.0
249.0;539.0;1113.0;2196.0;391.0;597.0;219.0;463.0;971.0;1909.0;341.0;586.0;-2.0;-3.0;-13.0;-2.0
251.0;541.0;1117.0;2179.0;386.0;595.0;235.0;498.0;1017.0;1979.0;350.0;582.0;-2.0;-4.0;-17.0;-2.0
247.0;531.0;1105.0;2173.0;383.0;602.0;224.0;475.0;983.0;1958.0;351.0;586.0;-1.0;-5.0;-17.0;-2.0
255.0;546.0;1143.0;2268.0;394.0;616.0;242.0;516.0;1057.0;2059.0;359.0;600.0;-1.0;-5.0;-17.0;-3.0
266.0;568.0;1175.0;2285.0;401.0;622.0;232.0;485.0;1016.0;2010.0;354.0;594.0;1.0;-6.0;-7.0;-3.0
261.0;554.0;1147.0;2253.0;402.0;618.0;231.0;485.0;1015.0;2007.0;363.0;608.0;-3.0;-3.0;-7.0;0.0
270.0;577.0;1194.0;2353.0;414.0;639.0;243.0;511.0;1060.0;2079.0;367.0;624.0;-3.0;0.0;-9.0;1.0
