OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
190.0;330.0;550.0;1000.0;136.0;177.0;160.0;270.0;430.0;730.0;116.0;189.0;-9.0;6.0;-22.0;26.0
230.0;380.0;640.0;1090.0;160.0;211.0;180.0;300.0;510.0;800.0;134.0;208.0;-9.0;10.0;-25.0;33.0
230.0;410.0;650.0;1070.0;157.0;218.0;170.0;280.0;480.0;870.0;131.0;202.0;-9.0;6.0;-25.0;36.0
240.0;410.0;650.0;1100.0;159.0;211.0;220.0;330.0;590.0;920.0;129.0;198.0;-9.0;7.0;-25.0;39.0
220.0;380.0;620.0;1020.0;145.0;200.0;130.0;230.0;420.0;770.0;122.0;189.0;-11.0;3.0;-25.0;33.0
200.0;340.0;530.0;920.0;144.0;201.0;120.0;220.0;330.0;720.0;108.0;180.0;-14.0;6.0;-25.0;32.0
180.0;310.0;470.0;830.0;130.0;196.0;150.0;220.0;380.0;710.0;118.0;186.0;-14.0;3.0;-28.0;33.0
170.0;280.0;480.0;830.0;137.0;195.0;120.0;210.0;340.0;720.0;117.0;201.0;-14.0;6.0;-28.0;40.0
220.0;380.0;620.0;1040.0;158.0;223.0;170.0;300.0;550.0;930.0;138.0;226.0;-8.0;4.0;-28.0;41.0
290.0;500.0;800.0;1290.0;200.0;261.0;170.0;330.0;570.0;1010.0;154.0;247.0;-8.0;6.0;-28.0;50.0
290.0;490.0;830.0;1360.0;214.0;287.0;190.0;350.0;620.0;1050.0;164.0;266.0;-6.0;6.0;-28.0;42.0
310.0;550.0;840.0;1410.0;214.0;302.0;190.0;350.0;600.0;1100.0;187.0;289.0;-6.0;9.0;-28.0;47.0
350.0;610.0;990.0;1620.0;235.0;333.0;210.0;370.0;690.0;1190.0;194.0;315.0;-10.0;13.0;-31.0;59.0
410.0;690.0;1110.0;1840.0;267.0;358.0;300.0;510.0;900.0;1430.0;226.0;350.0;-10.0;12.0;-31.0;52.0
430.0;740.0;1220.0;1990.0;301.0;392.0;260.0;460.0;830.0;1460.0;238.0;374.0;-6.0;18.0;-32.0;61.0
440.0;750.0;1250.0;2070.0;321.0;423.0;350.0;600.0;1040.0;1730.0;263.0;393.0;-2.0;12.0;-32.0;60.0
460.0;760.0;1280.0;2140.0;320.0;438.0;340.0;570.0;1000.0;1740.0;280.0;421.0;-2.0;14.0;-32.0;58.0
490.0;850.0;1400.0;2270.0;340.0;469.0;360.0;620.0;1050.0;1760.0;293.0;433.0;-2.0;6.0;-32.0;63.0
530.0;880.0;1480.0;2360.0;366.0;505.0;350.0;610.0;1060.0;2010.0;321.0;502.0;-4.0;7.0;-32.0;60.0
540.0;910.0;1520.0;2590.0;397.0;543.0;400.0;720.0;1220.0;2180.0;337.0;523.0;-10.0;12.0;-37.0;59.0
610.0;1030.0;1700.0;2910.0;448.0;619.0;460.0;830.0;1420.0;2510.0;389.0;600.0;-10.0;8.0;-37.0;58.0
660.0;1120.0;1920.0;3170.0;487.0;681.0;460.0;820.0;1440.0;2580.0;416.0;652.0;-12.0;12.0;-40.0;53.0
730.0;1270.0;2160.0;3560.0;539.0;736.0;510.0;920.0;1640.0;2850.0;463.0;713.0;-12.0;11.0;-37.0;68.0
790.0;1350.0;2300.0;3830.0;575.0;791.0;570.0;980.0;1750.0;3040.0;490.0;758.0;-12.0;11.0;-35.0;68.0
830.0;1430.0;2440.0;4070.0;609.0;831.0;640.0;1090.0;1900.0;3260.0;526.0;792.0;-12.0;13.0;-35.0;66.0
900.0;1510.0;2550.0;4230.0;640.0;866.0;650.0;1100.0;1930.0;3430.0;550.0;827.0;-12.0;16.0;-35.0;59.0
910.0;1530.0;2590.0;4280.0;655.0;900.0;680.0;1210.0;2120.0;3610.0;580.0;859.0;-10.0;16.0;-32.0;64.0
910.0;1550.0;2570.0;4370.0;663.0;899.0;720.0;1230.0;2070.0;3560.0;568.0;858.0;-12.0;12.0;-35.0;70.0
910.0;1540.0;2580.0;4310.0;658.0;887.0;690.0;1240.0;2120.0;3610.0;560.0;848.0;-17.0;14.0;-43.0;66.0
890.0;1530.0;2550.0;4140.0;650.0;894.0;660.0;1130.0;1960.0;3450.0;553.0;844.0;-17.0;11.0;-40.0;73.0
900.0;1500.0;2550.0;4150.0;641.0;891.0;700.0;1220.0;2090.0;3530.0;555.0;853.0;-17.0;18.0;-40.0;73.0
920.0;1570.0;2630.0;4270.0;657.0;899.0;720.0;1240.0;2170.0;3620.0;583.0;877.0;-17.0;18.0;-43.0;69.0
940.0;1600.0;2680.0;4420.0;670.0;922.0;650.0;1180.0;2110.0;3650.0;585.0;880.0;-18.0;18.0;-40.0;71.0
980.0;1660.0;2790.0;4600.0;681.0;945.0;770.0;1330.0;2300.0;3930.0;615.0;921.0;-17.0;16.0;-40.0;78.0
1050.0;1740.0;2970.0;4800.0;725.0;997.0;770.0;1370.0;2300.0;3970.0;631.0;969.0;-14.0;20.0;-39.0;78.0
1110.0;1880.0;3180.0;5200.0;782.0;1055.0;770.0;1350.0;2320.0;4040.0;647.0;1001.0;-14.0;17.0;-39.0;79.0
1160.0;1950.0;3240.0;5340.0;799.0;1078.0;770.0;1370.0;2390.0;4200.0;672.0;1010.0;-18.0;24.0;-39.0;80.0
1100.0;1860.0;3120.0;5160.0;776.0;1057.0;820.0;1450.0;2550.0;4360.0;665.0;1007.0;-14.0;24.0;-39.0;76.0
1070.0;1820.0;3040.0;5010.0;751.0;1037.0;870.0;1500.0;2510.0;4260.0;666.0;979.0;-14.0;22.0;-40.0;78.0
1040.0;1770.0;2910.0;4870.0;733.0;985.0;740.0;1270.0;2190.0;3810.0;617.0;929.0;-5.0;18.0;-40.0;78.0
940.0;1610.0;2710.0;4480.0;682.0;962.0;760.0;1330.0;2300.0;3930.0;620.0;932.0;-5.0;12.0;-40.0;78.0
950.0;1630.0;2760.0;4590.0;716.0;986.0;820.0;1450.0;2460.0;4100.0;647.0;967.0;-5.0;15.0;-39.0;83.0
1060.0;1830.0;3060.0;5020.0;760.0;1046.0;860.0;1480.0;2520.0;4240.0;670.0;998.0;-6.0;26.0;-40.0;89.0
1110.0;1900.0;3110.0;5090.0;772.0;1076.0;910.0;1560.0;2650.0;4460.0;698.0;1042.0;-15.0;25.0;-47.0;87.0
1090.0;1880.0;3100.0;5130.0;782.0;1076.0;890.0;1550.0;2630.0;4460.0;683.0;1020.0;-15.0;26.0;-47.0;84.0
990.0;1670.0;2780.0;4570.0;694.0;987.0;750.0;1280.0;2190.0;3780.0;615.0;925.0;-15.0;23.0;-47.0;98.0
