OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
62.0;99.0;160.0;297.0;40.0;27.0;80.0;86.0;48.0;79.0;17.0;1.0;-10.0;-15.0;8.0;-2.0
64.0;121.0;179.0;334.0;43.0;63.0;80.0;75.0;139.0;244.0;31.0;45.0;-14.0;-15.0;15.0;-3.0
134.0;243.0;392.0;623.0;89.0;117.0;231.0;335.0;390.0;494.0;70.0;101.0;-10.0;-15.0;15.0;-3.0
223.0;395.0;626.0;1046.0;153.0;207.0;204.0;348.0;580.0;886.0;123.0;180.0;-12.0;-15.0;13.0;-10.0
274.0;479.0;772.0;1276.0;188.0;249.0;280.0;442.0;671.0;985.0;154.0;217.0;-12.0;-15.0;13.0;-10.0
222.0;395.0;664.0;1066.0;164.0;219.0;311.0;484.0;685.0;957.0;129.0;188.0;-5.0;-12.0;13.0;-9.0
192.0;330.0;588.0;957.0;142.0;195.0;280.0;442.0;473.0;721.0;107.0;165.0;-4.0;-17.0;15.0;-9.0
231.0;397.0;659.0;1077.0;158.0;225.0;315.0;479.0;669.0;874.0;116.0;167.0;-4.0;-17.0;20.0;-5.0
162.0;298.0;488.0;852.0;130.0;174.0;258.0;402.0;596.0;685.0;93.0;140.0;1.0;-13.0;16.0;-5.0
145.0;273.0;433.0;731.0;111.0;145.0;256.0;391.0;510.0;671.0;79.0;112.0;-4.0;-17.0;21.0;0.0
