OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
-2.0;-2.0;-3.0;-2.0;0.0;-1.0;-1.0;0.0;-2.0;5.0;0.0;0.0;16.0;-7.0;79.0;-38.0
-1.0;-1.0;-2.0;-2.0;0.0;-1.0;-1.0;0.0;0.0;5.0;0.0;0.0;9.0;-7.0;90.0;-32.0
-1.0;-1.0;-2.0;-2.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;9.0;-9.0;61.0;-23.0
3.0;6.0;12.0;28.0;4.0;8.0;2.0;5.0;12.0;30.0;4.0;8.0;-10.0;1.0;-11.0;67.0
4.0;8.0;17.0;34.0;5.0;9.0;5.0;10.0;20.0;35.0;6.0;9.0;-10.0;1.0;-11.0;57.0
6.0;11.0;20.0;38.0;7.0;14.0;4.0;10.0;23.0;47.0;8.0;13.0;-3.0;-2.0;66.0;-10.0
4.0;9.0;20.0;40.0;7.0;12.0;4.0;9.0;17.0;41.0;7.0;13.0;-11.0;-2.0;63.0;11.0
7.0;15.0;28.0;55.0;11.0;18.0;6.0;14.0;30.0;56.0;10.0;16.0;-13.0;6.0;-42.0;36.0
7.0;14.0;28.0;53.0;10.0;17.0;5.0;12.0;28.0;60.0;11.0;18.0;-17.0;4.0;-42.0;20.0
7.0;15.0;28.0;60.0;11.0;18.0;6.0;14.0;28.0;58.0;11.0;18.0;-21.0;4.0;-42.0;20.0
7.0;14.0;25.0;48.0;9.0;17.0;4.0;12.0;23.0;53.0;10.0;19.0;-17.0;4.0;-42.0;17.0
8.0;16.0;30.0;57.0;11.0;18.0;7.0;17.0;37.0;70.0;12.0;19.0;-17.0;4.0;-52.0;17.0
9.0;17.0;32.0;66.0;12.0;20.0;8.0;19.0;37.0;74.0;12.0;19.0;-27.0;10.0;-58.0;33.0
8.0;15.0;32.0;64.0;12.0;21.0;6.0;16.0;30.0;66.0;12.0;19.0;-27.0;6.0;-58.0;33.0
10.0;20.0;37.0;73.0;13.0;20.0;8.0;18.0;33.0;66.0;12.0;20.0;-17.0;6.0;-58.0;46.0
9.0;19.0;35.0;71.0;14.0;22.0;8.0;19.0;34.0;71.0;13.0;22.0;-24.0;5.0;-53.0;29.0
9.0;17.0;33.0;71.0;14.0;22.0;8.0;18.0;36.0;73.0;13.0;22.0;-24.0;6.0;-53.0;29.0
11.0;20.0;37.0;77.0;15.0;25.0;6.0;17.0;37.0;75.0;14.0;24.0;-24.0;11.0;-53.0;29.0
