OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
63.0;128.0;257.0;520.0;102.0;179.0;52.0;110.0;228.0;469.0;93.0;165.0;2.0;-29.0;-11.0;-117.0
88.0;172.0;340.0;675.0;132.0;231.0;66.0;140.0;295.0;600.0;116.0;206.0;-1.0;-29.0;-13.0;-117.0
113.0;217.0;421.0;822.0;153.0;267.0;76.0;159.0;331.0;686.0;132.0;232.0;1.0;-32.0;-24.0;-119.0
134.0;261.0;504.0;968.0;178.0;307.0;89.0;188.0;387.0;790.0;149.0;265.0;0.0;-39.0;-24.0;-134.0
167.0;320.0;611.0;1160.0;210.0;356.0;104.0;222.0;463.0;939.0;177.0;307.0;-1.0;-43.0;-24.0;-149.0
194.0;374.0;716.0;1339.0;242.0;407.0;118.0;254.0;531.0;1090.0;204.0;351.0;-5.0;-44.0;-23.0;-158.0
172.0;333.0;640.0;1225.0;231.0;411.0;128.0;268.0;551.0;1101.0;207.0;357.0;-5.0;-44.0;-21.0;-158.0
219.0;422.0;801.0;1486.0;265.0;456.0;139.0;294.0;615.0;1232.0;227.0;388.0;-6.0;-48.0;-21.0;-167.0
226.0;436.0;826.0;1541.0;278.0;479.0;146.0;314.0;649.0;1307.0;240.0;413.0;-6.0;-44.0;-23.0;-158.0
245.0;470.0;887.0;1646.0;294.0;506.0;161.0;341.0;695.0;1387.0;252.0;433.0;-5.0;-41.0;-29.0;-157.0
256.0;491.0;930.0;1724.0;305.0;531.0;167.0;351.0;723.0;1444.0;265.0;454.0;-6.0;-40.0;-30.0;-157.0
271.0;518.0;980.0;1816.0;322.0;556.0;170.0;361.0;754.0;1514.0;277.0;469.0;-4.0;-40.0;-30.0;-152.0
292.0;554.0;1046.0;1939.0;340.0;581.0;181.0;384.0;795.0;1593.0;291.0;496.0;-4.0;-36.0;-29.0;-128.0
291.0;557.0;1053.0;1953.0;346.0;594.0;189.0;401.0;825.0;1644.0;300.0;506.0;-4.0;-36.0;-29.0;-128.0
296.0;560.0;1062.0;1967.0;348.0;604.0;201.0;418.0;856.0;1689.0;304.0;514.0;-4.0;-32.0;-25.0;-118.0
327.0;625.0;1175.0;2151.0;376.0;644.0;205.0;436.0;902.0;1796.0;324.0;546.0;-4.0;-30.0;-16.0;-111.0
318.0;606.0;1152.0;2131.0;378.0;650.0;209.0;446.0;914.0;1826.0;332.0;557.0;-4.0;-21.0;-19.0;-103.0
364.0;692.0;1291.0;2378.0;411.0;691.0;229.0;480.0;981.0;1945.0;349.0;586.0;-4.0;-19.0;-25.0;-93.0
365.0;692.0;1299.0;2375.0;413.0;695.0;235.0;491.0;1000.0;1965.0;349.0;586.0;-4.0;-14.0;-25.0;-77.0
335.0;640.0;1209.0;2211.0;392.0;664.0;218.0;463.0;941.0;1831.0;328.0;556.0;-11.0;-14.0;-27.0;-34.0
293.0;561.0;1063.0;1976.0;353.0;611.0;207.0;432.0;882.0;1723.0;309.0;520.0;-11.0;-14.0;-33.0;-34.0
275.0;530.0;1012.0;1892.0;340.0;592.0;187.0;403.0;833.0;1641.0;298.0;502.0;-4.0;-14.0;-33.0;-31.0
283.0;547.0;1038.0;1936.0;344.0;594.0;195.0;415.0;842.0;1661.0;302.0;504.0;-2.0;-9.0;-33.0;-24.0
261.0;506.0;965.0;1807.0;326.0;574.0;199.0;417.0;829.0;1610.0;290.0;490.0;-2.0;-4.0;-27.0;-19.0
278.0;539.0;1031.0;1919.0;339.0;584.0;196.0;410.0;826.0;1607.0;290.0;484.0;-1.0;-10.0;-26.0;12.0
244.0;472.0;908.0;1694.0;305.0;536.0;165.0;361.0;747.0;1474.0;265.0;447.0;2.0;-4.0;-21.0;28.0
217.0;423.0;821.0;1558.0;281.0;504.0;159.0;342.0;705.0;1381.0;248.0;418.0;2.0;4.0;-21.0;54.0
187.0;368.0;720.0;1367.0;248.0;449.0;145.0;308.0;623.0;1224.0;218.0;370.0;2.0;8.0;-10.0;78.0
152.0;306.0;611.0;1183.0;219.0;400.0;119.0;266.0;553.0;1097.0;198.0;336.0;2.0;16.0;-5.0;91.0
120.0;243.0;496.0;994.0;190.0;364.0;102.0;233.0;494.0;1017.0;187.0;319.0;2.0;26.0;-5.0;94.0
136.0;278.0;564.0;1121.0;210.0;384.0;123.0;265.0;544.0;1085.0;196.0;335.0;7.0;19.0;5.0;99.0
142.0;287.0;592.0;1186.0;222.0;399.0;115.0;255.0;545.0;1113.0;207.0;356.0;20.0;23.0;11.0;114.0
154.0;310.0;639.0;1266.0;231.0;403.0;121.0;266.0;548.0;1092.0;198.0;335.0;20.0;17.0;22.0;122.0
114.0;232.0;475.0;942.0;175.0;322.0;87.0;198.0;421.0;837.0;152.0;262.0;13.0;28.0;14.0;139.0
81.0;166.0;346.0;694.0;131.0;249.0;63.0;147.0;306.0;621.0;113.0;198.0;1.0;27.0;14.0;139.0
55.0;117.0;245.0;502.0;97.0;192.0;50.0;119.0;250.0;499.0;88.0;149.0;1.0;22.0;10.0;139.0
43.0;93.0;197.0;406.0;77.0;157.0;38.0;93.0;203.0;412.0;71.0;122.0;11.0;18.0;28.0;139.0
37.0;80.0;166.0;339.0;64.0;130.0;31.0;80.0;172.0;347.0;59.0;100.0;16.0;36.0;30.0;131.0
30.0;66.0;141.0;285.0;54.0;113.0;26.0;66.0;140.0;276.0;50.0;83.0;12.0;23.0;24.0;137.0
28.0;61.0;125.0;255.0;48.0;96.0;22.0;55.0;119.0;237.0;40.0;66.0;12.0;28.0;37.0;168.0
20.0;44.0;98.0;197.0;37.0;79.0;27.0;59.0;117.0;203.0;31.0;49.0;12.0;27.0;25.0;151.0
15.0;35.0;77.0;150.0;27.0;58.0;16.0;42.0;83.0;148.0;21.0;32.0;12.0;35.0;32.0;152.0
9.0;22.0;51.0;99.0;18.0;43.0;17.0;37.0;65.0;107.0;11.0;16.0;14.0;30.0;25.0;156.0
7.0;16.0;37.0;69.0;11.0;30.0;8.0;22.0;46.0;66.0;6.0;6.0;12.0;38.0;25.0;166.0
