Timestamp [Seconds];OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE_0000;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE_0000;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE_0000;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE_0000;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE_0000;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE_0000;
1.169;6501.0;11386.0;19827.0;26609.0;5258.0;7877.0;4985.0;9065.0;16219.0;28008.0;4503.0;6738.0;-284.0;-174.0;-327.0;-2154.0;
2.091;4587.0;8208.0;14279.0;23272.0;4062.0;6565.0;4300.0;7878.0;14045.0;24208.0;3875.0;5913.0;-279.0;-170.0;-328.0;-2143.0;
2.994;4059.0;7256.0;12683.0;21496.0;3632.0;5904.0;3999.0;7269.0;12976.0;22182.0;3517.0;5381.0;-289.0;-161.0;-338.0;-2132.0;
3.895;3711.0;6641.0;11656.0;19901.0;3332.0;5459.0;3704.0;6750.0;12021.0;20509.0;3282.0;5033.0;-281.0;-167.0;-337.0;-2114.0;
4.792;3457.0;6197.0;10892.0;18763.0;3128.0;5156.0;3355.0;6136.0;10912.0;18916.0;3077.0;4766.0;-294.0;-175.0;-339.0;-2118.0;
5.677;3269.0;5867.0;10335.0;17839.0;2969.0;4890.0;3313.0;6032.0;10730.0;18365.0;2956.0;4551.0;-281.0;-162.0;-343.0;-2113.0;
6.561;3116.0;5629.0;9901.0;17044.0;2851.0;4682.0;2963.0;5461.0;9775.0;17090.0;2803.0;4344.0;-281.0;-164.0;-341.0;-2103.0;
7.467;2986.0;5351.0;9455.0;16342.0;2731.0;4510.0;2915.0;5331.0;9543.0;16521.0;2700.0;4202.0;-272.0;-156.0;-342.0;-2101.0;
8.367;2844.0;5116.0;9035.0;15684.0;2625.0;4347.0;2695.0;4998.0;9003.0;15848.0;2599.0;4057.0;-289.0;-162.0;-350.0;-2092.0;
9.272;2747.0;4945.0;8704.0;15121.0;2537.0;4199.0;2656.0;4871.0;8766.0;15310.0;2512.0;3926.0;-281.0;-167.0;-344.0;-2085.0;
10.162;2633.0;4738.0;8392.0;14572.0;2452.0;4078.0;2497.0;4622.0;8395.0;14771.0;2432.0;3816.0;-290.0;-159.0;-345.0;-2076.0;
11.07;2547.0;4624.0;8169.0;14253.0;2384.0;3957.0;2469.0;4544.0;8173.0;14385.0;2353.0;3695.0;-279.0;-152.0;-340.0;-2083.0;
11.961;2456.0;4442.0;7871.0;13730.0;2307.0;3841.0;2460.0;4512.0;8156.0;14192.0;2308.0;3600.0;-285.0;-155.0;-361.0;-2070.0;
12.843;2385.0;4326.0;7656.0;13373.0;2254.0;3749.0;2317.0;4249.0;7695.0;13536.0;2232.0;3526.0;-286.0;-154.0;-346.0;-2079.0;
13.727;2344.0;4242.0;7515.0;13088.0;2201.0;3665.0;2276.0;4198.0;7598.0;13364.0;2190.0;3443.0;-277.0;-151.0;-342.0;-2064.0;
14.617;2257.0;4102.0;7280.0;12735.0;2157.0;3593.0;2169.0;4000.0;7301.0;12961.0;2134.0;3375.0;-282.0;-153.0;-347.0;-2067.0;
15.511;2226.0;4047.0;7164.0;12542.0;2109.0;3511.0;2145.0;3980.0;7219.0;12752.0;2099.0;3304.0;-285.0;-153.0;-342.0;-2064.0;
16.398;2179.0;3928.0;6987.0;12261.0;2058.0;3438.0;2210.0;4064.0;7323.0;12708.0;2062.0;3234.0;-288.0;-149.0;-356.0;-2055.0;
17.289;2104.0;3827.0;6828.0;11929.0;2012.0;3370.0;2131.0;3922.0;7092.0;12374.0;2016.0;3164.0;-281.0;-149.0;-353.0;-2061.0;
18.188;2061.0;3746.0;6657.0;11701.0;1982.0;3294.0;2067.0;3819.0;6871.0;12077.0;1969.0;3098.0;-286.0;-150.0;-353.0;-2051.0;
19.085;2011.0;3651.0;6514.0;11378.0;1924.0;3237.0;1973.0;3641.0;6619.0;11713.0;1931.0;3055.0;-282.0;-158.0;-357.0;-2046.0;
19.985;2002.0;3632.0;6471.0;11306.0;1915.0;3200.0;2030.0;3742.0;6719.0;11709.0;1907.0;3007.0;-287.0;-145.0;-365.0;-2036.0;
21.203;1931.0;3521.0;6271.0;10959.0;1857.0;3129.0;1957.0;3609.0;6437.0;11252.0;1835.0;2918.0;-279.0;-152.0;-350.0;-2039.0;
22.278;1888.0;3421.0;6092.0;10732.0;1813.0;3050.0;1916.0;3515.0;6332.0;11039.0;1800.0;2856.0;-286.0;-146.0;-350.0;-2032.0;
23.241;1851.0;3364.0;5995.0;10524.0;1786.0;3003.0;1779.0;3312.0;6041.0;10694.0;1784.0;2824.0;-285.0;-143.0;-344.0;-2038.0;
24.202;1811.0;3292.0;5886.0;10359.0;1755.0;2959.0;1786.0;3280.0;5962.0;10534.0;1757.0;2774.0;-296.0;-143.0;-370.0;-2040.0;
25.17;1785.0;3259.0;5801.0;10187.0;1730.0;2899.0;1710.0;3178.0;5798.0;10301.0;1717.0;2731.0;-292.0;-151.0;-354.0;-2039.0;
26.12;1764.0;3208.0;5710.0;10035.0;1703.0;2859.0;1752.0;3229.0;5844.0;10283.0;1700.0;2697.0;-284.0;-153.0;-353.0;-2046.0;
27.027;1731.0;3159.0;5626.0;9865.0;1678.0;2824.0;1743.0;3237.0;5831.0;10230.0;1685.0;2666.0;-295.0;-148.0;-372.0;-2037.0;
27.944;1718.0;3115.0;5577.0;9785.0;1662.0;2784.0;1635.0;3021.0;5518.0;9874.0;1651.0;2622.0;-282.0;-139.0;-354.0;-2036.0;
28.86;1681.0;3059.0;5478.0;9588.0;1636.0;2745.0;1691.0;3121.0;5655.0;9890.0;1625.0;2582.0;-292.0;-146.0;-361.0;-2028.0;
29.78;1661.0;3024.0;5410.0;9529.0;1616.0;2709.0;1691.0;3118.0;5634.0;9860.0;1618.0;2557.0;-284.0;-146.0;-356.0;-2037.0;
30.689;1656.0;2998.0;5369.0;9411.0;1598.0;2682.0;1568.0;2901.0;5280.0;9452.0;1589.0;2528.0;-273.0;-140.0;-344.0;-2039.0;
31.615;1614.0;2941.0;5267.0;9330.0;1590.0;2659.0;1566.0;2912.0;5321.0;9508.0;1578.0;2509.0;-267.0;-137.0;-349.0;-2036.0;
32.534;1588.0;2890.0;5205.0;9196.0;1564.0;2636.0;1627.0;2998.0;5422.0;9499.0;1562.0;2476.0;-286.0;-142.0;-343.0;-2024.0;
33.431;1560.0;2851.0;5110.0;9048.0;1536.0;2593.0;1522.0;2831.0;5182.0;9173.0;1531.0;2444.0;-287.0;-144.0;-372.0;-2034.0;
34.345;1552.0;2833.0;5081.0;8978.0;1525.0;2571.0;1548.0;2867.0;5212.0;9259.0;1524.0;2419.0;-283.0;-137.0;-350.0;-2025.0;
35.274;1519.0;2769.0;4982.0;8825.0;1505.0;2535.0;1453.0;2710.0;4962.0;8858.0;1487.0;2390.0;-291.0;-136.0;-366.0;-2026.0;
36.168;1518.0;2772.0;4963.0;8771.0;1492.0;2511.0;1427.0;2659.0;4904.0;8807.0;1479.0;2365.0;-283.0;-134.0;-362.0;-2021.0;
37.072;1490.0;2715.0;4879.0;8628.0;1471.0;2489.0;1430.0;2650.0;4870.0;8691.0;1458.0;2344.0;-288.0;-136.0;-357.0;-2029.0;
37.991;1463.0;2669.0;4818.0;8533.0;1456.0;2463.0;1451.0;2697.0;4917.0;8737.0;1459.0;2316.0;-288.0;-141.0;-362.0;-2032.0;
38.895;1461.0;2679.0;4800.0;8530.0;1448.0;2443.0;1399.0;2589.0;4757.0;8500.0;1435.0;2302.0;-276.0;-141.0;-366.0;-2020.0;
39.792;1455.0;2661.0;4786.0;8455.0;1435.0;2421.0;1461.0;2702.0;4927.0;8679.0;1427.0;2282.0;-289.0;-133.0;-353.0;-2016.0;
40.678;1437.0;2632.0;4737.0;8355.0;1423.0;2404.0;1440.0;2670.0;4856.0;8651.0;1422.0;2274.0;-291.0;-136.0;-355.0;-2020.0;
41.577;1425.0;2611.0;4681.0;8329.0;1419.0;2390.0;1382.0;2555.0;4687.0;8350.0;1406.0;2242.0;-286.0;-143.0;-368.0;-2023.0;
42.46;1403.0;2570.0;4627.0;8210.0;1400.0;2357.0;1407.0;2588.0;4707.0;8348.0;1387.0;2225.0;-279.0;-144.0;-357.0;-2020.0;
43.351;1397.0;2546.0;4604.0;8160.0;1396.0;2351.0;1323.0;2461.0;4526.0;8165.0;1380.0;2212.0;-274.0;-137.0;-346.0;-2015.0;
44.239;1379.0;2526.0;4553.0;8074.0;1378.0;2325.0;1401.0;2579.0;4678.0;8282.0;1375.0;2203.0;-286.0;-144.0;-366.0;-2016.0;
45.129;1366.0;2508.0;4509.0;8004.0;1371.0;2309.0;1323.0;2466.0;4518.0;8116.0;1361.0;2188.0;-288.0;-147.0;-364.0;-2022.0;
46.01;1353.0;2482.0;4478.0;7955.0;1360.0;2295.0;1281.0;2394.0;4399.0;7944.0;1348.0;2160.0;-292.0;-140.0;-359.0;-2009.0;
46.893;1344.0;2465.0;4442.0;7889.0;1347.0;2275.0;1299.0;2404.0;4405.0;7871.0;1336.0;2145.0;-287.0;-136.0;-359.0;-2030.0;
47.78;1331.0;2459.0;4411.0;7850.0;1343.0;2268.0;1347.0;2499.0;4547.0;8022.0;1336.0;2142.0;-289.0;-128.0;-354.0;-2016.0;
48.669;1329.0;2439.0;4394.0;7781.0;1337.0;2253.0;1275.0;2364.0;4337.0;7780.0;1316.0;2117.0;-279.0;-140.0;-356.0;-2002.0;
49.559;1314.0;2422.0;4355.0;7725.0;1325.0;2240.0;1249.0;2336.0;4305.0;7748.0;1314.0;2112.0;-294.0;-138.0;-366.0;-2014.0;
50.452;1307.0;2392.0;4331.0;7660.0;1313.0;2219.0;1275.0;2358.0;4318.0;7708.0;1302.0;2092.0;-286.0;-146.0;-368.0;-2016.0;
51.336;1293.0;2370.0;4269.0;7588.0;1301.0;2199.0;1277.0;2369.0;4338.0;7755.0;1297.0;2083.0;-283.0;-144.0;-351.0;-2005.0;
52.21;1281.0;2357.0;4252.0;7553.0;1298.0;2195.0;1265.0;2339.0;4278.0;7633.0;1288.0;2068.0;-288.0;-142.0;-360.0;-2015.0;
53.1;1276.0;2353.0;4245.0;7530.0;1294.0;2184.0;1207.0;2263.0;4178.0;7551.0;1277.0;2065.0;-284.0;-131.0;-365.0;-2011.0;
53.991;1267.0;2319.0;4205.0;7457.0;1278.0;2160.0;1259.0;2323.0;4235.0;7525.0;1268.0;2040.0;-290.0;-138.0;-369.0;-2008.0;
54.868;1260.0;2315.0;4171.0;7424.0;1273.0;2151.0;1221.0;2269.0;4139.0;7423.0;1258.0;2026.0;-291.0;-141.0;-367.0;-2014.0;
55.756;1250.0;2291.0;4145.0;7350.0;1261.0;2134.0;1252.0;2328.0;4218.0;7487.0;1249.0;2015.0;-280.0;-142.0;-355.0;-1998.0;
56.646;1237.0;2276.0;4104.0;7309.0;1256.0;2118.0;1162.0;2180.0;4026.0;7305.0;1235.0;1998.0;-282.0;-134.0;-354.0;-2000.0;
57.524;1214.0;2232.0;4035.0;7222.0;1244.0;2106.0;1162.0;2172.0;4005.0;7235.0;1229.0;1982.0;-288.0;-141.0;-357.0;-2006.0;
58.424;1217.0;2233.0;4045.0;7206.0;1238.0;2096.0;1234.0;2287.0;4172.0;7388.0;1235.0;1981.0;-291.0;-138.0;-365.0;-2009.0;
59.305;1213.0;2228.0;4021.0;7172.0;1229.0;2083.0;1219.0;2259.0;4113.0;7310.0;1225.0;1968.0;-270.0;-129.0;-352.0;-2001.0;
60.203;1213.0;2232.0;4046.0;7195.0;1229.0;2079.0;1194.0;2231.0;4090.0;7282.0;1220.0;1959.0;-290.0;-138.0;-366.0;-1999.0;
61.095;1200.0;2208.0;4000.0;7131.0;1223.0;2065.0;1207.0;2237.0;4088.0;7289.0;1210.0;1953.0;-292.0;-142.0;-357.0;-2001.0;
61.981;1197.0;2190.0;3966.0;7082.0;1221.0;2058.0;1204.0;2236.0;4085.0;7255.0;1210.0;1943.0;-281.0;-137.0;-361.0;-2007.0;
62.869;1188.0;2192.0;3959.0;7067.0;1215.0;2052.0;1173.0;2181.0;3970.0;7106.0;1193.0;1930.0;-291.0;-130.0;-366.0;-2000.0;
63.758;1182.0;2172.0;3941.0;7036.0;1208.0;2043.0;1170.0;2162.0;3955.0;7078.0;1193.0;1927.0;-284.0;-131.0;-349.0;-2003.0;
64.645;1175.0;2167.0;3938.0;6993.0;1203.0;2035.0;1147.0;2137.0;3945.0;7061.0;1193.0;1921.0;-292.0;-143.0;-362.0;-2005.0;
65.524;1167.0;2152.0;3905.0;6972.0;1196.0;2022.0;1148.0;2133.0;3929.0;7070.0;1186.0;1902.0;-273.0;-136.0;-352.0;-2014.0;
66.424;1155.0;2126.0;3850.0;6870.0;1185.0;2006.0;1139.0;2115.0;3873.0;6910.0;1167.0;1888.0;-291.0;-141.0;-356.0;-2001.0;
67.308;1142.0;2106.0;3819.0;6820.0;1172.0;1985.0;1141.0;2117.0;3842.0;6888.0;1161.0;1875.0;-273.0;-143.0;-357.0;-1995.0;
68.196;1126.0;2083.0;3754.0;6702.0;1156.0;1976.0;1103.0;2058.0;3805.0;6844.0;1154.0;1860.0;-286.0;-147.0;-364.0;-1994.0;
69.081;1112.0;2053.0;3729.0;6655.0;1151.0;1957.0;1071.0;2001.0;3707.0;6704.0;1141.0;1845.0;-299.0;-133.0;-361.0;-2001.0;
69.973;1095.0;2027.0;3676.0;6592.0;1137.0;1938.0;1102.0;2048.0;3748.0;6651.0;1122.0;1825.0;-286.0;-141.0;-369.0;-1990.0;
70.852;1084.0;2004.0;3648.0;6532.0;1130.0;1930.0;1041.0;1958.0;3629.0;6572.0;1119.0;1819.0;-292.0;-140.0;-367.0;-1998.0;
71.73;1075.0;1991.0;3635.0;6507.0;1129.0;1921.0;1072.0;2000.0;3701.0;6678.0;1122.0;1815.0;-292.0;-145.0;-375.0;-1996.0;
72.612;1074.0;1993.0;3619.0;6509.0;1126.0;1916.0;1085.0;2019.0;3697.0;6625.0;1110.0;1809.0;-288.0;-129.0;-372.0;-1993.0;
73.495;1070.0;1984.0;3617.0;6479.0;1122.0;1913.0;1037.0;1940.0;3596.0;6501.0;1112.0;1802.0;-289.0;-129.0;-363.0;-1994.0;
