TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
0.421;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;11386.0;0.0;229017.61704001523;0.0;4.366476312716477e-06;-0.0;229017.61704001523;0.0;229017.61704001523;0.0;0.0;0.00389169921875;19.45849609375;
1.38;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;8208.0;0.0;317689.39907621994;0.0;3.147728576741336e-06;-0.0;317689.39907621994;0.0;317689.39907621994;0.0;0.0;0.00280546875;14.02734375;
2.293;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;7256.0;0.0;359370.8086573337;0.0;2.782641149224553e-06;-0.0;359370.8086573337;0.0;359370.8086573337;0.0;0.0;0.002480078125;12.400390625;
3.2;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;6641.0;0.0;392650.8940848687;0.0;2.546791603087136e-06;-0.0;392650.8940848687;0.0;392650.8940848687;0.0;0.0;0.002269873046875;11.349365234375;
4.095;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;6197.0;0.0;420783.3770562552;0.0;2.3765197356318296e-06;-0.0;420783.3770562552;0.0;420783.3770562552;0.0;0.0;0.002118115234375;10.590576171875;
4.996;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;5867.0;0.0;444451.0972588398;0.0;2.2499663206312643e-06;-0.0;444451.0972588398;0.0;444451.0972588398;0.0;0.0;0.002005322265625;10.026611328125;
5.879;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;5629.0;0.0;463242.9539203435;0.0;2.1586944637520684e-06;-0.0;463242.9539203435;0.0;463242.9539203435;0.0;0.0;0.001923974609375;9.619873046875;
6.76;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;5351.0;0.0;487309.77156001;0.0;2.0520827989940163e-06;-0.0;487309.77156001;0.0;487309.77156001;0.0;0.0;0.001828955078125;9.144775390625;
7.667;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;5116.0;0.0;509694.0163443341;0.0;1.961961427705735e-06;-0.0;509694.0163443341;0.0;509694.0163443341;0.0;0.0;0.0017486328125;8.7431640625;
8.571;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;4945.0;0.0;527319.4312674648;0.0;1.896383749023624e-06;-0.0;527319.4312674648;0.0;527319.4312674648;0.0;0.0;0.001690185546875;8.450927734375;
