TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
1.169;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-327.0;-2154.0;-1796391.8307582736;-11833113.160407694;-1.2540292940965133e-08;8.260486542764179e-08;11968692.103844466;-1.7214565455857025;-79742953.74977401;0.16828125; - ;-1.318458251953125e-05;-0.6592291259765625;
2.091;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-328.0;-2143.0;-1819755.3607359305;-11889438.225783829;-1.2578642460662273e-08;8.218302071097323e-08;12027894.69930864;-1.72267413158382;-79499834.98834178;0.167421875; - ;-1.322490234375e-05;-0.6612451171875;
2.994;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-338.0;-2132.0;-1891480.188319756;-11930875.034016913;-1.2962137657633678e-08;8.176117599430467e-08;12079878.98863785;-1.7280243777714657;-77147768.86442637;0.1665625; - ;-1.36281005859375e-05;-0.681405029296875;
3.895;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-337.0;-2114.0;-1917614.64600532;-12029190.984140178;-1.2923788137936543e-08;8.107088463975612e-08;12181078.838243084;-1.7288796122179606;-77376693.99458782;0.16515625; - ;-1.3587780761718751e-05;-0.6793890380859375;
4.792;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-339.0;-2118.0;-1921330.8972642457;-12004067.375827927;-1.3000487177330825e-08;8.12242827185447e-08;12156855.924958505;-1.7295068314958812;-76920194.32500327;0.16546875; - ;-1.3668420410156253e-05;-0.6834210205078125;
5.677;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-343.0;-2113.0;-1951818.7637025728;-12023886.436453454;-1.3153885256119378e-08;8.1032535120059e-08;12181274.215904951;-1.7317210833965817;-76023165.81975546;0.165078125; - ;-1.382969970703125e-05;-0.6914849853515626;
6.561;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-341.0;-2103.0;-1959046.714896388;-12081745.576032557;-1.3077186216725104e-08;8.06490399230876e-08;12239544.11712824;-1.7315465450369711;-76469049.49025251;0.1642968749999999; - ;-1.3749060058593747e-05;-0.6874530029296875;
7.467;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-342.0;-2101.0;-1968141.4138863275;-12090833.65665255;-1.311553573642224e-08;8.05723408836933e-08;12249973.026006896;-1.73216065403304;-76245455.77829275;0.164140625; - ;-1.37893798828125e-05;-0.689468994140625;
8.367;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-350.0;-2092.0;-2028596.1516166069;-12125208.997662676;-1.3422331893999376e-08;8.022719520641903e-08;12293733.996770617;-1.7365650630356544;-74502702.50336029;0.1634374999999999; - ;-1.41119384765625e-05;-0.705596923828125;
9.272;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-344.0;-2085.0;-2008734.2623703033;-12175031.79372698;-1.319223477581652e-08;7.995874856853904e-08;12339627.730003975;-1.7343112729728305;-75802168.24469802;0.1628906249999999; - ;-1.387001953125e-05;-0.6935009765625;
