=== fold_1 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17359    89.45%       2047    10.55%
ACETONE                             21663    89.00%       2678    11.00%
AIR                                  9928    89.30%       1190    10.70%
AMMONIA                              7991    89.04%        984    10.96%
AMMONIUM_CHLORIDE                    7910    88.97%        981    11.03%
APPLE_VINEGAR                        6338    90.62%        656     9.38%
BALSAMIC_VINEGAR                     5633    89.02%        695    10.98%
BIOETHANOL                           7582    89.00%        937    11.00%
BUTANE                               3898    89.79%        443    10.21%
CALCIUM_NITRATE                      4252    89.22%        514    10.78%
DIESEL                              24848    89.16%       3021    10.84%
ETHANOL                             22016    89.92%       2469    10.08%
FORMIC_ACID                          3540    89.08%        434    10.92%
GASOLINE                            17097    89.28%       2052    10.72%
HYDROGEN_PEROXIDE                    5188    90.18%        565     9.82%
ISOPROPANOL                         17775    89.46%       2095    10.54%
KEROSENE                            13914    89.42%       1647    10.58%
LIGHTER_FLUID                        7270    89.92%        815    10.08%
METHANE                              6349    88.98%        786    11.02%
NITROMETHANE                        20766    90.17%       2265     9.83%
PHOSPHORIC_ACID                      3828    90.16%        418     9.84%
RED_WINE                             7078    90.12%        776     9.88%
SODIUM_HYDROXIDE                     3847    89.38%        457    10.62%
UREA                                17328    89.51%       2030    10.49%
WATER_VAPOR                          6277    90.15%        686     9.85%
TOTAL                              269675    89.50%      31641    10.50%

=== fold_2 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17430    89.82%       1976    10.18%
ACETONE                             21664    89.00%       2677    11.00%
AIR                                  9475    85.22%       1643    14.78%
AMMONIA                              7986    88.98%        989    11.02%
AMMONIUM_CHLORIDE                    7955    89.47%        936    10.53%
APPLE_VINEGAR                        6244    89.28%        750    10.72%
BALSAMIC_VINEGAR                     5656    89.38%        672    10.62%
BIOETHANOL                           7632    89.59%        887    10.41%
BUTANE                               3913    90.14%        428     9.86%
CALCIUM_NITRATE                      4256    89.30%        510    10.70%
DIESEL                              24806    89.01%       3063    10.99%
ETHANOL                             22057    90.08%       2428     9.92%
FORMIC_ACID                          3547    89.26%        427    10.74%
GASOLINE                            17175    89.69%       1974    10.31%
HYDROGEN_PEROXIDE                    5133    89.22%        620    10.78%
ISOPROPANOL                         17867    89.92%       2003    10.08%
KEROSENE                            13964    89.74%       1597    10.26%
LIGHTER_FLUID                        7296    90.24%        789     9.76%
METHANE                              6405    89.77%        730    10.23%
NITROMETHANE                        20935    90.90%       2096     9.10%
PHOSPHORIC_ACID                      3848    90.63%        398     9.37%
RED_WINE                             6989    88.99%        865    11.01%
SODIUM_HYDROXIDE                     3845    89.34%        459    10.66%
UREA                                17250    89.11%       2108    10.89%
WATER_VAPOR                          6303    90.52%        660     9.48%
TOTAL                              269631    89.48%      31685    10.52%

=== fold_3 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17452    89.93%       1954    10.07%
ACETONE                             21664    89.00%       2677    11.00%
AIR                                  9983    89.79%       1135    10.21%
AMMONIA                              8035    89.53%        940    10.47%
AMMONIUM_CHLORIDE                    8018    90.18%        873     9.82%
APPLE_VINEGAR                        6258    89.48%        736    10.52%
BALSAMIC_VINEGAR                     5684    89.82%        644    10.18%
BIOETHANOL                           7652    89.82%        867    10.18%
BUTANE                               3927    90.46%        414     9.54%
CALCIUM_NITRATE                      4556    95.59%        210     4.41%
DIESEL                              24977    89.62%       2892    10.38%
ETHANOL                             22095    90.24%       2390     9.76%
FORMIC_ACID                          3546    89.23%        428    10.77%
GASOLINE                            17181    89.72%       1968    10.28%
HYDROGEN_PEROXIDE                    5154    89.59%        599    10.41%
ISOPROPANOL                         17884    90.01%       1986     9.99%
KEROSENE                            14046    90.26%       1515     9.74%
LIGHTER_FLUID                        7318    90.51%        767     9.49%
METHANE                              6438    90.23%        697     9.77%
NITROMETHANE                        20518    89.09%       2513    10.91%
PHOSPHORIC_ACID                      3854    90.77%        392     9.23%
RED_WINE                             6989    88.99%        865    11.01%
SODIUM_HYDROXIDE                     3829    88.96%        475    11.04%
UREA                                17233    89.02%       2125    10.98%
WATER_VAPOR                          6319    90.75%        644     9.25%
TOTAL                              270610    89.81%      30706    10.19%

=== fold_4 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17476    90.05%       1930     9.95%
ACETONE                             21726    89.26%       2615    10.74%
AIR                                  8948    80.48%       2170    19.52%
AMMONIA                              8001    89.15%        974    10.85%
AMMONIUM_CHLORIDE                    7919    89.07%        972    10.93%
APPLE_VINEGAR                        6267    89.61%        727    10.39%
BALSAMIC_VINEGAR                     5689    89.90%        639    10.10%
BIOETHANOL                           7707    90.47%        812     9.53%
BUTANE                               3931    90.56%        410     9.44%
CALCIUM_NITRATE                      3760    78.89%       1006    21.11%
DIESEL                              24821    89.06%       3048    10.94%
ETHANOL                             22134    90.40%       2351     9.60%
FORMIC_ACID                          3536    88.98%        438    11.02%
GASOLINE                            17281    90.24%       1868     9.76%
HYDROGEN_PEROXIDE                    5195    90.30%        558     9.70%
ISOPROPANOL                         17889    90.03%       1981     9.97%
KEROSENE                            13866    89.11%       1695    10.89%
LIGHTER_FLUID                        7329    90.65%        756     9.35%
METHANE                              6488    90.93%        647     9.07%
NITROMETHANE                        20544    89.20%       2487    10.80%
PHOSPHORIC_ACID                      3861    90.93%        385     9.07%
RED_WINE                             6989    88.99%        865    11.01%
SODIUM_HYDROXIDE                     3865    89.80%        439    10.20%
UREA                                17267    89.20%       2091    10.80%
WATER_VAPOR                          6323    90.81%        640     9.19%
TOTAL                              268812    89.21%      32504    10.79%

=== fold_5 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17567    90.52%       1839     9.48%
ACETONE                             21846    89.75%       2495    10.25%
AIR                                  9928    89.30%       1190    10.70%
AMMONIA                              7991    89.04%        984    10.96%
AMMONIUM_CHLORIDE                    8051    90.55%        840     9.45%
APPLE_VINEGAR                        6230    89.08%        764    10.92%
BALSAMIC_VINEGAR                     5698    90.04%        630     9.96%
BIOETHANOL                           7747    90.94%        772     9.06%
BUTANE                               3872    89.20%        469    10.80%
CALCIUM_NITRATE                      3772    79.14%        994    20.86%
DIESEL                              25300    90.78%       2569     9.22%
ETHANOL                             22200    90.67%       2285     9.33%
FORMIC_ACID                          3539    89.05%        435    10.95%
GASOLINE                            17061    89.10%       2088    10.90%
HYDROGEN_PEROXIDE                    5203    90.44%        550     9.56%
ISOPROPANOL                         17964    90.41%       1906     9.59%
KEROSENE                            13916    89.43%       1645    10.57%
LIGHTER_FLUID                        7337    90.75%        748     9.25%
METHANE                              6352    89.03%        783    10.97%
NITROMETHANE                        20613    89.50%       2418    10.50%
PHOSPHORIC_ACID                      3778    88.98%        468    11.02%
RED_WINE                             7021    89.39%        833    10.61%
SODIUM_HYDROXIDE                     3846    89.36%        458    10.64%
UREA                                17428    90.03%       1930     9.97%
WATER_VAPOR                          6332    90.94%        631     9.06%
TOTAL                              270592    89.80%      30724    10.20%

=== fold_6 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17497    90.16%       1909     9.84%
ACETONE                             21879    89.89%       2462    10.11%
AIR                                  9928    89.30%       1190    10.70%
AMMONIA                              8087    90.11%        888     9.89%
AMMONIUM_CHLORIDE                    7993    89.90%        898    10.10%
APPLE_VINEGAR                        6228    89.05%        766    10.95%
BALSAMIC_VINEGAR                     5709    90.22%        619     9.78%
BIOETHANOL                           7582    89.00%        937    11.00%
BUTANE                               3909    90.05%        432     9.95%
CALCIUM_NITRATE                      3920    82.25%        846    17.75%
DIESEL                              25281    90.71%       2588     9.29%
ETHANOL                             21870    89.32%       2615    10.68%
FORMIC_ACID                          3542    89.13%        432    10.87%
GASOLINE                            17112    89.36%       2037    10.64%
HYDROGEN_PEROXIDE                    5220    90.74%        533     9.26%
ISOPROPANOL                         18061    90.90%       1809     9.10%
KEROSENE                            14089    90.54%       1472     9.46%
LIGHTER_FLUID                        7257    89.76%        828    10.24%
METHANE                              6358    89.11%        777    10.89%
NITROMETHANE                        20833    90.46%       2198     9.54%
PHOSPHORIC_ACID                      3799    89.47%        447    10.53%
RED_WINE                             7077    90.11%        777     9.89%
SODIUM_HYDROXIDE                     3862    89.73%        442    10.27%
UREA                                17317    89.46%       2041    10.54%
WATER_VAPOR                          6225    89.40%        738    10.60%
TOTAL                              270635    89.82%      30681    10.18%

=== fold_7 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17598    90.68%       1808     9.32%
ACETONE                             21917    90.04%       2424     9.96%
AIR                                  9928    89.30%       1190    10.70%
AMMONIA                              7988    89.00%        987    11.00%
AMMONIUM_CHLORIDE                    8082    90.90%        809     9.10%
APPLE_VINEGAR                        6262    89.53%        732    10.47%
BALSAMIC_VINEGAR                     5715    90.31%        613     9.69%
BIOETHANOL                           7660    89.92%        859    10.08%
BUTANE                               3920    90.30%        421     9.70%
CALCIUM_NITRATE                      4226    88.67%        540    11.33%
DIESEL                              25110    90.10%       2759     9.90%
ETHANOL                             22137    90.41%       2348     9.59%
FORMIC_ACID                          3685    92.73%        289     7.27%
GASOLINE                            17195    89.80%       1954    10.20%
HYDROGEN_PEROXIDE                    5183    90.09%        570     9.91%
ISOPROPANOL                         17810    89.63%       2060    10.37%
KEROSENE                            14052    90.30%       1509     9.70%
LIGHTER_FLUID                        7196    89.00%        889    11.00%
METHANE                              6415    89.91%        720    10.09%
NITROMETHANE                        20811    90.36%       2220     9.64%
PHOSPHORIC_ACID                      3779    89.00%        467    11.00%
RED_WINE                             7111    90.54%        743     9.46%
SODIUM_HYDROXIDE                     3843    89.29%        461    10.71%
UREA                                17388    89.82%       1970    10.18%
WATER_VAPOR                          6261    89.92%        702    10.08%
TOTAL                              271272    90.03%      30044     9.97%

=== fold_8 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17539    90.38%       1867     9.62%
ACETONE                             22076    90.69%       2265     9.31%
AIR                                  9928    89.30%       1190    10.70%
AMMONIA                              8014    89.29%        961    10.71%
AMMONIUM_CHLORIDE                    8331    93.70%        560     6.30%
APPLE_VINEGAR                        6263    89.55%        731    10.45%
BALSAMIC_VINEGAR                     5719    90.38%        609     9.62%
BIOETHANOL                           7670    90.03%        849     9.97%
BUTANE                               3917    90.23%        424     9.77%
CALCIUM_NITRATE                      4704    98.70%         62     1.30%
DIESEL                              25082    90.00%       2787    10.00%
ETHANOL                             22181    90.59%       2304     9.41%
FORMIC_ACID                          3743    94.19%        231     5.81%
GASOLINE                            17391    90.82%       1758     9.18%
HYDROGEN_PEROXIDE                    5184    90.11%        569     9.89%
ISOPROPANOL                         17924    90.21%       1946     9.79%
KEROSENE                            14096    90.59%       1465     9.41%
LIGHTER_FLUID                        7193    88.97%        892    11.03%
METHANE                              6363    89.18%        772    10.82%
NITROMETHANE                        20850    90.53%       2181     9.47%
PHOSPHORIC_ACID                      3825    90.08%        421     9.92%
RED_WINE                             6990    89.00%        864    11.00%
SODIUM_HYDROXIDE                     3865    89.80%        439    10.20%
UREA                                17447    90.13%       1911     9.87%
WATER_VAPOR                          6264    89.96%        699    10.04%
TOTAL                              272559    90.46%      28757     9.54%

=== fold_9 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17652    90.96%       1754     9.04%
ACETONE                             21943    90.15%       2398     9.85%
AIR                                 10966    98.63%        152     1.37%
AMMONIA                              8038    89.56%        937    10.44%
AMMONIUM_CHLORIDE                    7868    88.49%       1023    11.51%
APPLE_VINEGAR                        6363    90.98%        631     9.02%
BALSAMIC_VINEGAR                     5722    90.42%        606     9.58%
BIOETHANOL                           7629    89.55%        890    10.45%
BUTANE                               3928    90.49%        413     9.51%
CALCIUM_NITRATE                      4722    99.08%         44     0.92%
DIESEL                              25212    90.47%       2657     9.53%
ETHANOL                             22252    90.88%       2233     9.12%
FORMIC_ACID                          3540    89.08%        434    10.92%
GASOLINE                            17282    90.25%       1867     9.75%
HYDROGEN_PEROXIDE                    5552    96.51%        201     3.49%
ISOPROPANOL                         18083    91.01%       1787     8.99%
KEROSENE                            14055    90.32%       1506     9.68%
LIGHTER_FLUID                        7307    90.38%        778     9.62%
METHANE                              6444    90.32%        691     9.68%
NITROMETHANE                        20946    90.95%       2085     9.05%
PHOSPHORIC_ACID                      3852    90.72%        394     9.28%
RED_WINE                             7040    89.64%        814    10.36%
SODIUM_HYDROXIDE                     3843    89.29%        461    10.71%
UREA                                17498    90.39%       1860     9.61%
WATER_VAPOR                          6288    90.31%        675     9.69%
TOTAL                              274025    90.94%      27291     9.06%

=== fold_10 class distribution ===
Class                             Train #   Train %     Test #    Test %
ACETIC_ACID                         17084    88.03%       2322    11.97%
ACETONE                             22691    93.22%       1650     6.78%
AIR                                 11050    99.39%         68     0.61%
AMMONIA                              8644    96.31%        331     3.69%
AMMONIUM_CHLORIDE                    7892    88.76%        999    11.24%
APPLE_VINEGAR                        6493    92.84%        501     7.16%
BALSAMIC_VINEGAR                     5727    90.50%        601     9.50%
BIOETHANOL                           7810    91.68%        709     8.32%
BUTANE                               3854    88.78%        487    11.22%
CALCIUM_NITRATE                      4726    99.16%         40     0.84%
DIESEL                              25384    91.08%       2485     8.92%
ETHANOL                             21423    87.49%       3062    12.51%
FORMIC_ACID                          3548    89.28%        426    10.72%
GASOLINE                            17566    91.73%       1583     8.27%
HYDROGEN_PEROXIDE                    4765    82.83%        988    17.17%
ISOPROPANOL                         17573    88.44%       2297    11.56%
KEROSENE                            14051    90.30%       1510     9.70%
LIGHTER_FLUID                        7262    89.82%        823    10.18%
METHANE                              6603    92.54%        532     7.46%
NITROMETHANE                        20463    88.85%       2568    11.15%
PHOSPHORIC_ACID                      3790    89.26%        456    10.74%
RED_WINE                             7402    94.24%        452     5.76%
SODIUM_HYDROXIDE                     4091    95.05%        213     4.95%
UREA                                18066    93.33%       1292     6.67%
WATER_VAPOR                          6075    87.25%        888    12.75%
TOTAL                              274033    90.95%      27283     9.05%
