OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETIC_ACID
15.0;16.0;32.0;43.0;3.0;7.0;16.0;3.0;6.0;42.0;3.0;9.0;6.0;6.0;-9.0;-1.0;ACETIC_ACID
109.0;174.0;271.0;406.0;62.0;87.0;83.0;140.0;202.0;323.0;52.0;77.0;12.0;-5.0;7.0;11.0;ACETIC_ACID
114.0;183.0;284.0;424.0;66.0;94.0;58.0;120.0;193.0;349.0;58.0;83.0;6.0;-4.0;8.0;9.0;ACETIC_ACID
97.0;169.0;266.0;422.0;68.0;86.0;58.0;115.0;172.0;293.0;50.0;72.0;7.0;-4.0;8.0;5.0;ACETIC_ACID
88.0;150.0;243.0;399.0;62.0;80.0;69.0;132.0;191.0;338.0;49.0;76.0;7.0;-3.0;2.0;5.0;ACETIC_ACID
94.0;165.0;244.0;394.0;61.0;83.0;76.0;136.0;195.0;325.0;48.0;72.0;8.0;-3.0;2.0;1.0;ACETIC_ACID
108.0;180.0;277.0;416.0;64.0;84.0;74.0;130.0;191.0;319.0;45.0;76.0;8.0;-3.0;-6.0;6.0;ACETIC_ACID
84.0;144.0;231.0;376.0;60.0;73.0;68.0;119.0;167.0;290.0;43.0;70.0;8.0;-3.0;-2.0;4.0;ACETIC_ACID
85.0;133.0;220.0;360.0;53.0;64.0;57.0;101.0;139.0;248.0;36.0;58.0;2.0;1.0;-5.0;4.0;ACETIC_ACID
92.0;156.0;235.0;355.0;56.0;70.0;45.0;86.0;128.0;222.0;41.0;53.0;2.0;1.0;-7.0;7.0;ACETIC_ACID
86.0;143.0;216.0;361.0;53.0;62.0;58.0;99.0;146.0;236.0;36.0;52.0;2.0;-2.0;-5.0;11.0;ACETIC_ACID
91.0;149.0;234.0;320.0;51.0;68.0;68.0;123.0;180.0;278.0;45.0;58.0;2.0;1.0;-5.0;7.0;ACETIC_ACID
86.0;142.0;210.0;335.0;55.0;69.0;76.0;130.0;182.0;299.0;44.0;63.0;2.0;-2.0;-7.0;8.0;ACETIC_ACID
95.0;147.0;232.0;356.0;55.0;66.0;72.0;116.0;166.0;250.0;41.0;58.0;4.0;-6.0;-7.0;6.0;ACETIC_ACID
85.0;147.0;226.0;340.0;52.0;66.0;45.0;82.0;135.0;249.0;38.0;55.0;4.0;-2.0;-5.0;9.0;ACETIC_ACID
89.0;151.0;219.0;331.0;52.0;61.0;52.0;83.0;134.0;192.0;36.0;61.0;13.0;0.0;-5.0;6.0;ACETIC_ACID
91.0;153.0;241.0;343.0;54.0;67.0;69.0;125.0;176.0;267.0;37.0;60.0;8.0;-1.0;-5.0;6.0;ACETIC_ACID
111.0;173.0;252.0;365.0;55.0;68.0;71.0;131.0;189.0;305.0;39.0;54.0;15.0;-1.0;-5.0;6.0;ACETIC_ACID
91.0;151.0;226.0;353.0;52.0;65.0;57.0;102.0;160.0;293.0;37.0;50.0;5.0;0.0;-5.0;11.0;ACETIC_ACID
102.0;174.0;250.0;366.0;54.0;66.0;56.0;106.0;165.0;280.0;38.0;57.0;5.0;0.0;-5.0;11.0;ACETIC_ACID
101.0;165.0;259.0;367.0;55.0;67.0;81.0;133.0;172.0;282.0;41.0;59.0;5.0;0.0;-5.0;13.0;ACETIC_ACID
126.0;202.0;307.0;435.0;65.0;88.0;94.0;172.0;264.0;380.0;52.0;76.0;9.0;0.0;-5.0;11.0;ACETIC_ACID
217.0;357.0;536.0;778.0;123.0;199.0;185.0;329.0;523.0;862.0;129.0;191.0;8.0;0.0;7.0;0.0;ACETIC_ACID
309.0;505.0;800.0;1230.0;198.0;316.0;262.0;483.0;784.0;1319.0;202.0;293.0;0.0;-2.0;7.0;-2.0;ACETIC_ACID
428.0;722.0;1169.0;1842.0;300.0;482.0;438.0;774.0;1275.0;2096.0;316.0;455.0;0.0;-2.0;7.0;-4.0;ACETIC_ACID
642.0;1097.0;1749.0;2740.0;440.0;689.0;607.0;1076.0;1788.0;2916.0;439.0;647.0;0.0;-3.0;-1.0;-22.0;ACETIC_ACID
824.0;1375.0;2217.0;3521.0;552.0;839.0;705.0;1272.0;2148.0;3491.0;532.0;788.0;16.0;-3.0;-1.0;-22.0;ACETIC_ACID
938.0;1582.0;2561.0;4083.0;646.0;971.0;833.0;1482.0;2466.0;4013.0;610.0;901.0;11.0;-3.0;5.0;-23.0;ACETIC_ACID
1041.0;1749.0;2843.0;4572.0;721.0;1087.0;910.0;1631.0;2781.0;4521.0;687.0;1009.0;16.0;-5.0;5.0;-23.0;ACETIC_ACID
1154.0;1947.0;3170.0;5059.0;796.0;1179.0;1003.0;1782.0;3008.0;4950.0;759.0;1120.0;20.0;-10.0;1.0;-28.0;ACETIC_ACID
1280.0;2156.0;3502.0;5528.0;865.0;1277.0;1076.0;1920.0;3260.0;5314.0;815.0;1196.0;14.0;-10.0;1.0;-28.0;ACETIC_ACID
1355.0;2288.0;3727.0;5885.0;917.0;1351.0;1179.0;2076.0;3516.0;5741.0;871.0;1273.0;14.0;-12.0;1.0;-28.0;ACETIC_ACID
1457.0;2425.0;3946.0;6253.0;976.0;1423.0;1221.0;2179.0;3712.0;6054.0;919.0;1347.0;12.0;-12.0;-1.0;-28.0;ACETIC_ACID
1513.0;2521.0;4118.0;6547.0;1010.0;1480.0;1310.0;2305.0;3865.0;6286.0;953.0;1394.0;11.0;-13.0;-1.0;-25.0;ACETIC_ACID
1565.0;2620.0;4261.0;6719.0;1038.0;1517.0;1295.0;2296.0;3883.0;6329.0;968.0;1419.0;4.0;-16.0;1.0;-25.0;ACETIC_ACID
1566.0;2630.0;4291.0;6814.0;1061.0;1542.0;1348.0;2371.0;4008.0;6538.0;1000.0;1452.0;11.0;-16.0;1.0;-36.0;ACETIC_ACID
1618.0;2730.0;4453.0;7043.0;1093.0;1589.0;1430.0;2496.0;4180.0;6809.0;1036.0;1509.0;6.0;-17.0;2.0;-43.0;ACETIC_ACID
1684.0;2843.0;4633.0;7361.0;1132.0;1647.0;1440.0;2542.0;4319.0;7020.0;1073.0;1559.0;6.0;-17.0;2.0;-45.0;ACETIC_ACID
1805.0;3014.0;4881.0;7708.0;1175.0;1710.0;1524.0;2666.0;4481.0;7320.0;1114.0;1623.0;6.0;-19.0;5.0;-47.0;ACETIC_ACID
1839.0;3062.0;4973.0;7880.0;1208.0;1747.0;1580.0;2774.0;4639.0;7552.0;1143.0;1658.0;6.0;-19.0;5.0;-50.0;ACETIC_ACID
1900.0;3150.0;5118.0;8058.0;1232.0;1798.0;1608.0;2820.0;4733.0;7579.0;1160.0;1694.0;1.0;-19.0;6.0;-47.0;ACETIC_ACID
1936.0;3233.0;5241.0;8233.0;1263.0;1838.0;1640.0;2858.0;4821.0;7861.0;1194.0;1746.0;0.0;-16.0;5.0;-50.0;ACETIC_ACID
1984.0;3304.0;5350.0;8440.0;1289.0;1863.0;1710.0;2984.0;4950.0;7985.0;1207.0;1752.0;1.0;-12.0;3.0;-50.0;ACETIC_ACID
2008.0;3367.0;5452.0;8538.0;1313.0;1901.0;1727.0;3013.0;5046.0;8170.0;1232.0;1799.0;1.0;-10.0;3.0;-45.0;ACETIC_ACID
2046.0;3402.0;5508.0;8661.0;1321.0;1910.0;1739.0;3070.0;5134.0;8290.0;1245.0;1809.0;1.0;-10.0;3.0;-31.0;ACETIC_ACID
2074.0;3443.0;5563.0;8770.0;1339.0;1943.0;1776.0;3078.0;5152.0;8324.0;1261.0;1837.0;12.0;-10.0;3.0;-25.0;ACETIC_ACID
2077.0;3468.0;5573.0;8735.0;1336.0;1942.0;1785.0;3106.0;5171.0;8326.0;1256.0;1834.0;6.0;-10.0;3.0;-22.0;ACETIC_ACID
2055.0;3419.0;5535.0;8674.0;1327.0;1930.0;1766.0;3067.0;5133.0;8265.0;1244.0;1816.0;7.0;-10.0;3.0;-19.0;ACETIC_ACID
2048.0;3413.0;5461.0;8557.0;1314.0;1930.0;1760.0;3067.0;5142.0;8338.0;1252.0;1830.0;6.0;-10.0;-8.0;-18.0;ACETIC_ACID
2042.0;3382.0;5456.0;8507.0;1308.0;1907.0;1712.0;2987.0;4957.0;8036.0;1220.0;1786.0;7.0;-4.0;-8.0;7.0;ACETIC_ACID
1872.0;3129.0;5067.0;8025.0;1243.0;1842.0;1646.0;2840.0;4686.0;7683.0;1174.0;1728.0;6.0;2.0;-8.0;5.0;ACETIC_ACID
1747.0;2934.0;4782.0;7669.0;1191.0;1763.0;1567.0;2722.0;4518.0;7316.0;1128.0;1667.0;7.0;2.0;-8.0;4.0;ACETIC_ACID
1705.0;2863.0;4632.0;7399.0;1145.0;1696.0;1501.0;2597.0;4348.0;7053.0;1090.0;1593.0;8.0;7.0;-4.0;6.0;ACETIC_ACID
1608.0;2695.0;4381.0;7022.0;1089.0;1611.0;1411.0;2475.0;4106.0;6702.0;1027.0;1530.0;7.0;3.0;-4.0;5.0;ACETIC_ACID
1499.0;2534.0;4149.0;6664.0;1033.0;1522.0;1314.0;2297.0;3825.0;6277.0;972.0;1443.0;7.0;6.0;-4.0;5.0;ACETIC_ACID
1410.0;2374.0;3887.0;6257.0;970.0;1437.0;1212.0;2116.0;3602.0;5865.0;912.0;1361.0;7.0;0.0;-4.0;5.0;ACETIC_ACID
1308.0;2213.0;3629.0;5828.0;912.0;1342.0;1105.0;1952.0;3285.0;5454.0;848.0;1270.0;7.0;-1.0;-4.0;3.0;ACETIC_ACID
1211.0;2057.0;3378.0;5414.0;846.0;1244.0;1041.0;1856.0;3105.0;5134.0;796.0;1191.0;7.0;-5.0;-6.0;-1.0;ACETIC_ACID
1146.0;1933.0;3176.0;5097.0;791.0;1175.0;1019.0;1774.0;2950.0;4871.0;756.0;1127.0;12.0;-8.0;0.0;-1.0;ACETIC_ACID
1110.0;1873.0;3059.0;4923.0;766.0;1128.0;937.0;1650.0;2755.0;4582.0;715.0;1068.0;13.0;-8.0;0.0;-1.0;ACETIC_ACID
1037.0;1740.0;2852.0;4604.0;716.0;1058.0;885.0;1566.0;2619.0;4309.0;677.0;1006.0;18.0;-8.0;-3.0;-1.0;ACETIC_ACID
986.0;1668.0;2724.0;4390.0;682.0;1008.0;859.0;1492.0;2512.0;4147.0;648.0;963.0;13.0;-8.0;-3.0;0.0;ACETIC_ACID
949.0;1597.0;2632.0;4212.0;655.0;978.0;844.0;1465.0;2430.0;3996.0;624.0;933.0;13.0;-8.0;-3.0;1.0;ACETIC_ACID
893.0;1514.0;2479.0;3996.0;626.0;929.0;786.0;1385.0;2322.0;3837.0;594.0;891.0;2.0;2.0;-4.0;1.0;ACETIC_ACID
883.0;1495.0;2452.0;3918.0;609.0;907.0;732.0;1312.0;2203.0;3699.0;581.0;872.0;19.0;2.0;-3.0;2.0;ACETIC_ACID
844.0;1418.0;2320.0;3763.0;590.0;873.0;742.0;1310.0;2177.0;3583.0;562.0;846.0;13.0;3.0;-4.0;2.0;ACETIC_ACID
807.0;1354.0;2231.0;3584.0;562.0;833.0;699.0;1225.0;2043.0;3368.0;530.0;802.0;13.0;1.0;-14.0;2.0;ACETIC_ACID
774.0;1313.0;2170.0;3465.0;541.0;802.0;667.0;1176.0;1977.0;3238.0;507.0;763.0;9.0;-1.0;-14.0;-1.0;ACETIC_ACID
740.0;1244.0;2048.0;3316.0;517.0;764.0;620.0;1091.0;1863.0;3049.0;484.0;721.0;17.0;-1.0;-2.0;-9.0;ACETIC_ACID
694.0;1184.0;1960.0;3124.0;488.0;717.0;619.0;1083.0;1772.0;2940.0;459.0;696.0;9.0;-1.0;-5.0;-9.0;ACETIC_ACID
664.0;1139.0;1863.0;3023.0;464.0;690.0;542.0;973.0;1646.0;2783.0;432.0;666.0;16.0;1.0;-5.0;-6.0;ACETIC_ACID
-35.0;-61.0;-108.0;-195.0;-30.0;-42.0;-40.0;-65.0;-98.0;-142.0;-23.0;-30.0;-3.0;1.0;16.0;15.0;ACETIC_ACID
-11.0;-31.0;-37.0;-73.0;-15.0;-22.0;-35.0;-56.0;-54.0;-77.0;-13.0;-19.0;-1.0;-4.0;14.0;6.0;ACETIC_ACID
0.0;2.0;4.0;0.0;-2.0;-14.0;-35.0;-56.0;-54.0;-65.0;-7.0;-7.0;-1.0;-4.0;9.0;6.0;ACETIC_ACID
18.0;41.0;70.0;130.0;12.0;5.0;-5.0;1.0;8.0;19.0;4.0;0.0;-1.0;-1.0;8.0;3.0;ACETIC_ACID
49.0;80.0;140.0;240.0;36.0;43.0;6.0;17.0;54.0;123.0;28.0;37.0;-1.0;3.0;7.0;3.0;ACETIC_ACID
118.0;201.0;344.0;544.0;80.0;86.0;63.0;109.0;198.0;328.0;59.0;87.0;-1.0;0.0;11.0;7.0;ACETIC_ACID
134.0;214.0;358.0;568.0;86.0;96.0;75.0;120.0;224.0;380.0;63.0;95.0;-2.0;0.0;8.0;7.0;ACETIC_ACID
194.0;319.0;523.0;857.0;123.0;148.0;92.0;153.0;312.0;582.0;92.0;141.0;-7.0;0.0;17.0;7.0;ACETIC_ACID
227.0;369.0;604.0;972.0;139.0;172.0;126.0;220.0;370.0;674.0;115.0;161.0;-7.0;4.0;8.0;11.0;ACETIC_ACID
247.0;401.0;641.0;1027.0;157.0;189.0;134.0;230.0;422.0;747.0;121.0;173.0;-3.0;1.0;9.0;7.0;ACETIC_ACID
268.0;445.0;736.0;1138.0;169.0;211.0;174.0;296.0;510.0;870.0;140.0;200.0;-3.0;2.0;20.0;11.0;ACETIC_ACID
295.0;484.0;796.0;1281.0;186.0;232.0;168.0;305.0;539.0;899.0;145.0;210.0;-3.0;2.0;20.0;7.0;ACETIC_ACID
325.0;523.0;852.0;1346.0;194.0;249.0;199.0;334.0;567.0;957.0;158.0;229.0;2.0;2.0;20.0;14.0;ACETIC_ACID
331.0;542.0;851.0;1349.0;199.0;246.0;197.0;330.0;578.0;972.0;157.0;226.0;5.0;1.0;7.0;10.0;ACETIC_ACID
319.0;524.0;866.0;1338.0;194.0;247.0;209.0;358.0;609.0;973.0;155.0;228.0;11.0;-2.0;7.0;10.0;ACETIC_ACID
317.0;512.0;836.0;1346.0;196.0;248.0;190.0;333.0;577.0;982.0;155.0;231.0;18.0;-2.0;7.0;10.0;ACETIC_ACID
342.0;551.0;883.0;1408.0;201.0;252.0;183.0;315.0;564.0;989.0;162.0;232.0;9.0;-3.0;10.0;10.0;ACETIC_ACID
312.0;513.0;842.0;1351.0;192.0;241.0;208.0;351.0;589.0;956.0;154.0;218.0;9.0;-3.0;20.0;15.0;ACETIC_ACID
307.0;498.0;799.0;1248.0;182.0;230.0;187.0;318.0;541.0;890.0;144.0;211.0;8.0;-3.0;15.0;9.0;ACETIC_ACID
305.0;493.0;792.0;1243.0;179.0;223.0;189.0;328.0;564.0;915.0;143.0;202.0;8.0;-2.0;21.0;19.0;ACETIC_ACID
303.0;486.0;801.0;1232.0;172.0;214.0;176.0;304.0;502.0;822.0;136.0;190.0;10.0;-1.0;21.0;11.0;ACETIC_ACID
248.0;400.0;650.0;1005.0;143.0;176.0;161.0;259.0;445.0;713.0;113.0;150.0;1.0;-1.0;21.0;22.0;ACETIC_ACID
