OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETIC_ACID
-13.0;-21.0;-36.0;-67.0;-11.0;-19.0;-18.0;-30.0;-46.0;-70.0;-11.0;-12.0;2.0;2.0;-7.0;1.0;ACETIC_ACID
13.0;31.0;62.0;117.0;19.0;21.0;6.0;5.0;23.0;78.0;14.0;19.0;2.0;-8.0;-5.0;-11.0;ACETIC_ACID
25.0;50.0;89.0;177.0;34.0;40.0;7.0;12.0;42.0;112.0;25.0;38.0;4.0;-10.0;-3.0;-11.0;ACETIC_ACID
43.0;86.0;160.0;295.0;50.0;68.0;22.0;43.0;100.0;207.0;39.0;61.0;7.0;-10.0;0.0;-11.0;ACETIC_ACID
53.0;101.0;186.0;349.0;58.0;77.0;40.0;73.0;148.0;290.0;46.0;70.0;4.0;-12.0;0.0;-11.0;ACETIC_ACID
57.0;104.0;191.0;365.0;59.0;85.0;32.0;61.0;132.0;272.0;52.0;75.0;12.0;-12.0;0.0;-11.0;ACETIC_ACID
58.0;113.0;214.0;401.0;68.0;93.0;40.0;75.0;150.0;301.0;52.0;82.0;6.0;-10.0;5.0;-5.0;ACETIC_ACID
62.0;121.0;227.0;423.0;70.0;100.0;39.0;74.0;157.0;308.0;60.0;90.0;4.0;-12.0;9.0;-9.0;ACETIC_ACID
69.0;133.0;253.0;468.0;78.0;112.0;49.0;97.0;189.0;372.0;62.0;97.0;3.0;-7.0;7.0;-7.0;ACETIC_ACID
71.0;136.0;249.0;451.0;75.0;106.0;53.0;101.0;201.0;385.0;64.0;98.0;4.0;-6.0;7.0;-5.0;ACETIC_ACID
75.0;144.0;265.0;473.0;81.0;114.0;50.0;95.0;196.0;384.0;68.0;100.0;4.0;-5.0;1.0;-5.0;ACETIC_ACID
75.0;143.0;264.0;484.0;80.0;123.0;46.0;89.0;187.0;364.0;64.0;109.0;4.0;-4.0;1.0;-6.0;ACETIC_ACID
76.0;145.0;267.0;481.0;79.0;113.0;41.0;80.0;170.0;355.0;63.0;101.0;2.0;-4.0;1.0;-6.0;ACETIC_ACID
60.0;115.0;207.0;365.0;64.0;93.0;50.0;91.0;181.0;324.0;57.0;86.0;2.0;-4.0;-3.0;-5.0;ACETIC_ACID
58.0;113.0;207.0;372.0;63.0;88.0;47.0;91.0;166.0;315.0;53.0;78.0;2.0;-6.0;-5.0;-5.0;ACETIC_ACID
46.0;89.0;169.0;302.0;52.0;82.0;47.0;90.0;119.0;265.0;43.0;68.0;2.0;-9.0;-5.0;-6.0;ACETIC_ACID
55.0;104.0;188.0;352.0;58.0;87.0;49.0;90.0;171.0;314.0;53.0;81.0;-3.0;-9.0;-10.0;0.0;ACETIC_ACID
