OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETIC_ACID
11.0;21.0;41.0;79.0;15.0;26.0;8.0;11.0;27.0;56.0;11.0;20.0;-10.0;4.0;-9.0;-7.0;ACETIC_ACID
12.0;25.0;53.0;104.0;18.0;31.0;10.0;14.0;31.0;74.0;15.0;26.0;-10.0;-2.0;-9.0;-7.0;ACETIC_ACID
21.0;38.0;69.0;132.0;24.0;44.0;15.0;26.0;56.0;109.0;23.0;42.0;-10.0;-2.0;-9.0;-7.0;ACETIC_ACID
25.0;48.0;91.0;173.0;30.0;52.0;15.0;27.0;59.0;128.0;25.0;43.0;-6.0;-2.0;-6.0;-4.0;ACETIC_ACID
19.0;40.0;80.0;164.0;30.0;47.0;12.0;20.0;50.0;111.0;23.0;39.0;-6.0;-4.0;-6.0;-4.0;ACETIC_ACID
18.0;36.0;75.0;154.0;28.0;46.0;13.0;23.0;53.0;115.0;23.0;42.0;-6.0;-4.0;-6.0;-4.0;ACETIC_ACID
26.0;51.0;95.0;180.0;33.0;61.0;23.0;41.0;84.0;171.0;33.0;60.0;-12.0;-2.0;-9.0;-4.0;ACETIC_ACID
31.0;63.0;122.0;229.0;41.0;71.0;22.0;41.0;91.0;186.0;37.0;69.0;-12.0;-2.0;-9.0;-6.0;ACETIC_ACID
36.0;66.0;130.0;251.0;45.0;78.0;24.0;45.0;96.0;200.0;40.0;72.0;-13.0;-2.0;-9.0;-6.0;ACETIC_ACID
33.0;66.0;127.0;246.0;44.0;76.0;22.0;43.0;93.0;195.0;37.0;70.0;-12.0;-2.0;-9.0;-6.0;ACETIC_ACID
32.0;62.0;124.0;241.0;44.0;73.0;19.0;37.0;84.0;179.0;35.0;61.0;-8.0;-1.0;-9.0;-4.0;ACETIC_ACID
28.0;54.0;108.0;217.0;40.0;66.0;17.0;33.0;76.0;166.0;33.0;56.0;-8.0;-1.0;-8.0;-1.0;ACETIC_ACID
24.0;48.0;101.0;197.0;37.0;60.0;16.0;29.0;65.0;147.0;29.0;50.0;-8.0;2.0;-8.0;-1.0;ACETIC_ACID
23.0;45.0;93.0;182.0;34.0;56.0;13.0;26.0;61.0;137.0;26.0;46.0;-8.0;3.0;-11.0;-2.0;ACETIC_ACID
19.0;40.0;85.0;169.0;32.0;53.0;14.0;22.0;56.0;127.0;25.0;43.0;-8.0;0.0;-11.0;-2.0;ACETIC_ACID
28.0;54.0;103.0;190.0;35.0;62.0;20.0;37.0;81.0;168.0;32.0;58.0;-11.0;0.0;-8.0;-5.0;ACETIC_ACID
34.0;66.0;126.0;238.0;44.0;79.0;30.0;55.0;115.0;232.0;44.0;83.0;-7.0;-2.0;-11.0;-10.0;ACETIC_ACID
49.0;94.0;174.0;325.0;58.0;103.0;38.0;71.0;147.0;294.0;56.0;101.0;-11.0;-2.0;-11.0;-10.0;ACETIC_ACID
54.0;104.0;199.0;373.0;67.0;117.0;40.0;77.0;162.0;328.0;63.0;112.0;-7.0;-2.0;-9.0;-10.0;ACETIC_ACID
58.0;111.0;211.0;403.0;74.0;128.0;46.0;90.0;188.0;371.0;71.0;128.0;-4.0;-2.0;-9.0;-10.0;ACETIC_ACID
69.0;131.0;245.0;465.0;84.0;142.0;46.0;93.0;194.0;386.0;74.0;135.0;-4.0;-3.0;-12.0;-12.0;ACETIC_ACID
70.0;133.0;255.0;474.0;86.0;146.0;49.0;98.0;201.0;402.0;78.0;141.0;-13.0;-2.0;-9.0;-16.0;ACETIC_ACID
79.0;149.0;279.0;519.0;93.0;163.0;58.0;117.0;236.0;482.0;92.0;164.0;-13.0;-2.0;-9.0;-18.0;ACETIC_ACID
99.0;185.0;341.0;619.0;112.0;195.0;71.0;142.0;287.0;571.0;109.0;189.0;-13.0;-8.0;-9.0;-21.0;ACETIC_ACID
106.0;201.0;377.0;696.0;125.0;213.0;77.0;155.0;314.0;620.0;117.0;208.0;-13.0;-8.0;-9.0;-21.0;ACETIC_ACID
115.0;217.0;399.0;737.0;134.0;226.0;79.0;160.0;323.0;644.0;121.0;217.0;-13.0;-2.0;-9.0;-21.0;ACETIC_ACID
116.0;220.0;410.0;759.0;137.0;231.0;84.0;166.0;339.0;671.0;127.0;224.0;-13.0;-8.0;-9.0;-20.0;ACETIC_ACID
117.0;216.0;414.0;773.0;140.0;234.0;82.0;166.0;333.0;667.0;125.0;226.0;-13.0;-5.0;-9.0;-20.0;ACETIC_ACID
124.0;231.0;427.0;791.0;142.0;240.0;87.0;173.0;350.0;696.0;130.0;234.0;-13.0;-2.0;-8.0;-17.0;ACETIC_ACID
127.0;239.0;441.0;820.0;147.0;249.0;92.0;183.0;367.0;727.0;136.0;241.0;-13.0;-1.0;-8.0;-17.0;ACETIC_ACID
127.0;240.0;447.0;831.0;151.0;255.0;95.0;185.0;369.0;735.0;139.0;241.0;-13.0;-5.0;-8.0;-17.0;ACETIC_ACID
126.0;237.0;437.0;824.0;148.0;248.0;89.0;176.0;356.0;707.0;134.0;234.0;-13.0;-5.0;-7.0;-17.0;ACETIC_ACID
122.0;234.0;440.0;809.0;147.0;251.0;96.0;189.0;378.0;741.0;139.0;247.0;-12.0;-5.0;-7.0;-20.0;ACETIC_ACID
134.0;253.0;468.0;867.0;155.0;263.0;100.0;198.0;393.0;776.0;146.0;260.0;-12.0;-6.0;-7.0;-21.0;ACETIC_ACID
154.0;284.0;520.0;951.0;170.0;290.0;115.0;225.0;446.0;867.0;161.0;286.0;-12.0;-6.0;-7.0;-27.0;ACETIC_ACID
159.0;296.0;546.0;996.0;180.0;301.0;116.0;226.0;451.0;884.0;166.0;293.0;-12.0;-5.0;-11.0;-27.0;ACETIC_ACID
161.0;303.0;557.0;1023.0;185.0;309.0;122.0;239.0;476.0;934.0;174.0;308.0;-11.0;-5.0;-11.0;-26.0;ACETIC_ACID
170.0;318.0;585.0;1071.0;192.0;320.0;121.0;240.0;482.0;936.0;177.0;307.0;-11.0;-5.0;-11.0;-26.0;ACETIC_ACID
165.0;314.0;577.0;1064.0;190.0;321.0;124.0;243.0;485.0;954.0;178.0;314.0;-13.0;-5.0;-11.0;-25.0;ACETIC_ACID
173.0;325.0;597.0;1093.0;195.0;331.0;129.0;254.0;503.0;978.0;182.0;314.0;-11.0;-5.0;-11.0;-17.0;ACETIC_ACID
169.0;317.0;583.0;1084.0;194.0;324.0;122.0;242.0;480.0;938.0;176.0;310.0;-9.0;-6.0;-3.0;-14.0;ACETIC_ACID
170.0;317.0;584.0;1070.0;192.0;322.0;125.0;245.0;490.0;956.0;178.0;313.0;-11.0;-6.0;-14.0;-14.0;ACETIC_ACID
173.0;321.0;592.0;1088.0;193.0;323.0;124.0;243.0;482.0;944.0;176.0;309.0;-11.0;-6.0;-5.0;-17.0;ACETIC_ACID
167.0;311.0;579.0;1062.0;190.0;323.0;125.0;245.0;488.0;951.0;179.0;315.0;-9.0;-6.0;-5.0;-26.0;ACETIC_ACID
178.0;329.0;603.0;1111.0;198.0;332.0;134.0;262.0;519.0;1009.0;187.0;328.0;-11.0;-6.0;-9.0;-30.0;ACETIC_ACID
187.0;347.0;632.0;1157.0;207.0;346.0;140.0;274.0;537.0;1039.0;195.0;339.0;-11.0;-6.0;-9.0;-30.0;ACETIC_ACID
196.0;365.0;665.0;1214.0;216.0;365.0;147.0;290.0;572.0;1113.0;206.0;364.0;-6.0;-6.0;-7.0;-31.0;ACETIC_ACID
210.0;389.0;703.0;1278.0;228.0;382.0;154.0;303.0;594.0;1154.0;215.0;373.0;-6.0;-6.0;-9.0;-33.0;ACETIC_ACID
218.0;405.0;734.0;1326.0;235.0;390.0;154.0;304.0;600.0;1177.0;217.0;384.0;-8.0;-6.0;-9.0;-33.0;ACETIC_ACID
227.0;415.0;764.0;1382.0;246.0;413.0;173.0;338.0;664.0;1277.0;235.0;411.0;-6.0;-8.0;-13.0;-31.0;ACETIC_ACID
247.0;453.0;823.0;1493.0;262.0;436.0;178.0;350.0;686.0;1315.0;246.0;421.0;-6.0;-6.0;-13.0;-32.0;ACETIC_ACID
240.0;445.0;812.0;1462.0;259.0;431.0;174.0;340.0;673.0;1297.0;238.0;419.0;-8.0;-6.0;-13.0;-31.0;ACETIC_ACID
242.0;446.0;814.0;1477.0;262.0;438.0;176.0;348.0;684.0;1331.0;245.0;418.0;-8.0;-6.0;-13.0;-30.0;ACETIC_ACID
239.0;440.0;805.0;1469.0;260.0;428.0;173.0;340.0;669.0;1287.0;239.0;409.0;-8.0;-9.0;-14.0;-25.0;ACETIC_ACID
234.0;434.0;790.0;1455.0;254.0;424.0;174.0;339.0;668.0;1287.0;239.0;412.0;-12.0;-9.0;-14.0;-25.0;ACETIC_ACID
236.0;437.0;797.0;1452.0;254.0;425.0;168.0;334.0;656.0;1277.0;237.0;408.0;-12.0;-9.0;-14.0;-25.0;ACETIC_ACID
236.0;436.0;794.0;1444.0;257.0;428.0;180.0;350.0;688.0;1319.0;242.0;425.0;-14.0;-9.0;-19.0;-30.0;ACETIC_ACID
253.0;467.0;851.0;1536.0;271.0;451.0;189.0;370.0;724.0;1382.0;254.0;441.0;-16.0;-9.0;-19.0;-31.0;ACETIC_ACID
258.0;479.0;861.0;1557.0;276.0;457.0;187.0;367.0;716.0;1379.0;254.0;442.0;-14.0;-6.0;-19.0;-31.0;ACETIC_ACID
261.0;482.0;871.0;1579.0;278.0;463.0;198.0;385.0;745.0;1421.0;262.0;450.0;-12.0;-6.0;-14.0;-31.0;ACETIC_ACID
265.0;487.0;888.0;1600.0;281.0;467.0;190.0;372.0;722.0;1412.0;258.0;449.0;-12.0;-7.0;-14.0;-33.0;ACETIC_ACID
259.0;478.0;875.0;1586.0;278.0;467.0;194.0;380.0;747.0;1425.0;262.0;461.0;-12.0;-7.0;-14.0;-33.0;ACETIC_ACID
281.0;517.0;931.0;1684.0;295.0;491.0;211.0;413.0;801.0;1528.0;280.0;482.0;-12.0;-7.0;-12.0;-35.0;ACETIC_ACID
294.0;536.0;967.0;1736.0;304.0;503.0;213.0;417.0;809.0;1553.0;279.0;491.0;-14.0;-7.0;-14.0;-35.0;ACETIC_ACID
288.0;529.0;958.0;1725.0;304.0;504.0;216.0;420.0;815.0;1561.0;285.0;493.0;-14.0;-7.0;-12.0;-35.0;ACETIC_ACID
295.0;542.0;980.0;1758.0;310.0;513.0;218.0;426.0;823.0;1572.0;289.0;499.0;-14.0;-7.0;-15.0;-34.0;ACETIC_ACID
298.0;547.0;988.0;1782.0;312.0;515.0;218.0;426.0;832.0;1592.0;294.0;506.0;-12.0;-9.0;-11.0;-34.0;ACETIC_ACID
307.0;559.0;1009.0;1798.0;317.0;524.0;226.0;440.0;847.0;1617.0;296.0;510.0;-10.0;-9.0;-11.0;-34.0;ACETIC_ACID
303.0;561.0;1016.0;1834.0;321.0;531.0;227.0;445.0;863.0;1653.0;301.0;519.0;-10.0;-9.0;-11.0;-34.0;ACETIC_ACID
316.0;579.0;1037.0;1858.0;326.0;541.0;235.0;455.0;878.0;1683.0;307.0;528.0;-10.0;-10.0;-12.0;-34.0;ACETIC_ACID
316.0;578.0;1046.0;1874.0;329.0;540.0;231.0;449.0;875.0;1666.0;305.0;518.0;-12.0;-10.0;-12.0;-36.0;ACETIC_ACID
314.0;578.0;1039.0;1871.0;327.0;544.0;240.0;468.0;910.0;1713.0;313.0;537.0;-8.0;-10.0;-12.0;-37.0;ACETIC_ACID
330.0;603.0;1082.0;1951.0;340.0;557.0;246.0;475.0;911.0;1741.0;317.0;544.0;-8.0;-10.0;-12.0;-37.0;ACETIC_ACID
332.0;606.0;1089.0;1954.0;343.0;565.0;248.0;484.0;929.0;1766.0;319.0;551.0;-7.0;-9.0;-7.0;-37.0;ACETIC_ACID
341.0;622.0;1116.0;1998.0;346.0;571.0;249.0;484.0;934.0;1788.0;325.0;556.0;-8.0;-8.0;-7.0;-36.0;ACETIC_ACID
342.0;623.0;1124.0;2017.0;351.0;572.0;246.0;480.0;923.0;1746.0;320.0;550.0;-8.0;-9.0;-7.0;-33.0;ACETIC_ACID
337.0;613.0;1100.0;1969.0;343.0;560.0;242.0;469.0;904.0;1723.0;314.0;538.0;-7.0;-8.0;-8.0;-32.0;ACETIC_ACID
321.0;586.0;1067.0;1921.0;334.0;549.0;234.0;454.0;882.0;1691.0;308.0;529.0;-10.0;-8.0;-11.0;-32.0;ACETIC_ACID
317.0;580.0;1044.0;1873.0;330.0;548.0;236.0;463.0;895.0;1706.0;311.0;535.0;-10.0;-8.0;-11.0;-31.0;ACETIC_ACID
323.0;592.0;1060.0;1914.0;335.0;553.0;242.0;470.0;906.0;1725.0;316.0;535.0;-14.0;-6.0;-18.0;-32.0;ACETIC_ACID
326.0;598.0;1077.0;1931.0;338.0;554.0;242.0;471.0;911.0;1728.0;315.0;544.0;-15.0;-6.0;-18.0;-32.0;ACETIC_ACID
330.0;605.0;1091.0;1955.0;342.0;566.0;252.0;490.0;935.0;1775.0;323.0;552.0;-15.0;-6.0;-19.0;-32.0;ACETIC_ACID
338.0;615.0;1116.0;2001.0;347.0;570.0;248.0;481.0;928.0;1768.0;324.0;555.0;-11.0;-6.0;-18.0;-37.0;ACETIC_ACID
344.0;626.0;1126.0;1992.0;349.0;574.0;251.0;489.0;940.0;1784.0;325.0;556.0;-11.0;-5.0;-18.0;-37.0;ACETIC_ACID
346.0;627.0;1127.0;2020.0;353.0;578.0;255.0;496.0;948.0;1804.0;327.0;560.0;-11.0;-9.0;-18.0;-37.0;ACETIC_ACID
348.0;636.0;1141.0;2031.0;355.0;583.0;259.0;503.0;965.0;1824.0;332.0;567.0;-10.0;-6.0;-14.0;-33.0;ACETIC_ACID
358.0;652.0;1161.0;2063.0;359.0;585.0;258.0;499.0;966.0;1825.0;333.0;563.0;-10.0;-6.0;-11.0;-37.0;ACETIC_ACID
346.0;634.0;1135.0;2038.0;353.0;582.0;259.0;503.0;962.0;1826.0;332.0;568.0;-9.0;-6.0;-11.0;-33.0;ACETIC_ACID
346.0;630.0;1145.0;2045.0;355.0;584.0;261.0;506.0;968.0;1839.0;335.0;570.0;-10.0;-7.0;-11.0;-33.0;ACETIC_ACID
